energy_ev,total_up,C_s_up,C_p_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up,Y_p_up,Y_d_up
-6.00000000,4.58435205,0.02833711,0.11090490,3.08604765,0.00000000,1.41704445,0.51850443,0.85103648,0.41084945
-5.99399700,4.53448910,0.02837334,0.11183333,3.04762417,0.00000000,1.36899909,0.49864216,0.86027607,0.41141955
-5.98799400,4.49282224,0.02847123,0.11313164,3.01465053,0.00000000,1.32447646,0.47985659,0.87058665,0.41315374
-5.98199100,4.45868810,0.02862510,0.11477624,2.98672408,0.00000000,1.28360351,0.46226258,0.88173960,0.41598135
-5.97598799,4.43106514,0.02882666,0.11672886,2.96320613,0.00000000,1.24638697,0.44592089,0.89344366,0.41978451
-5.96998499,4.40861228,0.02906522,0.11893752,2.94324648,0.00000000,1.21271760,0.43084014,0.90535214,0.42440123
-5.96398199,4.38971927,0.02932809,0.12133798,2.92581578,0.00000000,1.18237817,0.41698062,0.91707244,0.42963005
-5.95797899,4.37256688,0.02960092,0.12385562,2.90974451,0.00000000,1.15505490,0.40425971,0.92817770,0.43523628
-5.95197599,4.35519479,0.02986822,0.12640775,2.89376716,0.00000000,1.13035198,0.39255859,0.93822013,0.44095942
-5.94597299,4.33557453,0.03011386,0.12890619,2.87656997,0.00000000,1.10780857,0.38172994,0.94674566,0.44652165
-5.93996998,4.31168477,0.03032163,0.13126011,2.85684038,0.00000000,1.08691779,0.37160621,0.95330926,0.45163718
-5.93396698,4.28158621,0.03047581,0.13337900,2.83331632,0.00000000,1.06714691,0.36200825,0.95749054,0.45602191
-5.92796398,4.24349321,0.03056171,0.13517570,2.80483359,0.00000000,1.04795808,0.35275381,0.95890893,0.45940327
-5.92196098,4.19583968,0.03056619,0.13656933,2.77036941,0.00000000,1.02882886,0.34366566,0.95723793,0.46152979
-5.91595798,4.13733669,0.03047819,0.13748816,2.72908071,0.00000000,1.00927176,0.33457901,0.95221789,0.46218003
-5.90995498,4.06701988,0.03028906,0.13787204,2.68033563,0.00000000,0.98885216,0.32534804,0.94366677,0.46117061
-5.90395198,3.98428512,0.02999299,0.13767472,2.62373725,0.00000000,0.96720394,0.31585124,0.93148859,0.45836298
-5.89794897,3.88891111,0.02958719,0.13686551,2.55913871,0.00000000,0.94404228,0.30599550,0.91567901,0.45366875
-5.89194597,3.78106853,0.02907210,0.13543063,2.48664933,0.00000000,0.91917314,0.29571890,0.89632809,0.44705322
-5.88594297,3.66131553,0.02845137,0.13337394,2.40663167,0.00000000,0.89249923,0.28499204,0.87361986,0.43853728
-5.87993997,3.53058004,0.02773183,0.13071715,2.31968970,0.00000000,0.86402221,0.27381803,0.84782886,0.42819728
-5.87393697,3.39012994,0.02692330,0.12749949,2.22664897,0.00000000,0.83384105,0.26223129,0.81931373,0.41616319
