energy_ev,total_up,Cu_p_up,Cu_d_up,Sb_p_up,Sb_d_up,Se_s_up,Se_p_up
-6.00000000,0.44021587,0.14962628,0.06595033,0.11381201,0.00041268,0.00979620,0.18855556
-5.99399700,0.42042939,0.14382471,0.06276490,0.10612014,0.00041144,0.00908423,0.18215306
-5.98799400,0.40246643,0.13873599,0.05994679,0.09851925,0.00041039,0.00847604,0.17692763
-5.98199100,0.38626486,0.13431502,0.05748695,0.09109725,0.00040923,0.00796984,0.17275156
-5.97598799,0.37175293,0.13051174,0.05537383,0.08393381,0.00040770,0.00756317,0.16949730
-5.96998499,0.35885312,0.12727288,0.05359437,0.07709895,0.00040556,0.00725311,0.16704141
-5.96398199,0.34748614,0.12454377,0.05213485,0.07065218,0.00040262,0.00703654,0.16526828
-5.95797899,0.33757474,0.12227024,0.05098182,0.06464199,0.00039872,0.00691029,0.16407336
-5.95197599,0.32904728,0.12040048,0.05012289,0.05910572,0.00039375,0.00687133,0.16336589
-5.94597299,0.32184071,0.11888671,0.04954740,0.05406984,0.00038766,0.00691692,0.16307094
-5.93996998,0.31590304,0.11768675,0.04924697,0.04955052,0.00038041,0.00704466,0.16313083
-5.93396698,0.31119497,0.11676523,0.04921582,0.04555428,0.00037202,0.00725255,0.16350581
-5.92796398,0.30769058,0.11609438,0.04945089,0.04207902,0.00036252,0.00753897,0.16417392
-5.92196098,0.30537723,0.11565455,0.04995183,0.03911490,0.00035201,0.00790260,0.16513025
-5.91595798,0.30425435,0.11543418,0.05072069,0.03664539,0.00034058,0.00834229,0.16638546
-5.90995498,0.30433149,0.11542934,0.05176152,0.03464827,0.00032838,0.00885694,0.16796368
-5.90395198,0.30562543,0.11564282,0.05307971,0.03309646,0.00031555,0.00944523,0.16989992
-5.89794897,0.30815675,0.11608293,0.05468126,0.03195893,0.00030225,0.01010545,0.17223714
-5.89194597,0.31194590,0.11676186,0.05657200,0.03120136,0.00028868,0.01083523,0.17502294
-5.88594297,0.31700908,0.11769389,0.05875673,0.03078677,0.00027501,0.01163133,0.17830629
-5.87993997,0.32335421,0.11889349,0.06123836,0.03067605,0.00026142,0.01248946,0.18213424
-5.87393697,0.33097712,0.12037337,0.06401718,0.03082846,0.00024812,0.01340403,0.18654883
-5.86793397,0.33985846,0.12214270,0.06709021,0.03120201,0.00023529,0.01436811,0.19158442
-5.86193097,0.34996127,0.12420555,0.07045074,0.03175390,0.00022310,0.01537332,0.19726544
-5.85592796,0.36122955,0.12655957,0.07408803,0.03244096,0.00021172,0.01640984,0.20360476
-5.84992496,0.37358802,0.12919518,0.07798723,0.03322011,0.00020133,0.01746652,0.21060266
-5.84392196,0.38694285,0.13209515,0.08212952,0.03404883,0.00019208,0.01853103,0.21824653
