energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,1.00635102,0.03048633,0.02870848,0.39288514,0.35552789,0.13463701,0.07955945,0.61812693,0.00000000
-5.99399700,1.00104244,0.02918279,0.02834620,0.38875503,0.35552538,0.13662208,0.07720375,0.61433211,0.00000000
-5.98799400,0.99508651,0.02794537,0.02792016,0.38425624,0.35574655,0.13897518,0.07465792,0.61000011,0.00000000
-5.98199100,0.98884644,0.02680965,0.02744372,0.37959031,0.35625491,0.14177223,0.07198006,0.60537133,0.00000000
-5.97598799,0.98267571,0.02581047,0.02693067,0.37496025,0.35709742,0.14508897,0.06922975,0.60068349,0.00000000
-5.96998499,0.97691246,0.02498116,0.02639497,0.37056635,0.35830561,0.14899959,0.06646660,0.59616743,0.00000000
-5.96398199,0.97187479,0.02435287,0.02585033,0.36660211,0.35989734,0.15357538,0.06374884,0.59204335,0.00000000
-5.95797899,0.96785677,0.02395376,0.02531000,0.36325037,0.36187912,0.15888316,0.06113199,0.58851752,0.00000000
-5.95197599,0.96512512,0.02380840,0.02478647,0.36067965,0.36424859,0.16498353,0.05866761,0.58577939,0.00000000
-5.94597299,0.96391638,0.02393701,0.02429121,0.35904074,0.36699710,0.17192902,0.05640223,0.58399895,0.00000000
-5.93996998,0.96443427,0.02435486,0.02383448,0.35846349,0.37011210,0.17976197,0.05437639,0.58332441,0.00000000
-5.93396698,0.96684728,0.02507169,0.02342515,0.35905396,0.37357911,0.18851245,0.05262391,0.58388004,0.00000000
-5.92796398,0.97128650,0.02609117,0.02307058,0.36089195,0.37738338,0.19819604,0.05117135,0.58576437,0.00000000
-5.92196098,0.97784359,0.02741054,0.02277647,0.36402889,0.38151096,0.20881181,0.05003768,0.58904856,0.00000000
-5.91595798,0.98656923,0.02902031,0.02254689,0.36848636,0.38594927,0.22034062,0.04923419,0.59377526,0.00000000
-5.90995498,0.99747223,0.03090410,0.02238418,0.37425530,0.39068741,0.23274378,0.04876463,0.59995802,0.00000000
-5.90395198,1.01051969,0.03303870,0.02228905,0.38129601,0.39571606,0.24596241,0.04862563,0.60758152,0.00000000
-5.89794897,1.02563855,0.03539430,0.02226063,0.38953919,0.40102739,0.25991770,0.04880726,0.61660278,0.00000000
-5.89194597,1.04271890,0.03793493,0.02229663,0.39888802,0.40661509,0.27451205,0.04929393,0.62695352,0.00000000
-5.88594297,1.06161946,0.04061911,0.02239354,0.40922145,0.41247470,0.28963147,0.05006540,0.63854404,0.00000000
-5.87993997,1.08217534,0.04340071,0.02254687,0.42039884,0.41860437,0.30514908,0.05109807,0.65126848,0.00000000
-5.87393697,1.10420829,0.04623002,0.02275147,0.43226567,0.42500629,0.32092988,0.05236635,0.66501168,0.00000000
-5.86793397,1.12753912,0.04905501,0.02300186,0.44466047,0.43168868,0.33683660,0.05384417,0.67965747,0.00000000
-5.86193097,1.15200227,0.05182274,0.02329266,0.45742269,0.43866846,0.35273647,0.05550660,0.69509810,0.00000000
-5.85592796,1.17746153,0.05448079,0.02361897,0.47040116,0.44597430,0.36850872,0.05733139,0.71124452,0.00000000
-5.84992496,1.20382653,0.05697883,0.02397680,0.48346287,0.45364995,0.38405232,0.05930054,0.72803701,0.00000000
-5.84392196,1.23106873,0.05927013,0.02436347,0.49650150,0.46175751,0.39929365,0.06140167,0.74545542,0.00000000
-5.83791896,1.25923580,0.06131298,0.02477800,0.50944541,0.47038032,0.41419361,0.06362919,0.76352844,0.00000000
-5.83191596,1.28846328,0.06307193,0.02522140,0.52226427,0.47962491,0.42875351,0.06598522,0.78234097,0.00000000
-5.82591296,1.31898220,0.06451888,0.02569687,0.53497410,0.48962188,0.44301959,0.06848009,0.80203905,0.00000000
-5.81990995,1.35112154,0.06563389,0.02620996,0.54764006,0.50052512,0.45708528,0.07113251,0.82283144,0.00000000
-5.81390695,1.38530468,0.06640562,0.02676850,0.56037664,0.51250909,0.47109117,0.07396916,0.84498738,0.00000000
-5.80790395,1.42203911,0.06683154,0.02738245,0.57334506,0.52576413,0.48522230,0.07702386,0.86883019,0.00000000
-5.80190095,1.46189916,0.06691771,0.02806361,0.58674761,0.54048955,0.49970252,0.08033625,0.89472630,0.00000000
-5.79589795,1.50550190,0.06667828,0.02882513,0.60081911,0.55688463,0.51478614,0.08394994,0.92307012,0.00000000
