energy_ev,total_up,As_p_up,As_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,1.57097521,0.21015771,0.00000000,0.09096766,0.26767461,0.36992379,0.43090585
-5.99399700,1.59090712,0.21298206,0.00000000,0.09243945,0.27504635,0.38429255,0.43190619
-5.98799400,1.61190423,0.21655840,0.00000000,0.09371775,0.28206276,0.39927368,0.43320546
-5.98199100,1.63360770,0.22088094,0.00000000,0.09477293,0.28862026,0.41480987,0.43470268
-5.97598799,1.65566633,0.22592946,0.00000000,0.09557935,0.29463138,0.43084231,0.43629961
-5.96998499,1.67773462,0.23166827,0.00000000,0.09611575,0.30002434,0.44730676,0.43790104
-5.96398199,1.69946919,0.23804551,0.00000000,0.09636552,0.30474183,0.46412924,0.43941457
-5.95797899,1.72052415,0.24499269,0.00000000,0.09631682,0.30873930,0.48122169,0.44075012
-5.95197599,1.74054626,0.25242475,0.00000000,0.09596259,0.31198280,0.49847808,0.44181913
-5.94597299,1.75917066,0.26024055,0.00000000,0.09530050,0.31444667,0.51577107,0.44253379
-5.93996998,1.77601795,0.26832404,0.00000000,0.09433275,0.31611132,0.53294998,0.44280650
-5.93396698,1.79069342,0.27654597,0.00000000,0.09306588,0.31696114,0.54983993,0.44254957
-5.92796398,1.80278886,0.28476635,0.00000000,0.09151055,0.31698293,0.56624272,0.44167549
-5.92196098,1.81188745,0.29283742,0.00000000,0.08968122,0.31616488,0.58193938,0.44009774
-5.91595798,1.81757173,0.30060723,0.00000000,0.08759590,0.31449609,0.59669450,0.43773219
-5.90995498,1.81943447,0.30792369,0.00000000,0.08527584,0.31196686,0.61026211,0.43449921
-5.90395198,1.81709209,0.31463882,0.00000000,0.08274519,0.30856958,0.62239306,0.43032618
-5.89794897,1.81019997,0.32061318,0.00000000,0.08003074,0.30430017,0.63284342,0.42515050
-5.89194597,1.79846871,0.32572024,0.00000000,0.07716150,0.29915999,0.64138349,0.41892281
-5.88594297,1.78168054,0.32985043,0.00000000,0.07416838,0.29315801,0.64780711,0.41161018
-5.87993997,1.75970473,0.33291474,0.00000000,0.07108377,0.28631309,0.65194056,0.40319925
-5.87393697,1.73251112,0.33484769,0.00000000,0.06794112,0.27865619,0.65365071,0.39369882
-5.86793397,1.70018082,0.33560951,0.00000000,0.06477450,0.27023231,0.65285190,0.38314197
-5.86193097,1.66291346,0.33518745,0.00000000,0.06161809,0.26110205,0.64951125,0.37158736
-5.85592796,1.62103043,0.33359615,0.00000000,0.05850576,0.25134257,0.64365207,0.35911969
-5.84992496,1.57497385,0.33087712,0.00000000,0.05547061,0.24104803,0.63535520,0.34584931
-5.84392196,1.52530136,0.32709735,0.00000000,0.05254448,0.23032925,0.62475837,0.33191078
-5.83791896,1.47267689,0.32234711,0.00000000,0.04975766,0.21931282,0.61205343,0.31746067
-5.83191596,1.41785795,0.31673715,0.00000000,0.04713852,0.20813946,0.59748191,0.30267457
-5.82591296,1.36167996,0.31039544,0.00000000,0.04471327,0.19696197,0.58132896,0.28774342
-5.81990995,1.30503844,0.30346359,0.00000000,0.04250586,0.18594261,0.56391615,0.27286943
-5.81390695,1.24886978,0.29609307,0.00000000,0.04053787,0.17525019,0.54559341,0.25826165
-5.80790395,1.19413137,0.28844148,0.00000000,0.03882852,0.16505696,0.52673054,0.24413151
-5.80190095,1.14178168,0.28066899,0.00000000,0.03739479,0.15553535,0.50770865,0.23068829
-5.79589795,1.09276104,0.27293491,0.00000000,0.03625150,0.14685475,0.48891173,0.21813484
-5.78989495,1.04797335,0.26539459,0.00000000,0.03541147,0.13917838,0.47071877,0.20666358
-5.78389195,1.00826914,0.25819660,0.00000000,0.03488565,0.13266028,0.45349644,0.19645285
-5.77788894,0.97443003,0.25148022,0.00000000,0.03468320,0.12744250,0.43759254,0.18766364
-5.77188594,0.94715480,0.24537318,0.00000000,0.03481153,0.12365259,0.42333017,0.18043679
-5.76588294,0.92704675,0.23998964,0.00000000,0.03527624,0.12140122,0.41100269,0.17489057
-5.75987994,0.91460252,0.23542830,0.00000000,0.03608097,0.12078006,0.40086931,0.17111866
-5.75387694,0.91020225,0.23177073,0.00000000,0.03722712,0.12185997,0.39315133,0.16918848
-5.74787394,0.91410087,0.22907981,0.00000000,0.03871350,0.12468928,0.38802895,0.16913992
-5.74187094,0.92642085,0.22739826,0.00000000,0.04053591,0.12929238,0.38563845,0.17098431
-5.73586793,0.94714640,0.22674745,0.00000000,0.04268664,0.13566857,0.38606998,0.17470383
-5.72986493,0.97611943,0.22712645,0.00000000,0.04515395,0.14379109,0.38936569,0.18025120
-5.72386193,1.01303758,0.22851137,0.00000000,0.04792159,0.15360659,0.39551856,0.18754985
-5.71785893,1.05745493,0.23085526,0.00000000,0.05096842,0.16503489,0.40447175,0.19649448
-5.71185593,1.10878564,0.23408858,0.00000000,0.05426812,0.17796927,0.41611885,0.20695220
-5.70585293,1.16631103,0.23812028,0.00000000,0.05778902,0.19227716,0.43030504,0.21876429
-5.69984992,1.22919065,0.24283982,0.00000000,0.06149427,0.20780158,0.44682937,0.23174853
-5.69384692,1.29647727,0.24811991,0.00000000,0.06534211,0.22436306,0.46544823,0.24570231
-5.68784392,1.36713611,0.25382014,0.00000000,0.06928645,0.24176239,0.48588021,0.26040644
-5.68184092,1.44006806,0.25979145,0.00000000,0.07327772,0.25978389,0.50781225,0.27562956
-5.67583792,1.51413649,0.26588121,0.00000000,0.07726392,0.27819952,0.53090707,0.29113329
-5.66983492,1.58819693,0.27193894,0.00000000,0.08119190,0.29677344,0.55481182,0.30667780
-5.66383192,1.66112882,0.27782223,0.00000000,0.08500882,0.31526712,0.57916756,0.32202779
-5.65782891,1.73186813,0.28340281,0.00000000,0.08866371,0.33344482,0.60361946,0.33695854
-5.65182591,1.79943952,0.28857225,0.00000000,0.09210906,0.35107921,0.62782718,0.35126208
-5.64582291,1.86298664,0.29324722,0.00000000,0.09530242,0.36795702,0.65147504,0.36475281
-5.63981991,1.92179920,0.29737376,0.00000000,0.09820783,0.38388435,0.67428160,0.37727279
-5.63381691,1.97533525,0.30093044,0.00000000,0.10079712,0.39869164,0.69600802,0.38869602
-5.62781391,2.02323746,0.30393014,0.00000000,0.10305090,0.41223780,0.71646482,0.39893180
-5.62181091,2.06534239,0.30642021,0.00000000,0.10495930,0.42441354,0.73551672,0.40792677
-5.61580790,2.10168185,0.30848091,0.00000000,0.10652224,0.43514354,0.75308503,0.41566558
-5.60980490,2.13247601,0.31022221,0.00000000,0.10774938,0.44438742,0.76914756,0.42217002
-5.60380190,2.15811818,0.31177890,0.00000000,0.10865962,0.45213940,0.78373582,0.42749670
-5.59779890,2.17915152,0.31330421,0.00000000,0.10928014,0.45842662,0.79692961,0.43173315
-5.59179590,2.19623873,0.31496217,0.00000000,0.10964517,0.46330609,0.80884913,0.43499269
-5.58579290,2.21012560,0.31691913,0.00000000,0.10979427,0.46686056,0.81964493,0.43740801
-5.57978989,2.22160014,0.31933465,0.00000000,0.10977047,0.46919325,0.82948618,0.43912394
-5.57378689,2.23144903,0.32235232,0.00000000,0.10961814,0.47042183,0.83854777,0.44028958
-5.56778389,2.24041352,0.32609094,0.00000000,0.10938083,0.47067186,0.84699688,0.44105021
-5.56178089,2.24914676,0.33063647,0.00000000,0.10909903,0.47006999,0.85497978,0.44153938
-5.55577789,2.25817483,0.33603515,0.00000000,0.10880817,0.46873735,0.86260950,0.44187147
-5.54977489,2.26786343,0.34228830,0.00000000,0.10853671,0.46678330,0.86995509,0.44213526
-5.54377189,2.27839208,0.34934893,0.00000000,0.10830469,0.46430006,0.87703317,0.44238864
-5.53776888,2.28973725,0.35712057,0.00000000,0.10812253,0.46135832,0.88380217,0.44265491
-5.53176588,2.30166551,0.36545826,0.00000000,0.10799043,0.45800416,0.89015980,0.44292090
-5.52576288,2.31373729,0.37417189,0.00000000,0.10789823,0.45425752,0.89594396,0.44313682
-5.51975988,2.32532122,0.38303167,0.00000000,0.10782573,0.45011214,0.90093707,0.44321816
-5.51375688,2.33561865,0.39177561,0.00000000,0.10774362,0.44553706,0.90487383,0.44304936
-5.50775388,2.34369715,0.40011866,0.00000000,0.10761484,0.44047969,0.90745195,0.44248920
-5.50175088,2.34853162,0.40776315,0.00000000,0.10739633,0.43487010,0.90834554,0.44137760
-5.49574787,2.34905093,0.41440998,0.00000000,0.10704111,0.42862646,0.90722034,0.43954353
-5.48974487,2.34418787,0.41977024,0.00000000,0.10650063,0.42166118,0.90375016,0.43681363
-5.48374187,2.33293002,0.42357654,0.00000000,0.10572712,0.41388759,0.89763365,0.43302105
-5.47773887,2.31436889,0.42559364,0.00000000,0.10467602,0.40522658,0.88861062,0.42801414
-5.47173587,2.28774501,0.42562789,0.00000000,0.10330818,0.39561299,0.87647691,0.42166452
-5.46573287,2.25248681,0.42353499,0.00000000,0.10159185,0.38500135,0.86109729,0.41387412
-5.45972986,2.20824133,0.41922589,0.00000000,0.09950435,0.37337067,0.84241553,0.40458081
-5.45372686,2.15489540,0.41267036,0.00000000,0.09703322,0.36072799,0.82046119,0.39376241
-5.44772386,2.09258640,0.40389832,0.00000000,0.09417698,0.34711062,0.79535300,0.38143896
-5.44172086,2.02170232,0.39299883,0.00000000,0.09094531,0.33258684,0.76729833,0.36767294
-5.43571786,1.94287131,0.38011678,0.00000000,0.08735884,0.31725518,0.73658916,0.35256781
-5.42971486,1.85694140,0.36544761,0.00000000,0.08344833,0.30124227,0.70359462,0.33626468
-5.42371186,1.76495188,0.34923026,0.00000000,0.07925352,0.28469938,0.66875050,0.31893752
-5.41770885,1.66809763,0.33173880,0.00000000,0.07482165,0.26779798,0.63254631,0.30078713
-5.41170585,1.56768861,0.31327303,0.00000000,0.07020569,0.25072444,0.59551054,0.28203421
-5.40570285,1.46510626,0.29414865,0.00000000,0.06546240,0.23367416,0.55819478,0.26291182
-5.39969985,1.36175916,0.27468730,0.00000000,0.06065039,0.21684556,0.52115731,0.24365778
-5.39369685,1.25903962,0.25520689,0.00000000,0.05582819,0.20043399,0.48494710,0.22450718
-5.38769385,1.15828331,0.23601277,0.00000000,0.05105241,0.18462600,0.45008844,0.20568539
-5.38169085,1.06073322,0.21738972,0.00000000,0.04637624,0.16959416,0.41706719,0.18740192
-5.37568784,0.96750923,0.19959533,0.00000000,0.04184802,0.15549250,0.38631866,0.16984519
-5.36968484,0.87958411,0.18285470,0.00000000,0.03751029,0.14245287,0.35821777,0.15317849
-5.36368184,0.79776639,0.16735669,0.00000000,0.03339907,0.13058223,0.33307147,0.13753717
-5.35767884,0.72269027,0.15325165,0.00000000,0.02954351,0.11996085,0.31111367,0.12302698
-5.35167584,0.65481228,0.14065066,0.00000000,0.02596584,0.11064152,0.29250263,0.10972369
-5.34567284,0.59441428,0.12962605,0.00000000,0.02268164,0.10264972,0.27732065,0.09767374
-5.33966983,0.54161206,0.12021334,0.00000000,0.01970031,0.09598453,0.26557614,0.08689586
-5.33366683,0.49636884,0.11241403,0.00000000,0.01702585,0.09062047,0.25720761,0.07738347
-5.32766383,0.45851264,0.10619944,0.00000000,0.01465770,0.08650986,0.25208961,0.06910770
-5.32166083,0.42775664,0.10151523,0.00000000,0.01259174,0.08358577,0.25004015,0.06202088
-5.31565783,0.40372157,0.09828631,0.00000000,0.01082136,0.08176549,0.25082957,0.05606024
-5.30965483,0.38595933,0.09642222,0.00000000,0.00933849,0.08095419,0.25419035,0.05115173
-5.30365183,0.37397695,0.09582258,0.00000000,0.00813466,0.08104888,0.25982780,0.04721386
-5.29764882,0.36726014,0.09638244,0.00000000,0.00720197,0.08194245,0.26743119,0.04416129
-5.29164582,0.36529583,0.09799758,0.00000000,0.00653393,0.08352770,0.27668510,0.04190823
-5.28564282,0.36759307,0.10056939,0.00000000,0.00612620,0.08570125,0.28728062,0.04037144
-5.27963982,0.37370179,0.10400919,0.00000000,0.00597718,0.08836723,0.29892610,0.03947291
-5.27363682,0.38322890,0.10824209,0.00000000,0.00608843,0.09144071,0.31135709,0.03914200
-5.26763382,0.39585151,0.11320995,0.00000000,0.00646491,0.09485064,0.32434513,0.03931719
-5.26163082,0.41132664,0.11887360,0.00000000,0.00711499,0.09854225,0.33770509,0.03994731
-5.25562781,0.42949743,0.12521400,0.00000000,0.00805033,0.10247897,0.35130068,0.04099226
-5.24962481,0.45029545,0.13223246,0.00000000,0.00928555,0.10664349,0.36504790,0.04242328
-5.24362181,0.47373911,0.13994974,0.00000000,0.01083760,0.11103815,0.37891621,0.04422272
-5.23761881,0.49992804,0.14840411,0.00000000,0.01272509,0.11568457,0.39292730,0.04638337
