energy_ev,total_up,Ge_p_up,Ge_d_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-6.00000000,1.24436090,0.04577038,0.00000000,0.82825770,0.00000000,0.50779179,0.14166741
-5.99399700,1.19471498,0.04335208,0.00000000,0.79717638,0.00000000,0.49329608,0.13786824
-5.98799400,1.14885891,0.04103354,0.00000000,0.76854881,0.00000000,0.48079463,0.13454754
-5.98199100,1.10736662,0.03885531,0.00000000,0.74273557,0.00000000,0.47043520,0.13176344
-5.97598799,1.07066285,0.03685299,0.00000000,0.71999711,0.00000000,0.46229978,0.12955589
-5.96998499,1.03901741,0.03505651,0.00000000,0.70049029,0.00000000,0.45640480,0.12794611
-5.96398199,1.01254618,0.03348963,0.00000000,0.68426958,0.00000000,0.45270394,0.12693687
-5.95797899,0.99121878,0.03216974,0.00000000,0.67129289,0.00000000,0.45109351,0.12651364
-5.95197599,0.97487249,0.03110790,0.00000000,0.66143151,0.00000000,0.45142020,0.12664654
-5.94597299,0.96323148,0.03030912,0.00000000,0.65448388,0.00000000,0.45349068,0.12729297
-5.93996998,0.95593051,0.02977290,0.00000000,0.65019213,0.00000000,0.45708286,0.12840082
-5.93396698,0.95254182,0.02949387,0.00000000,0.64826089,0.00000000,0.46195808,0.12991208
-5.92796398,0.95260397,0.02946268,0.00000000,0.64837721,0.00000000,0.46787386,0.13176677
-5.92196098,0.95565131,0.02966698,0.00000000,0.65023083,0.00000000,0.47459641,0.13390686
-5.91595798,0.96124271,0.03009243,0.00000000,0.65353372,0.00000000,0.48191266,0.13628013
-5.90995498,0.96898831,0.03072382,0.00000000,0.65803820,0.00000000,0.48964100,0.13884382
-5.90395198,0.97857330,0.03154616,0.00000000,0.66355268,0.00000000,0.49764042,0.14156781
-5.89794897,0.98977764,0.03254574,0.00000000,0.66995459,0.00000000,0.50581772,0.14443724
-5.89194597,1.00249115,0.03371111,0.00000000,0.67719982,0.00000000,0.51413247,0.14745458
-5.88594297,1.01672340,0.03503399,0.00000000,0.68532861,0.00000000,0.52259957,0.15064090
-5.87993997,1.03260828,0.03651001,0.00000000,0.69446744,0.00000000,0.53128946,0.15403638
-5.87393697,1.05040301,0.03813935,0.00000000,0.70482731,0.00000000,0.54032601,0.15770011
-5.86793397,1.07048219,0.03992714,0.00000000,0.71669829,0.00000000,0.54988228,0.16170909
-5.86193097,1.09332685,0.04188373,0.00000000,0.73044089,0.00000000,0.56017439,0.16615650
-5.85592796,1.11950944,0.04402466,0.00000000,0.74647453,0.00000000,0.57145389,0.17114937
-5.84992496,1.14967518,0.04637055,0.00000000,0.76526377,0.00000000,0.58399897,0.17680568
-5.84392196,1.18452069,0.04894663,0.00000000,0.78730276,0.00000000,0.59810479,0.18325101
-5.83791896,1.22477062,0.05178213,0.00000000,0.81309857,0.00000000,0.61407355,0.19061485
-5.83191596,1.27115311,0.05490948,0.00000000,0.84315393,0.00000000,0.63220436,0.19902668
-5.82591296,1.32437483,0.05836322,0.00000000,0.87795000,0.00000000,0.65278346,0.20861199
-5.81990995,1.38509639,0.06217888,0.00000000,0.91792968,0.00000000,0.67607493,0.21948823
-5.81390695,1.45390867,0.06639160,0.00000000,0.96348180,0.00000000,0.70231210,0.23176101
-5.80790395,1.53131075,0.07103469,0.00000000,1.01492672,0.00000000,0.73168991,0.24552035
-5.80190095,1.61768984,0.07613817,0.00000000,1.07250356,0.00000000,0.76435818,0.26083744
-5.79589795,1.71330357,0.08172721,0.00000000,1.13635921,0.00000000,0.80041590,0.27776159
-5.78989495,1.81826511,0.08782067,0.00000000,1.20653953,0.00000000,0.83990661,0.29631774
-5.78389195,1.93253112,0.09442970,0.00000000,1.28298250,0.00000000,0.88281477,0.31650445
-5.77788894,2.05589288,0.10155643,0.00000000,1.36551368,0.00000000,0.92906312,0.33829237
-5.77188594,2.18797067,0.10919295,0.00000000,1.45384380,0.00000000,0.97851105,0.36162333
-5.76588294,2.32821136,0.11732041,0.00000000,1.54756856,0.00000000,1.03095390,0.38640993
-5.75987994,2.47588948,0.12590848,0.00000000,1.64617055,0.00000000,1.08612325,0.41253575
-5.75387694,2.63011153,0.13491505,0.00000000,1.74902333,0.00000000,1.14368820,0.43985613
-5.74787394,2.78982381,0.14428632,0.00000000,1.85539753,0.00000000,1.20325766,0.46819947
-5.74187094,2.95382349,0.15395721,0.00000000,1.96446898,0.00000000,1.26438375,0.49736916
-5.73586793,3.12077311,0.16385217,0.00000000,2.07532891,0.00000000,1.32656638,0.52714596
-5.72986493,3.28921831,0.17388630,0.00000000,2.18699590,0.00000000,1.38925903,0.55729095
-5.72386193,3.45760873,0.18396680,0.00000000,2.29842991,0.00000000,1.45187590,0.58754895
-5.71785893,3.62432197,0.19399481,0.00000000,2.40854789,0.00000000,1.51380032,0.61765239
-5.71185593,3.78769028,0.20386741,0.00000000,2.51624123,0.00000000,1.57439461,0.64732560
-5.70585293,3.94602978,0.21347990,0.00000000,2.62039452,0.00000000,1.63301121,0.67628948
-5.69984992,4.09767177,0.22272820,0.00000000,2.71990572,0.00000000,1.68900496,0.70426643
-5.69384692,4.24099549,0.23151132,0.00000000,2.81370718,0.00000000,1.74174651,0.73098557
-5.68784392,4.37446192,0.23973390,0.00000000,2.90078728,0.00000000,1.79063644,0.75618798
