energy_ev,total_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,3.48529872,0.02308557,0.00000000,0.01752131,0.55603071,0.02026370,1.66640428,1.90062638,0.79963487
-5.99399700,3.59262997,0.02371057,0.00000000,0.01726928,0.57900332,0.01989875,1.71053554,1.98084702,0.83047242
-5.98799400,3.69178443,0.02428436,0.00000000,0.01697253,0.60043699,0.01948877,1.75097496,2.05658667,0.85924570
-5.98199100,3.78053067,0.02479508,0.00000000,0.01663571,0.61984429,0.01903858,1.78683308,2.12624826,0.88529576
-5.97598799,3.85675620,0.02523108,0.00000000,0.01626310,0.63678856,0.01855282,1.81724094,2.18829628,0.90801710
-5.96998499,3.91854378,0.02558125,0.00000000,0.01585852,0.65090125,0.01803592,1.84138037,2.24131067,0.92687903
-5.96398199,3.96424636,0.02583552,0.00000000,0.01542531,0.66189723,0.01749208,1.85851548,2.28403903,0.94144563
-5.95797899,3.99255680,0.02598524,0.00000000,0.01496636,0.66958764,0.01692532,1.86802376,2.31544501,0.95139301
-5.95197599,4.00256896,0.02602357,0.00000000,0.01448422,0.67388951,0.01633953,1.86942512,2.33475037,0.95652343
-5.94597299,3.99382677,0.02594589,0.00000000,0.01398117,0.67483162,0.01573854,1.86240737,2.34146873,0.95677510
-5.93996998,3.96635839,0.02575009,0.00000000,0.01345938,0.67255630,0.01512628,1.84684651,2.33542917,0.95222745
-5.93396698,3.92069312,0.02543673,0.00000000,0.01292099,0.66731698,0.01450688,1.82282064,2.31678841,0.94310128
-5.92796398,3.85785962,0.02500923,0.00000000,0.01236832,0.65947137,0.01388471,1.79061640,2.28603070,0.92975357
-5.92196098,3.77936488,0.02447379,0.00000000,0.01180396,0.64947058,0.01326456,1.75072750,2.24395518,0.91266725
-5.91595798,3.68715410,0.02383934,0.00000000,0.01123084,0.63784442,0.01265162,1.70384495,2.19165126,0.89243599
-5.90995498,3.58355310,0.02311731,0.00000000,0.01065236,0.62518347,0.01205155,1.65083943,2.13046271,0.86974474
-5.90395198,3.47119511,0.02232125,0.00000000,0.01007237,0.61211852,0.01147046,1.59273638,2.06194219,0.84534657
-5.89794897,3.35293518,0.02146649,0.00000000,0.00949524,0.59929821,0.01091486,1.53068501,1.98779811,0.82003696
-5.89194597,3.23175569,0.02056959,0.00000000,0.00892578,0.58736560,0.01039160,1.46592243,1.90983616,0.79462630
-5.88594297,3.11066703,0.01964784,0.00000000,0.00836922,0.57693476,0.00990778,1.39973481,1.82989792,0.76991191
-5.87993997,2.99260765,0.01871867,0.00000000,0.00783109,0.56856806,0.00947057,1.33341706,1.74979944,0.74665061
-5.87393697,2.88034775,0.01779915,0.00000000,0.00731718,0.56275516,0.00908713,1.26823316,1.67127211,0.72553291
-5.86793397,2.77640065,0.01690540,0.00000000,0.00683337,0.55989458,0.00876444,1.20537851,1.59590844,0.70715997
-5.86193097,2.68294538,0.01605214,0.00000000,0.00638557,0.56027832,0.00850913,1.14594621,1.52511483,0.69202403
-5.85592796,2.60176364,0.01525230,0.00000000,0.00597958,0.56408046,0.00832740,1.09089835,1.46007295,0.68049321
-5.84992496,2.53419317,0.01451665,0.00000000,0.00562101,0.57134997,0.00822482,1.04104351,1.40171132,0.67280118
-5.84392196,2.48109936,0.01385364,0.00000000,0.00531513,0.58200808,0.00820626,0.99702095,1.35068757,0.66904199
-5.83791896,2.44286547,0.01326922,0.00000000,0.00506689,0.59585046,0.00827580,0.95929185,1.30738189,0.66917024
-5.83191596,2.41940124,0.01276684,0.00000000,0.00488073,0.61255397,0.00843661,0.92813758,1.27190137,0.67300648
-5.82591296,2.41016903,0.01234755,0.00000000,0.00476064,0.63168791,0.00869092,0.90366449,1.24409454,0.68024748
-5.81990995,2.41422541,0.01201009,0.00000000,0.00471000,0.65272929,0.00903997,0.88581441,1.22357492,0.69048089
-5.81390695,2.43027593,0.01175121,0.00000000,0.00473162,0.67508147,0.00948391,0.87438017,1.20975222,0.70320361
-5.80790395,2.45673999,0.01156589,0.00000000,0.00482766,0.69809562,0.01002182,0.86902464,1.20186937,0.71784299
-5.80190095,2.49182257,0.01144772,0.00000000,0.00499958,0.72109391,0.01065164,0.86930235,1.19904343,0.73377988
-5.79589795,2.53358929,0.01138920,0.00000000,0.00524809,0.74339372,0.01137011,0.87468227,1.20030845,0.75037264
-5.78989495,2.58004135,0.01138216,0.00000000,0.00557311,0.76433161,0.01217277,0.88457058,1.20465815,0.76698094
-5.78389195,2.62918693,0.01141802,0.00000000,0.00597371,0.78328636,0.01305386,0.89833243,1.21108674,0.78298837
-5.77788894,2.67910624,0.01148816,0.00000000,0.00644801,0.79969980,0.01400627,0.91531159,1.21862598,0.79782296
-5.77188594,2.72800757,0.01158416,0.00000000,0.00699317,0.81309479,0.01502156,0.93484757,1.22637722,0.81097481
-5.76588294,2.77427244,0.01169802,0.00000000,0.00760527,0.82308947,0.01608985,0.95628945,1.23353722,0.82201013
-5.75987994,2.81648868,0.01182234,0.00000000,0.00827929,0.82940730,0.01719987,0.97900656,1.23941709,0.83058114
-5.75387694,2.85347089,0.01195040,0.00000000,0.00900906,0.83188246,0.01833894,1.00239573,1.24345403,0.83643182
-5.74787394,2.88426841,0.01207623,0.00000000,0.00978726,0.83046053,0.01949308,1.02588565,1.24521590,0.83939924
-5.74187094,2.90816172,0.01219465,0.00000000,0.01060540,0.82519458,0.02064706,1.04893866,1.24439899,0.83941077
-5.73586793,2.92464878,0.01230118,0.00000000,0.01145388,0.81623690,0.02178461,1.07105065,1.24081997,0.83647756
-5.72986493,2.93342309,0.01239199,0.00000000,0.01232209,0.80382709,0.02288865,1.09174966,1.23440277,0.83068493
-5.72386193,2.93434594,0.01246387,0.00000000,0.01319853,0.78827705,0.02394152,1.11059404,1.22516185,0.82218020
-5.71785893,2.92741518,0.01251406,0.00000000,0.01407095,0.76995389,0.02492540,1.12717068,1.21318314,0.81115907
