energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-6.00000000,6.51901704,2.31536826,5.07962657,0.00090372,0.08598316,0.48445689,1.16563279,0.32528046,0.00000000
-5.99399700,6.53304917,2.31323107,5.06068966,0.00090140,0.08647206,0.48723921,1.19224699,0.32937872,0.00000000
-5.98799400,6.52948229,2.30467549,5.02911091,0.00089878,0.08681442,0.48944466,1.21450612,0.33254755,0.00000000
-5.98199100,6.50690474,2.28925211,4.98399867,0.00089511,0.08697379,0.49089607,1.23204228,0.33470444,0.00000000
-5.97598799,6.46442109,2.26670520,4.92482916,0.00088971,0.08691972,0.49144575,1.24461000,0.33580228,0.00000000
-5.96998499,6.40167259,2.23697599,4.85145763,0.00088201,0.08662860,0.49097860,1.25209257,0.33583104,0.00000000
-5.96398199,6.31883653,2.20019861,4.76411462,0.00087151,0.08608432,0.48941370,1.25450347,0.33481793,0.00000000
-5.95797899,6.21660538,2.15668915,4.66338803,0.00085788,0.08527850,0.48670441,1.25198275,0.33282592,0.00000000
-5.95197599,6.09614751,2.10692848,4.55019265,0.00084091,0.08421050,0.48283708,1.24478867,0.32995089,0.00000000
-5.94597299,5.95905192,2.05154004,4.42572922,0.00082052,0.08288709,0.47782866,1.23328502,0.32631734,0.00000000
-5.93996998,5.80726061,1.99126345,4.29143546,0.00079679,0.08132189,0.47172335,1.21792481,0.32207314,0.00000000
-5.93396698,5.64299215,1.92692564,4.14893199,0.00076993,0.07953459,0.46458868,1.19923126,0.31738337,0.00000000
-5.92796398,5.46866075,1.85941055,3.99996576,0.00074031,0.07755005,0.45651119,1.17777711,0.31242368,0.00000000
-5.92196098,5.28679479,1.78962904,3.84635402,0.00070840,0.07539726,0.44759214,1.15416337,0.30737351,0.00000000
-5.91595798,5.09995862,1.71849001,3.68993114,0.00067479,0.07310834,0.43794334,1.12899854,0.30240942,0.00000000
-5.90995498,4.91068122,1.64687406,3.53250052,0.00064018,0.07071749,0.42768349,1.10287944,0.29769889,0.00000000
-5.90395198,4.72139432,1.57561052,3.37579339,0.00060537,0.06826004,0.41693498,1.07637453,0.29339479,0.00000000
-5.89794897,4.53438215,1.50545852,3.22143550,0.00057124,0.06577158,0.40582145,1.05001041,0.28963089,0.00000000
-5.89194597,4.35174402,1.43709254,3.07092254,0.00053872,0.06328724,0.39446595,1.02426200,0.28651832,0.00000000
-5.88594297,4.17537014,1.37109267,2.92560412,0.00050886,0.06084109,0.38298982,0.99954672,0.28414333,0.00000000
-5.87993997,4.00693026,1.30793943,2.78667617,0.00048272,0.05846568,0.37151216,0.97622258,0.28256617,0.00000000
-5.87393697,3.84787401,1.24801293,2.65518066,0.00046147,0.05619175,0.36014971,0.95459004,0.28182117,0.00000000
-5.86793397,3.69944124,1.19159588,2.53201153,0.00044631,0.05404799,0.34901709,0.93489703,0.28191787,0.00000000
-5.86193097,3.56268005,1.13887980,2.41792537,0.00043851,0.05206098,0.33822719,0.91734662,0.28284309,0.00000000
-5.85592796,3.43847014,1.08997382,2.31355519,0.00043943,0.05025508,0.32789153,0.90210642,0.28456371,0.00000000
-5.84992496,3.32754871,1.04491527,2.21942565,0.00045047,0.04865248,0.31812052,0.88931903,0.28702997,0.00000000
-5.84392196,3.23053640,1.00368120,2.13596803,0.00047311,0.04727317,0.30902338,0.87911241,0.29017910,0.00000000
-5.83791896,3.14796080,0.96620034,2.06353373,0.00050891,0.04613489,0.30070771,0.87160948,0.29393898,0.00000000
-5.83191596,3.08027536,0.93236462,2.00240479,0.00055947,0.04525312,0.29327862,0.86693615,0.29823176,0.00000000
-5.82591296,3.02787220,0.90203977,1.95280063,0.00062643,0.04464087,0.28683736,0.86522708,0.30297710,0.00000000
-5.81990995,2.99108740,0.87507462,1.91488038,0.00071145,0.04430855,0.28147957,0.86662869,0.30809494,0.00000000
-5.81390695,2.97019842,0.85130860,1.88874049,0.00081619,0.04426371,0.27729297,0.87129916,0.31350775,0.00000000
-5.80790395,2.96541340,0.83057751,1.87440773,0.00094226,0.04451066,0.27435488,0.87940525,0.31914208,0.00000000
-5.80190095,2.97685307,0.81271715,1.87182803,0.00109116,0.04505020,0.27272940,0.89111608,0.32492945,0.00000000
-5.79589795,3.00452625,0.79756517,1.88085190,0.00126425,0.04587918,0.27246449,0.90659408,0.33080655,0.00000000
-5.78989495,3.04830059,0.78496111,1.90121759,0.00146266,0.04699020,0.27358914,0.92598373,0.33671490,0.00000000
-5.78389195,3.10787052,0.77474499,1.93253318,0.00168724,0.04837124,0.27611060,0.94939846,0.34259989,0.00000000
-5.77788894,3.18272465,0.76675470,1.97425912,0.00193848,0.05000542,0.28001200,0.97690658,0.34840948,0.00000000
-5.77188594,3.27211513,0.76082261,2.02569283,0.00221644,0.05187089,0.28525042,1.00851709,0.35409268,0.00000000
-5.76588294,3.37503143,0.75677191,2.08595677,0.00252066,0.05394078,0.29175553,1.04416606,0.35959784,0.00000000
-5.75987994,3.49018097,0.75441288,2.15399165,0.00285013,0.05618336,0.29942889,1.08370446,0.36487109,0.00000000
-5.75387694,3.61597877,0.75353975,2.22855587,0.00320322,0.05856236,0.30814410,1.12688835,0.36985494,0.00000000
-5.74787394,3.75054782,0.75392841,2.30823237,0.00357765,0.06103744,0.31774775,1.17337198,0.37448726,0.00000000
-5.74187094,3.89173163,0.75533525,2.39144343,0.00397044,0.06356488,0.32806133,1.22270452,0.37870070,0.00000000
-5.73586793,4.03711957,0.75749744,2.47647369,0.00437797,0.06609839,0.33888390,1.27433075,0.38242272,0.00000000
