energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Hg_p_up,Hg_d_up,S_s_up,S_p_up
-6.00000000,7.23706137,0.15554227,0.15246493,0.03907487,0.00000000,1.15459166,1.76736457,0.37350656,2.55124266
-5.99399700,7.24802434,0.15225013,0.15448113,0.03963815,0.00000000,1.16994539,1.76229064,0.37511206,2.55892049
-5.98799400,7.24891657,0.14821231,0.15648471,0.04016126,0.00000000,1.18496541,1.75434184,0.37603152,2.56330151
-5.98199100,7.24193680,0.14351274,0.15850210,0.04065010,0.00000000,1.19992892,1.74427927,0.37631190,2.56504427
-5.97598799,7.22930305,0.13824502,0.16055549,0.04111082,0.00000000,1.21509505,1.73287411,0.37600625,2.56481120
-5.96998499,7.21316242,0.13250928,0.16266133,0.04154959,0.00000000,1.23068763,1.72087727,0.37517155,2.56324131
-5.96398199,7.19550432,0.12640890,0.16482883,0.04197232,0.00000000,1.24687939,1.70899009,0.37386644,2.56092400
-5.95797899,7.17808084,0.12004749,0.16705889,0.04238449,0.00000000,1.26377832,1.69783735,0.37214904,2.55837511
-5.95197599,7.16233805,0.11352588,0.16934334,0.04279086,0.00000000,1.28141723,1.68794374,0.37007464,2.55601633
-5.94597299,7.14936113,0.10693965,0.17166459,0.04319535,0.00000000,1.29974692,1.67971494,0.36769373,2.55415887
-5.93996998,7.13983590,0.10037683,0.17399570,0.04360079,0.00000000,1.31863351,1.67342408,0.36505011,2.55299222
-5.93396698,7.13402847,0.09391629,0.17630096,0.04400889,0.00000000,1.33786015,1.66920415,0.36217936,2.55257837
-5.92796398,7.13178389,0.08762646,0.17853684,0.04442006,0.00000000,1.35713308,1.66704672,0.35910767,2.55285187
-5.92196098,7.13254370,0.08156462,0.18065345,0.04483341,0.00000000,1.37609177,1.66680692,0.35585108,2.55362565
-5.91595798,7.13538167,0.07577664,0.18259628,0.04524676,0.00000000,1.39432275,1.66821431,0.35241517,2.55460238
-5.90995498,7.13905572,0.07029720,0.18430832,0.04565664,0.00000000,1.41137632,1.67088920,0.34879527,2.55539076
-5.90395198,7.14207374,0.06515038,0.18573233,0.04605846,0.00000000,1.42678537,1.67436344,0.34497717,2.55552594
-5.89794897,7.14276989,0.06035054,0.18681327,0.04644659,0.00000000,1.44008535,1.67810466,0.34093822,2.55449314
