energy_ev,total_up,Os_p_up,Os_d_up,S_s_up,S_p_up,Sn_p_up,Sn_d_up
-6.00000000,1.34620941,0.31504651,0.81237737,0.00006469,0.08263756,0.43844794,0.00030307
-5.99399700,1.37853256,0.32264197,0.83196097,0.00006903,0.08457214,0.44895327,0.00031053
-5.98799400,1.40182844,0.32813980,0.84611553,0.00007387,0.08593546,0.45651556,0.00031600
-5.98199100,1.41569099,0.33144573,0.85460101,0.00007937,0.08669904,0.46100083,0.00031942
-5.97598799,1.41993626,0.33251790,0.85731197,0.00008576,0.08684740,0.46234738,0.00032075
-5.96998499,1.41461310,0.33136931,0.85428418,0.00009330,0.08637869,0.46056922,0.00032004
-5.96398199,1.40000614,0.32806849,0.84569642,0.00010230,0.08530476,0.45575706,0.00031736
-5.95797899,1.37663089,0.32273834,0.83186763,0.00011312,0.08365089,0.44807664,0.00031286
-5.95197599,1.34522125,0.31555312,0.81324943,0.00012617,0.08145498,0.43776469,0.00030673
-5.94597299,1.30671004,0.30673382,0.79041442,0.00014192,0.07876632,0.42512248,0.00029922
-5.93996998,1.26220339,0.29654205,0.76404075,0.00016085,0.07564407,0.41050753,0.00029060
-5.93396698,1.21295029,0.28527284,0.73489381,0.00018352,0.07215541,0.39432356,0.00028120
-5.92796398,1.16030863,0.27324646,0.70380568,0.00021048,0.06837358,0.37700946,0.00027136
-5.92196098,1.10570915,0.26079987,0.67165349,0.00024233,0.06437576,0.35902737,0.00026144
-5.91595798,1.05061894,0.24827794,0.63933729,0.00027965,0.06024097,0.34085077,0.00025183
-5.90995498,0.99650570,0.23602491,0.60775861,0.00032302,0.05604814,0.32295267,0.00024289
-5.90395198,0.94480430,0.22437631,0.57780020,0.00037300,0.05187423,0.30579456,0.00023499
-5.89794897,0.89688647,0.21365169,0.55030780,0.00043008,0.04779269,0.28981636,0.00022850
-5.89194597,0.85403456,0.20414829,0.52607439,0.00049470,0.04387212,0.27542763,0.00022373
