energy_ev,total_up,Pb_p_up,Pb_d_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,2.25537195,0.02427876,0.00042108,0.86105825,1.38966053,0.12350551,1.15761776
-5.99399700,2.29193547,0.02396890,0.00043033,0.87843380,1.41255049,0.12552742,1.17707935
-5.98799400,2.31969935,0.02352553,0.00043747,0.89219681,1.43006827,0.12693120,1.19196586
-5.98199100,2.33799745,0.02295628,0.00044237,0.90210019,1.44179002,0.12769517,1.20190561
-5.97598799,2.34633219,0.02227102,0.00044494,0.90795800,1.44739133,0.12780797,1.20661884
-5.96998499,2.34437984,0.02148157,0.00044512,0.90964790,1.44665175,0.12726876,1.20592078
-5.96398199,2.33199340,0.02060135,0.00044291,0.90711271,1.43945788,0.12608715,1.19972325
-5.95797899,2.30920307,0.01964505,0.00043834,0.90036095,1.42580506,0.12428290,1.18803464
-5.95197599,2.27621419,0.01862824,0.00043150,0.88946648,1.40579733,0.12188540,1.17095843
-5.94597299,2.23340268,0.01756701,0.00042250,0.87456713,1.37964582,0.11893299,1.14869021
-5.93996998,2.18130799,0.01647762,0.00041150,0.85586231,1.34766535,0.11547205,1.12151317
-5.93396698,2.12062351,0.01537611,0.00039869,0.83360968,1.31026921,0.11155602,1.08979216
-5.92796398,2.05218451,0.01427807,0.00038427,0.80812081,1.26796224,0.10724425,1.05396649
-5.92196098,1.97695379,0.01319833,0.00036851,0.77975597,1.22133203,0.10260076,1.01454134
-5.91595798,1.89600501,0.01215076,0.00035164,0.74891800,1.17103862,0.09769309,0.97207822
-5.90995498,1.81050414,0.01114810,0.00033394,0.71604545,1.11780255,0.09259092,0.92718437
-5.90395198,1.72168908,0.01020182,0.00031568,0.68160502,1.06239177,0.08736490,0.88050141
-5.89794897,1.63084790,0.00932207,0.00029715,0.64608345,1.00560742,0.08208536,0.83269353
-5.89194597,1.53929606,0.00851763,0.00027861,0.60997902,0.94826892,0.07682122,0.78443524
-5.88594297,1.44835303,0.00779592,0.00026033,0.57379283,0.89119859,0.07163886,0.73639910
-5.87993997,1.35931873,0.00716298,0.00024256,0.53801999,0.83520633,0.06660113,0.68924363
-5.87393697,1.27345036,0.00662356,0.00022553,0.50314101,0.78107451,0.06176648,0.64360164
-5.86793397,1.19194000,0.00618112,0.00020946,0.46961346,0.72954350,0.05718815,0.60006916
-5.86193097,1.11589352,0.00583790,0.00019453,0.43786421,0.68129826,0.05291356,0.55919532
-5.85592796,1.04631123,0.00559495,0.00018090,0.40828229,0.63695613,0.04898371,0.52147329
-5.84992496,0.98407063,0.00545218,0.00016870,0.38121271,0.59705622,0.04543279,0.48733244
-5.84392196,0.92991176,0.00540837,0.00015804,0.35695115,0.56205050,0.04228792,0.45713195
-5.83791896,0.88442525,0.00546118,0.00014899,0.33573985,0.53229685,0.03956889,0.43115590
-5.83191596,0.84804347,0.00560715,0.00014157,0.31776458,0.50805415,0.03728822,0.40960987
-5.82591296,0.82103492,0.00584170,0.00013581,0.30315292,0.48947947,0.03545112,0.39261928
-5.81990995,0.80350186,0.00615915,0.00013168,0.29197367,0.47662734,0.03405575,0.38022921
-5.81390695,0.79538138,0.00655267,0.00012912,0.28423749,0.46945120,0.03309346,0.37240583
-5.80790395,0.79644969,0.00701433,0.00012806,0.27989875,0.46780677,0.03254918,0.36903937
-5.80190095,0.80632959,0.00753517,0.00012838,0.27885830,0.47145738,0.03240191,0.36994844
-5.79589795,0.82450095,0.00810517,0.00012997,0.28096727,0.48008100,0.03262527,0.37488566
-5.78989495,0.85031384,0.00871346,0.00013266,0.28603169,0.49327886,0.03318819,0.38354435
-5.78389195,0.88300401,0.00934836,0.00013629,0.29381768,0.51058528,0.03405552,0.39556625
-5.77788894,0.92171031,0.00999762,0.00014069,0.30405722,0.53147867,0.03518887,0.41054988
-5.77188594,0.96549353,0.01064857,0.00014566,0.31645414,0.55539318,0.03654734,0.42805941
-5.76588294,1.01335622,0.01128840,0.00015102,0.33069031,0.58173083,0.03808835,0.44763389
-5.75987994,1.06426286,0.01190440,0.00015656,0.34643181,0.60987378,0.03976840,0.46879639
-5.75387694,1.11715987,0.01248427,0.00016210,0.36333481,0.63919636,0.04154388,0.49106306
-5.74787394,1.17099496,0.01301636,0.00016747,0.38105128,0.66907659,0.04337177,0.51395168
-5.74187094,1.22473520,0.01348999,0.00017248,0.39923413,0.69890699,0.04521035,0.53698962
-5.73586793,1.27738361,0.01389570,0.00017700,0.41754191,0.72810422,0.04701978,0.55972106
-5.72986493,1.32799369,0.01422548,0.00018087,0.43564293,0.75611763,0.04876267,0.58171322
-5.72386193,1.37568187,0.01447299,0.00018400,0.45321884,0.78243641,0.05040446,0.60256170
-5.71785893,1.41963762,0.01463364,0.00018628,0.46996763,0.80659532,0.05191381,0.62189476
-5.71185593,1.45913135,0.01470477,0.00018766,0.48560620,0.82817904,0.05326284,0.63937661
-5.70585293,1.49352015,0.01468558,0.00018808,0.49987245,0.84682524,0.05442731,0.65470984
-5.69984992,1.52225158,0.01457716,0.00018753,0.51252714,0.86222638,0.05538671,0.66763701
-5.69384692,1.54486589,0.01438238,0.00018601,0.52335554,0.87413054,0.05612426,0.67794157
-5.68784392,1.56099687,0.01410573,0.00018355,0.53216886,0.88234142,0.05662692,0.68544826
-5.68184092,1.57037171,0.01375314,0.00018018,0.53880579,0.88671771,0.05688531,0.69002314
-5.67583792,1.57281021,0.01333175,0.00017596,0.54313391,0.88717200,0.05689359,0.69157338
-5.66983492,1.56822349,0.01284962,0.00017098,0.54505123,0.88366949,0.05664940,0.69004681
-5.66383192,1.55661254,0.01231553,0.00016530,0.54448764,0.87622642,0.05615369,0.68543150
-5.65782891,1.53806636,0.01173865,0.00015901,0.54140635,0.86490851,0.05541059,0.67775520
-5.65182591,1.51276012,0.01112828,0.00015222,0.53580512,0.84982924,0.05442732,0.66708465
-5.64582291,1.48095275,0.01049366,0.00014502,0.52771729,0.83114804,0.05321399,0.65352482
-5.63981991,1.44298419,0.00984369,0.00013750,0.51721225,0.80906826,0.05178349,0.63721786
-5.63381691,1.39927181,0.00918676,0.00012976,0.50439554,0.78383477,0.05015126,0.61834169
-5.62781391,1.35030591,0.00853065,0.00012188,0.48940811,0.75573120,0.04833515,0.59710818
-5.62181091,1.29664406,0.00788235,0.00011396,0.47242494,0.72507661,0.04635509,0.57376073
-5.61580790,1.23890415,0.00724803,0.00010606,0.45365274,0.69222149,0.04423290,0.54857130
-5.60980490,1.17775608,0.00663298,0.00009825,0.43332690,0.65754313,0.04199188,0.52183676
-5.60380190,1.11391212,0.00604162,0.00009061,0.41170759,0.62144037,0.03965646,0.49387463
-5.59779890,1.04811610,0.00547750,0.00008318,0.38907522,0.58432771,0.03725180,0.46501836
-5.59179590,0.98113171,0.00494337,0.00007601,0.36572535,0.54662902,0.03480332,0.43561203
