energy_ev,total_up,N_s_up,N_p_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,1.90399412,0.01572811,0.07023380,0.28779534,1.14327400,0.43245998,0.00000000,0.53465577,0.05884975
-5.99399700,1.95293622,0.01757550,0.07632750,0.29533215,1.12221379,0.46757407,0.00000000,0.58142024,0.06368272
-5.98799400,2.00704092,0.01950324,0.08279365,0.30398261,1.10365948,0.50445790,0.00000000,0.62928122,0.06866186
-5.98199100,2.06576341,0.02149098,0.08955310,0.31363509,1.08794748,0.54272491,0.00000000,0.67761513,0.07372391
-5.97598799,2.12836551,0.02351487,0.09651337,0.32413738,1.07532493,0.58192876,0.00000000,0.72573817,0.07879830
-5.96998499,2.19394136,0.02554791,0.10357057,0.33530100,1.06595344,0.62157381,0.00000000,0.77292181,0.08380866
-5.96398199,2.26145110,0.02756050,0.11061175,0.34690713,1.05991669,0.66112806,0.00000000,0.81841092,0.08867473
-5.95797899,2.32976118,0.02952102,0.11751783,0.35871387,1.05723098,0.70003815,0.00000000,0.86144410,0.09331446
-5.95197599,2.39768907,0.03139670,0.12416685,0.37046466,1.05785774,0.73774589,0.00000000,0.90127536,0.09764635
-5.94597299,2.46405023,0.03315444,0.13043747,0.38189731,1.06171707,0.77370549,0.00000000,0.93719631,0.10159187
-5.93996998,2.52770463,0.03476182,0.13621259,0.39275338,1.06870096,0.80740081,0.00000000,0.96855801,0.10507784
-5.93396698,2.58760058,0.03618804,0.14138298,0.40278736,1.07868518,0.83836182,0.00000000,0.99479156,0.10803879
-5.92796398,2.64281315,0.03740495,0.14585065,0.41177526,1.09153889,0.86617938,0.00000000,1.01542634,0.11041904
-5.92196098,2.69257520,0.03838793,0.14953201,0.41952224,1.10713111,0.89051768,0.00000000,1.03010520,0.11217449
-5.91595798,2.73629933,0.03911677,0.15236037,0.42586869,1.12533361,0.91112361,0.00000000,1.03859585,0.11327406
-5.90995498,2.77358940,0.03957634,0.15428802,0.43069485,1.14601982,0.92783260,0.00000000,1.04079780,0.11370063
-5.90395198,2.80424123,0.03975710,0.15528752,0.43392334,1.16906004,0.94057057,0.00000000,1.03674465,0.11345149
-5.89794897,2.82823244,0.03965549,0.15535223,0.43551985,1.19431317,0.94935198,0.00000000,1.02660142,0.11253829
-5.89194597,2.84570243,0.03927402,0.15449611,0.43549179,1.22161579,0.95427400,0.00000000,1.01065724,0.11098642
-5.88594297,2.85692360,0.03862115,0.15275272,0.43388515,1.25076947,0.95550719,0.00000000,0.98931360,0.10883394
-5.87993997,2.86226620,0.03771104,0.15017356,0.43077971,1.28152752,0.95328331,0.00000000,0.96306888,0.10613006
-5.87393697,2.86215885,0.03656301,0.14682574,0.42628298,1.31358236,0.94788083,0.00000000,0.93249977,0.10293328
-5.86793397,2.85704758,0.03520085,0.14278925,0.42052322,1.34655489,0.93960920,0.00000000,0.89824062,0.09930922
-5.86193097,2.84735622,0.03365205,0.13815377,0.41364205,1.37998700,0.92879265,0.00000000,0.86096157,0.09532836
-5.85592796,2.83345058,0.03194682,0.13301544,0.40578691,1.41333830,0.91575446,0.00000000,0.82134669,0.09106362
-5.84992496,2.81560901,0.03011717,0.12747346,0.39710401,1.44598786,0.90080275,0.00000000,0.78007278,0.08658813
-5.84392196,2.79400112,0.02819588,0.12162694,0.38773202,1.47724148,0.88421831,0.00000000,0.73779011,0.08197305
-5.83791896,2.76867618,0.02621557,0.11557195,0.37779687,1.50634447,0.86624536,0.00000000,0.69510549,0.07728567
-5.83191596,2.73956168,0.02420776,0.10939902,0.36740787,1.53249995,0.84708549,0.00000000,0.65256854,0.07258780
-5.82591296,2.70647229,0.02220214,0.10319107,0.35665529,1.55489175,0.82689494,0.00000000,0.61066142,0.06793457
-5.81990995,2.66912830,0.02022582,0.09702192,0.34560951,1.57271103,0.80578545,0.00000000,0.56979219,0.06337354
-5.81390695,2.62718231,0.01830286,0.09095534,0.33432153,1.58518546,0.78382811,0.00000000,0.53029184,0.05894426
-5.80790395,2.58025227,0.01645390,0.08504467,0.32282483,1.59160925,0.76106001,0.00000000,0.49241471,0.05467814
-5.80190095,2.52795857,0.01469588,0.07933294,0.31113824,1.59137257,0.73749302,0.00000000,0.45634203,0.05059872
-5.79589795,2.46996268,0.01304206,0.07385344,0.29926969,1.58398881,0.71312390,0.00000000,0.42218794,0.04672219
-5.78989495,2.40600484,0.01150198,0.06863070,0.28722028,1.56911796,0.68794518,0.00000000,0.39000753,0.04305812
-5.78389195,2.33593824,0.01008174,0.06368170,0.27498860,1.54658500,0.66195580,0.00000000,0.35980617,0.03961038
-5.77788894,2.25975767,0.00878421,0.05901727,0.26257482,1.51639207,0.63517108,0.00000000,0.33154958,0.03637817
-5.77188594,2.17762088,0.00760943,0.05464358,0.24998439,1.47872392,0.60763103,0.00000000,0.30517401,0.03335700
-5.76588294,2.08986135,0.00655496,0.05056360,0.23723096,1.43394616,0.57940691,0.00000000,0.28059592,0.03053976
-5.75987994,1.99699190,0.00561637,0.04677847,0.22433860,1.38259638,0.55060541,0.00000000,0.25772090,0.02791762
-5.75387694,1.89969909,0.00478760,0.04328875,0.21134300,1.32536880,0.52137036,0.00000000,0.23645133,0.02548086
-5.74787394,1.79882894,0.00406145,0.04009535,0.19829177,1.26309297,0.49188210,0.00000000,0.21669263,0.02321958
-5.74187094,1.69536484,0.00342992,0.03720039,0.18524381,1.19670786,0.46235440,0.00000000,0.19835800,0.02112421
-5.73586793,1.59039926,0.00288459,0.03460760,0.17226798,1.12723253,0.43302949,0.00000000,0.18137164,0.01918595
-5.72986493,1.48510086,0.00241693,0.03232270,0.15944101,1.05573471,0.40417138,0.00000000,0.16567052,0.01739695
-5.72386193,1.38067879,0.00201853,0.03035331,0.14684500,0.98329896,0.37605803,0.00000000,0.15120488,0.01575051
-5.71785893,1.27834625,0.00168133,0.02870885,0.13456473,0.91099563,0.34897281,0.00000000,0.13793761,0.01424104
-5.71185593,1.17928495,0.00139780,0.02740012,0.12268481,0.83985195,0.32319584,0.00000000,0.12584288,0.01286399
-5.70585293,1.08461229,0.00116100,0.02643881,0.11128700,0.77082637,0.29899547,0.00000000,0.11490417,0.01161576
-5.69984992,0.99535240,0.00096470,0.02583692,0.10044785,0.70478695,0.27662057,0.00000000,0.10511186,0.01049348
-5.69384692,0.91241238,0.00080338,0.02560610,0.09023672,0.64249439,0.25629374,0.00000000,0.09646094,0.00949490
-5.68784392,0.83656420,0.00067230,0.02575699,0.08071437,0.58459006,0.23820587,0.00000000,0.08894855,0.00861817
-5.68184092,0.76843275,0.00056743,0.02629860,0.07193210,0.53158906,0.22251213,0.00000000,0.08257204,0.00786168
-5.67583792,0.70849017,0.00048547,0.02723774,0.06393147,0.48387816,0.20932950,0.00000000,0.07732719,0.00722401
-5.66983492,0.65705593,0.00042377,0.02857857,0.05674459,0.44171817,0.19873586,0.00000000,0.07320706,0.00670380
-5.66383192,0.61430252,0.00038034,0.03032224,0.05039501,0.40525036,0.19077058,0.00000000,0.07020122,0.00629972
-5.65782891,0.58026574,0.00035379,0.03246669,0.04489885,0.37450613,0.18543650,0.00000000,0.06829554,0.00601048
-5.65182591,0.55485895,0.00034324,0.03500661,0.04026646,0.34941931,0.18270304,0.00000000,0.06747247,0.00583489
-5.64582291,0.53789025,0.00034834,0.03793348,0.03650419,0.32984034,0.18251037,0.00000000,0.06771162,0.00577186
-5.63981991,0.52908166,0.00036916,0.04123583,0.03361620,0.31555153,0.18477433,0.00000000,0.06899082,0.00582054
-5.63381691,0.52808930,0.00040621,0.04489958,0.03160636,0.30628283,0.18939183,0.00000000,0.07128727,0.00598038
-5.62781391,0.53452359,0.00046032,0.04890849,0.03047987,0.30172727,0.19624642,0.00000000,0.07457887,0.00625119
-5.62181091,0.54796862,0.00053262,0.05324461,0.03024469,0.30155567,0.20521393,0.00000000,0.07884550,0.00663320
-5.61580790,0.56799978,0.00062450,0.05788887,0.03091255,0.30543001,0.21616769,0.00000000,0.08407018,0.00712711
-5.60980490,0.59419896,0.00073751,0.06282149,0.03249956,0.31301508,0.22898321,0.00000000,0.09023994,0.00773401
-5.60380190,0.62616663,0.00087331,0.06802243,0.03502631,0.32398802,0.24354204,0.00000000,0.09734633,0.00845538
-5.59779890,0.66353035,0.00103358,0.07347161,0.03851734,0.33804559,0.25973456,0.00000000,0.10538539,0.00929293
-5.59179590,0.70594929,0.00121995,0.07914907,0.04300014,0.35490897,0.27746155,0.00000000,0.11435715,0.01024839
-5.58579290,0.75311456,0.00143387,0.08503481,0.04850357,0.37432594,0.29663449,0.00000000,0.12426441,0.01132330
-5.57978989,0.80474537,0.00167655,0.09110848,0.05505568,0.39607061,0.31717434,0.00000000,0.13511092,0.01251871
-5.57378689,0.86058120,0.00194881,0.09734881,0.06268118,0.41994077,0.33900900,0.00000000,0.14689896,0.01383479
-5.56778389,0.92037031,0.00225103,0.10373284,0.07139843,0.44575302,0.36206942,0.00000000,0.15962635,0.01527049
-5.56178089,0.98385525,0.00258298,0.11023493,0.08121620,0.47333612,0.38628455,0.00000000,0.17328294,0.01682310
-5.55577789,1.05075619,0.00294377,0.11682577,0.09213032,0.50252288,0.41157544,0.00000000,0.18784688,0.01848786
-5.54977489,1.12075304,0.00333175,0.12347118,0.10412031,0.53314117,0.43784873,0.00000000,0.20328073,0.02025760
-5.54377189,1.19346747,0.00374447,0.13013112,0.11714622,0.56500454,0.46499003,0.00000000,0.21952761,0.02212238
-5.53776888,1.26844607,0.00417861,0.13675873,0.13114582,0.59790314,0.49285748,0.00000000,0.23650778,0.02406922
-5.53176588,1.34514601,0.00462998,0.14329970,0.14603237,0.63159549,0.52127617,0.00000000,0.25411575,0.02608197
-5.52576288,1.42292421,0.00509357,0.14969191,0.16169304,0.66580179,0.55003371,0.00000000,0.27221816,0.02814125
-5.51975988,1.50103129,0.00556356,0.15586559,0.17798824,0.70019923,0.57887743,0.00000000,0.29065281,0.03022452
-5.51375688,1.57861116,0.00603345,0.16174389,0.19475192,0.73441988,0.60751358,0.00000000,0.30922887,0.03230634
-5.50775388,1.65470673,0.00649616,0.16724403,0.21179292,0.76805137,0.63560886,0.00000000,0.32772840,0.03435871
-5.50175088,1.72827229,0.00694422,0.17227892,0.22889743,0.80064075,0.66279431,0.00000000,0.34590936,0.03635165
-5.49574787,1.79819223,0.00736996,0.17675930,0.24583260,0.83170131,0.68867164,0.00000000,0.36351001,0.03825383
-5.48974487,1.86330576,0.00776568,0.18059635,0.26235106,0.86072242,0.71282191,0.00000000,0.38025464,0.04003335
-5.48374187,1.92243683,0.00812394,0.18370449,0.27819654,0.88718193,0.73481622,0.00000000,0.39586037,0.04165860
-5.47773887,1.97442792,0.00843772,0.18600449,0.29311003,0.91056067,0.75422799,0.00000000,0.41004501,0.04309920
-5.47173587,2.01817630,0.00870073,0.18742655,0.30683665,0.93035837,0.77064637,0.00000000,0.42253535,0.04432693
-5.46573287,2.05267110,0.00890752,0.18791325,0.31913268,0.94611030,0.78369012,0.00000000,0.43307580,0.04531660
-5.45972986,2.07702933,0.00905376,0.18742221,0.32977261,0.95740374,0.79302129,0.00000000,0.44143687,0.04604695
-5.45372686,2.09052906,0.00913633,0.18592837,0.33855598,0.96389346,0.79835803,0.00000000,0.44742306,0.04650134
-5.44772386,2.09263807,0.00915346,0.18342557,0.34531348,0.96531551,0.79948587,0.00000000,0.45087991,0.04666835
-5.44172086,2.08303650,0.00910478,0.17992755,0.34991237,0.96149834,0.79626694,0.00000000,0.45169973,0.04654222
-5.43571786,2.06163231,0.00899134,0.17546819,0.35226067,0.95237103,0.78864655,0.00000000,0.44982591,0.04612305
-5.42971486,2.02856866,0.00881556,0.17010096,0.35231021,0.93796779,0.77665692,0.00000000,0.44525533,0.04541687
-5.42371186,1.98422289,0.00858116,0.16389762,0.35005816,0.91842879,0.76041767,0.00000000,0.43803911,0.04443543
-5.41770885,1.92919719,0.00829303,0.15694626,0.34554713,0.89399717,0.74013336,0.00000000,0.42828133,0.04319584
-5.41170585,1.86430125,0.00795705,0.14934872,0.33886384,0.86501229,0.71608778,0.00000000,0.41613600,0.04172002
-5.40570285,1.79052790,0.00757989,0.14121758,0.33013630,0.83189971,0.68863570,0.00000000,0.40180239,0.04003402
-5.39969985,1.70902293,0.00716881,0.13267274,0.31952980,0.79515823,0.65819222,0.00000000,0.38551892,0.03816720
-5.39369685,1.62105041,0.00673141,0.12383800,0.30724171,0.75534485,0.62522029,0.00000000,0.36755592,0.03615134
-5.38769385,1.52795533,0.00627540,0.11483750,0.29349556,0.71305801,0.59021710,0.00000000,0.34820758,0.03401969
-5.38169085,1.43112501,0.00580842,0.10579237,0.27853440,0.66892025,0.55369978,0.00000000,0.32778361,0.03180607
-5.37568784,1.33195108,0.00533776,0.09681770,0.26261394,0.62356074,0.51619125,0.00000000,0.30660065,0.02954396
-5.36968484,1.23179362,0.00487028,0.08801993,0.24599559,0.57759858,0.47820658,0.00000000,0.28497419,0.02726568
-5.36368184,1.13194861,0.00441219,0.07949466,0.22893985,0.53162740,0.44024054,0.00000000,0.26321101,0.02500168
-5.35767884,1.03361992,0.00396897,0.07132514,0.21170009,0.48620188,0.40275676,0.00000000,0.24160252,0.02277991
-5.35167584,0.93789672,0.00354529,0.06358122,0.19451710,0.44182655,0.36617878,0.00000000,0.22041929,0.02062543
-5.34567284,0.84573661,0.00314496,0.05631897,0.17761450,0.39894711,0.33088321,0.00000000,0.19990680,0.01855999
-5.33966983,0.75795482,0.00277096,0.04958080,0.16119512,0.35794451,0.29719519,0.00000000,0.18028252,0.01660196
-5.33366683,0.67521934,0.00242543,0.04339608,0.14543847,0.31913169,0.26538602,0.00000000,0.16173434,0.01476623
-5.32766383,0.59805156,0.00210972,0.03778211,0.13049920,0.28275287,0.23567297,0.00000000,0.14442038,0.01306431
-5.32166083,0.52683193,0.00182452,0.03274553,0.11650667,0.24898526,0.20822098,0.00000000,0.12846987,0.01150455
-5.31565783,0.46180993,0.00156985,0.02828387,0.10356541,0.21794277,0.18314602,0.00000000,0.11398515,0.01009241
-5.30965483,0.40311732,0.00134528,0.02438726,0.09175634,0.18968150,0.16051985,0.00000000,0.10104444,0.00883081
-5.30365183,0.35078401,0.00114991,0.02104020,0.08113880,0.16420641,0.14037575,0.00000000,0.08970532,0.00772054
-5.29764882,0.30475552,0.00098257,0.01822334,0.07175293,0.14147913,0.12271497,0.00000000,0.08000850,0.00676067
-5.29164582,0.26491112,0.00084187,0.01591505,0.06362249,0.12142616,0.10751346,0.00000000,0.07198190,0.00594897
-5.28564282,0.23108204,0.00072629,0.01409294,0.05675774,0.10394735,0.09472866,0.00000000,0.06564456,0.00528233
-5.27963982,0.20306885,0.00063428,0.01273517,0.05115841,0.08892431,0.08430600,0.00000000,0.06101042,0.00475710
-5.27363682,0.18065762,0.00056431,0.01182146,0.04681641,0.07622843,0.07618493,0.00000000,0.05809163,0.00436941
-5.26763382,0.16363438,0.00051492,0.01133393,0.04371829,0.06572844,0.07030426,0.00000000,0.05690140,0.00411548
-5.26163082,0.15179750,0.00048478,0.01125767,0.04184732,0.05729718,0.06660670,0.00000000,0.05745615,0.00399177
-5.25562781,0.14496798,0.00047268,0.01158108,0.04118509,0.05081770,0.06504246,0.00000000,0.05977703,0.00399518
