energy_ev,total_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up,Si_p_up,Si_d_up
-6.00000000,2.57383209,0.99050210,1.40756657,0.02971384,0.51401723,0.65346110,0.00000000
-5.99399700,2.78194524,1.06894700,1.51186125,0.03131098,0.56714908,0.68812074,0.00000000
-5.98799400,3.01770668,1.16137985,1.62961405,0.03332176,0.62618542,0.72892265,0.00000000
-5.98199100,3.28101524,1.26775435,1.76077630,0.03573857,0.69113389,0.77580733,0.00000000
-5.97598799,3.57142803,1.38782186,1.90516164,0.03854762,0.76191669,0.82866038,0.00000000
-5.96998499,3.88813865,1.52112213,2.06243872,0.04172890,0.83836144,0.88731289,0.00000000
-5.96398199,4.22995696,1.66697683,2.23212305,0.04525646,0.92019292,0.95154074,0.00000000
-5.95797899,4.59529181,1.82448668,2.41356882,0.04909867,1.00702612,1.02106308,0.00000000
-5.95197599,4.98213850,1.99253308,2.60596102,0.05321859,1.09836129,1.09553996,0.00000000
-5.94597299,5.38807288,2.16978480,2.80830905,0.05757446,1.19358136,1.17456960,0.00000000
-5.93996998,5.81025391,2.35471058,3.01944266,0.06212035,1.29195255,1.25768541,0.00000000
-5.93396698,6.24543649,2.54559785,3.23801107,0.06680683,1.39262829,1.34435345,0.00000000
-5.92796398,6.68999586,2.74057792,3.46248642,0.07158181,1.49465706,1.43397056,0.00000000
-5.92196098,7.13996472,2.93765719,3.69117231,0.07639136,1.59699424,1.52586384,0.00000000
-5.91595798,7.59108350,3.13475435,3.92221791,0.08118066,1.69851797,1.61929164,0.00000000
-5.90995498,8.03886365,3.32974231,4.15363829,0.08589491,1.79804904,1.71344676,0.00000000
-5.90395198,8.47866326,3.52049418,4.38334096,0.09048030,1.89437416,1.80746179,0.00000000
-5.89794897,8.90577354,3.70493172,4.60915850,0.09488484,1.98627239,1.90041715,0.00000000
-5.89194597,9.31551420,3.88107492,4.82888681,0.09905923,2.07254376,1.99135162,0.00000000
-5.88594297,9.70333523,4.04709093,5.04032818,0.10295754,2.15203938,2.07927545,0.00000000
-5.87993997,10.06492194,4.20134072,5.24133815,0.10653788,2.22369187,2.16318590,0.00000000
-5.87393697,10.39630010,4.34242187,5.42987483,0.10976287,2.28654522,2.24208481,0.00000000
-5.86793397,10.69393762,4.46920585,5.60404908,0.11260001,2.33978286,2.31499791,0.00000000
-5.86193097,10.95483909,4.58086852,5.76217405,0.11502199,2.38275285,2.38099526,0.00000000
-5.85592796,11.17662990,4.67691266,5.90281209,0.11700677,2.41498931,2.43921223,0.00000000
-5.84992496,11.35762657,4.75718168,6.02481730,0.11853770,2.43622905,2.48887032,0.00000000
-5.84392196,11.49689032,4.82186385,6.12737204,0.11960343,2.44642276,2.52929718,0.00000000
-5.83791896,11.59426162,4.87148696,6.21001545,0.12019786,2.44574017,2.55994488,0.00000000
-5.83191596,11.65037359,4.90690309,6.27266285,0.12032001,2.43456884,2.58040592,0.00000000
-5.82591296,11.66664321,4.92926414,6.31561439,0.11997382,2.41350652,2.59042608,0.00000000
-5.81990995,11.64523954,4.93998840,6.33955228,0.11916798,2.38334719,2.58991357,0.00000000
-5.81390695,11.58902935,4.94071907,6.34552590,0.11791573,2.34506100,2.57894404,0.00000000
-5.80790395,11.50150099,4.93327583,6.33492468,0.11623462,2.29976897,2.55776085,0.00000000
-5.80190095,11.38666822,4.91960054,6.30943908,0.11414629,2.24871290,2.52677066,0.00000000
-5.79589795,11.24895663,4.90169872,6.27101061,0.11167615,2.19322163,2.48653419,0.00000000
-5.78989495,11.09307583,4.88157815,6.22177205,0.10885310,2.13467456,2.43775234,0.00000000
-5.78389195,10.92388126,4.86118666,6.16397991,0.10570915,2.07446378,2.38124810,0.00000000
-5.77788894,10.74623026,4.84235062,6.09994129,0.10227899,2.01395585,2.31794496,0.00000000
-5.77188594,10.56483703,4.82671642,6.03193782,0.09859954,1.95445459,2.24884237,0.00000000
-5.76588294,10.38413199,4.81569658,5.96214964,0.09470939,1.89716606,2.17498939,0.00000000
-5.75987994,10.20813029,4.81042266,5.89258246,0.09064821,1.84316688,2.09745750,0.00000000
-5.75387694,10.04031497,4.81170661,5.82500082,0.08645615,1.79337703,2.01731357,0.00000000
-5.74787394,9.88353908,4.82001232,5.76087036,0.08217318,1.74853790,1.93559420,0.00000000
-5.74187094,9.73995095,4.83543861,5.70131196,0.07783843,1.70919650,1.85328230,0.00000000
-5.73586793,9.61094581,4.85771465,5.64706960,0.07348963,1.67569627,1.77128694,0.00000000
-5.72986493,9.49714592,4.88620847,5.59849381,0.06916251,1.64817480,1.69042706,0.00000000
-5.72386193,9.39841020,4.91994852,5.55554144,0.06489032,1.62656862,1.61141968,0.00000000
-5.71785893,9.31387330,4.95765786,5.51779200,0.06070342,1.61062475,1.53487283,0.00000000
-5.71185593,9.24201241,4.99779994,5.48447985,0.05662903,1.59991873,1.46128324,0.00000000
-5.70585293,9.18073933,5.03863455,5.45454105,0.05269104,1.59387835,1.39103867,0.00000000
-5.69984992,9.12751387,5.07828179,5.42667262,0.04890994,1.59181218,1.32442444,0.00000000
-5.69384692,9.07947383,5.11479182,5.39940173,0.04530293,1.59294200,1.26163350,0.00000000
-5.68784392,9.03357621,5.14621764,5.37116181,0.04188401,1.59643764,1.20277951,0.00000000
-5.68184092,8.98674359,5.17068807,5.34037200,0.03866429,1.60145316,1.14791184,0.00000000
