energy_ev,total_up,Pb_p_up,Pb_d_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,3.06458022,0.36568888,0.00067884,0.09864399,1.78150752,1.39155507,0.98385415
-5.99399700,3.23364648,0.38107038,0.00071096,0.10465883,1.88712085,1.47710260,1.04600114
-5.98799400,3.39805660,0.39499078,0.00074163,0.11039991,1.99157597,1.56031861,1.10771319
-5.98199100,3.55674279,0.40731321,0.00077072,0.11579275,2.09430492,1.64036337,1.16860726
-5.97598799,3.70873284,0.41793337,0.00079814,0.12076705,2.19476118,1.71642664,1.22830567
-5.96998499,3.85315822,0.42678164,0.00082384,0.12525856,2.29242069,1.78774649,1.28643868
-5.96398199,3.98925717,0.43382356,0.00084782,0.12921074,2.38678115,1.85362750,1.34264622
-5.95797899,4.11637296,0.43905907,0.00087011,0.13257632,2.47735966,1.91345771,1.39657884
-5.95197599,4.23394797,0.44252037,0.00089074,0.13531848,2.56368930,1.96672367,1.44789802
-5.94597299,4.34151424,0.44426855,0.00090981,0.13741180,2.64531500,2.01302324,1.49627609
-5.93996998,4.43868172,0.44438922,0.00092738,0.13884289,2.72178956,2.05207575,1.54139589
-5.93396698,4.52512546,0.44298742,0.00094355,0.13961067,2.79267025,2.08372914,1.58295069
-5.92796398,4.60057298,0.44018211,0.00095839,0.13972625,2.85751680,2.10796405,1.62064450
-5.92196098,4.66479340,0.43610044,0.00097199,0.13921259,2.91589151,2.12489475,1.65419318
-5.91595798,4.71758942,0.43087233,0.00098438,0.13810378,2.96736174,2.13476707,1.68332655
-5.90995498,4.75879321,0.42462549,0.00099562,0.13644414,3.01150548,2.13795343,1.70779185
-5.90395198,4.78826718,0.41748113,0.00100572,0.13428706,3.04791995,2.13494532,1.72735846
-5.89794897,4.80590971,0.40955071,0.00101468,0.13169371,3.07623336,2.12634347,1.74182407
-5.89194597,4.81166603,0.40093374,0.00102247,0.12873163,3.09611938,2.11284608,1.75102204
-5.88594297,4.80554367,0.39171665,0.00102909,0.12547331,3.10731392,2.09523541,1.75482982
-5.87993997,4.78763149,0.38197290,0.00103451,0.12199466,3.10963333,2.07436309,1.75317795
-5.87393697,4.75812107,0.37176398,0.00103871,0.11837363,3.10299310,2.05113432,1.74605918
-5.86793397,4.71732875,0.36114137,0.00104170,0.11468878,3.08742583,2.02649132,1.73353718
-5.86193097,4.66571644,0.35014911,0.00104352,0.11101798,3.06309734,2.00139600,1.71575410
-5.85592796,4.60390935,0.33882683,0.00104424,0.10743716,3.03031952,1.97681222,1.69293652
-5.84992496,4.53270869,0.32721285,0.00104398,0.10401913,2.98955902,1.95368765,1.66539905
-5.84392196,4.45309778,0.31534722,0.00104292,0.10083257,2.94144051,1.93293532,1.63354507
-5.83791896,4.36624018,0.30327444,0.00104126,0.09794099,2.88674394,1.91541526,1.59786438
-5.83191596,4.27346902,0.29104553,0.00103930,0.09540186,2.82639535,1.90191619,1.55892727
-5.82591296,4.17626718,0.27871951,0.00103734,0.09326574,2.76145110,1.89313783,1.51737525
-5.81990995,4.07623869,0.26636392,0.00103577,0.09157553,2.69307584,1.88967402,1.47390837
-5.81390695,3.97507195,0.25405464,0.00103498,0.09036581,2.62251491,1.89199727,1.42926959
-5.80790395,3.87449642,0.24187476,0.00103538,0.08966218,2.55106213,1.90044511,1.38422674
-5.80190095,3.77623436,0.22991276,0.00103739,0.08948081,2.48002428,1.91520894,1.33955261
-5.79589795,3.68194991,0.21826010,0.00104142,0.08982801,2.41068381,1.93632578,1.29600423
-5.78989495,3.59319782,0.20700821,0.00104785,0.09069998,2.34426126,1.96367347,1.25430185
-5.78389195,3.51137425,0.19624542,0.00105701,0.09208273,2.28187910,1.99696971,1.21510882
-5.77788894,3.43767183,0.18605364,0.00106916,0.09395209,2.22452856,2.03577520,1.17901296
-5.77188594,3.37304125,0.17650526,0.00108451,0.09627401,2.17304064,2.07950097,1.14651026
-5.76588294,3.31816078,0.16766035,0.00110315,0.09900499,2.12806267,2.12741980,1.11799160
-5.75987994,3.27341527,0.15956432,0.00112509,0.10209272,2.09004106,2.17868149,1.09373278
-5.75387694,3.23888511,0.15224614,0.00115023,0.10547696,2.05921085,2.23233162,1.07388834
-5.74787394,3.21434568,0.14571730,0.00117838,0.10909060,2.03559224,2.28733301,1.05848918
-5.74187094,3.19927678,0.13997142,0.00120924,0.11286086,2.01899401,2.34258946,1.04744404
-5.73586793,3.19288169,0.13498460,0.00124239,0.11671072,2.00902336,2.39697080,1.04054447
-5.72986493,3.19411462,0.13071648,0.00127735,0.12056044,2.00510169,2.44933865,1.03747326
-5.72386193,3.20171545,0.12711188,0.00131353,0.12432918,2.00648539,2.49857210,1.03781564
-5.71785893,3.21425032,0.12410298,0.00135029,0.12793670,2.01229099,2.54359271,1.04107297
-5.71185593,3.23015666,0.12161195,0.00138693,0.13130511,2.02152353,2.58338834,1.04667838
-5.70585293,3.24779108,0.11955382,0.00142272,0.13436059,2.03310742,2.61703543,1.05401384
-5.69984992,3.26547896,0.11783958,0.00145689,0.13703508,2.04591888,2.64371956,1.06242817
-5.69384692,3.28156433,0.11637931,0.00148869,0.13926794,2.05881911,2.66275412,1.07125567
-5.68784392,3.29445912,0.11508529,0.00151739,0.14100746,2.07068760,2.67359723,1.07983475
-5.68184092,3.30269062,0.11387490,0.00154230,0.14221227,2.08045490,2.67586683,1.08752640
-5.67583792,3.30494658,0.11267337,0.00156276,0.14285263,2.08713419,2.66935431,1.09373201
-5.66983492,3.30011706,0.11141616,0.00157824,0.14291145,2.08985129,2.65403641,1.09791033
-5.66383192,3.28733236,0.11005103,0.00158825,0.14238525,2.08787250,2.63008580,1.09959324
-5.65782891,3.26599653,0.10853971,0.00159245,0.14128474,2.08062980,2.59787992,1.09840006
-5.65182591,3.23581578,0.10685919,0.00159062,0.13963534,2.06774286,2.55800807,1.09405011
-5.64582291,3.19682107,0.10500256,0.00158267,0.13747725,2.04903750,2.51127634,1.08637324
-5.63981991,3.14938433,0.10297946,0.00156867,0.13486540,2.02455987,2.45870977,1.07531807
-5.63381691,3.09422761,0.10081615,0.00154883,0.13186902,1.99458591,2.40155135,1.06095766
-5.62781391,3.03242448,0.09855512,0.00152353,0.12857091,1.95962565,2.34125690,1.04349244
-5.62181091,2.96539319,0.09625442,0.00149330,0.12506645,1.92042178,2.27948538,1.02324999
-5.61580790,2.89488091,0.09398651,0.00145882,0.12146221,1.87794225,2.21808360,1.00068178
-5.60980490,2.82293888,0.09183691,0.00142092,0.11787428,1.83336651,2.15906496,0.97635660
-5.60380190,2.75188825,0.08990238,0.00138055,0.11442623,1.78806546,2.10458157,0.95095065
-5.59779890,2.68427664,0.08828892,0.00133876,0.11124689,1.74357510,2.05688948,0.92523450
-5.59179590,2.62282583,0.08710944,0.00129670,0.10846764,1.70156414,2.01830700,0.90005697
-5.58579290,2.57037130,0.08648112,0.00125557,0.10621963,1.66379621,1.99116634,0.87632627
-5.57978989,2.52979458,0.08652264,0.00121661,0.10463071,1.63208725,1.97775925,0.85498877
-5.57378689,2.50394968,0.08735112,0.00118105,0.10382216,1.60825910,1.98027748,0.83700580
-5.56778389,2.49558542,0.08907898,0.00115010,0.10390542,1.59409039,2.00074958,0.82332916
-5.56178089,2.50726555,0.09181064,0.00112490,0.10497874,1.59126600,2.04097559,0.81487581
-5.55577789,2.54128881,0.09563920,0.00110652,0.10712391,1.60132666,2.10246176,0.81250258
-5.54977489,2.59961152,0.10064315,0.00109587,0.11040319,1.62562004,2.18635764,0.81698139
-5.54377189,2.68377517,0.10688321,0.00109373,0.11485648,1.66525507,2.29339789,0.82897598
-5.53776888,2.79484169,0.11439932,0.00110073,0.12049896,1.72106100,2.42385177,0.84902058
-5.53176588,2.93333890,0.12320801,0.00111727,0.12731912,1.79355274,2.57748263,0.87750138
-5.52576288,3.09921867,0.13330013,0.00114359,0.13527753,1.88290393,2.75352019,0.91464141
-5.51975988,3.29182986,0.14463909,0.00117968,0.14430620,1.98892881,2.95064764,0.96048927
-5.51375688,3.50990787,0.15715971,0.00122535,0.15430887,2.11107404,3.16700560,1.01491228
-5.50775388,3.75158192,0.17076784,0.00128019,0.16516201,2.24842101,3.40021391,1.07759439
-5.50175088,4.01440090,0.18534062,0.00134359,0.17671683,2.39969890,3.64741201,1.14803892
-5.49574787,4.29537750,0.20072765,0.00141476,0.18880210,2.56330860,3.90531756,1.22557628
-5.48974487,4.59105008,0.21675293,0.00149275,0.20122782,2.73735665,4.17030209,1.30937655
-5.48374187,4.89756036,0.23321772,0.00157647,0.21378966,2.91969852,4.43848165,1.39846657
-5.47773887,5.21074492,0.24990404,0.00166474,0.22627406,3.10798974,4.70581953,1.49175105
-5.47173587,5.52623720,0.26657900,0.00175625,0.23846375,3.29974317,4.96823732,1.58803717
-5.46573287,5.83957652,0.28299966,0.00184969,0.25014357,3.49239025,5.22172987,1.68606180
-5.45972986,6.14631996,0.29891831,0.00194371,0.26110643,3.68334420,5.46247941,1.78452051
-5.45372686,6.44215295,0.31408813,0.00203696,0.27115898,3.87006246,5.68696381,1.88209734
-5.44772386,6.72299401,0.32826889,0.00212814,0.28012699,4.05010620,5.89205405,1.97749431
-5.44172086,6.98508976,0.34123259,0.00221600,0.28786003,4.22119453,6.07509640,2.06945974
-5.43571786,7.22509631,0.35276880,0.00229938,0.29423540,4.38125142,6.23397542,2.15681427
-5.42971486,7.44014421,0.36268965,0.00237722,0.29916100,4.52844355,6.36715487,2.23847382
-5.42371186,7.62788457,0.37083408,0.00244856,0.30257711,4.66120811,6.47369464,2.31346878
-5.41770885,7.78651520,0.37707144,0.00251256,0.30445702,4.77826964,6.55324331,2.38095875
-5.41170585,7.91478655,0.38130418,0.00256851,0.30480642,4.87864596,6.60600695,2.44024272
-5.40570285,8.01198832,0.38346965,0.00261583,0.30366168,4.96164359,6.63269646,2.49076435
-5.39969985,8.07791846,0.38354092,0.00265404,0.30108709,5.02684369,6.63445652,2.53211266
-5.39369685,8.11283730,0.38152664,0.00268281,0.29717121,5.07408000,6.61278069,2.56401837
-5.38769385,8.11741015,0.37746997,0.00270189,0.29202256,5.10341053,6.56941744,2.58634646
-5.38169085,8.09264209,0.37144669,0.00271116,0.28576485,5.11508523,6.50627273,2.59908561
-5.37568784,8.03980904,0.36356253,0.00271057,0.27853200,5.10951167,6.42531443,2.60233531
-5.36968484,7.96038895,0.35394982,0.00270019,0.27046319,5.08722101,6.32848399,2.59629159
-5.36368184,7.85599683,0.34276375,0.00268016,0.26169820,5.04883607,6.21761977,2.58123205
-5.35767884,7.72832665,0.33017811,0.00265069,0.25237320,4.99504334,6.09439573,2.55750121
-5.35167584,7.57910261,0.31638093,0.00261208,0.24261712,4.92657009,5.96027810,2.52549673
-5.34567284,7.41004134,0.30156996,0.00256468,0.23254888,4.84416741,5.81650132,2.48565713
-5.33966983,7.22282573,0.28594823,0.00250892,0.22227535,4.74859960,5.66406320,2.43845158
