energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Ge_p_up,Ge_p_down,Ge_d_up,Ge_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,0.21781067,-0.18454745,0.03791638,-0.00571234,0.04013983,-0.02844022,0.07832746,-0.05222003,0.00000000,-0.00000000,0.00670165,-0.00807551,0.04319358,-0.04826029
-5.99399700,0.23052978,-0.17150252,0.04680872,-0.00648492,0.04366049,-0.02660096,0.08654662,-0.04917978,0.00000000,-0.00000000,0.00654393,-0.00740796,0.04286589,-0.04435344
-5.98799400,0.24957010,-0.15970011,0.05761013,-0.00757182,0.04849051,-0.02499354,0.09748388,-0.04664379,0.00000000,-0.00000000,0.00651482,-0.00677227,0.04344360,-0.04065556
-5.98199100,0.27581806,-0.14953740,0.07061235,-0.00905608,0.05481812,-0.02368955,0.11153447,-0.04476370,0.00000000,-0.00000000,0.00663053,-0.00618003,0.04504254,-0.03724064
-5.97598799,0.31019011,-0.14142951,0.08612625,-0.01103701,0.06283975,-0.02276565,0.12911233,-0.04370500,0.00000000,-0.00000000,0.00690713,-0.00564234,0.04777822,-0.03418070
-5.96998499,0.35362228,-0.13581482,0.10447729,-0.01363243,0.07275762,-0.02230475,0.15064498,-0.04364966,0.00000000,-0.00000000,0.00736048,-0.00516985,0.05176490,-0.03154630
-5.96398199,0.40705584,-0.13316124,0.12599944,-0.01698085,0.08477647,-0.02239722,0.17656641,-0.04479907,0.00000000,-0.00000000,0.00800613,-0.00477289,0.05711422,-0.02940731
-5.95797899,0.47141880,-0.13397322,0.15102751,-0.02124359,0.09909944,-0.02314229,0.20730805,-0.04737701,0.00000000,-0.00000000,0.00885908,-0.00446164,0.06393338,-0.02783394
-5.95197599,0.54760321,-0.13879862,0.17988797,-0.02660652,0.11592294,-0.02464934,0.24328774,-0.05163255,0.00000000,-0.00000000,0.00993361,-0.00424630,0.07232289,-0.02689790
-5.94597299,0.63643838,-0.14823514,0.21288832,-0.03328141,0.13543071,-0.02703909,0.28489692,-0.05784249,0.00000000,-0.00000000,0.01124294,-0.00413728,0.08237375,-0.02667351
-5.93996998,0.73866059,-0.16293536,0.25030520,-0.04150664,0.15778708,-0.03044447,0.33248602,-0.06631312,0.00000000,-0.00000000,0.01279887,-0.00414539,0.09416430,-0.02723883
-5.93396698,0.85487994,-0.18360998,0.29237162,-0.05154705,0.18312960,-0.03501108,0.38634872,-0.07738106,0.00000000,-0.00000000,0.01461138,-0.00428203,0.10775674,-0.02867654
