energy_ev,total_up,Mo_p_up,Mo_d_up,Sb_p_up,Sb_d_up,Se_s_up,Se_p_up
-6.00000000,2.61372359,1.34692282,1.41470013,0.29784078,0.00421463,0.01692335,1.53480473
-5.99399700,2.56891180,1.31848006,1.38858063,0.29981767,0.00418725,0.01653207,1.50029128
-5.98799400,2.52583832,1.29367733,1.36151209,0.30250247,0.00416189,0.01610278,1.46625005
-5.98199100,2.48492464,1.27259705,1.33375867,0.30588331,0.00413967,0.01564598,1.43297481
-5.97598799,2.44650958,1.25525656,1.30556673,0.30992804,0.00412169,0.01517243,1.40072141
-5.96998499,2.41084723,1.24161236,1.27716414,0.31458441,0.00410897,0.01469285,1.36970778
-5.96398199,2.37810701,1.23156482,1.24876013,0.31978081,0.00410241,0.01421755,1.34011450
-5.95797899,2.34837553,1.22496343,1.22054541,0.32542787,0.00410276,0.01375624,1.31208578
-5.95197599,2.32166044,1.22161227,1.19269267,0.33142075,0.00411063,0.01331779,1.28573081
-5.94597299,2.29789591,1.22127590,1.16535711,0.33764201,0.00412641,0.01291000,1.26112541
-5.93996998,2.27694984,1.22368520,1.13867715,0.34396510,0.00415030,0.01253956,1.23831381
-5.93396698,2.25863228,1.22854338,1.11277517,0.35025819,0.00418226,0.01221191,1.21731077
-5.92796398,2.24270508,1.23553197,1.08775825,0.35638819,0.00422203,0.01193126,1.19810388
-5.92196098,2.22889230,1.24431656,1.06371901,0.36222480,0.00426915,0.01170064,1.18065615
-5.91595798,2.21689108,1.25455248,1.04073642,0.36764440,0.00432291,0.01152192,1.16490883
-5.90995498,2.20638267,1.26589003,1.01887664,0.37253351,0.00438242,0.01139596,1.15078456
-5.90395198,2.19704316,1.27797943,0.99819403,0.37679182,0.00444659,0.01132271,1.13819077
-5.89794897,2.18855361,1.29047531,0.97873203,0.38033440,0.00451418,0.01130134,1.12702326
-5.89194597,2.18060929,1.30304070,0.96052425,0.38309333,0.00458383,0.01133036,1.11717000
-5.88594297,2.17292765,1.31535057,0.94359549,0.38501845,0.00465406,0.01140780,1.10851487
-5.87993997,2.16525485,1.32709487,0.92796272,0.38607732,0.00472333,0.01153124,1.10094145
-5.87393697,2.15737083,1.33798115,0.91363613,0.38625457,0.00479006,0.01169794,1.09433649
-5.86793397,2.14909256,1.34773683,0.90061991,0.38555054,0.00485268,0.01190490,1.08859310
-5.86193097,2.14027587,1.35611114,0.88891304,0.38397953,0.00490963,0.01214892,1.08361343
-5.85592796,2.13081565,1.36287695,0.87850983,0.38156771,0.00495944,0.01242658,1.07931076
-5.84992496,2.12064478,1.36783240,0.86940018,0.37835095,0.00500070,0.01273430,1.07561098
-5.84392196,2.10973195,1.37080267,0.86156979,0.37437263,0.00503216,0.01306832,1.07245327
-5.83791896,2.09807864,1.37164167,0.85499997,0.36968167,0.00505267,0.01342471,1.06979017
-5.83191596,2.08571563,1.37023402,0.84966736,0.36433087,0.00506129,0.01379938,1.06758692
-5.82591296,2.07269913,1.36649694,0.84554344,0.35837563,0.00505726,0.01418810,1.06582022
-5.81990995,2.05910705,1.36038245,0.84259400,0.35187312,0.00504002,0.01458653,1.06447660
-5.81390695,2.04503537,1.35187940,0.84077849,0.34488181,0.00500924,0.01499030,1.06355043
-5.80790395,2.03059497,1.34101545,0.84004949,0.33746146,0.00496480,0.01539505,1.06304175
-5.80190095,2.01590893,1.32785888,0.84035225,0.32967337,0.00490686,0.01579656,1.06295423
-5.79589795,2.00111035,1.31251981,0.84162444,0.32158081,0.00483577,0.01619086,1.06329321
-5.78989495,1.98634069,1.29515097,0.84379619,0.31324952,0.00475213,0.01657435,1.06406409
-5.78389195,1.97174853,1.27594760,0.84679039,0.30474821,0.00465678,0.01694389,1.06527122
-5.77788894,1.95748870,1.25514650,0.85052338,0.29614875,0.00455074,0.01729699,1.06691722
-5.77188594,1.94372163,1.23302393,0.85490604,0.28752624,0.00443525,0.01763184,1.06900294
-5.76588294,1.93061270,1.20989257,0.85984519,0.27895863,0.00431171,0.01794743,1.07152788
-5.75987994,1.91833165,1.18609724,0.86524541,0.27052596,0.00418165,0.01824357,1.07449124
-5.75387694,1.90705167,1.16200960,0.87101120,0.26230928,0.00404674,0.01852089,1.07789331
-5.74787394,1.89694838,1.13802189,0.87704927,0.25438916,0.00390871,0.01878078,1.08173723
-5.74187094,1.88819839,1.11453990,0.88327121,0.24684395,0.00376937,0.01902534,1.08603093
-5.73586793,1.88097754,1.09197528,0.88959608,0.23974787,0.00363052,0.01925715,1.09078913
-5.72986493,1.87545886,1.07073755,0.89595311,0.23316898,0.00349396,0.01947918,1.09603518
-5.72386193,1.87181018,1.05122594,0.90228417,0.22716732,0.00336145,0.01969448,1.10180264
-5.71785893,1.87019150,1.03382140,0.90854614,0.22179309,0.00323467,0.01990603,1.10813645
-5.71185593,1.87075217,1.01887888,0.91471271,0.21708526,0.00311518,0.02011641,1.11509344
-5.70585293,1.87362790,1.00672027,0.92077589,0.21307042,0.00300443,0.02032761,1.12274228
-5.69984992,1.87893768,0.99762789,0.92674675,0.20976220,0.00290373,0.02054076,1.13116251
-5.69384692,1.88678060,0.99183898,0.93265554,0.20716105,0.00281419,0.02075601,1.14044281
-5.68784392,1.89723262,0.98954087,0.93855095,0.20525460,0.00273676,0.02097231,1.15067834
-5.68184092,1.91034322,0.99086719,0.94449848,0.20401830,0.00267221,0.02118740,1.16196723
