energy_ev,total_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,5.61855515,0.03270394,0.87062860,2.53639572,1.88652392,0.03810575,2.53460039,2.02277076,0.29646987
-5.99399700,5.47882278,0.03142465,0.86688104,2.46690967,1.85211562,0.03698860,2.43924415,1.96029274,0.27961544
-5.98799400,5.33579869,0.03015990,0.86201538,2.39199277,1.81723456,0.03588212,2.34263979,1.89204474,0.26365640
-5.98199100,5.19090816,0.02890854,0.85636577,2.31273840,1.78223697,0.03479051,2.24544633,1.81884177,0.24863971
-5.97598799,5.04572237,0.02766966,0.85029072,2.23034231,1.74754078,0.03371810,2.14837653,1.74157651,0.23460790
-5.96998499,4.90191527,0.02644290,0.84416326,2.14607375,1.71361036,0.03266957,2.05217712,1.66119380,0.22159745
-5.96398199,4.76121728,0.02522872,0.83836064,2.06124486,1.68093959,0.03165000,1.95760828,1.57866547,0.20963744
-5.95797899,4.62536727,0.02402860,0.83325387,1.97717930,1.65003395,0.03066491,1.86542336,1.49496623,0.19874837
-5.95197599,4.49606478,0.02284518,0.82919728,1.89518116,1.62139240,0.02972021,1.77634961,1.41105163,0.18894132
-5.94597299,4.37492369,0.02168227,0.82651844,1.81650489,1.59548948,0.02882213,1.69107071,1.32783861,0.18021736
-5.93996998,4.26342905,0.02054486,0.82550859,1.74232727,1.57275842,0.02797707,1.61021157,1.24618919,0.17256737
-5.93396698,4.16289818,0.01943900,0.82641400,1.67372206,1.55357578,0.02719144,1.53432587,1.16689752,0.16597212
-5.92796398,4.07444730,0.01837163,0.82942836,1.61163803,1.53824811,0.02647140,1.46388667,1.09068047,0.16040263
-5.92196098,3.99896457,0.01735036,0.83468662,1.55688095,1.52700107,0.02582266,1.39927996,1.01817152,0.15582081
-5.91595798,3.93709039,0.01638323,0.84226046,1.51009994,1.51997155,0.02525023,1.34080138,0.94991788,0.15218039
-5.90995498,3.88920554,0.01547843,0.85215565,1.47177849,1.51720285,0.02475820,1.28865578,0.88638040,0.14942789
-5.90395198,3.85542752,0.01464402,0.86431143,1.44223032,1.51864339,0.02434951,1.24295944,0.82793588,0.14750391
-5.89794897,3.83561512,0.01388762,0.87860216,1.42160016,1.52414879,0.02402585,1.20374459,0.77488118,0.14634438
-5.89194597,3.82938119,0.01321621,0.89484115,1.40986919,1.53348748,0.02378747,1.17096586,0.72743875,0.14588200
-5.88594297,3.83611296,0.01263584,0.91278683,1.40686497,1.54634949,0.02363316,1.14450828,0.68576294,0.14604768
-5.87993997,3.85499925,0.01215148,0.93215081,1.41227537,1.56235820,0.02356025,1.12419631,0.64994669,0.14677197
-5.87393697,3.88506335,0.01176683,0.95260794,1.42566582,1.58108453,0.02356464,1.10980349,0.62002803,0.14798652
-5.86793397,3.92520030,0.01148426,0.97380774,1.44649923,1.60206293,0.02364095,1.10106229,0.59599615,0.14962543
-5.86193097,3.97421674,0.01130471,0.99538678,1.47415772,1.62480844,0.02378266,1.09767370,0.57779666,0.15162655
-5.85592796,4.03087178,0.01122771,1.01698164,1.50796508,1.64883405,0.02398233,1.09931625,0.56533581,0.15393264
-5.84992496,4.09391666,0.01125139,1.03824156,1.54720918,1.67366744,0.02423185,1.10565398,0.55848369,0.15649234
-5.84392196,4.16213163,0.01137257,1.05884051,1.59116321,1.69886633,0.02452267,1.11634332,0.55707619,0.15926099
-5.83791896,4.23435810,0.01158684,1.07848776,1.63910503,1.72403154,0.02484612,1.13103838,0.56091606,0.16220110
-5.83191596,4.30952473,0.01188870,1.09693663,1.69033365,1.74881724,0.02519361,1.14939492,0.56977296,0.16528269
-5.82591296,4.38666620,0.01227171,1.11399098,1.74418249,1.77293775,0.02555689,1.17107260,0.58338304,0.16848322
-5.81990995,4.46493423,0.01272861,1.12950896,1.80002891,1.79617072,0.02592829,1.19573599,0.60144821,0.17178728
-5.81390695,4.54360051,0.01325157,1.14340408,1.85729996,1.81835647,0.02630086,1.22305423,0.62363546,0.17518600
-5.80790395,4.62205212,0.01383227,1.15564353,1.91547440,1.83939385,0.02666848,1.25269986,0.64957676,0.17867618
-5.80190095,4.69978029,0.01446213,1.16624391,1.97408152,1.85923288,0.02702601,1.28434706,0.67886980,0.18225919
-5.79589795,4.77636392,0.01513248,1.17526472,2.03269713,1.87786496,0.02736928,1.31766979,0.71107998,0.18593971
-5.78989495,4.85144967,0.01583470,1.18280020,2.09093771,1.89531120,0.02769512,1.35234026,0.74574399,0.18972440
-5.78389195,4.92473044,0.01656041,1.18896989,2.14845338,1.91161010,0.02800131,1.38802816,0.78237505,0.19362057
-5.77788894,4.99592439,0.01730164,1.19390875,2.20492070,1.92680514,0.02828656,1.42440100,0.82046999,0.19763485
-5.77188594,5.06475640,0.01805095,1.19775728,2.26003607,1.94093358,0.02855039,1.46112588,0.85951813,0.20177208
-5.76588294,5.13094346,0.01880160,1.20065240,2.31351049,1.95401696,0.02879310,1.49787276,0.89901156,0.20603441
-5.75987994,5.19418540,0.01954768,1.20271951,2.36506613,1.96605409,0.02901565,1.53431941,0.93845665,0.21042066
-5.75387694,5.25416153,0.02028426,1.20406614,2.41443518,1.97701700,0.02921958,1.57015758,0.97738623,0.21492599
