energy_ev,total_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
-6.00000000,6.69624412,0.02957659,0.00000000,0.01171926,1.13016364,4.36343982,2.99927055,0.06963320,1.95347011
-5.99399700,6.55904736,0.02933269,0.00000000,0.01124359,1.10192746,4.30160454,2.92608437,0.06856194,1.92226347
-5.98799400,6.41976413,0.02899767,0.00000000,0.01080317,1.07194369,4.23937813,2.85212712,0.06746099,1.89200290
-5.98199100,6.27931331,0.02857957,0.00000000,0.01040058,1.04053944,4.17732533,2.77788989,0.06633024,1.86266916
-5.97598799,6.13861312,0.02808833,0.00000000,0.01003777,1.00804565,4.11595595,2.70384314,0.06517179,1.83425958
-5.96998499,5.99855554,0.02753538,0.00000000,0.00971605,0.97478911,4.05571421,2.63042463,0.06398985,1.80678607
-5.96398199,5.85998337,0.02693330,0.00000000,0.00943604,0.94108539,3.99697247,2.55802933,0.06279060,1.78027261
-5.95797899,5.72367143,0.02629530,0.00000000,0.00919769,0.90723275,3.94002964,2.48700210,0.06158190,1.75475257
-5.95197599,5.59031320,0.02563477,0.00000000,0.00900030,0.87350735,3.88511402,2.41763346,0.06037299,1.73026634
-5.94597299,5.46051323,0.02496484,0.00000000,0.00884258,0.84015994,3.83239048,2.35015870,0.05917414,1.70685948
-5.93996998,5.33478594,0.02429789,0.00000000,0.00872267,0.80741386,3.78197094,2.28476032,0.05799624,1.68458157
-5.93396698,5.21356026,0.02364524,0.00000000,0.00863829,0.77546460,3.73392745,2.22157361,0.05685047,1.66348592
-5.92796398,5.09718953,0.02301678,0.00000000,0.00858679,0.74448049,3.68830675,2.16069471,0.05574793,1.64363009
-5.92196098,4.98596555,0.02242080,0.00000000,0.00856530,0.71460448,3.64514491,2.10219069,0.05469930,1.62507702
-5.91595798,4.88013516,0.02186381,0.00000000,0.00857087,0.68595665,3.60448106,2.04611067,0.05371462,1.60789658
-5.90995498,4.77991792,0.02135049,0.00000000,0.00860058,0.65863720,3.56636877,1.99249719,0.05280297,1.59216715
-5.90395198,4.68552276,0.02088375,0.00000000,0.00865167,0.63272956,3.53088430,1.94139688,0.05197233,1.57797689
-5.89794897,4.59716215,0.02046483,0.00000000,0.00872173,0.60830326,3.49813060,1.89286940,0.05122943,1.56542429
-5.89194597,4.51506204,0.02009346,0.00000000,0.00880875,0.58541641,3.46823675,1.84699408,0.05057958,1.55461747
-5.88594297,4.43946621,0.01976811,0.00000000,0.00891126,0.56411743,3.44135241,1.80387344,0.05002666,1.54567219
-5.87993997,4.37063425,0.01948621,0.00000000,0.00902839,0.54444597,3.41763747,1.76363323,0.04957297,1.53870797
-5.87393697,4.30883262,0.01924444,0.00000000,0.00915991,0.52643294,3.39724724,1.72641877,0.04921921,1.53384247
-5.86793397,4.25431899,0.01903895,0.00000000,0.00930620,0.51009954,3.38031400,1.69238768,0.04896440,1.53118404
-5.86193097,4.20732035,0.01886560,0.00000000,0.00946827,0.49545558,3.36692597,1.66169934,0.04880584,1.53082268
-5.85592796,4.16800622,0.01872014,0.00000000,0.00964761,0.48249715,3.35710489,1.63450156,0.04873902,1.53281975
-5.84992496,4.13645854,0.01859837,0.00000000,0.00984613,0.47120378,3.35078374,1.61091543,0.04875762,1.53719690
-5.84392196,4.11264026,0.01849623,0.00000000,0.01006597,0.46153556,3.34778613,1.59101923,0.04885339,1.54392503
-5.83791896,4.09636500,0.01840983,0.00000000,0.01030931,0.45343038,3.34780888,1.57483251,0.04901622,1.55291388
-5.83191596,4.08727022,0.01833546,0.00000000,0.01057819,0.44680164,3.35040932,1.56230158,0.04923407,1.56400317
-5.82591296,4.08479636,0.01826957,0.00000000,0.01087427,0.44153670,3.35499850,1.55328755,0.04949309,1.57695611
-5.81990995,4.08817416,0.01820868,0.00000000,0.01119864,0.43749635,3.36084147,1.54755798,0.04977771,1.59145606
-5.81390695,4.09642216,0.01814934,0.00000000,0.01155161,0.43451542,3.36706521,1.54478306,0.05007079,1.60710709
-5.80790395,4.10835584,0.01808806,0.00000000,0.01193253,0.43240485,3.37267471,1.54453713,0.05035397,1.62343885
-5.80190095,4.12260918,0.01802126,0.00000000,0.01233966,0.43095492,3.37657691,1.54630581,0.05060795,1.63991624
-5.79589795,4.13766889,0.01794523,0.00000000,0.01277014,0.42994003,3.37761214,1.54949900,0.05081292,1.65595380
-5.78989495,4.15192076,0.01785620,0.00000000,0.01321989,0.42912458,3.37459209,1.55346949,0.05094912,1.67093479
-5.78389195,4.16370671,0.01775033,0.00000000,0.01368374,0.42826988,3.36634291,1.55753662,0.05099734,1.68423422
-5.77788894,4.17139064,0.01762388,0.00000000,0.01415548,0.42714186,3.35175179,1.56101411,0.05093961,1.69524536
-5.77188594,4.17343036,0.01747331,0.00000000,0.01462809,0.42551924,3.32981513,1.56324096,0.05075977,1.70340850
-5.76588294,4.16845242,0.01729548,0.00000000,0.01509398,0.42320171,3.29968614,1.56361399,0.05044417,1.70824078
-5.75987994,4.15532644,0.01708788,0.00000000,0.01554526,0.42001796,3.26071971,1.56162041,0.04998225,1.70936570
-5.75387694,4.13323509,0.01684878,0.00000000,0.01597411,0.41583297,3.21251248,1.55686898,0.04936709,1.70654093
-5.74787394,4.10173633,0.01657753,0.00000000,0.01637312,0.41055435,3.15493599,1.54911791,0.04859590,1.69968274
-5.74187094,4.06081425,0.01627469,0.00000000,0.01673568,0.40413743,3.08816150,1.53829819,0.04767034,1.68888582
-5.73586793,4.01091568,0.01594225,0.00000000,0.01705628,0.39658876,3.01267476,1.52453081,0.04659675,1.67443721
-5.72986493,3.95297015,0.01558374,0.00000000,0.01733090,0.38796793,2.92928014,1.50813699,0.04538622,1.65682324
-5.72386193,3.88839149,0.01520427,0.00000000,0.01755720,0.37838762,2.83909341,1.48964041,0.04405450,1.63672877
-5.71785893,3.81906018,0.01481059,0.00000000,0.01773476,0.36801178,2.74352331,1.46976125,0.04262170,1.61502840
-5.71185593,3.74728653,0.01441101,0.00000000,0.01786515,0.35705209,2.64424243,1.44940181,0.04111195,1.59276945
-5.70585293,3.67575537,0.01401523,0.00000000,0.01795196,0.34576271,2.54314821,1.42962408,0.03955279,1.57114712
-5.69984992,3.60745412,0.01363423,0.00000000,0.01800071,0.33443372,2.44231549,1.41162003,0.03797450,1.55147247
-5.69384692,3.54558633,0.01327993,0.00000000,0.01801865,0.32338323,2.34394217,1.39667549,0.03640933,1.53513413
-5.68784392,3.49347395,0.01296495,0.00000000,0.01801448,0.31294864,2.25028995,1.38612896,0.03489064,1.52355508
-5.68184092,3.45445148,0.01270221,0.00000000,0.01799800,0.30347732,2.16362192,1.38132687,0.03345202,1.51814596
-5.67583792,3.43175596,0.01250459,0.00000000,0.01797964,0.29531690,2.08613924,1.38357676,0.03212635,1.52025641
-5.66983492,3.42841646,0.01238451,0.00000000,0.01797001,0.28880556,2.01991881,1.39410028,0.03094492,1.53112642
-5.66383192,3.44714709,0.01235355,0.00000000,0.01797941,0.28426266,1.96685374,1.41398743,0.02993661,1.55183919
-5.65782891,3.49024704,0.01242204,0.00000000,0.01801725,0.28197977,1.92859851,1.44415393,0.02912709,1.58327727
-5.65182591,3.55951128,0.01259871,0.00000000,0.01809165,0.28221255,1.90652008,1.48530299,0.02853811,1.62608372
-5.64582291,3.65615468,0.01289038,0.00000000,0.01820898,0.28517346,1.90165649,1.53789305,0.02818699,1.68062946
-5.63981991,3.78075239,0.01330161,0.00000000,0.01837347,0.29102566,1.91468380,1.60211236,0.02808610,1.74698831
-5.63381691,3.93319826,0.01383454,0.00000000,0.01858696,0.29987799,1.94589223,1.67786154,0.02824259,1.82492054
-5.62781391,4.11268305,0.01448865,0.00000000,0.01884874,0.31178139,1.99517214,1.76474470,0.02865815,1.91386575
-5.62181091,4.31769316,0.01526069,0.00000000,0.01915550,0.32672658,2.06201005,1.86206949,0.02932900,2.01294554
-5.61580790,4.54603035,0.01614466,0.00000000,0.01950136,0.34464326,2.14549507,1.96885626,0.03024594,2.12097601
-5.60980490,4.79485212,0.01713179,0.00000000,0.01987807,0.36540067,2.24433541,2.08385623,0.03139462,2.23649019
-5.60380190,5.06073200,0.01821072,0.00000000,0.02027532,0.38880973,2.35688496,2.20557827,0.03275583,2.35776961
-5.59779890,5.33973836,0.01936766,0.00000000,0.02068106,0.41462655,2.48117933,2.33232368,0.03430601,2.48288464
-5.59179590,5.62752987,0.02058666,0.00000000,0.02108202,0.44255740,2.61498072,2.46222806,0.03601781,2.60974228
-5.58579290,5.91946510,0.02184997,0.00000000,0.02146418,0.47226499,2.75583065,2.59330931,0.03786079,2.73614035
-5.57978989,6.21072353,0.02313842,0.00000000,0.02181333,0.50337606,2.90110952,2.72352030,0.03980218,2.85982639
-5.57378689,6.49643450,0.02443190,0.00000000,0.02211562,0.53549003,3.04810151,2.85080484,0.04180772,2.97855977
-5.56778389,6.77181065,0.02570986,0.00000000,0.02235810,0.56818860,3.19406324,2.97315542,0.04384257,3.09017496
-5.56178089,7.03228166,0.02695187,0.00000000,0.02252922,0.60104600,3.33629446,3.08867079,0.04587223,3.19264419
-5.55577789,7.27362446,0.02813814,0.00000000,0.02261924,0.63363973,3.47220855,3.19561173,0.04786349,3.28413736
-5.54977489,7.49208560,0.02925012,0.00000000,0.02262063,0.66556129,3.59940096,3.29245331,0.04978530,3.36307733
-5.54377189,7.68449174,0.03027100,0.00000000,0.02252827,0.69642679,3.71571326,3.37793163,0.05160970,3.42818869
-5.53776888,7.84834452,0.03118624,0.00000000,0.02233971,0.72588684,3.81929063,3.45108373,0.05331257,3.47853824
-5.53176588,7.98189623,0.03198401,0.00000000,0.02205515,0.75363554,3.90863088,3.51127894,0.05487431,3.51356581
