energy_ev,total_up,Ca_p_up,Ca_d_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,0.83178792,0.01122727,0.00000000,0.24252535,0.08883485,0.09040046,0.02741084,0.44323527,0.00000000
-5.99399700,0.82920543,0.01144893,0.00000000,0.25368281,0.08886880,0.08782259,0.02926100,0.44034579,0.00000000
-5.98799400,0.82775796,0.01170083,0.00000000,0.26534512,0.08884202,0.08546212,0.03114563,0.43829517,0.00000000
-5.98199100,0.82752692,0.01198640,0.00000000,0.27737126,0.08875580,0.08334910,0.03304363,0.43713478,0.00000000
-5.97598799,0.82857492,0.01230854,0.00000000,0.28960015,0.08861199,0.08151183,0.03493138,0.43690309,0.00000000
-5.96998499,0.83093457,0.01266934,0.00000000,0.30185183,0.08841196,0.07997525,0.03678294,0.43761979,0.00000000
-5.96398199,0.83459798,0.01306977,0.00000000,0.31392981,0.08815573,0.07875934,0.03857052,0.43928012,0.00000000
-5.95797899,0.83950792,0.01350940,0.00000000,0.32562450,0.08784128,0.07787750,0.04026509,0.44185010,0.00000000
-5.95197599,0.84555114,0.01398621,0.00000000,0.33671785,0.08746413,0.07733511,0.04183712,0.44526278,0.00000000
-5.94597299,0.85255452,0.01449640,0.00000000,0.34698893,0.08701715,0.07712830,0.04325750,0.44941593,0.00000000
-5.93996998,0.86028449,0.01503436,0.00000000,0.35622034,0.08649070,0.07724316,0.04449846,0.45417150,0.00000000
-5.93396698,0.86844991,0.01559263,0.00000000,0.36420520,0.08587309,0.07765524,0.04553463,0.45935694,0.00000000
-5.92796398,0.87670841,0.01616204,0.00000000,0.37075445,0.08515122,0.07832964,0.04634405,0.46476838,0.00000000
-5.92196098,0.88467613,0.01673184,0.00000000,0.37570404,0.08431155,0.07922149,0.04690920,0.47017577,0.00000000
-5.91595798,0.89194040,0.01729003,0.00000000,0.37892189,0.08334113,0.08027703,0.04721786,0.47532964,0.00000000
-5.90995498,0.89807476,0.01782366,0.00000000,0.38031400,0.08222886,0.08143502,0.04726387,0.47996928,0.00000000
-5.90395198,0.90265582,0.01831926,0.00000000,0.37982973,0.08096666,0.08262867,0.04704778,0.48383205,0.00000000
-5.89794897,0.90528097,0.01876328,0.00000000,0.37746570,0.07955067,0.08378783,0.04657722,0.48666325,0.00000000
-5.89194597,0.90558611,0.01914258,0.00000000,0.37326830,0.07798234,0.08484142,0.04586706,0.48822620,0.00000000
-5.88594297,0.90326268,0.01944490,0.00000000,0.36733468,0.07626930,0.08571991,0.04493940,0.48831200,0.00000000
-5.87993997,0.89807298,0.01965933,0.00000000,0.35981203,0.07442605,0.08635790,0.04382326,0.48674853,0.00000000
-5.87393697,0.88986306,0.01977675,0.00000000,0.35089527,0.07247436,0.08669643,0.04255408,0.48340819,0.00000000
-5.86793397,0.87857275,0.01979013,0.00000000,0.34082330,0.07044336,0.08668518,0.04117305,0.47821414,0.00000000
-5.86193097,0.86424198,0.01969490,0.00000000,0.32987381,0.06836934,0.08628417,0.03972625,0.47114459,0.00000000
-5.85592796,0.84701346,0.01948906,0.00000000,0.31835702,0.06629527,0.08546520,0.03826367,0.46223507,0.00000000
-5.84992496,0.82713143,0.01917337,0.00000000,0.30660852,0.06426995,0.08421267,0.03683815,0.45157858,0.00000000
