energy_ev,total_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,1.67402717,0.00585526,0.16913423,0.80934587,0.56464217,0.38344419,0.19660920,0.83360436,0.00000000
-5.99399700,1.65166152,0.00564104,0.15782874,0.79531821,0.55061968,0.38768533,0.19854289,0.84064342,0.00000000
-5.98799400,1.63283542,0.00544114,0.14728891,0.78258391,0.53890673,0.39258710,0.20040653,0.84838916,0.00000000
-5.98199100,1.61709061,0.00525184,0.13757891,0.77093001,0.52931386,0.39805128,0.20212917,0.85653660,0.00000000
-5.97598799,1.60395995,0.00506965,0.12874668,0.76016039,0.52163398,0.40397673,0.20364556,0.86479740,0.00000000
-5.96998499,1.59298317,0.00489137,0.12082342,0.75010429,0.51564883,0.41026197,0.20489825,0.87290772,0.00000000
-5.96398199,1.58371924,0.00471432,0.11382350,0.74062275,0.51113439,0.41680704,0.20583912,0.88063382,0.00000000
-5.95797899,1.57575531,0.00453641,0.10774477,0.73161291,0.50786516,0.42351469,0.20643025,0.88777545,0.00000000
-5.95197599,1.56871225,0.00435619,0.10256918,0.72300998,0.50561748,0.43029097,0.20664432,0.89416696,0.00000000
-5.94597299,1.56224730,0.00417297,0.09826396,0.71478721,0.50417176,0.43704530,0.20646437,0.89967660,0.00000000
-5.93996998,1.55605433,0.00398677,0.09478301,0.70695385,0.50331415,0.44369032,0.20588323,0.90420425,0.00000000
-5.93396698,1.54986251,0.00379837,0.09206879,0.69955164,0.50283777,0.45014161,0.20490247,0.90767815,0.00000000
-5.92796398,1.54343423,0.00360926,0.09005449,0.69265006,0.50254365,0.45631760,0.20353134,0.91005108,0.00000000
-5.92196098,1.53656308,0.00342165,0.08866654,0.68634074,0.50224196,0.46213974,0.20178556,0.91129667,0.00000000
-5.91595798,1.52907255,0.00323842,0.08782724,0.68073144,0.50175337,0.46753332,0.19968616,0.91140612,0.00000000
-5.90995498,1.52081623,0.00306308,0.08745767,0.67594003,0.50091110,0.47242870,0.19725864,0.91038593,0.00000000
-5.90395198,1.51167969,0.00289977,0.08748061,0.67208862,0.49956338,0.47676333,0.19453229,0.90825674,0.00000000
-5.89794897,1.50158423,0.00275322,0.08782345,0.66929827,0.49757661,0.48048435,0.19153991,0.90505355,0.00000000
-5.89194597,1.49049252,0.00262876,0.08842096,0.66768429,0.49483894,0.48355155,0.18831786,0.90082710,0.00000000
-5.88594297,1.47841555,0.00253232,0.08921796,0.66735237,0.49126419,0.48594084,0.18490642,0.89564649,0.00000000
-5.87993997,1.46542054,0.00247046,0.09017153,0.66839546,0.48679586,0.48764761,0.18135049,0.88960248,0.00000000
-5.87393697,1.45163893,0.00245037,0.09125292,0.67089138,0.48141088,0.48869003,0.17770035,0.88281124,0.00000000
-5.86793397,1.43727368,0.00247993,0.09244900,0.67490122,0.47512289,0.48911177,0.17401255,0.87541798,0.00000000
-5.86193097,1.42260505,0.00256769,0.09376306,0.68046817,0.46798460,0.48898401,0.17035079,0.86759999,0.00000000
-5.85592796,1.40799389,0.00272292,0.09521516,0.68761696,0.46008912,0.48840647,0.16678649,0.85956861,0.00000000
-5.84992496,1.39388194,0.00295557,0.09684170,0.69635356,0.45156981,0.48750716,0.16339914,0.85156977,0.00000000
-5.84392196,1.38078839,0.00327624,0.09869450,0.70666518,0.44259876,0.48644085,0.16027623,0.84388258,0.00000000
-5.83791896,1.36930242,0.00369604,0.10083914,0.71852040,0.43338350,0.48538612,0.15751266,0.83681600,0.00000000
-5.83191596,1.36007168,0.00422652,0.10335283,0.73186949,0.42416233,0.48454095,0.15520962,0.83070333,0.00000000
-5.82591296,1.35378669,0.00487939,0.10632163,0.74664474,0.41519800,0.48411717,0.15347291,0.82589459,0.00000000
-5.81990995,1.35116175,0.00566629,0.10983741,0.76276094,0.40677038,0.48433360,0.15241073,0.82274711,0.00000000
-5.81390695,1.35291277,0.00659845,0.11399430,0.78011586,0.39916794,0.48540849,0.15213100,0.82161448,0.00000000
-5.80790395,1.35973305,0.00768627,0.11888508,0.79859087,0.39267883,0.48755126,0.15273826,0.82283443,0.00000000
-5.80190095,1.37226773,0.00893887,0.12459738,0.81805164,0.38758163,0.49095405,0.15433029,0.82671597,0.00000000
-5.79589795,1.39108825,0.01036358,0.13121003,0.83834899,0.38413634,0.49578332,0.15699463,0.83352659,0.00000000
-5.78989495,1.41666769,0.01196541,0.13878948,0.85931984,0.38257602,0.50217197,0.16080508,0.84347989,0.00000000
-5.78389195,1.44935833,0.01374649,0.14738670,0.88078833,0.38309940,0.51021230,0.16581835,0.85672435,0.00000000
-5.77788894,1.48937236,0.01570554,0.15703442,0.90256714,0.38586477,0.51995000,0.17207106,0.87333376,0.00000000
-5.77188594,1.53676669,0.01783739,0.16774491,0.92445902,0.39098562,0.53137977,0.17957726,0.89329980,0.00000000
-5.76588294,1.59143282,0.02013258,0.17950849,0.94625851,0.39852790,0.54444244,0.18832647,0.91652728,0.00000000
-5.75987994,1.65309222,0.02257704,0.19229266,0.96775406,0.40850937,0.55902412,0.19828252,0.94283228,0.00000000
-5.75387694,1.72129774,0.02515193,0.20604194,0.98873036,0.42090076,0.57495723,0.20938320,0.97194349,0.00000000
-5.74787394,1.79544118,0.02783362,0.22067852,1.00897119,0.43562883,0.59202362,0.22154072,1.00350678,0.00000000
-5.74187094,1.87476688,0.03059392,0.23610344,1.02826266,0.45258121,0.60995966,0.23464308,1.03709308,0.00000000
-5.73586793,1.95839110,0.03340034,0.25219858,1.04639698,0.47161265,0.62846324,0.24855634,1.07220924,0.00000000
-5.72986493,2.04532640,0.03621677,0.26882897,1.06317669,0.49255251,0.64720239,0.26312755,1.10831182,0.00000000
-5.72386193,2.13451037,0.03900414,0.28584575,1.07841943,0.51521309,0.66582539,0.27818856,1.14482305,0.00000000
-5.71785893,2.22483751,0.04172141,0.30308916,1.09196310,0.53939849,0.68397186,0.29356018,1.18114874,0.00000000
-5.71185593,2.31519315,0.04432659,0.32039195,1.10367129,0.56491353,0.70128455,0.30905692,1.21669722,0.00000000
-5.70585293,2.40448798,0.04677792,0.33758258,1.11343888,0.59157245,0.71742130,0.32449182,1.25089880,0.00000000
-5.69984992,2.49169194,0.04903514,0.35448848,1.12119745,0.61920693,0.73206682,0.33968133,1.28322481,0.00000000
-5.69384692,2.57586601,0.05106067,0.37093903,1.12692035,0.64767326,0.74494355,0.35445006,1.31320552,0.00000000
-5.68784392,2.65619059,0.05282080,0.38676825,1.13062698,0.67685820,0.75582149,0.36863508,1.34044621,0.00000000
-5.68184092,2.73198949,0.05428683,0.40181716,1.13238609,0.70668350,0.76452623,0.38208973,1.36464056,0.00000000
-5.67583792,2.80274831,0.05543592,0.41593576,1.13231771,0.73710886,0.77094508,0.39468674,1.38558094,0.00000000
-5.66983492,2.86812679,0.05625188,0.42898463,1.13059344,0.76813329,0.77503086,0.40632054,1.40316499,0.00000000
-5.66383192,2.92796452,0.05672562,0.44083620,1.12743491,0.79979482,0.77680323,0.41690869,1.41739820,0.00000000
-5.65782891,2.98228000,0.05685538,0.45137570,1.12311023,0.83216877,0.77634748,0.42639246,1.42839242,0.00000000
-5.65182591,3.03126319,0.05664669,0.46050195,1.11792845,0.86536450,0.77381086,0.43473652,1.43636031,0.00000000
-5.64582291,3.07526196,0.05611206,0.46812791,1.11223210,0.89952101,0.76939648,0.44192782,1.44160584,0.00000000
