energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
-6.00000000,4.05975631,0.68065484,0.62327406,0.00102898,0.59829283,1.54787670,1.50320457,0.00613925,1.32692901
-5.99399700,4.05214888,0.68503396,0.62473119,0.00102614,0.59124495,1.55408722,1.49250098,0.00619376,1.33855398
-5.98799400,4.05288005,0.69111299,0.62591898,0.00104128,0.58656079,1.56547758,1.48529237,0.00626503,1.35139808
-5.98199100,4.06113044,0.69880609,0.62676183,0.00107343,0.58409316,1.58154981,1.48130832,0.00635131,1.36521322
-5.97598799,4.07583257,0.70797931,0.62717654,0.00112156,0.58363921,1.60166162,1.48017969,0.00645044,1.37969480
-5.96998499,4.09570513,0.71845307,0.62707532,0.00118453,0.58494801,1.62504309,1.48145310,0.00655997,1.39448766
-5.96398199,4.11929348,0.73000616,0.62636899,0.00126119,0.58772912,1.65081740,1.48460756,0.00667720,1.40919401
-5.95797899,4.14501514,0.74238122,0.62497032,0.00135026,0.59166203,1.67802491,1.48907267,0.00679934,1.42338330
-5.95197599,4.17120916,0.75529157,0.62279738,0.00145043,0.59640619,1.70565018,1.49424788,0.00692357,1.43660373
-5.94597299,4.19618792,0.76842914,0.61977681,0.00156029,0.60161137,1.73265098,1.49952243,0.00704720,1.44839504
-5.93996998,4.21829007,0.78147333,0.61584697,0.00167834,0.60692815,1.75798844,1.50429527,0.00716776,1.45830236
-5.93396698,4.23593297,0.79410046,0.61096079,0.00180302,0.61201819,1.78065753,1.50799457,0.00728317,1.46589043
-5.92796398,4.24766319,0.80599343,0.60508835,0.00193265,0.61656413,1.79971672,1.51009621,0.00739180,1.47075795
-5.92196098,4.25220340,0.81685125,0.59821905,0.00206549,0.62027880,1.81431585,1.51014077,0.00749262,1.47255132
-5.91595798,4.24849415,0.82639818,0.59036333,0.00219972,0.62291351,1.82372133,1.50774850,0.00758527,1.47097733
-5.90995498,4.23572919,0.83439193,0.58155386,0.00233346,0.62426516,1.82733775,1.50263178,0.00767014,1.46581422
-5.90395198,4.21338288,0.84063072,0.57184607,0.00246476,0.62418202,1.82472509,1.49460471,0.00774840,1.45692070
-5.89794897,4.18122879,0.84495887,0.56131807,0.00259169,0.62256798,1.81561102,1.48358946,0.00782201,1.44424234
-5.89194597,4.13934859,0.84727075,0.55006985,0.00271230,0.61938514,1.79989783,1.46961913,0.00789370,1.42781516
-5.88594297,4.08813095,0.84751288,0.53822172,0.00282470,0.61465463,1.77766386,1.45283696,0.00796689,1.40776609
-5.87993997,4.02826015,0.84568408,0.52591200,0.00292707,0.60845575,1.74915930,1.43349198,0.00804563,1.38431019
-5.87393697,3.96069496,0.84183388,0.51329400,0.00301772,0.60092326,1.71479685,1.41193110,0.00813440,1.35774472
-5.86793397,3.88663827,0.83605900,0.50053232,0.00309512,0.59224317,1.67513739,1.38858796,0.00823800,1.32844022
-5.86193097,3.80749869,0.82849838,0.48779854,0.00315795,0.58264693,1.63087147,1.36396896,0.00836131,1.29682887
-5.85592796,3.72484545,0.81932680,0.47526647,0.00320512,0.57240441,1.58279731,1.33863682,0.00850907,1.26339064
-5.84992496,3.64035818,0.80874743,0.46310708,0.00323583,0.56181574,1.53179613,1.31319249,0.00868567,1.22863766
-5.84392196,3.55577358,0.79698377,0.45148325,0.00324957,0.55120244,1.47880577,1.28825576,0.00889486,1.19309760
-5.83791896,3.47283067,0.78427116,0.44054467,0.00324615,0.54089793,1.42479348,1.26444557,0.00913958,1.15729655
-5.83191596,3.39321679,0.77084835,0.43042288,0.00322573,0.53123792,1.37072889,1.24236041,0.00942170,1.12174222
-5.82591296,3.31851608,0.75694937,0.42122687,0.00318877,0.52255070,1.31755783,1.22255970,0.00974187,1.08690807
-5.81990995,3.25016221,0.74279610,0.41303927,0.00313606,0.51514786,1.26617796,1.20554656,0.01009933,1.05321906
-5.81390695,3.18939689,0.72859174,0.40591347,0.00306868,0.50931548,1.21741672,1.19175268,0.01049186,1.02103951
-5.80790395,3.13723525,0.71451535,0.39987157,0.00298796,0.50530604,1.17201213,1.18152553,0.01091573,0.99066356
-5.80190095,3.09443926,0.70071778,0.39490358,0.00289545,0.50333138,1.13059690,1.17511831,0.01136572,0.96230856
-5.79589795,3.06149947,0.68731888,0.39096756,0.00279289,0.50355656,1.09368606,1.17268294,0.01183521,0.93611160
-5.78989495,3.03862566,0.67440609,0.38799109,0.00268210,0.50609500,1.06166823,1.17426596,0.01231632,0.91212920
-5.78389195,3.02574605,0.66203451,0.38587367,0.00256499,0.51100491,1.03480061,1.17980758,0.01280014,0.89034018
-5.77788894,3.02251506,0.65022813,0.38449028,0.00244347,0.51828698,1.01320761,1.18914359,0.01327695,0.87065133
-5.77188594,3.02832883,0.63898237,0.38369566,0.00231939,0.52788344,0.99688288,1.20201012,0.01373657,0.85290580
-5.76588294,3.04234777,0.62826760,0.38332942,0.00219453,0.53967861,0.98569467,1.21805092,0.01416863,0.83689358
-5.75987994,3.06352539,0.61803349,0.38322159,0.00207052,0.55350070,0.97939417,1.23682696,0.01456294,0.82236360
-5.75387694,3.09064217,0.60821414,0.38319845,0.00194882,0.56912515,0.97762650,1.25782796,0.01490983,0.80903708
-5.74787394,3.12234344,0.59873353,0.38308839,0.00183071,0.58627917,0.97994405,1.28048569,0.01520045,0.79662128
-5.74187094,3.15718023,0.58951135,0.38272769,0.00171725,0.60464767,0.98582185,1.30418853,0.01542709,0.78482326
-5.73586793,3.19365164,0.58046878,0.38196578,0.00160929,0.62388040,0.99467439,1.32829701,0.01558341,0.77336308
-5.72986493,3.23024796,0.57153414,0.38067002,0.00150749,0.64360013,1.00587373,1.35216003,0.01566464,0.76198584
-5.72386193,3.26549296,0.56264818,0.37872969,0.00141229,0.66341178,1.01876814,1.37513130,0.01566773,0.75047217
-5.71785893,3.29798463,0.55376873,0.37605909,0.00132396,0.68291233,1.03270115,1.39658568,0.01559141,0.73864680
-5.71185593,3.32643302,0.54487466,0.37259975,0.00124262,0.70170111,1.04703008,1.41593495,0.01543618,0.72638500
-5.70585293,3.34969427,0.53596888,0.36832153,0.00116827,0.71939041,1.06114400,1.43264274,0.01520427,0.71361653
-5.69984992,3.36679994,0.52708031,0.36322277,0.00110079,0.73561589,1.07448019,1.44623804,0.01489953,0.70032720
-5.69384692,3.37698061,0.51826465,0.35732943,0.00104000,0.75004651,1.08653887,1.45632700,0.01452724,0.68655799
-5.68784392,3.37968324,0.50960389,0.35069328,0.00098569,0.76239365,1.09689553,1.46260262,0.01409387,0.67240181
-5.68184092,3.37458146,0.50120453,0.34338931,0.00093761,0.77241902,1.10521056,1.46485192,0.01360693,0.65799807
-5.67583792,3.36157856,0.49319446,0.33551239,0.00089554,0.77994096,1.11123569,1.46296035,0.01307460,0.64352543
-5.66983492,3.34080279,0.48571869,0.32717336,0.00085923,0.78483900,1.11481711,1.45691307,0.01250553,0.62919293
-5.66383192,3.31259523,0.47893383,0.31849475,0.00082848,0.78705620,1.11589494,1.44679324,0.01190858,0.61522993
-5.65782891,3.27749026,0.47300162,0.30960618,0.00080313,0.78659937,1.11449921,1.43277695,0.01129253,0.60187527
-5.65182591,3.23618949,0.46808177,0.30063969,0.00078301,0.78353694,1.11074241,1.41512516,0.01066590,0.58936607
