energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-6.00000000,6.25159065,0.01657836,1.19262428,0.42565082,0.30904780,2.15567096,2.54231897,0.05204424,2.10932390
-5.99399700,6.25933888,0.01714950,1.18086185,0.42918853,0.31518471,2.13573869,2.54310850,0.05202161,2.13251823
-5.98799400,6.26452563,0.01775817,1.16748927,0.43293709,0.32110606,2.11425115,2.54273524,0.05212884,2.15586007
-5.98199100,6.26738594,0.01839860,1.15265557,0.43694841,0.32675732,2.09151778,2.54127091,0.05235679,2.17930175
-5.97598799,6.26824591,0.01906458,1.13653694,0.44127032,0.33209389,2.06786779,2.53883570,0.05269510,2.20282058
-5.96998499,6.26750608,0.01974952,1.11933010,0.44594409,0.33708222,2.04364057,2.53559113,0.05313241,2.22641647
-5.96398199,6.26562010,0.02044659,1.10124489,0.45100200,0.34170043,2.01917590,2.53173016,0.05365639,2.25010770
-5.95797899,6.26306992,0.02114884,1.08249652,0.45646506,0.34593851,1.99480432,2.52746525,0.05425385,2.27392502
-5.95197599,6.26033884,0.02184927,1.06329771,0.46234106,0.34979805,1.97083801,2.52301516,0.05491084,2.29790448
-5.94597299,6.25788421,0.02254101,1.04385140,0.46862301,0.35329154,1.94756246,2.51859127,0.05561267,2.32207951
-5.93996998,6.25611135,0.02321745,1.02434417,0.47528806,0.35644136,1.92522938,2.51438436,0.05634406,2.34647277
-5.93396698,6.25535022,0.02387237,1.00494087,0.48229709,0.35927838,1.90405106,2.51055264,0.05708925,2.37108832
-5.92796398,6.25583639,0.02450010,0.98578064,0.48959493,0.36184041,1.88419630,2.50721181,0.05783215,2.39590475
-5.92196098,6.25769740,0.02509567,0.96697446,0.49711136,0.36417049,1.86578823,2.50442772,0.05855657,2.42086973
-5.91595798,6.26094526,0.02565497,0.94860442,0.50476278,0.36631504,1.84890388,2.50221210,0.05924640,2.44589637
-5.90995498,6.26547552,0.02617481,0.93072454,0.51245459,0.36832214,1.83357564,2.50052151,0.05988596,2.47086169
-5.90395198,6.27107289,0.02665310,0.91336306,0.52008412,0.37023982,1.81979426,2.49925960,0.06046023,2.49560738
-5.89794897,6.27742282,0.02708884,0.89652606,0.52754415,0.37211441,1.80751345,2.49828235,0.06095523,2.51994268
-5.89194597,6.28412827,0.02748222,0.88020194,0.53472661,0.37398922,1.79665542,2.49740596,0.06135828,2.54364935
-5.88594297,6.29073040,0.02783452,0.86436663,0.54152653,0.37590324,1.78711741,2.49641682,0.06165836,2.56648827
-5.87993997,6.29673179,0.02814813,0.84898902,0.54784587,0.37789013,1.77877847,2.49508285,0.06184636,2.58820731
-5.87393697,6.30162066,0.02842635,0.83403627,0.55359715,0.37997747,1.77150629,2.49316537,0.06191531,2.60854990
-5.86793397,6.30489447,0.02867330,0.81947868,0.55870650,0.38218607,1.76516358,2.49043098,0.06186059,2.62726379
-5.86193097,6.30608148,0.02889366,0.80529384,0.56311620,0.38452969,1.75961374,2.48666243,0.06168001,2.64410935
-5.85592796,6.30475911,0.02909245,0.79146975,0.56678634,0.38701474,1.75472551,2.48166807,0.06137390,2.65886710
-5.84992496,6.30056799,0.02927476,0.77800681,0.56969569,0.38964033,1.75037630,2.47528934,0.06094501,2.67134376
-5.84392196,6.29322124,0.02944549,0.76491861,0.57184155,0.39239846,1.74645433,2.46740586,0.06039849,2.68137691
-5.83791896,6.28250868,0.02960905,0.75223151,0.57323878,0.39527432,1.74285932,2.45793815,0.05974166,2.68883766
-5.83191596,6.26829612,0.02976912,0.73998309,0.57391784,0.39824685,1.73950201,2.44684781,0.05898381,2.69363166
-5.82591296,6.25052025,0.02992842,0.72821965,0.57392223,0.40128940,1.73630263,2.43413542,0.05813594,2.69569832
-5.81990995,6.22917978,0.03008854,0.71699307,0.57330524,0.40437055,1.73318855,2.41983651,0.05721042,2.69500853
-5.81390695,6.20432387,0.03024981,0.70635706,0.57212628,0.40745510,1.73009146,2.40401595,0.05622070,2.69156119
-5.80790395,6.17603895,0.03041125,0.69636331,0.57044710,0.41050505,1.72694434,2.38676126,0.05518096,2.68537883
-5.80190095,6.14443495,0.03057059,0.68705773,0.56832799,0.41348083,1.72367862,2.36817543,0.05410577,2.67650282
-5.79589795,6.10963195,0.03072431,0.67847691,0.56582418,0.41634236,1.72022164,2.34836966,0.05300979,2.66498846
