energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Ir_p_up,Ir_d_up,Se_s_up,Se_p_up
-6.00000000,6.73100877,0.01996534,0.64775676,3.02137280,0.57820977,1.56243494,3.14011352,0.07702663,2.62394992
-5.99399700,6.64210704,0.01968946,0.64711667,2.93669794,0.56227474,1.55112568,3.10398604,0.07740537,2.57644607
-5.98799400,6.54964785,0.01939847,0.64608504,2.84893171,0.54635461,1.53959695,3.06573280,0.07769868,2.52786042
-5.98199100,6.45381069,0.01909146,0.64460359,2.75856329,0.53056681,1.52771929,3.02543156,0.07789483,2.47836573
-5.97598799,6.35479235,0.01876782,0.64261715,2.66613002,0.51501359,1.51540570,2.98316481,0.07798289,2.42813837
-5.96998499,6.25279832,0.01842717,0.64007262,2.57219755,0.49977960,1.50261022,2.93901666,0.07795272,2.37735443
-5.96398199,6.14803872,0.01806937,0.63691854,2.47734096,0.48493045,1.48932567,2.89307237,0.07779505,2.32618758
-5.95797899,6.04072901,0.01769452,0.63310514,2.38212769,0.47051228,1.47558048,2.84542035,0.07750164,2.27480863
-5.95197599,5.93109508,0.01730296,0.62858503,2.28710308,0.45655228,1.46143500,2.79615650,0.07706539,2.22338677
-5.94597299,5.81938196,0.01689531,0.62331445,2.19277910,0.44306013,1.44697709,2.74539034,0.07648055,2.17209199
-5.93996998,5.70586484,0.01647244,0.61725492,2.09962625,0.43003033,1.43231719,2.69325228,0.07574298,2.12109836
-5.93396698,5.59086114,0.01603557,0.61037517,2.00806883,0.41744509,1.41758287,2.63990125,0.07485037,2.07058755
-5.92796398,5.47474178,0.01558622,0.60265325,1.91848303,0.40527775,1.40291290,2.58553168,0.07380245,2.02075202
-5.92196098,5.35794021,0.01512632,0.59407845,1.83119764,0.39349637,1.38845085,2.53037919,0.07260121,1.97179733
-5.91595798,5.24095775,0.01465816,0.58465306,1.74649659,0.38206739,1.37433843,2.47472399,0.07125102,1.92394300
-5.90995498,5.12436396,0.01418443,0.57439358,1.66462270,0.37095900,1.36070854,2.41889159,0.06975872,1.87742161
-5.90395198,5.00879152,0.01370817,0.56333143,1.58578217,0.36014408,1.34767843,2.36325028,0.06813358,1.83247589
-5.89794897,4.89492509,0.01323277,0.55151296,1.51014891,0.34960263,1.33534300,2.30820530,0.06638721,1.78935365
-5.89194597,4.78348456,0.01276190,0.53899876,1.43786852,0.33932342,1.32376872,2.25418976,0.06453337,1.74830087
-5.88594297,4.67520338,0.01229941,0.52586228,1.36906133,0.32930486,1.31298828,2.20165285,0.06258761,1.70955303
-5.87993997,4.57080309,0.01184925,0.51218791,1.30382441,0.31955511,1.30299649,2.15104576,0.06056695,1.67332538
-5.87393697,4.47096562,0.01141536,0.49806847,1.24223245,0.31009143,1.29374755,2.10280621,0.05848941,1.63980255
-5.86793397,4.37630517,0.01100150,0.48360247,1.18433764,0.30093886,1.28515410,2.05734254,0.05637350,1.60912837
-5.86193097,4.28734144,0.01061118,0.46889118,1.13016858,0.29212839,1.27708811,2.01501835,0.05423773,1.58139644
-5.85592796,4.20447609,0.01024748,0.45403573,1.07972879,0.28369466,1.26938381,1.97613852,0.05210007,1.55664218
-5.84992496,4.12797404,0.00991296,0.43913442,1.03299487,0.27567357,1.26184255,1.94093770,0.04997749,1.53483702
-5.84392196,4.05795093,0.00960956,0.42428042,0.98991485,0.26809976,1.25423955,1.90957179,0.04788553,1.51588520
-5.83791896,3.99436761,0.00933848,0.40955984,0.95040696,0.26100422,1.24633231,1.88211294,0.04583792,1.49962342
-5.83191596,3.93703218,0.00910019,0.39505048,0.91435916,0.25441227,1.23787018,1.85854849,0.04384635,1.48582367
-5.82591296,3.88560930,0.00889439,0.38082102,0.88162959,0.24834178,1.22860486,1.83878359,0.04192027,1.47419897
-5.81990995,3.83963654,0.00872001,0.36693084,0.85204807,0.24280201,1.21830118,1.82264745,0.04006683,1.46441207
-5.81390695,3.79854639,0.00857528,0.35343028,0.82541872,0.23779292,1.20674764,1.80990271,0.03829091,1.45608654
-5.80790395,3.76169293,0.00845780,0.34036129,0.80152352,0.23330502,1.19376623,1.80025715,0.03659526,1.44881977
-5.80190095,3.72838135,0.00836468,0.32775843,0.78012685,0.22931973,1.17922099,1.79337716,0.03498065,1.44219727
-5.79589795,3.69789861,0.00829262,0.31564988,0.76098065,0.22581033,1.16302481,1.78890193,0.03344619,1.43580765
-5.78989495,3.66954357,0.00823811,0.30405864,0.74382998,0.22274311,1.14514430,1.78645762,0.03198960,1.42925734
-5.78389195,3.64265500,0.00819755,0.29300354,0.72841878,0.22007905,1.12560226,1.78567072,0.03060755,1.42218469
-5.77788894,3.61663586,0.00816743,0.28250005,0.71449555,0.21777549,1.10447783,1.78617981,0.02929600,1.41427247
