energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,9.94704338,1.32377162,3.88298062,0.02576558,0.72468184,2.59202678,1.78261589,0.06264706,2.71240220
-5.99399700,10.17573214,1.35654747,3.98367227,0.02622317,0.74356869,2.64626100,1.81353016,0.06416696,2.77739245
-5.98799400,10.39523072,1.38992180,4.07830045,0.02669305,0.76190907,2.69703681,1.84402098,0.06562986,2.84115231
-5.98199100,10.60521876,1.42380986,4.16671662,0.02716957,0.77968802,2.74416339,1.87415168,0.06703440,2.90347267
-5.97598799,10.80540870,1.45805360,4.24889033,0.02764591,0.79689631,2.78746175,1.90395168,0.06838077,2.96407309
-5.96998499,10.99552293,1.49241896,4.32489834,0.02811408,0.81352985,2.82676659,1.93341199,0.06967062,3.02259795
-5.96398199,11.17527726,1.52659711,4.39491194,0.02856509,0.82958913,2.86192913,1.96248315,0.07090706,3.07861796
-5.95797899,11.34437169,1.56020953,4.45918323,0.02898910,0.84507882,2.89282106,1.99107581,0.07209456,3.13163728
-5.95197599,11.50248909,1.59281715,4.51803081,0.02937571,0.86000750,2.91933927,2.01906374,0.07323885,3.18110625
-5.94597299,11.64930142,1.62393311,4.57182568,0.02971427,0.87438726,2.94141109,2.04628914,0.07434677,3.22643907
-5.93996998,11.78448299,1.65303875,4.62097758,0.02999430,0.88823336,2.95899989,2.07256968,0.07542606,3.26703583
-5.93396698,11.90772922,1.67960228,4.66592231,0.03020581,0.90156364,2.97211033,2.09770686,0.07648507,3.30230775
-5.92796398,12.01877913,1.70309909,4.70710992,0.03033974,0.91439774,2.98079308,2.12149503,0.07753244,3.33170421
-5.92196098,12.11743924,1.72303288,4.74499405,0.03038834,0.92675592,2.98514829,2.14373053,0.07857663,3.35474019
-5.91595798,12.20360614,1.73895650,4.78002204,0.03034548,0.93865756,2.98532756,2.16422017,0.07962550,3.37102229
-5.90995498,12.27728544,1.75049126,4.81262560,0.03020694,0.95011914,2.98153372,2.18278849,0.08068577,3.38027192
-5.90395198,12.33860428,1.75734395,4.84321173,0.02997060,0.96115188,2.97401832,2.19928330,0.08176240,3.38234395
-5.89794897,12.38781557,1.75932023,4.87215358,0.02963659,0.97175891,2.96307643,2.21357915,0.08285807,3.37723966
-5.89194597,12.42529233,1.75633392,4.89978085,0.02920726,0.98193217,2.94903886,2.22557828,0.08397259,3.36511283
-5.88594297,12.45151151,1.74841139,4.92636969,0.02868715,0.99164925,2.93226174,2.23520935,0.08510241,3.34626856
-5.87993997,12.46702735,1.73569093,4.95213209,0.02808284,1.00087019,2.91311396,2.24242371,0.08624021,3.32115444
-5.87393697,12.47243550,1.71841692,4.97720497,0.02740268,1.00953458,2.89196289,2.24718984,0.08737459,3.29034449
-5.86793397,12.46832986,1.69692920,5.00163943,0.02665652,1.01755929,2.86915911,2.24948629,0.08848993,3.25451664
-5.86193097,12.45525503,1.67164823,5.02539087,0.02585535,1.02483690,2.84502101,2.24929382,0.08956651,3.21442486
-5.85592796,12.43365786,1.64305683,5.04831084,0.02501094,1.03123525,2.81982009,2.24658743,0.09058069,3.17086752
-5.84992496,12.40384199,1.61167949,5.07014150,0.02413543,1.03659826,2.79376808,2.24132905,0.09150543,3.12465388
-5.84392196,12.36592939,1.57806062,5.09051385,0.02324095,1.04074815,2.76700670,2.23346170,0.09231101,3.07657052
-5.83791896,12.31983277,1.54274272,5.10895053,0.02233931,1.04348923,2.73960095,2.22290566,0.09296586,3.02734985
-5.83191596,12.26524207,1.50624594,5.12487419,0.02144164,1.04461315,2.71153661,2.20955726,0.09343772,2.97764248
-5.82591296,12.20162767,1.46905000,5.13762173,0.02055819,1.04390564,2.68272243,2.19329064,0.09369475,2.92799514
-5.81990995,12.12826173,1.43157951,5.14646500,0.01969808,1.04115443,2.65299717,2.17396260,0.09370692,2.87883548
-5.81390695,12.04425806,1.39419341,5.15063742,0.01886922,1.03615816,2.62214154,2.15142045,0.09344728,2.83046461
-5.80790395,11.94862949,1.35717903,5.14936631,0.01807820,1.02873589,2.58989456,2.12551260,0.09289327,2.78305785
-5.80190095,11.84036070,1.32075093,5.14190968,0.01733031,1.01873666,2.55597373,2.09610135,0.09202792,2.73667348
-5.79589795,11.71849305,1.28505440,5.12759630,0.01662957,1.00604892,2.52009826,2.06307716,0.09084092,2.69126907
-5.78989495,11.58221725,1.25017331,5.10586720,0.01597884,0.99060903,2.48201407,2.02637360,0.08932946,2.64672419
-5.78389195,11.43096889,1.21614155,5.07631679,0.01537990,0.97240865,2.44151948,1.98598222,0.08749880,2.60286819
-5.77788894,11.26452147,1.18295734,5.03873151,0.01483362,0.95150041,2.39849021,1.94196617,0.08536265,2.55951129
-5.77188594,11.08307155,1.15059934,4.99312388,0.01434014,0.92800163,2.35290244,1.89447199,0.08294310,2.51647704
-5.76588294,10.88731102,1.11904359,4.93976019,0.01389896,0.90209588,2.30485261,1.84373858,0.08027045,2.47363433
-5.75987994,10.67848175,1.08828004,4.87917996,0.01350917,0.87403207,2.25457289,1.79010290,0.07738253,2.43092685
-5.75387694,10.45840916,1.05832789,4.81220592,0.01316952,0.84412129,2.20244144,1.73400186,0.07432396,2.38839838
-5.74787394,10.22951197,1.02924857,4.73994366,0.01287861,0.81273125,2.14898665,1.67597020,0.07114502,2.34621237
-5.74187094,9.99478667,1.00115573,4.66377030,0.01263494,0.78027872,2.09488506,1.61663430,0.06790045,2.30466458
-5.73586793,9.75776653,0.97422160,4.58531251,0.01243702,0.74722011,2.04095278,1.55670213,0.06464804,2.26418810
-5.72986493,9.52245607,0.94867938,4.50641415,0.01228343,0.71404064,1.98813049,1.49694958,0.06144721,2.22535020
-5.72386193,9.29324310,0.92482139,4.42909472,0.01217284,0.68124250,1.93746254,1.43820389,0.05835749,2.18884122
-5.71785893,9.07479128,0.90299322,4.35549986,0.01210404,0.64933244,1.89007072,1.38132444,0.05543711,2.15545578
-5.71185593,8.87191709,0.88358388,4.28784558,0.01207592,0.61880925,1.84712356,1.32718200,0.05274155,2.12606708
-5.70585293,8.68945552,0.86701269,4.22835822,0.01208747,0.59015152,1.80980222,1.27663681,0.05032232,2.10159554
-5.69984992,8.53211914,0.85371326,4.17921194,0.01213767,0.56380614,1.77926416,1.23051649,0.04822573,2.08297293
-5.69384692,8.40435546,0.84411534,4.14246590,0.01222552,0.54017787,1.75660560,1.18959429,0.04649196,2.07110361
-5.68784392,8.31020724,0.83862547,4.12000309,0.01234986,0.51962014,1.74282435,1.15456847,0.04515417,2.06682445
-5.68184092,8.25318044,0.83760713,4.11347263,0.01250938,0.50242751,1.73878387,1.12604331,0.04423787,2.07086518
-5.67583792,8.23612383,0.84136132,4.12423724,0.01270243,0.48882968,1.74518010,1.10451236,0.04376040,2.08381069
-5.66983492,8.26112423,0.85010845,4.15332738,0.01292698,0.47898732,1.76251182,1.09034417,0.04373065,2.10606692
-5.66383192,8.32942049,0.86397231,4.20140333,0.01318052,0.47298965,1.79105586,1.08377106,0.04414886,2.13783174
-5.65782891,8.44133897,0.88296686,4.26872625,0.01345992,0.47085373,1.83084778,1.08488105,0.04500671,2.17907203
-5.65182591,8.59625264,0.90698644,4.35513902,0.01376140,0.47252547,1.88166889,1.09361319,0.04628739,2.22950800
-5.64582291,8.79256528,0.93579998,4.46005751,0.01408049,0.47788218,1.94304008,1.10975641,0.04796601,2.28860543
-5.63981991,9.02772181,0.96904939,4.58247251,0.01441192,0.48673663,2.01422294,1.13295193,0.05000998,2.35557649
-5.63381691,9.29824484,1.00625248,4.72096263,0.01474974,0.49884248,2.09422835,1.16269933,0.05237967,2.42938902
-5.62781391,9.59979733,1.04681038,4.87371797,0.01508729,0.51390090,2.18183252,1.19836607,0.05502911,2.50878447
-5.62181091,9.92727003,1.09001928,5.03857431,0.01541732,0.53156840,2.27560033,1.23920038,0.05790686,2.59230391
-5.61580790,10.27489231,1.13508618,5.21305723,0.01573212,0.55146560,2.37391566,1.28434743,0.06095696,2.67832129
-5.60980490,10.63636376,1.18114827,5.39443534,0.01602367,0.57318686,2.47501796,1.33286833,0.06411999,2.76508325
-5.60380190,11.00500367,1.22729514,5.57978164,0.01628389,0.59631072,2.57704439,1.38376166,0.06733426,2.85075396
