energy_ev,total_up,Al_p_up,Al_d_up,Mo_p_up,Mo_d_up,Te_p_up,Te_d_up
-6.00000000,1.22329063,0.11469423,0.00000000,0.93707526,0.37505993,0.56597616,0.00000000
-5.99399700,1.23478463,0.11135522,0.00000000,0.95033679,0.38209418,0.57125816,0.00000000
-5.98799400,1.24492466,0.10805787,0.00000000,0.96058151,0.38972431,0.57533237,0.00000000
-5.98199100,1.25329288,0.10476524,0.00000000,0.96753243,0.39776957,0.57806082,0.00000000
-5.97598799,1.25950144,0.10144121,0.00000000,0.97097244,0.40603635,0.57933172,0.00000000
-5.96998499,1.26320315,0.09805312,0.00000000,0.97074850,0.41432264,0.57906211,0.00000000
-5.96398199,1.26410061,0.09457419,0.00000000,0.96677419,0.42242272,0.57719920,0.00000000
-5.95797899,1.26195354,0.09098537,0.00000000,0.95903032,0.43013225,0.57372062,0.00000000
-5.95197599,1.25658438,0.08727684,0.00000000,0.94756397,0.43725338,0.56863369,0.00000000
-5.94597299,1.24788210,0.08344893,0.00000000,0.93248595,0.44360007,0.56197380,0.00000000
-5.93996998,1.23580462,0.07951255,0.00000000,0.91396693,0.44900334,0.55380234,0.00000000
-5.93396698,1.22037990,0.07548918,0.00000000,0.89223257,0.45331657,0.54420422,0.00000000
-5.92796398,1.20170617,0.07141038,0.00000000,0.86755780,0.45642059,0.53328546,0.00000000
-5.92196098,1.17995136,0.06731703,0.00000000,0.84026075,0.45822873,0.52117086,0.00000000
-5.91595798,1.15535219,0.06325822,0.00000000,0.81069633,0.45869135,0.50800210,0.00000000
-5.90995498,1.12821283,0.05929009,0.00000000,0.77924989,0.45780015,0.49393621,0.00000000
-5.90395198,1.09890339,0.05547441,0.00000000,0.74633095,0.45559168,0.47914462,0.00000000
-5.89794897,1.06785793,0.05187732,0.00000000,0.71236734,0.45215022,0.46381262,0.00000000
-5.89194597,1.03557222,0.04856795,0.00000000,0.67779948,0.44760961,0.44813915,0.00000000
-5.88594297,1.00260055,0.04561718,0.00000000,0.64307521,0.44215396,0.43233680,0.00000000
-5.87993997,0.96955176,0.04309655,0.00000000,0.60864474,0.43601695,0.41663179,0.00000000
-5.87393697,0.93708379,0.04107715,0.00000000,0.57495590,0.42947964,0.40126361,0.00000000
-5.86793397,0.90589661,0.03962867,0.00000000,0.54244951,0.42286666,0.38648428,0.00000000
-5.86193097,0.87672326,0.03881846,0.00000000,0.51155477,0.41654054,0.37255674,0.00000000
-5.85592796,0.85031856,0.03871060,0.00000000,0.48268450,0.41089439,0.35975241,0.00000000
-5.84992496,0.82744569,0.03936496,0.00000000,0.45623028,0.40634273,0.34834769,0.00000000
-5.84392196,0.80886024,0.04083607,0.00000000,0.43255730,0.40331080,0.33861927,0.00000000
-5.83791896,0.79529224,0.04317199,0.00000000,0.41199892,0.40222232,0.33083843,0.00000000
-5.83191596,0.78742618,0.04641296,0.00000000,0.39485103,0.40348619,0.32526415,0.00000000
-5.82591296,0.78587972,0.05058988,0.00000000,0.38136614,0.40748240,0.32213549,0.00000000
-5.81990995,0.79118140,0.05572269,0.00000000,0.37174744,0.41454749,0.32166322,0.00000000
-5.81390695,0.80374847,0.06181862,0.00000000,0.36614287,0.42496026,0.32402122,0.00000000
-5.80790395,0.82386534,0.06887042,0.00000000,0.36463952,0.43892800,0.32933777,0.00000000
-5.80190095,0.85166387,0.07685462,0.00000000,0.36725847,0.45657410,0.33768739,0.00000000
-5.79589795,0.88710630,0.08572993,0.00000000,0.37395048,0.47792733,0.34908339,0.00000000
-5.78989495,0.92997191,0.09543592,0.00000000,0.38459267,0.50291351,0.36347179,0.00000000
-5.78389195,0.97984825,0.10589209,0.00000000,0.39898654,0.53135002,0.38072668,0.00000000
