energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-6.00000000,1.73099572,0.01134158,0.09415278,1.30537663,0.25397756,0.84215205,0.67362301,0.83248623,0.00000000
-5.99399700,1.72402966,0.01200589,0.09404550,1.31415268,0.25706819,0.85883974,0.65848094,0.83557954,0.00000000
-5.98799400,1.72247229,0.01266762,0.09434739,1.32667523,0.26090159,0.87782355,0.64573653,0.84096663,0.00000000
-5.98199100,1.72539397,0.01331360,0.09498561,1.34217525,0.26530176,0.89842977,0.63513436,0.84815542,0.00000000
-5.97598799,1.73168056,0.01393017,0.09587694,1.35973332,0.27006695,0.91989916,0.62634697,0.85656741,0.00000000
-5.96998499,1.74007724,0.01450355,0.09693054,1.37831225,0.27497589,0.94141120,0.61899151,0.86555914,0.00000000
-5.96398199,1.74923826,0.01502029,0.09805100,1.39679487,0.27979520,0.96211123,0.61264834,0.87444652,0.00000000
-5.95797899,1.75778025,0.01546770,0.09914158,1.41402511,0.28428734,0.98113936,0.60688074,0.88253086,0.00000000
-5.95197599,1.76433670,0.01583426,0.10010738,1.42885088,0.28821897,0.99765986,0.60125476,0.88912557,0.00000000
-5.94597299,1.76761134,0.01611001,0.10085856,1.44016655,0.29136926,1.01088998,0.59535846,0.89358220,0.00000000
-5.93996998,1.76642796,0.01628692,0.10131320,1.44695353,0.29353776,1.02012673,0.58881956,0.89531483,0.00000000
-5.93396698,1.75977470,0.01635914,0.10139991,1.44831690,0.29455153,1.02477073,0.58132090,0.89382172,0.00000000
-5.92796398,1.74684093,0.01632321,0.10105996,1.44351676,0.29427124,1.02434602,0.57261307,0.88870332,0.00000000
-5.92196098,1.72704541,0.01617818,0.10024888,1.43199300,0.29259588,1.01851506,0.56252385,0.87967593,0.00000000
-5.91595798,1.70005464,0.01592560,0.09893753,1.41338258,0.28946601,1.00708837,0.55096403,0.86658056,0.00000000
-5.90995498,1.66579104,0.01556950,0.09711254,1.38752864,0.28486537,0.99002851,0.53792972,0.84938674,0.00000000
-5.90395198,1.62443086,0.01511616,0.09477619,1.35448160,0.27882082,0.96744836,0.52350100,0.82819120,0.00000000
-5.89794897,1.57639228,0.01457393,0.09194572,1.31449212,0.27140065,0.93960395,0.50783722,0.80321178,0.00000000
-5.89194597,1.52231463,0.01395290,0.08865206,1.26799685,0.26271139,0.90688229,0.49116936,0.77477683,0.00000000
-5.88594297,1.46302990,0.01326453,0.08493824,1.21559772,0.25289330,0.86978491,0.47378968,0.74331092,0.00000000
-5.87993997,1.39952816,0.01252127,0.08085736,1.15803595,0.24211477,0.82890798,0.45603939,0.70931748,0.00000000
-5.87393697,1.33291839,0.01173617,0.07647032,1.09616237,0.23056590,0.78491998,0.43829486,0.67335931,0.00000000
-5.86793397,1.26438684,0.01092244,0.07184349,1.03090518,0.21845155,0.73853798,0.42095294,0.63603783,0.00000000
-5.86193097,1.19515444,0.01009309,0.06704622,0.96323703,0.20598423,0.69050354,0.40441597,0.59797205,0.00000000
-5.85592796,1.12643522,0.00926058,0.06214857,0.89414259,0.19337703,0.64155930,0.38907720,0.55977803,0.00000000
-5.84992496,1.05939714,0.00843647,0.05721902,0.82458802,0.18083695,0.59242709,0.37530692,0.52204974,0.00000000
-5.84392196,0.99512691,0.00763125,0.05232263,0.75549350,0.16855884,0.54378839,0.36343998,0.48534184,0.00000000
-5.83791896,0.93459966,0.00685407,0.04751929,0.68770964,0.15672014,0.49626765,0.35376498,0.45015509,0.00000000
-5.83191596,0.87865454,0.00611267,0.04286246,0.62199852,0.14547658,0.45041904,0.34651545,0.41692459,0.00000000
-5.82591296,0.82797652,0.00541331,0.03839817,0.55901950,0.13495893,0.40671668,0.34186323,0.38601123,0.00000000
-5.81990995,0.78308491,0.00476074,0.03416447,0.49932019,0.12527088,0.36554851,0.33991431,0.35769627,0.00000000
-5.81390695,0.74432828,0.00415829,0.03019114,0.44333221,0.11648792,0.32721368,0.34070705,0.33217918,0.00000000
-5.80790395,0.71188571,0.00360793,0.02649977,0.39137150,0.10865744,0.29192313,0.34421284,0.30957831,0.00000000
-5.80190095,0.68577387,0.00311043,0.02310408,0.34364258,0.10179957,0.25980312,0.35033914,0.28993438,0.00000000
-5.79589795,0.66585919,0.00266552,0.02001057,0.30024625,0.09590904,0.23090106,0.35893472,0.27321618,0.00000000
-5.78989495,0.65187445,0.00227202,0.01721918,0.26118986,0.09095767,0.20519334,0.36979691,0.25932828,0.00000000
-5.78389195,0.64343887,0.00192810,0.01472423,0.22639955,0.08689743,0.18259456,0.38268053,0.24812009,0.00000000
-5.77788894,0.64008085,0.00163136,0.01251534,0.19573355,0.08366390,0.16296759,0.39730835,0.23939613,0.00000000
-5.77188594,0.64126234,0.00137911,0.01057843,0.16899606,0.08117999,0.14613412,0.41338243,0.23292667,0.00000000
-5.76588294,0.64640400,0.00116845,0.00889663,0.14595094,0.07935975,0.13188510,0.43059628,0.22845875,0.00000000
-5.75987994,0.65491007,0.00099644,0.00745124,0.12633473,0.07811213,0.11999091,0.44864703,0.22572683,0.00000000
-5.75387694,0.66619233,0.00086021,0.00622249,0.10986865,0.07734461,0.11021079,0.46724747,0.22446294,0.00000000
-5.74787394,0.67969200,0.00075705,0.00519032,0.09626911,0.07696647,0.10230131,0.48613714,0.22440595,0.00000000
-5.74187094,0.69489916,0.00068449,0.00433495,0.08525675,0.07689180,0.09602384,0.50509237,0.22530974,0.00000000
-5.73586793,0.71136878,0.00064033,0.00363740,0.07656366,0.07704194,0.09115082,0.52393444,0.22695000,0.00000000
-5.72986493,0.72873306,0.00062269,0.00307985,0.06993893,0.07734746,0.08747071,0.54253577,0.22912956,0.00000000
-5.72386193,0.74670943,0.00062995,0.00264591,0.06515248,0.07774964,0.08479184,0.56082351,0.23168217,0.00000000
-5.71785893,0.76510420,0.00066078,0.00232082,0.06199736,0.07820124,0.08294490,0.57878058,0.23447465,0.00000000
-5.71185593,0.78381161,0.00071410,0.00209149,0.06029055,0.07866687,0.08178445,0.59644378,0.23740738,0.00000000
-5.70585293,0.80280846,0.00078901,0.00194655,0.05987258,0.07912266,0.08118925,0.61389906,0.24041327,0.00000000
-5.69984992,0.82214455,0.00088471,0.00187624,0.06060610,0.07955549,0.08106180,0.63127412,0.24345535,0.00000000
-5.69384692,0.84192944,0.00100048,0.00187235,0.06237356,0.07996176,0.08132692,0.64872853,0.24652299,0.00000000
-5.68784392,0.86231614,0.00113557,0.00192810,0.06507442,0.08034573,0.08192985,0.66644186,0.24962716,0.00000000
-5.68184092,0.88348257,0.00128914,0.00203790,0.06862181,0.08071765,0.08283367,0.68460029,0.25279488,0.00000000
