energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Ca_p_up,Ca_p_down,Ca_d_up,Ca_d_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,1.14821236,-1.14821236,0.00040749,-0.00040749,0.29961937,-0.29961937,0.00203871,-0.00203871,0.00000000,-0.00000000,0.60450266,-0.60450271,0.61813127,-0.61813126,0.34247757,-0.34247757,0.00000000,-0.00000000
-5.99399700,1.15280235,-1.15280234,0.00050098,-0.00050098,0.28224988,-0.28224988,0.00228726,-0.00228726,0.00000000,-0.00000000,0.61035595,-0.61035600,0.60022718,-0.60022717,0.36867391,-0.36867391,0.00000000,-0.00000000
-5.98799400,1.15973652,-1.15973651,0.00061181,-0.00061181,0.26455866,-0.26455866,0.00256639,-0.00256639,0.00000000,-0.00000000,0.61837710,-0.61837715,0.58264021,-0.58264020,0.39690111,-0.39690111,0.00000000,-0.00000000
-5.98199100,1.16954622,-1.16954622,0.00074213,-0.00074213,0.24683578,-0.24683578,0.00287721,-0.00287721,0.00000000,-0.00000000,0.62899988,-0.62899993,0.56581776,-0.56581775,0.42713691,-0.42713691,0.00000000,-0.00000000
-5.97598799,1.18268198,-1.18268197,0.00089411,-0.00089411,0.22934909,-0.22934908,0.00322084,-0.00322084,0.00000000,-0.00000000,0.64262990,-0.64262995,0.55015850,-0.55015849,0.45933829,-0.45933829,0.00000000,-0.00000000
-5.96998499,1.19950193,-1.19950193,0.00106992,-0.00106993,0.21233852,-0.21233851,0.00359839,-0.00359839,0.00000000,-0.00000000,0.65963616,-0.65963621,0.53600275,-0.53600274,0.49344131,-0.49344132,0.00000000,-0.00000000
-5.96398199,1.22026458,-1.22026457,0.00127165,-0.00127165,0.19601190,-0.19601189,0.00401086,-0.00401086,0.00000000,-0.00000000,0.68034383,-0.68034388,0.52362565,-0.52362564,0.52936162,-0.52936162,0.00000000,-0.00000000
-5.95797899,1.24512548,-1.24512548,0.00150124,-0.00150124,0.18054225,-0.18054224,0.00445915,-0.00445915,0.00000000,-0.00000000,0.70502836,-0.70502840,0.51323325,-0.51323324,0.56699542,-0.56699543,0.00000000,-0.00000000
-5.95197599,1.27413786,-1.27413786,0.00176042,-0.00176042,0.16606651,-0.16606651,0.00494393,-0.00494393,0.00000000,-0.00000000,0.73391069,-0.73391073,0.50496135,-0.50496134,0.60622100,-0.60622101,0.00000000,-0.00000000
-5.94597299,1.30725647,-1.30725647,0.00205063,-0.00205063,0.15268570,-0.15268570,0.00546563,-0.00546563,0.00000000,-0.00000000,0.76715349,-0.76715354,0.49887690,-0.49887689,0.64690036,-0.64690036,0.00000000,-0.00000000
