energy_ev,total_up,P_s_up,P_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,0.07049514,0.00000005,0.03101917,0.00063085,0.00798029,0.02883284,0.01852902
-5.99399700,0.06758136,0.00000006,0.02973924,0.00060519,0.00764913,0.02763827,0.01776611
-5.98799400,0.06434456,0.00000009,0.02831795,0.00057679,0.00728096,0.02631057,0.01691934
-5.98199100,0.06085323,0.00000013,0.02678568,0.00054630,0.00688338,0.02487744,0.01600705
-5.97598799,0.05718010,0.00000018,0.02517476,0.00051443,0.00646444,0.02336817,0.01504879
-5.96998499,0.05340054,0.00000024,0.02351877,0.00048193,0.00603243,0.02181305,0.01406495
-5.96398199,0.04959127,0.00000033,0.02185200,0.00044958,0.00559575,0.02024274,0.01307642
-5.95797899,0.04582916,0.00000045,0.02020894,0.00041819,0.00516271,0.01868777,0.01210431
-5.95197599,0.04219043,0.00000061,0.01862397,0.00038857,0.00474148,0.01717819,0.01116981
-5.94597299,0.03875018,0.00000081,0.01713116,0.00036160,0.00434000,0.01574331,0.01029406
-5.93996998,0.03558223,0.00000108,0.01576425,0.00033812,0.00396592,0.01441160,0.00949819
-5.93396698,0.03275935,0.00000143,0.01455679,0.00031907,0.00362664,0.01321074,0.00880344
-5.92796398,0.03035384,0.00000187,0.01354241,0.00030539,0.00332936,0.01216776,0.00823130
-5.92196098,0.02843828,0.00000243,0.01275519,0.00029808,0.00308114,0.01130939,0.00780383
-5.91595798,0.02708656,0.00000314,0.01223018,0.00029822,0.00288900,0.01066234,0.00754391
-5.90995498,0.02637499,0.00000403,0.01200383,0.00030696,0.00276002,0.01025376,0.00747562
-5.90395198,0.02638333,0.00000513,0.01211454,0.00032554,0.00270150,0.01011163,0.00762449
-5.89794897,0.02719575,0.00000649,0.01260304,0.00035531,0.00272103,0.01026513,0.00801778
-5.89194597,0.02890149,0.00000815,0.01351271,0.00039769,0.00282659,0.01074493,0.00868465
-5.88594297,0.03159511,0.00001016,0.01488960,0.00045423,0.00302660,0.01158330,0.00965619
-5.87993997,0.03537629,0.00001258,0.01678235,0.00052652,0.00332991,0.01281414,0.01096525
-5.87393697,0.04034888,0.00001545,0.01924165,0.00061623,0.00374577,0.01447262,0.01264615
-5.86793397,0.04661934,0.00001885,0.02231949,0.00072507,0.00428371,0.01659475,0.01473410
-5.86193097,0.05429438,0.00002283,0.02606794,0.00085471,0.00495332,0.01921656,0.01726440
-5.85592796,0.06347775,0.00002745,0.03053763,0.00100673,0.00576398,0.02237301,0.02027137
-5.84992496,0.07426633,0.00003278,0.03577582,0.00118261,0.00672454,0.02609667,0.02378707
-5.84392196,0.08674547,0.00003885,0.04182409,0.00138359,0.00784289,0.03041610,0.02783977
-5.83791896,0.10098375,0.00004573,0.04871591,0.00161062,0.00912546,0.03535406,0.03245227
-5.83191596,0.11702733,0.00005343,0.05647382,0.00186425,0.01057674,0.04092554,0.03764006
-5.82591296,0.13489410,0.00006199,0.06510665,0.00214460,0.01219872,0.04713571,0.04340946
-5.81990995,0.15456797,0.00007142,0.07460679,0.00245120,0.01399031,0.05397799,0.04975579
-5.81390695,0.17599348,0.00008169,0.08494760,0.00278299,0.01594690,0.06143211,0.05666165
-5.80790395,0.19907119,0.00009279,0.09608122,0.00313820,0.01805982,0.06946255,0.06409546
-5.80190095,0.22365417,0.00010466,0.10793689,0.00351435,0.02031605,0.07801727,0.07201037
-5.79589795,0.24954576,0.00011723,0.12041995,0.00390822,0.02269795,0.08702701,0.08034362
-5.78989495,0.27649923,0.00013041,0.13341166,0.00431586,0.02518317,0.09640504,0.08901638
-5.78389195,0.30421921,0.00014408,0.14677003,0.00473261,0.02774474,0.10604778,0.09793440
-5.77788894,0.33236532,0.00015813,0.16033152,0.00515321,0.03035135,0.11583596,0.10698911
-5.77188594,0.36055802,0.00017241,0.17391399,0.00557189,0.03296786,0.12563668,0.11605967
-5.76588294,0.38838656,0.00018677,0.18732057,0.00598248,0.03555595,0.13530617,0.12501553
-5.75987994,0.41541900,0.00020109,0.20034455,0.00637863,0.03807501,0.14469322,0.13371978
-5.75387694,0.44121397,0.00021522,0.21277513,0.00675396,0.04048316,0.15364328,0.14203297
-5.74787394,0.46533386,0.00022904,0.22440382,0.00710227,0.04273847,0.16200302,0.14981750
-5.74187094,0.48735889,0.00024248,0.23503129,0.00741780,0.04480018,0.16962515,0.15694217
-5.73586793,0.50690152,0.00025549,0.24447440,0.00769540,0.04663001,0.17637343,0.16328695
-5.72986493,0.52362066,0.00026807,0.25257307,0.00793076,0.04819349,0.18212756,0.16874762
-5.72386193,0.53723498,0.00028028,0.25919681,0.00812062,0.04946115,0.18678776,0.17324011
-5.71785893,0.54753474,0.00029224,0.26425039,0.00826295,0.05040961,0.19027880,0.17670444
-5.71185593,0.55439149,0.00030418,0.26767862,0.00835703,0.05102251,0.19255342,0.17910780
-5.70585293,0.55776533,0.00031638,0.26946980,0.00840362,0.05129119,0.19359470,0.18044700
-5.69984992,0.55770906,0.00032920,0.26965780,0.00840492,0.05121513,0.19341754,0.18074976
-5.69384692,0.55436928,0.00034312,0.26832251,0.00836464,0.05080207,0.19206903,0.18007503
-5.68784392,0.54798405,0.00035866,0.26558870,0.00828792,0.05006787,0.18962756,0.17851217
-5.68184092,0.53887739,0.00037645,0.26162327,0.00818120,0.04903608,0.18620101,0.17617903
-5.67583792,0.52745059,0.00039716,0.25663097,0.00805207,0.04773722,0.18192370,0.17321895
-5.66983492,0.51417088,0.00042153,0.25084879,0.00790910,0.04620785,0.17695254,0.16979687
-5.66383192,0.49955773,0.00045032,0.24453916,0.00776157,0.04448940,0.17146238,0.16609456
-5.65782891,0.48416747,0.00048428,0.23798232,0.00761924,0.04262693,0.16564076,0.16230527
-5.65182591,0.46857681,0.00052418,0.23146812,0.00749205,0.04066770,0.15968231,0.15862794
-5.64582291,0.45336585,0.00057073,0.22528755,0.00738981,0.03865980,0.15378308,0.15526119
-5.63981991,0.43910141,0.00062454,0.21972438,0.00732198,0.03665078,0.14813487,0.15239738
-5.63381691,0.42632114,0.00068613,0.21504716,0.00729734,0.03468633,0.14291996,0.15021685
-5.62781391,0.41551917,0.00075591,0.21150203,0.00732378,0.03280915,0.13830629,0.14888266
-5.62181091,0.40713366,0.00083407,0.20930639,0.00740804,0.03105795,0.13444338,0.14853602
-5.61580790,0.40153682,0.00092064,0.20864380,0.00755561,0.02946667,0.13145900,0.14929244
-5.60980490,0.39902756,0.00101543,0.20966024,0.00777053,0.02806391,0.12945680,0.15123893
-5.60380190,0.39982706,0.00111801,0.21246183,0.00805533,0.02687262,0.12851487,0.15443220
-5.59779890,0.40407720,0.00122772,0.21711399,0.00841104,0.02590997,0.12868529,0.15889791
-5.59179590,0.41184196,0.00134364,0.22364210,0.00883716,0.02518749,0.12999458,0.16463108
-5.58579290,0.42311132,0.00146464,0.23203356,0.00933177,0.02471135,0.13244506,0.17159754
-5.57978989,0.43780761,0.00158936,0.24224096,0.00989166,0.02448285,0.13601689,0.17973627
-5.57378689,0.45579372,0.00171626,0.25418638,0.01051243,0.02449900,0.14067077,0.18896266
-5.56778389,0.47688276,0.00184362,0.26776636,0.01118874,0.02475324,0.14635109,0.19917239
-5.56178089,0.50084856,0.00196965,0.28285735,0.01191448,0.02523614,0.15298926,0.21024576
-5.55577789,0.52743643,0.00209246,0.29932127,0.01268300,0.02593617,0.16050718,0.22205232
-5.54977489,0.55637365,0.00221016,0.31701099,0.01348731,0.02684040,0.16882057,0.23445541
-5.54377189,0.58737903,0.00232092,0.33577517,0.01432028,0.02793518,0.17784197,0.24731659
-5.53776888,0.62017104,0.00242301,0.35546249,0.01517479,0.02920663,0.18748331,0.26049953
-5.53176588,0.65447419,0.00251483,0.37592481,0.01604387,0.03064111,0.19765785,0.27387329
-5.52576288,0.69002316,0.00259500,0.39701916,0.01692080,0.03222550,0.20828149,0.28731483
-5.51975988,0.72656480,0.00266239,0.41860853,0.01779912,0.03394733,0.21927336,0.30071057
-5.51375688,0.76385768,0.00271612,0.44056136,0.01867265,0.03579479,0.23055563,0.31395703
-5.50775388,0.80166961,0.00275562,0.46274994,0.01953541,0.03775658,0.24205271,0.32696058
-5.50175088,0.83977326,0.00278060,0.48504782,0.02038156,0.03982165,0.25368992,0.33963625
-5.49574787,0.87794049,0.00279109,0.50732643,0.02120527,0.04197886,0.26539170,0.35190597
-5.48974487,0.91593588,0.00278739,0.52945148,0.02200059,0.04421659,0.27707965,0.36369616
-5.48374187,0.95351012,0.00277004,0.55127925,0.02276132,0.04652226,0.28867055,0.37493525
-5.47773887,0.99039398,0.00273983,0.57265328,0.02348092,0.04888197,0.30007456,0.38555101
