energy_ev,total_up,Hf_p_up,Hf_d_up,Li_s_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,1.10147494,0.35930738,0.27327267,0.20538298,0.00321642,0.26055571,0.03118055,0.47034049
-5.99399700,1.06494313,0.33482536,0.25421290,0.21459463,0.00326074,0.23258503,0.03193414,0.47779405
-5.98799400,1.03341399,0.31395961,0.23727264,0.22360709,0.00331303,0.20741545,0.03248436,0.48567101
-5.98199100,1.00654457,0.29661405,0.22237983,0.23233147,0.00337222,0.18498576,0.03281985,0.49379616
-5.97598799,0.98394385,0.28264677,0.20943546,0.24068740,0.00343700,0.16520105,0.03293431,0.50199741
-5.96998499,0.96519257,0.27187895,0.19832041,0.24860367,0.00350596,0.14794115,0.03282668,0.51010989
-5.96398199,0.94986280,0.26410477,0.18890218,0.25601873,0.00357763,0.13306896,0.03250125,0.51798002
-5.95797899,0.93753658,0.25910198,0.18104138,0.26288109,0.00365057,0.12043849,0.03196754,0.52546940
-5.95197599,0.92782303,0.25664257,0.17459766,0.26914952,0.00372347,0.10990219,0.03123999,0.53245862
-5.94597299,0.92037362,0.25650353,0.16943501,0.27479339,0.00379524,0.10131738,0.03033755,0.53885070
-5.93996998,0.91489552,0.25847696,0.16542640,0.27979285,0.00386512,0.09455184,0.02928311,0.54457453
-5.93396698,0.91116264,0.26237959,0.16245758,0.28413929,0.00393273,0.08948830,0.02810277,0.54958790
-5.92796398,0.90902468,0.26806118,0.16043024,0.28783579,0.00399817,0.08602784,0.02682514,0.55388046
-5.92196098,0.90841389,0.27541170,0.15926433,0.29089780,0.00406207,0.08409232,0.02548047,0.55747637
-5.91595798,0.90934978,0.28436697,0.15889979,0.29335393,0.00412568,0.08362583,0.02409988,0.56043669
-5.90995498,0.91194168,0.29491256,0.15929750,0.29524677,0.00419084,0.08459509,0.02271451,0.56286131
-5.90395198,0.91638913,0.30708588,0.16043972,0.29663387,0.00426002,0.08698914,0.02135479,0.56489037
-5.89794897,0.92297991,0.32097608,0.16232984,0.29758847,0.00433630,0.09081816,0.02004974,0.56670488
-5.89194597,0.93208575,0.33672197,0.16499154,0.29820012,0.00442332,0.09611153,0.01882638,0.56852649
-5.88594297,0.94415546,0.35450762,0.16846746,0.29857494,0.00452520,0.10291536,0.01770919,0.57061593
-5.87993997,0.95970526,0.37455588,0.17281716,0.29883527,0.00464647,0.11128930,0.01671978,0.57327019
-5.87393697,0.97930638,0.39711976,0.17811459,0.29911886,0.00479188,0.12130293,0.01587653,0.57681807
-5.86793397,1.00356969,0.42247194,0.18444500,0.29957719,0.00496630,0.13303167,0.01519445,0.58161401
-5.86193097,1.03312765,0.45089269,0.19190129,0.30037300,0.00517452,0.14655232,0.01468504,0.58803016
-5.85592796,1.06861358,0.48265642,0.20057988,0.30167700,0.00542106,0.16193842,0.01435633,0.59644676
-5.84992496,1.11063879,0.51801748,0.21057625,0.30366379,0.00570995,0.17925535,0.01421287,0.60724091
-5.84392196,1.15976807,0.55719557,0.22198012,0.30650694,0.00604455,0.19855551,0.01425589,0.62077400
-5.83791896,1.21649429,0.60036143,0.23487051,0.31037355,0.00642731,0.21987369,0.01448345,0.63737826
-5.83191596,1.28121293,0.64762340,0.24931082,0.31541841,0.00685960,0.24322259,0.01489061,0.65734278
-5.82591296,1.35419769,0.69901540,0.26534411,0.32177791,0.00734156,0.26858901,0.01546968,0.68089955
-5.81990995,1.43557817,0.75448707,0.28298883,0.32956414,0.00787191,0.29593062,0.01621044,0.70821034
-5.81390695,1.52532067,0.81389651,0.30223505,0.33885927,0.00844788,0.32517357,0.01710040,0.73935472
-5.80790395,1.62321345,0.87700620,0.32304162,0.34971074,0.00906517,0.35621108,0.01812506,0.77432026
-5.80190095,1.72885711,0.94348239,0.34533423,0.36212727,0.00971792,0.38890322,0.01926823,0.81299510
