energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up,Y_p_up,Y_d_up
-6.00000000,1.17326921,0.10277559,0.00107546,0.30352417,0.18304089,0.07011323,0.66960403,0.50140349,0.01427686
-5.99399700,1.15943278,0.10225510,0.00096332,0.30131387,0.17765687,0.06988650,0.66250214,0.49957100,0.01367475
-5.98799400,1.14227410,0.10118744,0.00086854,0.29828446,0.17235407,0.06931973,0.65345692,0.49516558,0.01313058
-5.98199100,1.12114395,0.09956484,0.00078806,0.29421905,0.16696080,0.06839544,0.64208814,0.48810028,0.01262322
-5.97598799,1.09561412,0.09739411,0.00071919,0.28896202,0.16134736,0.06710716,0.62814249,0.47836535,0.01213520
-5.96998499,1.06547206,0.09469602,0.00065960,0.28241884,0.15542447,0.06545913,0.61149103,0.46602532,0.01165263
-5.96398199,1.03070921,0.09150415,0.00060735,0.27455402,0.14914068,0.06346574,0.59212279,0.45121387,0.01116512
-5.95797899,0.99150333,0.08786343,0.00056081,0.26538711,0.14247895,0.06115061,0.57013500,0.43412651,0.01066556
-5.95197599,0.94819629,0.08382830,0.00051871,0.25498726,0.13545244,0.05854538,0.54572054,0.41501161,0.01014986
-5.94597299,0.90126807,0.07946070,0.00048004,0.24346641,0.12809999,0.05568831,0.51915316,0.39416013,0.00961652
-5.93996998,0.85130850,0.07482781,0.00044406,0.23097168,0.12048131,0.05262274,0.49077122,0.37189449,0.00906635
-5.93396698,0.79898774,0.06999986,0.00041027,0.21767712,0.11267217,0.04939548,0.46096079,0.34855706,0.00850196
-5.92796398,0.74502696,0.06504791,0.00037833,0.20377534,0.10475978,0.04605510,0.43013856,0.32449878,0.00792740
-5.92196098,0.69017012,0.06004174,0.00034810,0.18946919,0.09683850,0.04265043,0.39873548,0.30006834,0.00734773
-5.91595798,0.63515812,0.05504797,0.00031954,0.17496401,0.08900611,0.03922902,0.36718165,0.27560223,0.00676862
-5.90995498,0.58070592,0.05012848,0.00029275,0.16046057,0.08136055,0.03583586,0.33589283,0.25141608,0.00619604
-5.90395198,0.52748345,0.04533898,0.00026791,0.14614890,0.07399751,0.03251231,0.30525919,0.22779750,0.00563593
-5.89794897,0.47610065,0.04072811,0.00024525,0.13220332,0.06700867,0.02929517,0.27563635,0.20500056,0.00509393
-5.89194597,0.42709693,0.03633667,0.00022509,0.11877862,0.06048066,0.02621612,0.24733903,0.18324197,0.00457523
-5.88594297,0.38093492,0.03219736,0.00020780,0.10600742,0.05449478,0.02330131,0.22063710,0.16269898,0.00408440
-5.87993997,0.33799843,0.02833469,0.00019379,0.09399881,0.04912744,0.02057122,0.19575415,0.14350891,0.00362529
-5.87393697,0.29859419,0.02476528,0.00018353,0.08283806,0.04445109,0.01804074,0.17286823,0.12577013,0.00320103
-5.86793397,0.26295684,0.02149828,0.00017756,0.07258726,0.04053568,0.01571945,0.15211450,0.10954427,0.00281399
-5.86193097,0.23125657,0.01853611,0.00017646,0.06328691,0.03745053,0.01361201,0.13358946,0.09485952,0.00246585
-5.85592796,0.20360875,0.01587523,0.00018090,0.05495808,0.03526633,0.01171873,0.11735635,0.08171464,0.00215767
-5.84992496,0.18008481,0.01350708,0.00019161,0.04760505,0.03405726,0.01003615,0.10345130,0.07008345,0.00188998
-5.84392196,0.16072359,0.01141901,0.00020943,0.04121825,0.03390303,0.00855775,0.09188986,0.05991968,0.00166288
-5.83791896,0.14554268,0.00959525,0.00023526,0.03577732,0.03489068,0.00727457,0.08267348,0.05116169,0.00147615
-5.83191596,0.13454888,0.00801781,0.00027009,0.03125408,0.03711599,0.00617589,0.07579562,0.04373717,0.00132939
-5.82591296,0.12774750,0.00666738,0.00031502,0.02761535,0.04068437,0.00524987,0.07124719,0.03756737,0.00122207
-5.81990995,0.12514989,0.00552409,0.00037119,0.02482542,0.04571116,0.00448401,0.06902103,0.03257089,0.00115365
-5.81390695,0.12677897,0.00456817,0.00043981,0.02284824,0.05232114,0.00386569,0.06911532,0.02866696,0.00112365
-5.80790395,0.13267249,0.00378055,0.00052211,0.02164905,0.06064731,0.00338255,0.07153571,0.02577804,0.00113170
-5.80190095,0.14288401,0.00314332,0.00061933,0.02119564,0.07082882,0.00302271,0.07629618,0.02383184,0.00117758
-5.79589795,0.15748156,0.00264006,0.00073267,0.02145912,0.08300812,0.00277508,0.08341866,0.02276265,0.00126120
-5.78989495,0.17654411,0.00225617,0.00086325,0.02241424,0.09732729,0.00262940,0.09293142,0.02251218,0.00138263
-5.78389195,0.20015616,0.00197897,0.00101205,0.02403934,0.11392380,0.00257632,0.10486635,0.02302986,0.00154204
-5.77788894,0.22840065,0.00179788,0.00117985,0.02631589,0.13292563,0.00260740,0.11925542,0.02427263,0.00173971
-5.77188594,0.26135073,0.00170438,0.00136720,0.02922784,0.15444614,0.00271505,0.13612642,0.02620444,0.00197588
