energy_ev,total_up,Ga_p_up,Ga_d_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-6.00000000,4.70689923,0.05278445,0.00000000,2.40942365,1.98924373,0.01000355,2.85124152
-5.99399700,4.67646033,0.05215148,0.00000000,2.39723464,1.97198221,0.01003927,2.82339832
-5.98799400,4.63711279,0.05148766,0.00000000,2.37953011,1.95240755,0.01006968,2.78949571
-5.98199100,4.58970353,0.05082450,0.00000000,2.35706102,1.93075904,0.01009632,2.75026136
-5.97598799,4.53516855,0.05019464,0.00000000,2.33065728,1.90728276,0.01012084,2.70648388
-5.96998499,4.47450412,0.04963076,0.00000000,2.30120095,1.88222429,0.01014488,2.65898895
-5.96398199,4.40873715,0.04916453,0.00000000,2.26959767,1.85582171,0.01017001,2.60861497
-5.95797899,4.33889570,0.04882547,0.00000000,2.23674735,1.82829941,0.01019771,2.55618895
-5.95197599,4.26598065,0.04863984,0.00000000,2.20351521,1.79986284,0.01022924,2.50250370
-5.94597299,4.19093961,0.04862958,0.00000000,2.17070410,1.77069443,0.01026563,2.44829685
-5.93996998,4.11464363,0.04881134,0.00000000,2.13902915,1.74095079,0.01030762,2.39423265
-5.93396698,4.03786734,0.04919569,0.00000000,2.10909551,1.71076118,0.01035556,2.34088678
-5.92796398,3.96127318,0.04978642,0.00000000,2.08137996,1.68022726,0.01040945,2.28873472
-5.92196098,3.88539972,0.05058015,0.00000000,2.05621704,1.64942392,0.01046889,2.23814384
-5.91595798,3.81065459,0.05156613,0.00000000,2.03379007,1.61840116,0.01053305,2.18936940
-5.90995498,3.73731199,0.05272625,0.00000000,2.01412759,1.58718684,0.01060073,2.14255438
-5.90395198,3.66551492,0.05403541,0.00000000,1.99710521,1.55579011,0.01067034,2.09773312
-5.89794897,3.59528201,0.05546211,0.00000000,1.98245300,1.52420551,0.01074001,2.05483863
-5.89194597,3.52651904,0.05696932,0.00000000,1.96976826,1.49241756,0.01080761,2.01371329
-5.88594297,3.45903468,0.05851560,0.00000000,1.95853331,1.46040586,0.01087087,1.97412254
-5.87993997,3.39256039,0.06005638,0.00000000,1.94813784,1.42815055,0.01092747,1.93577140
-5.87393697,3.32677385,0.06154552,0.00000000,1.93790503,1.39563824,0.01097517,1.89832308
-5.86793397,3.26132536,0.06293687,0.00000000,1.92712075,1.36286817,0.01101194,1.86141936
