energy_ev,total_up,Co_p_up,Co_d_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,4.92269212,0.27288397,0.26514988,3.42942668,1.96016972,0.02721908,1.12746813,0.02573808,1.67749665
-5.99399700,4.65858859,0.26468199,0.25529860,3.27079963,1.86155834,0.02467514,1.07483804,0.02349424,1.58427119
-5.98799400,4.40728607,0.25637000,0.24539487,3.11608534,1.76669148,0.02230131,1.02417115,0.02147274,1.49526849
-5.98199100,4.16920656,0.24795262,0.23549051,2.96548205,1.67555697,0.02010616,0.97553610,0.01968239,1.41071595
-5.97598799,3.94471626,0.23944672,0.22564325,2.81923098,1.58813015,0.01809527,0.92900540,0.01813000,1.33082225
-5.96998499,3.73415583,0.23088272,0.21591698,2.67762948,1.50438722,0.01627134,0.88465919,0.01682083,1.25578763
-5.96398199,3.53786244,0.22230560,0.20638176,2.54103690,1.42431490,0.01463428,0.84258640,0.01575905,1.18581206
-5.95797899,3.35618288,0.21377518,0.19711365,2.40987355,1.34791616,0.01318148,0.80288345,0.01494809,1.12110109
-5.95197599,3.18947757,0.20536594,0.18819412,2.28461330,1.27521219,0.01190795,0.76565091,0.01439093,1.06186869
-5.94597299,3.03811603,0.19716602,0.17970901,2.16577079,1.20624097,0.01080664,0.73098860,0.01409022,1.00833723
-5.93996998,2.90246458,0.18927564,0.17174710,2.05388465,1.14105305,0.00986873,0.69898963,0.01404840,0.96073414
-5.93396698,2.78286751,0.18180473,0.16439823,1.94949788,1.07970522,0.00908387,0.66973410,0.01426751,0.91928579
-5.92796398,2.67962327,0.17487000,0.15775096,1.85313701,1.02225276,0.00844055,0.64328276,0.01474905,0.88420850
-5.92196098,2.59295727,0.16859150,0.15188985,1.76529118,0.96874115,0.00792634,0.61967146,0.01549360,0.85569736
-5.91595798,2.52299309,0.16308868,0.14689254,1.68639247,0.91919792,0.00752824,0.59890649,0.01650039,0.83391327
-5.90995498,2.46972387,0.15847627,0.14282663,1.61679835,0.87362524,0.00723289,0.58096141,0.01776681,0.81896885
-5.90395198,2.43298551,0.15485998,0.13974648,1.55677720,0.83199394,0.00702688,0.56577533,0.01928781,0.81091402
-5.89794897,2.41243326,0.15233231,0.13769024,1.50649715,0.79423922,0.00689694,0.55325296,0.02105537,0.80972193
-5.89194597,2.40752318,0.15096850,0.13667711,1.46601882,0.76025837,0.00683017,0.54326621,0.02305792,0.81527610
-5.88594297,2.41749950,0.15082298,0.13670502,1.43529186,0.72991069,0.00681419,0.53565744,0.02527988,0.82735949
-5.87993997,2.44138910,0.15192625,0.13774894,1.41415534,0.70301943,0.00683735,0.53024403,0.02770127,0.84564622
-5.87393697,2.47800364,0.15428252,0.13975985,1.40234170,0.67937580,0.00688881,0.52682413,0.03029746,0.86969663
-5.86793397,2.52594985,0.15786808,0.14266451,1.39948404,0.65874468,0.00695865,0.52518331,0.03303916,0.89895622
-5.86193097,2.58364829,0.16263055,0.14636615,1.40512646,0.64087188,0.00703801,0.52510186,0.03589251,0.93275867
-5.85592796,2.64936023,0.16848904,0.15074598,1.41873698,0.62549243,0.00711912,0.52636247,0.03881946,0.97033352
