energy_ev,total_up,Cu_p_up,Cu_d_up,In_p_up,In_d_up,Te_p_up,Te_d_up
-6.00000000,0.88710731,0.35945642,0.60885003,0.01952038,0.00149066,0.25298367,0.00000000
-5.99399700,0.87746472,0.33917293,0.61072087,0.01954390,0.00136711,0.24791936,0.00000000
-5.98799400,0.87544929,0.32331856,0.61712752,0.01977047,0.00126655,0.24542369,0.00000000
-5.98199100,0.88037169,0.31133427,0.62774081,0.02019285,0.00118632,0.24526314,0.00000000
-5.97598799,0.89164281,0.30273417,0.64228703,0.02080594,0.00112402,0.24723688,0.00000000
-5.96998499,0.90877216,0.29710641,0.66054599,0.02160658,0.00107752,0.25117647,0.00000000
-5.96398199,0.93136136,0.29411132,0.68234621,0.02259316,0.00104497,0.25694387,0.00000000
-5.95797899,0.95909368,0.29347729,0.70755754,0.02376525,0.00102476,0.26442823,0.00000000
-5.95197599,0.99172047,0.29499496,0.73608209,0.02512297,0.00101555,0.27354177,0.00000000
-5.94597299,1.02904575,0.29851000,0.76784397,0.02666648,0.00101623,0.28421494,0.00000000
-5.93996998,1.07090983,0.30391511,0.80277871,0.02839533,0.00102587,0.29639128,0.00000000
-5.93396698,1.11717305,0.31114149,0.84082288,0.03030785,0.00104373,0.31002230,0.00000000
-5.92796398,1.16770048,0.32015035,0.88190449,0.03240063,0.00106919,0.32506248,0.00000000
-5.92196098,1.22234833,0.33092464,0.92593481,0.03466794,0.00110174,0.34146489,0.00000000
-5.91595798,1.28095259,0.34346126,0.97280173,0.03710140,0.00114093,0.35917730,0.00000000
-5.90995498,1.34332032,0.35776408,1.02236500,0.03968966,0.00118639,0.37813914,0.00000000
-5.90395198,1.40922366,0.37383770,1.07445349,0.04241821,0.00123773,0.39827926,0.00000000
-5.89794897,1.47839664,0.39168229,1.12886426,0.04526939,0.00129461,0.41951457,0.00000000
-5.89194597,1.55053458,0.41128922,1.18536341,0.04822247,0.00135664,0.44174940,0.00000000
-5.88594297,1.62529571,0.43263776,1.24368845,0.05125388,0.00142344,0.46487576,0.00000000
-5.87993997,1.70230484,0.45569260,1.30355188,0.05433763,0.00149457,0.48877412,0.00000000
-5.87393697,1.78115840,0.48040225,1.36464566,0.05744571,0.00156958,0.51331479,0.00000000
-5.86793397,1.86143063,0.50669817,1.42664637,0.06054869,0.00164796,0.53835976,0.00000000
-5.86193097,1.94268041,0.53449454,1.48922053,0.06361635,0.00172918,0.56376479,0.00000000
-5.85592796,2.02445839,0.56368871,1.55203017,0.06661836,0.00181267,0.58938176,0.00000000
-5.84992496,2.10631422,0.59416208,1.61473819,0.06952496,0.00189782,0.61506107,0.00000000
-5.84392196,2.18780356,0.62578145,1.67701357,0.07230767,0.00198401,0.64065415,0.00000000
-5.83791896,2.26849484,0.65840076,1.73853626,0.07493993,0.00207057,0.66601584,0.00000000
-5.83191596,2.34797562,0.69186313,1.79900182,0.07739777,0.00215685,0.69100678,0.00000000
-5.82591296,2.42585857,0.72600315,1.85812571,0.07966033,0.00224218,0.71549562,0.00000000
-5.81990995,2.50178700,0.76064929,1.91564742,0.08171033,0.00232590,0.73936104,0.00000000
-5.81390695,2.57544001,0.79562644,1.97133422,0.08353452,0.00240735,0.76249370,0.00000000
-5.80790395,2.64653714,0.83075840,2.02498475,0.08512391,0.00248593,0.78479776,0.00000000
-5.80190095,2.71484246,0.86587025,2.07643223,0.08647395,0.00256104,0.80619233,0.00000000
-5.79589795,2.78016802,0.90079056,2.12554735,0.08758468,0.00263218,0.82661247,0.00000000
-5.78989495,2.84237659,0.93535321,2.17224060,0.08846059,0.00269889,0.84600987,0.00000000
-5.78389195,2.90138325,0.96939884,2.21646395,0.08911055,0.00276080,0.86435316,0.00000000
-5.77788894,2.95715606,1.00277586,2.25821174,0.08954755,0.00281766,0.88162770,0.00000000
-5.77188594,3.00971518,1.03534090,2.29752056,0.08978829,0.00286929,0.89783501,0.00000000
-5.76588294,3.05913072,1.06695875,2.33446795,0.08985283,0.00291567,0.91299162,0.00000000
-5.75987994,3.10551894,1.09750179,2.36917000,0.08976399,0.00295687,0.92712752,0.00000000
-5.75387694,3.14903692,1.12684903,2.40177754,0.08954679,0.00299311,0.94028413,0.00000000
-5.74787394,3.18987579,1.15488473,2.43247114,0.08922781,0.00302474,0.95251197,0.00000000
-5.74187094,3.22825267,1.18149692,2.46145496,0.08883452,0.00305222,0.96386793,0.00000000
-5.73586793,3.26440161,1.20657577,2.48894966,0.08839458,0.00307612,0.97441246,0.00000000
-5.72986493,3.29856377,1.23001217,2.51518454,0.08793520,0.00309711,0.98420659,0.00000000
-5.72386193,3.33097747,1.25169650,2.54038936,0.08748245,0.00311593,0.99330908,0.00000000
-5.71785893,3.36186833,1.27151796,2.56478599,0.08706076,0.00313336,1.00177371,0.00000000
-5.71185593,3.39144007,1.28936428,2.58858048,0.08669234,0.00315020,1.00964683,0.00000000
-5.70585293,3.41986633,1.30512228,2.61195573,0.08639688,0.00316726,1.01696531,0.00000000
-5.69984992,3.44728395,1.31867897,2.63506514,0.08619126,0.00318528,1.02375499,0.00000000
-5.69384692,3.47378794,1.32992337,2.65802756,0.08608941,0.00320496,1.03002958,0.00000000
-5.68784392,3.49942841,1.33874902,2.68092366,0.08610236,0.00322687,1.03579011,0.00000000
-5.68184092,3.52420949,1.34505692,2.70379395,0.08623840,0.00325147,1.04102493,0.00000000
-5.67583792,3.54809036,1.34875891,2.72663841,0.08650337,0.00327906,1.04571022,0.00000000
-5.66983492,3.57098809,1.34978124,2.74941772,0.08690111,0.00330979,1.04981084,0.00000000
-5.66383192,3.59278233,1.34806820,2.77205603,0.08743392,0.00334362,1.05328178,0.00000000
-5.65782891,3.61332142,1.34358549,2.79444497,0.08810320,0.00338035,1.05606972,0.00000000
-5.65182591,3.63242963,1.33632334,2.81644884,0.08890999,0.00341959,1.05811493,0.00000000
-5.64582291,3.64991520,1.32629906,2.83791048,0.08985560,0.00346079,1.05935340,0.00000000
-5.63981991,3.66557878,1.31355886,2.85865772,0.09094215,0.00350326,1.05971895,0.00000000
-5.63381691,3.67922182,1.29817903,2.87851001,0.09217299,0.00354617,1.05914549,0.00000000
-5.62781391,3.69065473,1.28026613,2.89728493,0.09355307,0.00358863,1.05756922,0.00000000
-5.62181091,3.69970423,1.25995648,2.91480430,0.09508908,0.00362965,1.05493081,0.00000000
-5.61580790,3.70621988,1.23741464,2.93089971,0.09678953,0.00366824,1.05117748,0.00000000
-5.60980490,3.71007931,1.21283120,2.94541718,0.09866457,0.00370343,1.04626493,0.00000000
-5.60380190,3.71119224,1.18641982,2.95822091,0.10072575,0.00373426,1.04015915,0.00000000
-5.59779890,3.70950303,1.15841364,2.96919594,0.10298562,0.00375990,1.03283797,0.00000000
-5.59179590,3.70499182,1.12906132,2.97824974,0.10545723,0.00377961,1.02429242,0.00000000
-5.58579290,3.69767437,1.09862260,2.98531288,0.10815364,0.00379280,1.01452780,0.00000000
-5.57978989,3.68760066,1.06736389,2.99033867,0.11108742,0.00379904,1.00356440,0.00000000
-5.57378689,3.67485257,1.03555371,2.99330216,0.11427026,0.00379809,0.99143790,0.00000000
-5.56778389,3.65954077,1.00345842,2.99419859,0.11771269,0.00378988,0.97819938,0.00000000
-5.56178089,3.64180124,0.97133817,2.99304155,0.12142405,0.00377454,0.96391495,0.00000000
