energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Te_p_up,Te_d_up
-6.00000000,5.59941746,1.04220353,3.81596976,0.03135738,0.10076265,0.95112391,0.54040913,1.26709734,0.00000000
-5.99399700,5.51674153,1.01905359,3.75813112,0.03061629,0.09886390,0.92253903,0.53892566,1.24619923,0.00000000
-5.98799400,5.43721110,0.99673114,3.70193618,0.02989911,0.09703884,0.89517116,0.53787350,1.22634611,0.00000000
-5.98199100,5.36115087,0.97531365,3.64776755,0.02921247,0.09527675,0.86922001,0.53715884,1.20755166,0.00000000
-5.97598799,5.28869673,0.95483327,3.59589573,0.02856108,0.09356469,0.84484197,0.53666281,1.18977628,0.00000000
-5.96998499,5.21977940,0.93527810,3.54645674,0.02794761,0.09188800,0.82214640,0.53624562,1.17292912,0.00000000
-5.96398199,5.15411770,0.91659532,3.49943594,0.02737275,0.09023080,0.80119371,0.53575194,1.15687247,0.00000000
-5.95797899,5.09122196,0.89869613,3.45465939,0.02683524,0.08857663,0.78199486,0.53501693,1.14142844,0.00000000
-5.95197599,5.03040776,0.88146219,3.41179320,0.02633210,0.08690900,0.76451266,0.53387297,1.12638736,0.00000000
-5.94597299,4.97081965,0.86475323,3.37035132,0.02585881,0.08521211,0.74866464,0.53215652,1.11151772,0.00000000
-5.93996998,4.91146379,0.84841547,3.32971150,0.02540969,0.08347133,0.73432743,0.52971498,1.09657703,0.00000000
-5.93396698,4.85124838,0.83229041,3.28913889,0.02497815,0.08167388,0.72134255,0.52641308,1.08132317,0.00000000
-5.92796398,4.78902984,0.81622360,3.24781625,0.02455715,0.07980923,0.70952331,0.52213862,1.06552563,0.00000000
-5.92196098,4.72366260,0.80007283,3.20487917,0.02413952,0.07786959,0.69866267,0.51680714,1.04897614,0.00000000
-5.91595798,4.65405028,0.78371557,3.15945489,0.02371837,0.07585024,0.68854159,0.51036550,1.03149813,0.00000000
-5.90995498,4.57919549,0.76705503,3.11070239,0.02328741,0.07374968,0.67893765,0.50279400,1.01295466,0.00000000
-5.90395198,4.49824612,0.75002484,3.05785214,0.02284128,0.07156979,0.66963354,0.49410709,0.99325438,0.00000000
-5.89794897,4.41053543,0.73259188,3.00024315,0.02237579,0.06931580,0.66042493,0.48435259,0.97235530,0.00000000
-5.89194597,4.31561440,0.71475736,2.93735562,0.02188811,0.06699610,0.65112759,0.47360946,0.95026618,0.00000000
-5.88594297,4.21327437,0.69655604,2.86883760,0.02137690,0.06462197,0.64158325,0.46198429,0.92704554,0.00000000
-5.87993997,4.10355924,0.67805364,2.79452420,0.02084235,0.06220725,0.63166399,0.44960663,0.90279838,0.00000000
-5.87393697,3.98676661,0.65934274,2.71444869,0.02028613,0.05976778,0.62127510,0.43662342,0.87767076,0.00000000
-5.86793397,3.86343791,0.64053727,2.62884491,0.01971136,0.05732088,0.61035611,0.42319292,0.85184270,0.00000000
-5.86193097,3.73433846,0.62176608,2.53814116,0.01912238,0.05488476,0.59888017,0.40947816,0.82551958,0.00000000
-5.85592796,3.60042848,0.60316582,2.44294600,0.01852458,0.05247783,0.58685179,0.39564061,0.79892275,0.00000000
-5.84992496,3.46282678,0.58487364,2.34402697,0.01792416,0.05011812,0.57430317,0.38183403,0.77227971,0.00000000
-5.84392196,3.32276934,0.56702012,2.24228345,0.01732781,0.04782264,0.56128931,0.36819898,0.74581437,0.00000000
-5.83791896,3.18156469,0.54972266,2.13871516,0.01674246,0.04560683,0.54788235,0.35485822,0.71973799,0.00000000
-5.83191596,3.04054870,0.53307994,2.03438806,0.01617498,0.04348416,0.53416540,0.34191317,0.69424116,0.00000000
-5.82591296,2.90104081,0.51716747,1.93039932,0.01563192,0.04146568,0.52022635,0.32944148,0.66948723,0.00000000
-5.81990995,2.76430381,0.50203469,1.82784300,0.01511926,0.03955983,0.50615192,0.31749597,0.64560749,0.00000000
-5.81390695,2.63150883,0.48770347,1.72777800,0.01464218,0.03777229,0.49202245,0.30610472,0.62269820,0.00000000
-5.80790395,2.50370685,0.47416828,1.63119956,0.01420494,0.03610597,0.47790758,0.29527244,0.60081961,0.00000000
-5.80190095,2.38180763,0.46139787,1.53901532,0.01381077,0.03456113,0.46386307,0.28498284,0.57999694,0.00000000
-5.79589795,2.26656638,0.44933822,1.45202649,0.01346176,0.03313561,0.44992900,0.27520183,0.56022297,0.00000000
-5.78989495,2.15857808,0.43791671,1.37091474,0.01315893,0.03182509,0.43612920,0.26588146,0.54146227,0.00000000
-5.78389195,2.05827896,0.42704707,1.29623452,0.01290220,0.03062351,0.42247206,0.25696417,0.52365644,0.00000000
-5.77788894,1.96595440,0.41663494,1.22841087,0.01269053,0.02952345,0.40895241,0.24838726,0.50673025,0.00000000
-5.77188594,1.88175188,0.40658352,1.16774194,0.01252202,0.02851659,0.39555436,0.24008718,0.49059810,0.00000000
-5.76588294,1.80569802,0.39679916,1.11440580,0.01239402,0.02759413,0.38225488,0.23200357,0.47517046,0.00000000
-5.75987994,1.73771818,0.38719649,1.06847062,0.01230338,0.02674719,0.36902773,0.22408270,0.46035998,0.00000000
-5.75387694,1.67765735,0.37770287,1.02990733,0.01224652,0.02596721,0.35584750,0.21628031,0.44608688,0.00000000
-5.74787394,1.62530123,0.36826191,0.99860416,0.01221967,0.02524624,0.34269347,0.20856362,0.43228341,0.00000000
-5.74187094,1.58039637,0.35883597,0.97438196,0.01221902,0.02457720,0.32955315,0.20091259,0.41889724,0.00000000
-5.73586793,1.54266869,0.34940766,0.95700986,0.01224087,0.02395405,0.31642498,0.19332034,0.40589368,0.00000000
-5.72986493,1.51183968,0.33998012,0.94622049,0.01228174,0.02337195,0.30332048,0.18579284,0.39325670,0.00000000
-5.72386193,1.48764008,0.33057642,0.94172438,0.01233855,0.02282726,0.29026541,0.17834793,0.38098889,0.00000000
-5.71785893,1.46982072,0.32123809,0.94322310,0.01240861,0.02231759,0.27730004,0.17101388,0.36911050,0.00000000
-5.71185593,1.45816080,0.31202286,0.95042081,0.01248978,0.02184172,0.26447873,0.16382755,0.35765771,0.00000000
-5.70585293,1.45247348,0.30300200,0.96303416,0.01258047,0.02139958,0.25186855,0.15683232,0.34668031,0.00000000
-5.69984992,1.45260921,0.29425728,0.98080026,0.01267965,0.02099208,0.23954750,0.15007606,0.33623918,0.00000000
-5.69384692,1.45845696,0.28587788,1.00348264,0.01278689,0.02062104,0.22760213,0.14360908,0.32640354,0.00000000
-5.68784392,1.46994367,0.27795731,1.03087525,0.01290231,0.02028908,0.21612497,0.13748242,0.31724843,0.00000000
-5.68184092,1.48703201,0.27059055,1.06280426,0.01302658,0.01999947,0.20521173,0.13174635,0.30885232,0.00000000
-5.67583792,1.50971679,0.26387153,1.09912784,0.01316085,0.01975605,0.19495864,0.12644932,0.30129514,0.00000000
-5.66983492,1.53801987,0.25789090,1.13973383,0.01330671,0.01956307,0.18545990,0.12163728,0.29465671,0.00000000
-5.66383192,1.57198394,0.25273424,1.18453526,0.01346609,0.01942514,0.17680533,0.11735339,0.28901558,0.00000000
-5.65782891,1.61166495,0.24848058,1.23346401,0.01364123,0.01934707,0.16907845,0.11363810,0.28444825,0.00000000
-5.65182591,1.65712338,0.24520133,1.28646261,0.01383454,0.01933380,0.16235479,0.11052953,0.28102872,0.00000000
-5.64582291,1.70841431,0.24295928,1.34347443,0.01404856,0.01939022,0.15670057,0.10806399,0.27882820,0.00000000
-5.63981991,1.76557658,0.24180794,1.40443270,0.01428578,0.01952111,0.15217176,0.10627675,0.27791493,0.00000000
-5.63381691,1.82862103,0.24179078,1.46924869,0.01454859,0.01973095,0.14881327,0.10520261,0.27835399,0.00000000
-5.62781391,1.89751838,0.24294060,1.53779957,0.01483914,0.02002378,0.14665845,0.10487658,0.28020682,0.00000000
-5.62181091,1.97218691,0.24527874,1.60991660,0.01515922,0.02040302,0.14572871,0.10533414,0.28353063,0.00000000
-5.61580790,2.05248068,0.24881424,1.68537433,0.01551014,0.02087131,0.14603316,0.10661140,0.28837734,0.00000000
-5.60980490,2.13817863,0.25354291,1.76388135,0.01589264,0.02143033,0.14756838,0.10874471,0.29479214,0.00000000
-5.60380190,2.22897543,0.25944627,1.84507349,0.01630676,0.02208066,0.15031817,0.11177003,0.30281169,0.00000000
-5.59779890,2.32447453,0.26649048,1.92850992,0.01675176,0.02282157,0.15425325,0.11572177,0.31246187,0.00000000
