energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,5.36422478,0.22576112,0.07985957,1.39760440,0.68923750,0.07182810,2.70240766,2.42826443,0.27647090
-5.99399700,5.33586926,0.22578929,0.07955084,1.39972931,0.68864131,0.07048185,2.68760560,2.40110180,0.27448261
-5.98799400,5.29156180,0.22463286,0.07909441,1.39620780,0.68527241,0.06945090,2.66515257,2.36117384,0.27278029
-5.98199100,5.23293465,0.22234088,0.07853486,1.38738201,0.67927569,0.06876271,2.63587993,2.30929671,0.27148286
-5.97598799,5.16195491,0.21898649,0.07792441,1.37372475,0.67086122,0.06843402,2.60076938,2.24653671,0.27070346
-5.96998499,5.08086662,0.21466495,0.07732222,1.35582618,0.66029783,0.06847042,2.56092238,2.17417831,0.27054720
-5.96398199,4.99212491,0.20949100,0.07679316,1.33437659,0.64790480,0.06886620,2.51752629,2.09368645,0.27110901
-5.95797899,4.89832442,0.20359565,0.07640643,1.31014596,0.63404207,0.06960464,2.47181882,2.00666455,0.27247190
-5.95197599,4.80212460,0.19712246,0.07623375,1.28396103,0.61909915,0.07065854,2.42505184,1.91481008,0.27470546
-5.94597299,4.70617450,0.19022363,0.07634734,1.25668075,0.60348336,0.07199119,2.37845606,1.81986908,0.27786462
-5.93996998,4.61303965,0.18305579,0.07681764,1.22917087,0.58760772,0.07355748,2.33320765,1.72359145,0.28198881
-5.93396698,4.52513324,0.17577583,0.07771097,1.20227859,0.57187889,0.07530539,2.29039798,1.62768826,0.28710124
-5.92796398,4.44465378,0.16853680,0.07908704,1.17680824,0.55668567,0.07717762,2.25100713,1.53379251,0.29320845
-5.92196098,4.37353091,0.16148401,0.08099658,1.15349857,0.54238840,0.07911337,2.21588206,1.44342415,0.30030010
-5.91595798,4.31338072,0.15475152,0.08347903,1.13300251,0.52930955,0.08105027,2.18571955,1.35796017,0.30834882
-5.90995498,4.26547137,0.14845899,0.08656061,1.11586999,0.51772578,0.08292627,2.16105431,1.27861017,0.31731029
-5.90395198,4.23069950,0.14270901,0.09025259,1.10253420,0.50786174,0.08468162,2.14225212,1.20639774,0.32712329
-5.89794897,4.20957756,0.13758508,0.09455013,1.09330172,0.49988558,0.08626065,2.12950763,1.14214737,0.33771002
-5.89194597,4.20223166,0.13314995,0.09943160,1.08834668,0.49390636,0.08761352,2.12284673,1.08647679,0.34897631
-5.88594297,4.20840940,0.12944480,0.10485848,1.08770906,0.48997325,0.08869774,2.12213268,1.03979449,0.36081213
-5.87993997,4.22749698,0.12648875,0.11077593,1.09129702,0.48807648,0.08947942,2.12707566,1.00230165,0.37309214
-5.87393697,4.25854441,0.12427915,0.11711394,1.09889317,0.48814991,0.08993427,2.13724521,0.97399820,0.38567648
-5.86793397,4.30029796,0.12279226,0.12378919,1.11016439,0.49007501,0.09004828,2.15208485,0.95469248,0.39841176
-5.86193097,4.35123866,0.12198458,0.13070734,1.12467490,0.49368608,0.08981809,2.17092854,0.94401380,0.41113244
-5.85592796,4.40962559,0.12179449,0.13776597,1.14190213,0.49877653,0.08925093,2.19301853,0.94142771,0.42366252
-5.84992496,4.47354303,0.12214453,0.14485774,1.16125475,0.50510587,0.08836426,2.21752415,0.94625339,0.43581768
-5.84392196,4.54095010,0.12294382,0.15187391,1.18209235,0.51240728,0.08718509,2.24356135,0.95768296,0.44740786
-5.83791896,4.60973196,0.12409101,0.15870785,1.20374604,0.52039541,0.08574892,2.27021255,0.97480224,0.45824032
-5.83191596,4.67775130,0.12547730,0.16525855,1.22553933,0.52877438,0.08409843,2.29654675,0.99661290,0.46812318
-5.82591296,4.74289909,0.12698973,0.17143382,1.24680862,0.53724549,0.08228194,2.32163947,1.02205554,0.47686929
-5.81990995,4.80314345,0.12851453,0.17715314,1.26692253,0.54551466,0.08035168,2.34459238,1.05003350,0.48430055
-5.81390695,4.85657559,0.12994044,0.18234997,1.28529947,0.55329931,0.07836192,2.36455224,1.07943702,0.49025235
-5.80790395,4.90145173,0.13116192,0.18697336,1.30142288,0.56033458,0.07636708,2.38072893,1.10916745,0.49457813
-5.80190095,4.93623013,0.13208221,0.19098893,1.31485366,0.56637874,0.07441983,2.39241219,1.13816092,0.49715387
-5.79589795,4.95960229,0.13261605,0.19437895,1.32523936,0.57121762,0.07256930,2.39898664,1.16541119,0.49788230
-5.78989495,4.97051770,0.13269202,0.19714181,1.33231997,0.57466820,0.07085940,2.39994488,1.18999090,0.49669671
-5.78389195,4.96820164,0.13225448,0.19929069,1.33593022,0.57658103,0.06932746,2.39489824,1.21107101,0.49356414
