energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-6.00000000,3.90762579,0.00561687,0.30263282,0.86353042,1.28019405,0.60278453,1.15349737,0.03679642,1.22915045
-5.99399700,3.88989482,0.00524212,0.29590388,0.85035566,1.29262502,0.58333704,1.14160056,0.03663893,1.22827351
-5.98799400,3.86489434,0.00485833,0.28813204,0.83445181,1.30385415,0.56265011,1.12759863,0.03634432,1.22479335
-5.98199100,3.83385448,0.00447136,0.27948232,0.81617719,1.31406285,0.54113621,1.11199925,0.03592392,1.21896568
-5.97598799,3.79794853,0.00408665,0.27012424,0.79590565,1.32338596,0.51919157,1.09529760,0.03539071,1.21103121
-5.96998499,3.75825309,0.00370919,0.26022658,0.77401498,1.33190485,0.49718535,1.07795985,0.03475881,1.20120742
-5.96398199,3.71571531,0.00334335,0.24995237,0.75087588,1.33964365,0.47545052,1.06040854,0.03404298,1.18968249
-5.95797899,3.67112837,0.00299287,0.23945470,0.72684202,1.34656871,0.45427663,1.04301057,0.03325802,1.17661146
-5.95197599,3.62511616,0.00266082,0.22887305,0.70224149,1.35259132,0.43390472,1.02606811,0.03241832,1.16211476
-5.94597299,3.57812706,0.00234954,0.21833073,0.67736985,1.35757335,0.41452450,1.00981268,0.03153738,1.14627911
-5.93996998,3.53043696,0.00206072,0.20793305,0.65248505,1.36133555,0.39627360,0.99440268,0.03062741,1.12916043
-5.93396698,3.48216053,0.00179541,0.19776652,0.62780414,1.36366789,0.37923894,0.97992411,0.02969903,1.11078862
-5.92796398,3.43326992,0.00155407,0.18789894,0.60350194,1.36434137,0.36345990,0.96639447,0.02876111,1.09117375
-5.92196098,3.38361933,0.00133661,0.17838023,0.57971145,1.36312074,0.34893307,0.95376946,0.02782059,1.07031319
-5.91595798,3.33297386,0.00114251,0.16924406,0.55652585,1.35977723,0.33561825,0.94195198,0.02688258,1.04819918
