energy_ev,total_up,As_p_up,As_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,1.78579657,0.29004694,0.00000000,0.51069035,0.00000000,0.55037995,0.30014183
-5.99399700,1.68948019,0.27359995,0.00000000,0.48419363,0.00000000,0.52417583,0.28427738
-5.98799400,1.59327972,0.25752689,0.00000000,0.45714615,0.00000000,0.49684915,0.26820537
-5.98199100,1.49822967,0.24197027,0.00000000,0.42993396,0.00000000,0.46883467,0.25207868
-5.97598799,1.40537928,0.22706462,0.00000000,0.40296528,0.00000000,0.44058862,0.23605159
-5.96998499,1.31578354,0.21293559,0.00000000,0.37666624,0.00000000,0.41258109,0.22027746
-5.96398199,1.23049419,0.19969940,0.00000000,0.35147663,0.00000000,0.38528854,0.20490629
-5.95797899,1.15055127,0.18746236,0.00000000,0.32784571,0.00000000,0.35918701,0.19008236
-5.95197599,1.07697566,0.17632083,0.00000000,0.30622831,0.00000000,0.33474598,0.17594206
-5.94597299,1.01076313,0.16636144,0.00000000,0.28708126,0.00000000,0.31242324,0.16261200
-5.93996998,0.95287972,0.15766166,0.00000000,0.27086024,0.00000000,0.29266076,0.15020763
-5.93396698,0.90425880,0.15029069,0.00000000,0.25801680,0.00000000,0.27588152,0.13883216
-5.92796398,0.86579916,0.14431064,0.00000000,0.24899564,0.00000000,0.26248715,0.12857615
-5.92196098,0.83836391,0.13977778,0.00000000,0.24423179,0.00000000,0.25285626,0.11951743
-5.91595798,0.82277940,0.13674397,0.00000000,0.24414747,0.00000000,0.24734308,0.11172151
-5.90995498,0.81983349,0.13525792,0.00000000,0.24914849,0.00000000,0.24627621,0.10524230
-5.90395198,0.83027236,0.13536631,0.00000000,0.25961972,0.00000000,0.24995713,0.10012309
-5.89794897,0.85479520,0.13711454,0.00000000,0.27591962,0.00000000,0.25865819,0.09639762
-5.89194597,0.89404616,0.14054716,0.00000000,0.29837360,0.00000000,0.27261986,0.09409117
-5.88594297,0.94860316,0.14570763,0.00000000,0.32726611,0.00000000,0.29204718,0.09322156
