energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,Y_p_up,Y_d_up,Zn_p_up,Zn_d_up
-6.00000000,3.58101219,0.06087740,0.52762472,0.04304293,1.57183729,1.18607763,1.12862883,0.12710561,0.32091592
-5.99399700,3.59854335,0.06141657,0.53525210,0.04367012,1.58320302,1.20594170,1.14048042,0.12582492,0.31236596
-5.98799400,3.61290795,0.06190573,0.54274796,0.04434593,1.59270876,1.22674128,1.15032763,0.12419089,0.30419923
-5.98199100,3.62382150,0.06233714,0.55002844,0.04505077,1.60031701,1.24839005,1.15813135,0.12223594,0.29628775
-5.97598799,3.63116730,0.06270425,0.55702108,0.04576462,1.60606658,1.27081878,1.16391150,0.12000272,0.28852465
-5.96998499,3.63498068,0.06300178,0.56366523,0.04646748,1.61006265,1.29397009,1.16774106,0.11754241,0.28082459
-5.96398199,3.63542950,0.06322560,0.56991205,0.04713991,1.61246534,1.31779263,1.16973914,0.11491265,0.27312365
-5.95797899,3.63279187,0.06337266,0.57572428,0.04776347,1.61347726,1.34223514,1.17006325,0.11217541,0.26537867
-5.95197599,3.62743190,0.06344097,0.58107548,0.04832120,1.61333050,1.36724049,1.16890125,0.10939476,0.25756617
-5.94597299,3.61977486,0.06342948,0.58594908,0.04879797,1.61227390,1.39274006,1.16646324,0.10663467,0.24968077
-5.93996998,3.61028230,0.06333799,0.59033707,0.04918090,1.61056079,1.41864872,1.16297363,0.10395692,0.24173316
-5.93396698,3.59942832,0.06316719,0.59423853,0.04945958,1.60843782,1.44486059,1.15866364,0.10141921,0.23374785
-5.92796398,3.58767761,0.06291853,0.59765794,0.04962628,1.60613522,1.47124585,1.15376435,0.09907345,0.22576063
-5.92196098,3.57546594,0.06259427,0.60060348,0.04967611,1.60385863,1.49764883,1.14850046,0.09696445,0.21781583
-5.91595798,3.56318355,0.06219749,0.60308526,0.04960701,1.60178268,1.52388738,1.14308475,0.09512883,0.20996359
-5.90995498,3.55116181,0.06173207,0.60511374,0.04941972,1.60004647,1.54975379,1.13771324,0.09359433,0.20225713
-5.90395198,3.53966325,0.06120273,0.60669823,0.04911765,1.59875071,1.57501711,1.13256110,0.09237946,0.19475020
-5.89794897,3.52887515,0.06061504,0.60784570,0.04870672,1.59795663,1.59942698,1.12777922,0.09149344,0.18749466
-5.89194597,3.51890642,0.05997537,0.60855987,0.04819505,1.59768621,1.62271882,1.12349136,0.09093646,0.18053846
-5.88594297,3.50978766,0.05929093,0.60884068,0.04759265,1.59792389,1.64462013,1.11979193,0.09070027,0.17392385
-5.87993997,3.50147420,0.05856960,0.60868410,0.04691110,1.59861918,1.66485779,1.11674430,0.09076889,0.16768612
-5.87393697,3.49385164,0.05781987,0.60808237,0.04616318,1.59969016,1.68316599,1.11437972,0.09111955,0.16185265
-5.86793397,3.48674351,0.05705065,0.60702452,0.04536241,1.60102764,1.69929442,1.11269675,0.09172381,0.15644243
-5.86193097,3.47992079,0.05627106,0.60549723,0.04452274,1.60249969,1.71301638,1.11166137,0.09254868,0.15146602
-5.85592796,3.47311257,0.05549018,0.60348592,0.04365816,1.60395649,1.72413639,1.11120777,0.09355784,0.14692584
-5.84992496,3.46601770,0.05471676,0.60097594,0.04278231,1.60523534,1.73249693,1.11123983,0.09471285,0.14281684
-5.84392196,3.45831670,0.05395897,0.59795387,0.04190822,1.60616559,1.73798384,1.11163345,0.09597433,0.13912735
-5.83791896,3.44968376,0.05322403,0.59440864,0.04104802,1.60657370,1.74053019,1.11223969,0.09730305,0.13584026
-5.83191596,3.43979822,0.05251798,0.59033266,0.04021274,1.60628801,1.74011823,1.11288868,0.09866097,0.13293418
-5.82591296,3.42835530,0.05184541,0.58572254,0.03941210,1.60514337,1.73677945,1.11339441,0.10001216,0.13038472
-5.81990995,3.41507570,0.05120928,0.58057963,0.03865442,1.60298556,1.73059241,1.11356017,0.10132359,0.12816569
-5.81390695,3.39971372,0.05061075,0.57491020,0.03794650,1.59967529,1.72167866,1.11318458,0.10256582,0.12625020
-5.80790395,3.38206388,0.05004915,0.56872520,0.03729365,1.59509182,1.71019683,1.11206799,0.10371346,0.12461163
-5.80190095,3.36196554,0.04952199,0.56203980,0.03669960,1.58913606,1.69633509,1.11001909,0.10474562,0.12322431
-5.79589795,3.33930583,0.04902508,0.55487261,0.03616661,1.58173307,1.68030251,1.10686137,0.10564606,0.12206406
-5.78989495,3.31402054,0.04855272,0.54724468,0.03569544,1.57283384,1.66231972,1.10243923,0.10640331,0.12110848
-5.78389195,3.28609326,0.04809796,0.53917847,0.03528549,1.56241633,1.64260938,1.09662350,0.10701058,0.12033695
-5.77788894,3.25555279,0.04765296,0.53069676,0.03493483,1.55048563,1.62138701,1.08931593,0.10746555,0.11973053
-5.77188594,3.22246921,0.04720935,0.52182175,0.03464030,1.53707332,1.59885284,1.08045269,0.10777003,0.11927165
-5.76588294,3.18694883,0.04675865,0.51257432,0.03439759,1.52223597,1.57518498,1.07000654,0.10792952,0.11894374
-5.75987994,3.14912834,0.04629273,0.50297367,0.03420138,1.50605291,1.55053452,1.05798756,0.10795263,0.11873082
-5.75387694,3.10916892,0.04580417,0.49303733,0.03404542,1.48862337,1.52502286,1.04444257,0.10785055,0.11861706
-5.74787394,3.06725035,0.04528669,0.48278158,0.03392267,1.47006323,1.49874140,1.02945320,0.10763637,0.11858653
-5.74187094,3.02356598,0.04473547,0.47222236,0.03382541,1.45050146,1.47175374,1.01313279,0.10732442,0.11862300
-5.73586793,2.97831877,0.04414748,0.46137653,0.03374544,1.43007677,1.44410031,0.99562229,0.10692973,0.11870994
-5.72986493,2.93171889,0.04352163,0.45026353,0.03367422,1.40893438,1.41580520,0.97708560,0.10646744,0.11883072
-5.72386193,2.88398314,0.04285896,0.43890731,0.03360310,1.38722352,1.38688478,0.95770445,0.10595236,0.11896903
-5.71785893,2.83533639,0.04216268,0.42733840,0.03352354,1.36509562,1.35735776,0.93767336,0.10539865,0.11910950
-5.71185593,2.78601498,0.04143816,0.41559598,0.03342737,1.34270353,1.32725594,0.91719481,0.10481958,0.11923846
-5.70585293,2.73627200,0.04069283,0.40372988,0.03330706,1.32020174,1.29663519,0.89647508,0.10422750,0.11934484
-5.69984992,2.68638417,0.03993603,0.39180228,0.03315601,1.29774771,1.26558589,0.87572094,0.10363392,0.11942115
-5.69384692,2.63665970,0.03917875,0.37988902,0.03296883,1.27550417,1.23424219,0.85513717,0.10304965,0.11946441
-5.68784392,2.58744670,0.03843339,0.36808042,0.03274163,1.25364210,1.20278949,0.83492536,0.10248510,0.11947707
-5.68184092,2.53914117,0.03771343,0.35648150,0.03247228,1.23234439,1.17146963,0.81528353,0.10195064,0.11946768
-5.67583792,2.49219411,0.03703301,0.34521149,0.03216065,1.21180945,1.14058332,0.79640677,0.10145696,0.11945140
-5.66983492,2.44711656,0.03640661,0.33440265,0.03180874,1.19225467,1.11048954,0.77848859,0.10101539,0.11945019
-5.66383192,2.40448219,0.03584856,0.32419845,0.03142084,1.17391921,1.08160184,0.76172274,0.10063819,0.11949262
-5.65782891,2.36492641,0.03537263,0.31475102,0.03100350,1.15706559,1.05438140,0.74630512,0.10033873,0.11961333
-5.65182591,2.32914183,0.03499159,0.30621805,0.03056557,1.14197988,1.02932726,0.73243562,0.10013151,0.11985214
-5.64582291,2.29786959,0.03471677,0.29875921,0.03011797,1.12897016,1.00696382,0.72031941,0.10003205,0.12025267
-5.63981991,2.27188646,0.03455762,0.29253219,0.02967352,1.11836293,0.98782624,0.71016750,0.10005656,0.12086077
-5.63381691,2.25198803,0.03452131,0.28768853,0.02924660,1.11049765,0.97244431,0.70219627,0.10022151,0.12172254
-5.62781391,2.23896836,0.03461239,0.28436941,0.02885278,1.10571915,0.96132528,0.69662583,0.10054301,0.12288222
-5.62181091,2.23359679,0.03483246,0.28270151,0.02850832,1.10436850,0.95493664,0.69367711,0.10103606,0.12437995
-5.61580790,2.23659275,0.03517995,0.28279312,0.02822974,1.10677232,0.95368925,0.69356778,0.10171376,0.12624951
-5.60980490,2.24859970,0.03564997,0.28473061,0.02803322,1.11323117,0.95792181,0.69650686,0.10258648,0.12851623
-5.60380190,2.27015939,0.03623425,0.28857550,0.02793409,1.12400753,0.96788712,0.70268851,0.10366107,0.13119508
-5.59779890,2.30168743,0.03692123,0.29436204,0.02794633,1.13931386,0.98374068,0.71228504,0.10494012,0.13428903
-5.59179590,2.34345159,0.03769622,0.30209554,0.02808202,1.15930142,1.00553228,0.72543943,0.10642146,0.13778795
-5.58579290,2.39555377,0.03854170,0.31175141,0.02835097,1.18405038,1.03320062,0.74225791,0.10809771,0.14166791
-5.57978989,2.45791657,0.03943774,0.32327497,0.02876032,1.21356180,1.06657133,0.76280280,0.10995617,0.14589102
-5.57378689,2.53027515,0.04036256,0.33658206,0.02931430,1.24775192,1.10535844,0.78708593,0.11197892,0.15040586
-5.56778389,2.61217493,0.04129309,0.35156021,0.03001404,1.28644901,1.14916903,0.81506325,0.11414314,0.15514850
-5.56178089,2.70297529,0.04220572,0.36807064,0.03085753,1.32939323,1.19751111,0.84663064,0.11642172,0.16004397
-5.55577789,2.80185925,0.04307698,0.38595073,0.03183961,1.37623926,1.24980420,0.88162140,0.11878406,0.16500828
-5.54977489,2.90784877,0.04388434,0.40501699,0.03295216,1.42656202,1.30539226,0.91980544,0.12119709,0.16995079
-5.54377189,3.01982518,0.04460692,0.42506840,0.03418435,1.47986506,1.36355861,0.96089054,0.12362638,0.17477697
-5.53776888,3.13655399,0.04522617,0.44589005,0.03552288,1.53559137,1.42354217,1.00452545,0.12603737,0.17939122
-5.53176588,3.25671315,0.04572648,0.46725694,0.03695247,1.59313630,1.48455469,1.05030502,0.12839657,0.18369987
-5.52576288,3.37892380,0.04609566,0.48893782,0.03845619,1.65186211,1.54579827,1.09777717,0.13067280,0.18761408
-5.51975988,3.50178240,0.04632533,0.51069904,0.04001603,1.71111352,1.60648292,1.14645157,0.13283825,0.19105261
-5.51375688,3.62389322,0.04641108,0.53230830,0.04161327,1.77023392,1.66584350,1.19580977,0.13486941,0.19394430
-5.50775388,3.74390006,0.04635260,0.55353826,0.04322904,1.82858141,1.72315590,1.24531653,0.13674783,0.19623011
-5.50175088,3.86051644,0.04615349,0.57416987,0.04484469,1.88554449,1.77775196,1.29443195,0.13846060,0.19786488
