energy_ev,total_up,total_down,Bi_p_up,Bi_p_down,Bi_d_up,Bi_d_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,2.69254425,-2.80634360,0.23440314,-0.25278370,0.00845191,-0.00881370,1.03181752,-1.11564800,0.60375844,-0.61497695,0.00829732,-0.00732688,1.53523413,-1.59842041
-5.99399700,2.63918868,-2.73026836,0.22284243,-0.24193627,0.00822995,-0.00859036,0.99322729,-1.06669246,0.59822987,-0.60127039,0.00873399,-0.00755101,1.50946810,-1.55742268
-5.98799400,2.59246665,-2.66077671,0.21085696,-0.23043351,0.00800299,-0.00835668,0.95804541,-1.02094643,0.59537448,-0.59032165,0.00923886,-0.00784370,1.48833197,-1.52119817
-5.98199100,2.55237583,-2.59820698,0.19860021,-0.21842747,0.00777424,-0.00811595,0.92639655,-0.97868241,0.59509432,-0.58215294,0.00981188,-0.00820744,1.47171598,-1.48985788
-5.97598799,2.51879800,-2.54279143,0.18622354,-0.20607467,0.00754685,-0.00787158,0.89834917,-0.94012133,0.59724938,-0.57674611,0.01045164,-0.00864419,1.45943667,-1.46344040
-5.96998499,2.49149152,-2.49464830,0.17387216,-0.19353156,0.00732378,-0.00762703,0.87391051,-0.90542761,0.60165729,-0.57404191,0.01115513,-0.00915502,1.45123479,-1.44191005
-5.96398199,2.47008502,-2.45377290,0.16168148,-0.18095037,0.00710772,-0.00738567,0.85302247,-0.87470401,0.60809355,-0.57393902,0.01191746,-0.00973979,1.44677395,-1.42515407
-5.95797899,2.45407396,-2.42002864,0.14977402,-0.16847509,0.00690098,-0.00715068,0.83555878,-0.84798678,0.61629259,-0.57629323,0.01273179,-0.01039680,1.44564053,-1.41297979
-5.95197599,2.44282096,-2.39313921,0.13825698,-0.15623805,0.00670536,-0.00692491,0.82132409,-0.82524134,0.62594996,-0.58091686,0.01358920,-0.01112259,1.44734574,-1.40511205
-5.94597299,2.43556118,-2.37268321,0.12722049,-0.14435709,0.00652214,-0.00671080,0.81005537,-0.80635945,0.63672600,-0.58757900,0.01447871,-0.01191166,1.45133029,-1.40119182
-5.93996998,2.43141334,-2.35809240,0.11673666,-0.13293332,0.00635198,-0.00651028,0.80142599,-0.79115796,0.64825100,-0.59600658,0.01538746,-0.01275641,1.45697232,-1.40077671
-5.93396698,2.42939697,-2.34865468,0.10685926,-0.12204979,0.00619492,-0.00632468,0.79505260,-0.77937989,0.66013212,-0.60588690,0.01630084,-0.01364705,1.46359868,-1.40334395
-5.92796398,2.42845567,-2.34352273,0.09762420,-0.11177069,0.00605038,-0.00615467,0.79050474,-0.77069804,0.67196194,-0.61687160,0.01720286,-0.01457166,1.47049968,-1.40829659
-5.92196098,2.42748607,-2.34172873,0.08905051,-0.10214149,0.00591721,-0.00600031,0.78731711,-0.76472136,0.68332858,-0.62858233,0.01807649,-0.01551638,1.47694710,-1.41497299
-5.91595798,2.42537164,-2.34220548,0.08114193,-0.09318959,0.00579373,-0.00586094,0.78500396,-0.76100410,0.69382698,-0.64061820,0.01890418,-0.01646559,1.48221494,-1.42266010
-5.90995498,2.42101994,-2.34381350,0.07388879,-0.08492559,0.00567783,-0.00573534,0.78307520,-0.75905756,0.70307107,-0.65256489,0.01966831,-0.01740231,1.48560205,-1.43061008
-5.90395198,2.41340184,-2.34537357,0.06727021,-0.07734507,0.00556710,-0.00562169,0.78105342,-0.75836428,0.71070636,-0.66400517,0.02035180,-0.01830860,1.48645601,-1.43806013
-5.89794897,2.40159095,-2.34570351,0.06125641,-0.07043069,0.00545890,-0.00551770,0.77849122,-0.75839398,0.71642223,-0.67453069,0.02093861,-0.01916605,1.48419689,-1.44425485
-5.89194597,2.38480119,-2.34365783,0.05581107,-0.06415446,0.00535051,-0.00542074,0.77498796,-0.75862082,0.71996361,-0.68375444,0.02141430,-0.01995631,1.47833992,-1.44847026
-5.88594297,2.36242073,-2.33816862,0.05089356,-0.05848022,0.00523928,-0.00532791,0.77020512,-0.75854119,0.72114117,-0.69132345,0.02176653,-0.02066171,1.46851581,-1.45003852
-5.87993997,2.33404049,-2.32828564,0.04646102,-0.05336601,0.00512273,-0.00523623,0.76387966,-0.75769130,0.71983970,-0.69693119,0.02198547,-0.02126574,1.45448780,-1.44837225
-5.87393697,2.29947559,-2.31321399,0.04247017,-0.04876634,0.00499867,-0.00514271,0.75583455,-0.75566383,0.71602416,-0.70032903,0.02206417,-0.02175367,1.43616428,-1.44298723
