energy_ev,total_up,P_s_up,P_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,0.45913448,0.00071248,0.18330017,0.00012775,0.06936142,0.18265460,0.10709658
-5.99399700,0.46961577,0.00074641,0.18752728,0.00015807,0.07088938,0.18684899,0.10957747
-5.98799400,0.47718627,0.00078016,0.19060292,0.00019419,0.07196410,0.18989085,0.11138864
-5.98199100,0.48176306,0.00081414,0.19249543,0.00023689,0.07257139,0.19174752,0.11251214
-5.97598799,0.48333641,0.00084890,0.19320243,0.00028694,0.07270808,0.19241527,0.11294729
-5.96998499,0.48197117,0.00088512,0.19275142,0.00034514,0.07238227,0.19191982,0.11271093
-5.96398199,0.47780547,0.00092358,0.19119923,0.00041226,0.07161317,0.19031574,0.11183723
-5.95797899,0.47104679,0.00096518,0.18863046,0.00048901,0.07043051,0.18768478,0.11037676
-5.95197599,0.46196569,0.00101089,0.18515499,0.00057606,0.06887365,0.18413329,0.10839510
-5.94597299,0.45088749,0.00106175,0.18090468,0.00067397,0.06699035,0.17978871,0.10597096
-5.93996998,0.43818231,0.00111885,0.17602943,0.00078316,0.06483528,0.17479553,0.10319394
-5.93396698,0.42425410,0.00118330,0.17069281,0.00090393,0.06246838,0.16931072,0.10016203
-5.92796398,0.40952910,0.00125623,0.16506756,0.00103639,0.05995315,0.16349898,0.09697912
-5.92196098,0.39444456,0.00133877,0.15933110,0.00118046,0.05735490,0.15752802,0.09375243
-5.91595798,0.37943799,0.00143202,0.15366139,0.00133588,0.05473914,0.15156410,0.09059015
-5.90995498,0.36493766,0.00153711,0.14823320,0.00150215,0.05217007,0.14576803,0.08759948
-5.90395198,0.35135477,0.00165515,0.14321515,0.00167861,0.04970936,0.14029185,0.08488488
-5.89794897,0.33907736,0.00178730,0.13876738,0.00186440,0.04741514,0.13527621,0.08254689
-5.89194597,0.32846647,0.00193473,0.13504017,0.00205851,0.04534133,0.13084864,0.08068139
-5.88594297,0.31985415,0.00209872,0.13217333,0.00225981,0.04353724,0.12712266,0.07937929
-5.87993997,0.31354356,0.00228063,0.13029628,0.00246712,0.04204745,0.12419768,0.07872664
-5.87393697,0.30981053,0.00248196,0.12952889,0.00267921,0.04091192,0.12215961,0.07880510
-5.86793397,0.30890647,0.00270441,0.12998262,0.00289490,0.04016638,0.12108206,0.07969255
-5.86193097,0.31106179,0.00294982,0.13176193,0.00311311,0.03984270,0.12102788,0.08146379
-5.85592796,0.31648964,0.00322025,0.13496574,0.00333289,0.03996942,0.12205084,0.08419115
-5.84992496,0.32538900,0.00351790,0.13968849,0.00355348,0.04057223,0.12419734,0.08794487
-5.84392196,0.33794680,0.00384516,0.14602072,0.00377437,0.04167428,0.12750771,0.09279305
-5.83791896,0.35433845,0.00420444,0.15404899,0.00399528,0.04329645,0.13201713,0.09880106
-5.83191596,0.37472638,0.00459820,0.16385478,0.00421618,0.04545724,0.13775585,0.10603039
-5.82591296,0.39925635,0.00502872,0.17551242,0.00443729,0.04817248,0.14474873,0.11453676
-5.81990995,0.42805138,0.00549806,0.18908601,0.00465901,0.05145477,0.15301388,0.12436753
-5.81390695,0.46120347,0.00600782,0.20462530,0.00488191,0.05531262,0.16256056,0.13555860
-5.80790395,0.49876337,0.00655901,0.22216073,0.00510661,0.05974931,0.17338643,0.14813063
-5.80190095,0.54072883,0.00715182,0.24169787,0.00533372,0.06476167,0.18547412,0.16208503
-5.79589795,0.58703214,0.00778547,0.26321153,0.00556374,0.07033865,0.19878759,0.17739974
-5.78989495,0.63752762,0.00845803,0.28663992,0.00579695,0.07645995,0.21326834,0.19402522
-5.78389195,0.69198009,0.00916622,0.31187930,0.00603331,0.08309471,0.22883195,0.21188080
-5.77788894,0.75005524,0.00990538,0.33877958,0.00627239,0.09020045,0.24536503,0.23085174
-5.77188594,0.81131289,0.01066932,0.36714117,0.00651327,0.09772230,0.26272325,0.25078739
-5.76588294,0.87520391,0.01145038,0.39671370,0.00675453,0.10559266,0.28073034,0.27150054
-5.75987994,0.94107170,0.01223944,0.42719671,0.00699420,0.11373143,0.29917865,0.29276835
-5.75387694,1.00815857,0.01302606,0.45824274,0.00722980,0.12204668,0.31783123,0.31433484
-5.74787394,1.07561751,0.01379870,0.48946281,0.00745836,0.13043610,0.33642564,0.33591525
-5.74187094,1.14252907,0.01454496,0.52043435,0.00767655,0.13878887,0.35467940,0.35720193
-5.73586793,1.20792331,0.01525190,0.55071143,0.00788078,0.14698823,0.37229702,0.37787198
-5.72986493,1.27080591,0.01590647,0.57983695,0.00806734,0.15491445,0.38897846,0.39759611
-5.72386193,1.33018783,0.01649587,0.60735644,0.00823260,0.16244821,0.40442857,0.41604866
-5.71785893,1.38511701,0.01700800,0.63283285,0.00837317,0.16947423,0.41836727,0.43291818
-5.71185593,1.43471107,0.01743191,0.65586180,0.00848610,0.17588498,0.43053992,0.44791835
-5.70585293,1.47818938,0.01775819,0.67608651,0.00856909,0.18158432,0.44072753,0.46079849
-5.69984992,1.51490299,0.01797936,0.69321179,0.00862061,0.18649089,0.44875610,0.47135338
-5.69384692,1.54436114,0.01809017,0.70701640,0.00864012,0.19054114,0.45450492,0.47943184
-5.68784392,1.56625283,0.01808786,0.71736315,0.00862810,0.19369177,0.45791312,0.48494364
-5.68184092,1.58046256,0.01797226,0.72420622,0.00858616,0.19592156,0.45898430,0.48786435
-5.67583792,1.58707933,0.01774594,0.72759536,0.00851705,0.19723246,0.45778890,0.48823796
-5.66983492,1.58639847,0.01741407,0.72767670,0.00842465,0.19764985,0.45446427,0.48617707
-5.66383192,1.57891617,0.01698438,0.72469011,0.00831385,0.19722211,0.44921225,0.48186060
-5.65782891,1.56531684,0.01646686,0.71896321,0.00819042,0.19601936,0.44229445,0.47552915
-5.65182591,1.54645410,0.01587353,0.71090224,0.00806086,0.19413154,0.43402552,0.46747814
-5.64582291,1.52332598,0.01521802,0.70098023,0.00793217,0.19166591,0.42476449,0.45804917
-5.63981991,1.49704564,0.01451522,0.68972304,0.00781158,0.18874409,0.41490472,0.44761980
-5.63381691,1.46880879,0.01378081,0.67769369,0.00770629,0.18549877,0.40486295,0.43659235
