energy_ev,total_up,S_s_up,S_p_up,Si_p_up,Si_d_up,V_p_up,V_d_up
-5.32166083,0.98826668,0.00596435,0.17531426,0.39172061,0.00000000,0.21191573,0.36786937
-5.31565783,1.04819419,0.00629055,0.18509049,0.41582732,0.00000000,0.22809404,0.39314008
-5.30965483,1.11139450,0.00668062,0.19546243,0.44112259,0.00000000,0.24552824,0.41955429
-5.30365183,1.17742640,0.00713601,0.20636225,0.46741824,0.00000000,0.26413761,0.44692023
-5.29764882,1.24574159,0.00765657,0.21770154,0.49448711,0.00000000,0.28381004,0.47501231
-5.29164582,1.31569854,0.00824041,0.22937357,0.52206911,0.00000000,0.30440421,0.50357682
-5.28564282,1.38658083,0.00888392,0.24125634,0.54987906,0.00000000,0.32575287,0.53233889
-5.27963982,1.45761900,0.00958174,0.25321637,0.57761567,0.00000000,0.34766734,0.56101060
-5.27363682,1.52801532,0.01032687,0.26511310,0.60497157,0.00000000,0.36994289,0.58929975
-5.26763382,1.59697019,0.01111073,0.27680371,0.63164381,0.00000000,0.39236508,0.61691900
-5.26163082,1.66370938,0.01192344,0.28814812,0.65734436,0.00000000,0.41471656,0.64359511
-5.25562781,1.72751061,0.01275395,0.29901402,0.68181026,0.00000000,0.43678433,0.66907767
-5.24962481,1.78772850,0.01359040,0.30928164,0.70481281,0.00000000,0.45836693,0.69314710
-5.24362181,1.84381665,0.01442034,0.31884806,0.72616549,0.00000000,0.47928148,0.71562150
-5.23761881,1.89534590,0.01523116,0.32763094,0.74573009,0.00000000,0.49937000,0.73636204
-5.23161581,1.94201783,0.01601033,0.33557134,0.76342090,0.00000000,0.51850500,0.75527662
-5.22561281,1.98367286,0.01674583,0.34263561,0.77920664,0.00000000,0.53659373,0.77232169
-5.21960980,2.02029261,0.01742641,0.34881627,0.79311003,0.00000000,0.55358113,0.78750204
-5.21360680,2.05199633,0.01804192,0.35413174,0.80520509,0.00000000,0.56945115,0.80086866
-5.20760380,2.07903152,0.01858353,0.35862495,0.81561219,0.00000000,0.58422639,0.81251472
