energy_ev,total_up,Hf_p_up,Hf_d_up,Si_p_up,Si_d_up,Te_p_up,Te_d_up
-6.00000000,3.94020041,0.68911450,1.57802129,0.94035494,0.00000000,1.68336951,0.00000000
-5.99399700,3.81714470,0.66737722,1.54290219,0.94115002,0.00000000,1.60049100,0.00000000
-5.98799400,3.68534800,0.64476030,1.50236150,0.93776414,0.00000000,1.51620461,0.00000000
-5.98199100,3.54673474,0.62155461,1.45701530,0.93015717,0.00000000,1.43181965,0.00000000
-5.97598799,3.40338391,0.59808583,1.40758831,0.91839124,0.00000000,1.34864805,0.00000000
-5.96998499,3.25751325,0.57471586,1.35490541,0.90263474,0.00000000,1.26799134,0.00000000
-5.96398199,3.11146042,0.55184313,1.29988042,0.88316268,0.00000000,1.19112892,0.00000000
-5.95797899,2.96766067,0.52990163,1.24350235,0.86035351,0.00000000,1.11930752,0.00000000
-5.95197599,2.82862081,0.50935832,1.18681928,0.83468228,0.00000000,1.05373138,0.00000000
-5.94597299,2.69688911,0.49070898,1.13092034,0.80671037,0.00000000,0.99555294,0.00000000
-5.93996998,2.57502117,0.47447228,1.07691607,0.77707234,0.00000000,0.94586332,0.00000000
-5.93396698,2.46554173,0.46118211,1.02591756,0.74646010,0.00000000,0.90568246,0.00000000
-5.92796398,2.37090261,0.45137822,0.97901485,0.71560508,0.00000000,0.87594823,0.00000000
-5.92196098,2.29343723,0.44559514,0.93725500,0.68525907,0.00000000,0.85750430,0.00000000
-5.91595798,2.23531224,0.44434964,0.90162011,0.65617419,0.00000000,0.85108653,0.00000000
-5.90995498,2.19847707,0.44812681,0.87300593,0.62908281,0.00000000,0.85730771,0.00000000
-5.90395198,2.18461235,0.45736522,0.85220127,0.60467792,0.00000000,0.87664087,0.00000000
-5.89794897,2.19507850,0.47244120,0.83986871,0.58359450,0.00000000,0.90940125,0.00000000
-5.89194597,2.23086597,0.49365304,0.83652697,0.56639260,0.00000000,0.95572771,0.00000000
-5.88594297,2.29254869,0.52120528,0.84253543,0.55354230,0.00000000,1.01556401,0.00000000
-5.87993997,2.38024265,0.55519378,0.85808110,0.54541127,0.00000000,1.08864115,0.00000000
-5.87393697,2.49357153,0.59559231,0.88316868,0.54225488,0.00000000,1.17446159,0.00000000
-5.86793397,2.63164134,0.64224106,0.91761389,0.54420947,0.00000000,1.27228674,0.00000000
-5.86193097,2.79302606,0.69483800,0.96104073,0.55128864,0.00000000,1.38112892,0.00000000
-5.85592796,2.97576604,0.75293361,1.01288293,0.56338286,0.00000000,1.49974888,0.00000000
-5.84992496,3.17738063,0.81592963,1.07238984,0.58026227,0.00000000,1.62666020,0.00000000
-5.84392196,3.39489618,0.88308232,1.13863718,0.60158272,0.00000000,1.76014127,0.00000000
-5.83791896,3.62489004,0.95351068,1.21054249,0.62689478,0.00000000,1.89825570,0.00000000
-5.83191596,3.86355045,1.02620970,1.28688540,0.65565569,0.00000000,2.03888122,0.00000000
-5.82591296,4.10675167,1.10006875,1.36633238,0.68724365,0.00000000,2.17974720,0.00000000
-5.81990995,4.35014288,1.17389485,1.44746543,0.72097440,0.00000000,2.31847996,0.00000000
-5.81390695,4.58924865,1.24644021,1.52881420,0.75611929,0.00000000,2.45265511,0.00000000
-5.80790395,4.81957812,1.31643348,1.60889056,0.79192458,0.00000000,2.57985524,0.00000000
-5.80190095,5.03673938,1.38261360,1.68622459,0.82763119,0.00000000,2.69773124,0.00000000
-5.79589795,5.23655507,1.44376517,1.75940093,0.86249437,0.00000000,2.80406507,0.00000000
-5.78989495,5.41517514,1.49875397,1.82709406,0.89580270,0.00000000,2.89683154,0.00000000
-5.78389195,5.56918216,1.54656134,1.88810144,0.92689562,0.00000000,2.97425672,0.00000000
-5.77788894,5.69568542,1.58631588,1.94137313,0.95517919,0.00000000,3.03487042,0.00000000
-5.77188594,5.79239967,1.61732129,1.98603691,0.98013936,0.00000000,3.07755061,0.00000000
-5.76588294,5.85770562,1.63907901,2.02141795,1.00135249,0.00000000,3.10155772,0.00000000
-5.75987994,5.89068961,1.65130472,2.04705225,1.01849284,0.00000000,3.10655731,0.00000000
-5.75387694,5.89116106,1.65393805,2.06269366,1.03133683,0.00000000,3.09263005,0.00000000
-5.74787394,5.85964721,1.64714495,2.06831409,1.03976420,0.00000000,3.06026854,0.00000000
-5.74187094,5.79736558,1.63131263,2.06409740,1.04375615,0.00000000,3.01036113,0.00000000
-5.73586793,5.70617583,1.60703744,2.05042719,1.04339074,0.00000000,2.94416333,0.00000000
-5.72986493,5.58851324,1.57510607,2.02786933,1.03883600,0.00000000,2.86325824,0.00000000
-5.72386193,5.44730706,1.53647102,1.99715021,1.03034105,0.00000000,2.76950755,0.00000000
-5.71785893,5.28588722,1.49222126,1.95913157,1.01822593,0.00000000,2.66499523,0.00000000
-5.71185593,5.10788356,1.44354946,1.91478319,1.00287045,0.00000000,2.55196626,0.00000000
-5.70585293,4.91712132,1.39171694,1.86515444,0.98470260,0.00000000,2.43276293,0.00000000
-5.69984992,4.71751707,1.33801774,1.81134576,0.96418696,0.00000000,2.30976085,0.00000000
-5.69384692,4.51297845,1.28374310,1.75448098,0.94181329,0.00000000,2.18530731,0.00000000
-5.68784392,4.30731081,1.23014751,1.69568112,0.91808570,0.00000000,2.06166376,0.00000000
-5.68184092,4.10413327,1.17841739,1.63604036,0.89351238,0.00000000,1.94095430,0.00000000
-5.67583792,3.90680597,1.12964318,1.57660452,0.86859599,0.00000000,1.82512136,0.00000000
-5.66983492,3.71836958,1.08479565,1.51835204,0.84382473,0.00000000,1.71588972,0.00000000
-5.66383192,3.54149767,1.04470665,1.46217790,0.81966389,0.00000000,1.61473908,0.00000000
-5.65782891,3.37846173,1.01005478,1.40887992,0.79654787,0.00000000,1.52288559,0.00000000
-5.65182591,3.23110843,0.98135594,1.35914780,0.77487258,0.00000000,1.44127181,0.00000000
-5.64582291,3.10084814,0.95895859,1.31355428,0.75498810,0.00000000,1.37056485,0.00000000
-5.63981991,2.98865367,0.94304379,1.27254872,0.73719174,0.00000000,1.31116158,0.00000000
