energy_ev,total_up,C_s_up,C_p_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-6.00000000,2.41680076,0.00223157,0.27731002,0.83933942,1.57041831,0.44454132,0.00000000
-5.99399700,2.37378996,0.00232073,0.27102916,0.80647130,1.54617544,0.43916743,0.00000000
-5.98799400,2.33408822,0.00241526,0.26507812,0.77501465,1.52368571,0.43479880,0.00000000
-5.98199100,2.29759146,0.00251431,0.25946299,0.74501875,1.50289382,0.43135448,0.00000000
-5.97598799,2.26412595,0.00261723,0.25418561,0.71651915,1.48370125,0.42873088,0.00000000
-5.96998499,2.23346697,0.00272368,0.24924453,0.68954135,1.46597746,0.42680839,0.00000000
-5.96398199,2.20535981,0.00283367,0.24463611,0.66410493,1.44957271,0.42545869,0.00000000
-5.95797899,2.17954146,0.00294761,0.24035579,0.64022781,1.43433149,0.42455196,0.00000000
-5.95197599,2.15576176,0.00306631,0.23639933,0.61793035,1.42010557,0.42396398,0.00000000
-5.94597299,2.13380212,0.00319101,0.23276394,0.59723885,1.40676568,0.42358237,0.00000000
-5.93996998,2.11349081,0.00332340,0.22944914,0.57818830,1.39421096,0.42331191,0.00000000
-5.93396698,2.09471357,0.00346555,0.22645734,0.56082398,1.38237545,0.42307852,0.00000000
-5.92796398,2.07741899,0.00361986,0.22379401,0.54520180,1.37123137,0.42283180,0.00000000
-5.92196098,2.06161816,0.00378903,0.22146735,0.53138720,1.36078864,0.42254598,0.00000000
-5.91595798,2.04737885,0.00397594,0.21948767,0.51945270,1.35109112,0.42221928,0.00000000
-5.90995498,2.03481467,0.00418356,0.21786625,0.50947414,1.34220958,0.42187186,0.00000000
-5.90395198,2.02406998,0.00441480,0.21661402,0.50152566,1.33423217,0.42154243,0.00000000
-5.89794897,2.01530176,0.00467239,0.21573985,0.49567395,1.32725310,0.42128384,0.00000000
-5.89194597,2.00865972,0.00495874,0.21524893,0.49197175,1.32136030,0.42115794,0.00000000
-5.88594297,2.00426609,0.00527581,0.21514099,0.49045116,1.31662317,0.42123000,0.00000000
-5.87993997,2.00219644,0.00562491,0.21540875,0.49111714,1.31308113,0.42156307,0.00000000
-5.87393697,2.00246294,0.00600663,0.21603663,0.49394144,1.31073397,0.42221262,0.00000000
-5.86793397,2.00500104,0.00642070,0.21699969,0.49885749,1.30953454,0.42322173,0.00000000
-5.86193097,2.00966059,0.00686588,0.21826312,0.50575636,1.30938442,0.42461710,0.00000000
-5.85592796,2.01620177,0.00733990,0.21978210,0.51448435,1.31013277,0.42640608,0.00000000
-5.84992496,2.02429632,0.00783941,0.22150216,0.52484208,1.31157840,0.42857488,0.00000000
-5.84392196,2.03353361,0.00836001,0.22335995,0.53658548,1.31347513,0.43108787,0.00000000
-5.83791896,2.04343158,0.00889624,0.22528454,0.54942858,1.31553975,0.43388821,0.00000000
-5.83191596,2.05345151,0.00944169,0.22719898,0.56304808,1.31746236,0.43689950,0.00000000
-5.82591296,2.06301600,0.00998910,0.22902218,0.57708961,1.31891839,0.44002843,0.00000000
-5.81990995,2.07152902,0.01053052,0.23067097,0.59117547,1.31958144,0.44316818,0.00000000
-5.81390695,2.07839707,0.01105749,0.23206234,0.60491361,1.31913646,0.44620248,0.00000000
-5.80790395,2.08305018,0.01156129,0.23311558,0.61790745,1.31729231,0.44900992,0.00000000
-5.80190095,2.08496191,0.01203313,0.23375443,0.62976631,1.31379323,0.45146841,0.00000000
-5.79589795,2.08366736,0.01246443,0.23390906,0.64011595,1.30842864,0.45345953,0.00000000
