energy_ev,total_up,Fe_p_up,Fe_d_up,Ir_p_up,Ir_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,3.36309221,0.47981446,0.41010783,0.70528674,1.20622433,0.00651740,0.75093142,0.01697660,1.00721541
-5.99399700,3.35241978,0.48130036,0.40128529,0.71062787,1.20455397,0.00618554,0.75993613,0.01601065,0.99360012
-5.98799400,3.34369941,0.48448688,0.39292039,0.71830216,1.20236747,0.00587684,0.76840061,0.01503127,0.98218594
-5.98199100,3.33751298,0.48943477,0.38522238,0.72819577,1.19988092,0.00559744,0.77631671,0.01405285,0.97329071
-5.97598799,3.33436117,0.49619790,0.37838867,0.74016417,1.19729096,0.00535278,0.78364947,0.01308910,0.96721063
-5.96998499,3.33465560,0.50482514,0.37260188,0.75403754,1.19477017,0.00514753,0.79033703,0.01215275,0.96421623
-5.96398199,3.33871683,0.51536203,0.36802750,0.76962738,1.19246456,0.00498550,0.79629268,0.01125533,0.96454910
-5.95797899,3.34677786,0.52785212,0.36481232,0.78673382,1.19049314,0.00486965,0.80140925,0.01040699,0.96841930
-5.95197599,3.35899234,0.54233788,0.36308351,0.80515352,1.18894944,0.00480199,0.80556533,0.00961638,0.97600320
-5.94597299,3.37544627,0.55886076,0.36294810,0.82468741,1.18790449,0.00478364,0.80863302,0.00889063,0.98744163
-5.93996998,3.39617173,0.57746035,0.36449294,0.84514810,1.18741093,0.00481475,0.81048665,0.00823537,1.00283807
-5.93396698,3.42116080,0.59817255,0.36778473,0.86636604,1.18750770,0.00489456,0.81101193,0.00765476,1.02225664
-5.92796398,3.45037813,0.62102641,0.37287007,0.88819435,1.18822454,0.00502139,0.81011470,0.00715163,1.04571963
-5.92196098,3.48377040,0.64603988,0.37977537,0.91051151,1.18958593,0.00519268,0.80772875,0.00672760,1.07320452
-5.91595798,3.52127135,0.67321439,0.38850642,0.93322187,1.19161389,0.00540497,0.80382215,0.00638319,1.10464027
-5.90995498,3.56280148,0.70252842,0.39904764,0.95625366,1.19432921,0.00565403,0.79840149,0.00611797,1.13990312
-5.90395198,3.60826192,0.73393036,0.41136087,0.97955451,1.19775093,0.00593483,0.79151371,0.00593065,1.17881185
-5.89794897,3.65752264,0.76733104,0.42538383,1.00308480,1.20189397,0.00624166,0.78324545,0.00581921,1.22112296
-5.89194597,3.71040574,0.80259630,0.44102842,1.02680897,1.20676510,0.00656820,0.77371974,0.00578098,1.26652613
-5.88594297,3.76666495,0.83954017,0.45817876,1.05068562,1.21235742,0.00690760,0.76309039,0.00581265,1.31464044
-5.87993997,3.82596323,0.87791919,0.47668954,1.07465684,1.21864399,0.00725264,0.75153425,0.00591033,1.36501189
-5.87393697,3.88785035,0.91742842,0.49638467,1.09863771,1.22557103,0.00759581,0.73924212,0.00606953,1.41711285
-5.86793397,3.95174296,0.95769962,0.51705653,1.12250673,1.23305146,0.00792952,0.72640853,0.00628517,1.47034401
-5.86193097,4.01690906,0.99830208,0.53846619,1.14609796,1.24095943,0.00824619,0.71322147,0.00655155,1.52403913
-5.85592796,4.08245934,1.03874644,0.56034475,1.16919572,1.24912645,0.00853850,0.69985242,0.00686235,1.57747312
-5.84992496,4.14734679,1.07849159,0.58239589,1.19153226,1.25733981,0.00879949,0.68644759,0.00721059,1.62987348
-5.84392196,4.21037606,1.11695476,0.60429995,1.21278903,1.26534345,0.00902277,0.67312068,0.00758868,1.68043505
-5.83791896,4.27022294,1.15352457,0.62571936,1.23260164,1.27284191,0.00920271,0.65994797,0.00798843,1.72833785
-5.83191596,4.32546409,1.18757671,0.64630544,1.25056843,1.27950698,0.00933452,0.64696562,0.00840117,1.77276753
-5.82591296,4.37461594,1.21849168,0.66570648,1.26626245,1.28498719,0.00941444,0.63416967,0.00881778,1.81293753
-5.81990995,4.41618148,1.24567386,0.68357667,1.27924638,1.28891963,0.00943980,0.62151860,0.00922890,1.84811233
-5.81390695,4.44870262,1.26857122,0.69958572,1.28908941,1.29094352,0.00940911,0.60893809,0.00962507,1.87763057
-5.80790395,4.47081561,1.28669456,0.71342872,1.29538560,1.29071488,0.00932208,0.59632792,0.00999693,1.90092696
-5.80190095,4.48130660,1.29963559,0.72483573,1.29777229,1.28792149,0.00917964,0.58357029,0.01033546,1.91755201
-5.79589795,4.47916419,1.30708276,0.73358072,1.29594790,1.28229721,0.00898385,0.57053922,0.01063221,1.92718831
-5.78989495,4.46362625,1.30883407,0.73948950,1.28968788,1.27363495,0.00873786,0.55711020,0.01087950,1.92966274
-5.78389195,4.43421806,1.30480631,0.74244595,1.27885801,1.26179746,0.00844578,0.54316971,0.01107070,1.92495360
-5.77788894,4.39077977,1.29503998,0.74239661,1.26342416,1.24672528,0.00811256,0.52862391,0.01120038,1.91319245
-5.77188594,4.33348142,1.27969983,0.73935299,1.24345814,1.22844149,0.00774378,0.51340599,0.01126450,1.89466036
-5.76588294,4.26282470,1.25907079,0.73339173,1.21913899,1.20705286,0.00734554,0.49748192,0.01126053,1.86977863
-5.75987994,4.17963118,1.23354949,0.72465242,1.19074996,1.18274746,0.00692422,0.48085409,0.01118754,1.83909456
-5.75387694,4.08501771,1.20363183,0.71333321,1.15867098,1.15578880,0.00648634,0.46356294,0.01104617,1.80326272
-5.74787394,3.98036017,1.16989703,0.69968438,1.12336727,1.12650684,0.00603835,0.44568630,0.01083866,1.76302279
-5.74187094,3.86724745,1.13298906,0.68400015,1.08537454,1.09528647,0.00558646,0.42733684,0.01056871,1.71917493
-5.73586793,3.74742816,1.09359622,0.66660914,1.04528158,1.06255399,0.00513654,0.40865762,0.01024136,1.67255388
-5.72986493,3.62275252,1.05242979,0.64786381,1.00371108,1.02876235,0.00469396,0.38981611,0.00986280,1.62400291
-5.72386193,3.49511238,1.01020275,0.62812940,0.96129967,0.99437591,0.00426349,0.37099721,0.00944014,1.57434879
-5.71785893,3.36638210,0.96760938,0.60777287,0.91867804,0.95985541,0.00384928,0.35239549,0.00898117,1.52437891
-5.71185593,3.23836277,0.92530663,0.58715219,0.87645208,0.92564391,0.00345473,0.33420727,0.00849410,1.47482111
-5.70585293,3.11273214,0.88389782,0.56660643,0.83518577,0.89215411,0.00308258,0.31662284,0.00798732,1.42632724
-5.69984992,2.99100194,0.84391933,0.54644702,0.79538655,0.85975775,0.00273483,0.29981926,0.00746911,1.37946057
-5.69384692,2.87448397,0.80583042,0.52695040,0.75749362,0.82877713,0.00241282,0.28395411,0.00694743,1.33468739
-5.68784392,2.76426559,0.77000658,0.50835226,0.72186938,0.79947911,0.00211724,0.26916033,0.00642974,1.29237263
-5.68184092,2.66119492,0.73673612,0.49084352,0.68879434,0.77207157,0.00184823,0.25554248,0.00592279,1.25277940
-5.67583792,2.56587549,0.70622004,0.47456800,0.65846522,0.74670221,0.00160543,0.24317432,0.00543256,1.21607184
-5.66983492,2.47866958,0.67857471,0.45962176,0.63099625,0.72345951,0.00138805,0.23209792,0.00496413,1.18232098
-5.66383192,2.39970931,0.65383704,0.44605406,0.60642310,0.70237557,0.00119494,0.22232408,0.00452168,1.15151269
-5.65782891,2.32891422,0.63197157,0.43386969,0.58470921,0.68343061,0.00102472,0.21383389,0.00410847,1.12355745
-5.65182591,2.26601397,0.61287909,0.42303245,0.56575392,0.66655861,0.00087578,0.20658150,0.00372692,1.09830109
-5.64582291,2.21057485,0.59640612,0.41346979,0.54940180,0.65165392,0.00074641,0.20049749,0.00337869,1.07553604
-5.63981991,2.16202859,0.58235491,0.40507803,0.53545284,0.63857844,0.00063482,0.19549302,0.00306474,1.05501271
-5.63381691,2.11970246,0.57049342,0.39772830,0.52367278,0.62716912,0.00053924,0.19146411,0.00278553,1.03645049
-5.62781391,2.08284944,0.56056506,0.39127270,0.51380339,0.61724554,0.00045790,0.18829619,0.00254109,1.01954837
-5.62181091,2.05067762,0.55229777,0.38555069,0.50557208,0.60861735,0.00038914,0.18586843,0.00233121,1.00399479
-5.61580790,2.02237811,0.54541235,0.38039539,0.49870077,0.60109146,0.00033138,0.18405787,0.00215554,0.98947675
-5.60980490,1.99715095,0.53962993,0.37563966,0.49291372,0.59447876,0.00028316,0.18274306,0.00201375,0.97568827
-5.60380190,1.97422855,0.53467844,0.37112192,0.48794423,0.58860037,0.00024318,0.18180726,0.00190561,0.96233802
-5.59779890,1.95289637,0.53029819,0.36669138,0.48354018,0.58329316,0.00021025,0.18114100,0.00183112,0.94915626
-5.59179590,1.93251068,0.52624655,0.36221268,0.47946843,0.57841469,0.00018333,0.18064417,0.00179052,0.93590115
-5.58579290,1.91251311,0.52230175,0.35756990,0.47551817,0.57384711,0.00016153,0.18022739,0.00178438,0.92236424
-5.57978989,1.89244194,0.51826603,0.35266964,0.47150322,0.56950033,0.00014408,0.17981297,0.00181357,0.90837525
-5.57378689,1.87193996,0.51396794,0.34744330,0.46726355,0.56531394,0.00013033,0.17933529,0.00187925,0.89380596
-5.56778389,1.85075868,0.50926413,0.34184841,0.46266602,0.56125816,0.00011972,0.17874089,0.00198283,0.87857304
-5.56178089,1.82875908,0.50404043,0.33586892,0.45760446,0.55733342,0.00011182,0.17798803,0.00212586,0.86263978
-5.55577789,1.80590848,0.49821235,0.32951461,0.45199924,0.55356877,0.00010624,0.17704615,0.00230995,0.84601643
-5.54977489,1.78227393,0.49172498,0.32281944,0.44579630,0.55001893,0.00010269,0.17589500,0.00253662,0.82875914
-5.54377189,1.75801197,0.48455223,0.31583908,0.43896580,0.54676011,0.00010091,0.17452363,0.00280718,0.81096730
-5.53776888,1.73335519,0.47669544,0.30864757,0.43150041,0.54388473,0.00010070,0.17292926,0.00312253,0.79277934
-5.53176588,1.70859589,0.46818138,0.30133336,0.42341316,0.54149508,0.00010185,0.17111606,0.00348306,0.77436696
-5.52576288,1.68406734,0.45905957,0.29399481,0.41473504,0.53969632,0.00010422,0.16909388,0.00388843,0.75592793
-5.51975988,1.66012339,0.44939900,0.28673529,0.40551233,0.53858893,0.00010765,0.16687697,0.00433745,0.73767774
-5.51375688,1.63711717,0.43928434,0.27965829,0.39580358,0.53826115,0.00011198,0.16448261,0.00482794,0.71984019
-5.50775388,1.61537973,0.42881177,0.27286244,0.38567653,0.53878148,0.00011708,0.16192990,0.00535663,0.70263760
-5.50175088,1.59519958,0.41808435,0.26643696,0.37520480,0.54019201,0.00012277,0.15923845,0.00591908,0.68628070
-5.49574787,1.57680398,0.40720746,0.26045752,0.36446472,0.54250249,0.00012891,0.15642723,0.00650967,0.67095889
-5.48974487,1.56034305,0.39628411,0.25498277,0.35353206,0.54568592,0.00013532,0.15351357,0.00712158,0.65683120
-5.48374187,1.54587720,0.38541056,0.25005166,0.34247917,0.54967551,0.00014184,0.15051221,0.00774688,0.64401837
-5.47773887,1.53336879,0.37467236,0.24568172,0.33137228,0.55436356,0.00014828,0.14743457,0.00837664,0.63259649
-5.47173587,1.52267820,0.36414095,0.24186821,0.32026932,0.55960211,0.00015448,0.14428830,0.00900109,0.62259241
-5.46573287,1.51356481,0.35387103,0.23858431,0.30921830,0.56520558,0.00016027,0.14107699,0.00960985,0.61398121
-5.45972986,1.50569258,0.34389880,0.23578223,0.29825620,0.57095516,0.00016547,0.13780018,0.01019218,0.60668580
-5.45372686,1.49864026,0.33424112,0.23339517,0.28740857,0.57660483,0.00016995,0.13445359,0.01073727,0.60057877
-5.44772386,1.49191556,0.32489566,0.23134004,0.27668976,0.58188884,0.00017356,0.13102969,0.01123452,0.59548621
-5.44172086,1.48497271,0.31584196,0.22952076,0.26610379,0.58653014,0.00017621,0.12751839,0.01167392,0.59119355
-5.43571786,1.47723260,0.30704340,0.22783203,0.25564572,0.59024954,0.00017779,0.12390796,0.01204633,0.58745300
-5.42971486,1.46810445,0.29844987,0.22616331,0.24530350,0.59277517,0.00017826,0.12018615,0.01234379,0.58399229
-5.42371186,1.45700819,0.29000107,0.22440295,0.23506016,0.59385174,0.00017758,0.11634127,0.01255976,0.58052434
-5.41770885,1.44339637,0.28163023,0.22244221,0.22489619,0.59324927,0.00017575,0.11236334,0.01268939,0.57675747
-5.41170585,1.42677482,0.27326801,0.22017898,0.21479191,0.59077102,0.00017280,0.10824519,0.01272966,0.57240563
-5.40570285,1.40672106,0.26484646,0.21752120,0.20472979,0.58626013,0.00016880,0.10398340,0.01267949,0.56719838
-5.39969985,1.38289985,0.25630276,0.21438976,0.19469647,0.57960488,0.00016384,0.09957906,0.01253975,0.56089004
-5.39369685,1.35507526,0.24758260,0.21072079,0.18468449,0.57074238,0.00015802,0.09503831,0.01231329,0.55326791
