energy_ev,total_up,Cd_p_up,Cd_d_up,S_s_up,S_p_up,Si_p_up,Si_d_up
-6.00000000,1.44555030,0.52387033,0.29704658,0.12181659,0.39189187,0.18969617,0.00000000
-5.99399700,1.33253206,0.47895127,0.27404985,0.11228826,0.36210660,0.17490376,0.00000000
-5.98799400,1.22271867,0.43641080,0.25163491,0.10300413,0.33324192,0.16045733,0.00000000
-5.98199100,1.11724345,0.39660308,0.23003580,0.09405339,0.30560333,0.14651732,0.00000000
-5.97598799,1.01711786,0.35982532,0.20946262,0.08551598,0.27946746,0.13322651,0.00000000
-5.96998499,0.92321618,0.32631647,0.19009807,0.07746130,0.25507727,0.12070806,0.00000000
-5.96398199,0.83626452,0.29625708,0.17209500,0.06994724,0.23263828,0.10906413,0.00000000
-5.95797899,0.75683407,0.26977021,0.15557472,0.06301952,0.21231588,0.09837511,0.00000000
-5.95197599,0.68533864,0.24692338,0.14062637,0.05671142,0.19423370,0.08869958,0.00000000
-5.94597299,0.62203614,0.22773128,0.12730695,0.05104379,0.17847307,0.08007471,0.00000000
-5.93996998,0.56703351,0.21215911,0.11564227,0.04602543,0.16507340,0.07251731,0.00000000
-5.93396698,0.52029484,0.20012654,0.10562848,0.04165362,0.15403356,0.06602513,0.00000000
-5.92796398,0.48165202,0.19151208,0.09723416,0.03791493,0.14531394,0.06057863,0.00000000
-5.92196098,0.45081747,0.18615785,0.09040290,0.03478626,0.13883931,0.05614299,0.00000000
-5.91595798,0.42739849,0.18387471,0.08505615,0.03223585,0.13450223,0.05267024,0.00000000
-5.90995498,0.41091281,0.18444780,0.08109637,0.03022455,0.13216694,0.05010160,0.00000000
-5.90395198,0.40080502,0.18764233,0.07841036,0.02870702,0.13167377,0.04836983,0.00000000
-5.89794897,0.39646343,0.19320982,0.07687259,0.02763299,0.13284381,0.04740162,0.00000000
-5.89194597,0.39723730,0.20089467,0.07634870,0.02694855,0.13548388,0.04711999,0.00000000
-5.88594297,0.40245405,0.21044104,0.07669883,0.02659738,0.13939178,0.04744656,0.00000000
