energy_ev,total_up,Rh_p_up,Rh_d_up,Sn_p_up,Sn_d_up,Te_p_up,Te_d_up
-6.00000000,5.55589240,2.89498229,4.08941559,1.65362768,0.00296021,0.34136413,0.00000000
-5.99399700,5.68148258,2.95675031,4.19128867,1.67786609,0.00304626,0.34669924,0.00000000
-5.98799400,5.79703174,3.01412692,4.28646319,1.69813241,0.00312667,0.35114914,0.00000000
-5.98199100,5.90288062,3.06731197,4.37506722,1.71472434,0.00320141,0.35480105,0.00000000
-5.97598799,5.99955531,3.11659368,4.45734480,1.72802390,0.00327052,0.35775624,0.00000000
-5.96998499,6.08772735,3.16233051,4.53363000,1.73847908,0.00333417,0.36012469,0.00000000
-5.96398199,6.16816923,3.20493100,4.60431805,1.74658318,0.00339263,0.36201951,0.00000000
-5.95797899,6.24170735,3.24483258,4.66983496,1.75285303,0.00344624,0.36355145,0.00000000
-5.95197599,6.30917504,3.28248021,4.73060737,1.75780690,0.00349541,0.36482363,0.00000000
-5.94597299,6.37136768,3.31830568,4.78703407,1.76194327,0.00354059,0.36592687,0.00000000
-5.93996998,6.42900197,3.35270834,4.83946066,1.76572102,0.00358226,0.36693568,0.00000000
-5.93396698,6.48268115,3.38603775,4.88815843,1.76954219,0.00362089,0.36790514,0.00000000
-5.92796398,6.53286733,3.41857882,4.93330840,1.77373747,0.00365694,0.36886887,0.00000000
-5.92196098,6.57986177,3.45053955,4.97499101,1.77855533,0.00369087,0.36983792,0.00000000
-5.91595798,6.62379355,3.48204162,5.01318157,1.78415457,0.00372306,0.37080080,0.00000000
-5.90995498,6.66461662,3.51311393,5.04775159,1.79060074,0.00375383,0.37172454,0.00000000
-5.90395198,6.70211469,3.54368884,5.07847531,1.79786619,0.00378346,0.37255661,0.00000000
-5.89794897,6.73591335,3.57360136,5.10504102,1.80583352,0.00381210,0.37322768,0.00000000
-5.89194597,6.76549838,3.60259094,5.12706626,1.81430215,0.00383986,0.37365505,0.00000000
-5.88594297,6.79023927,3.63030597,5.14411597,1.82299762,0.00386670,0.37374647,0.00000000
-5.87993997,6.80941657,3.65631089,5.15572278,1.83158306,0.00389253,0.37340437,0.00000000
-5.87393697,6.82225216,3.68009595,5.16140839,1.83967246,0.00391715,0.37253012,0.00000000
-5.86793397,6.82794107,3.70108946,5.16070517,1.84684509,0.00394025,0.37102825,0.00000000
