energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up,V_p_up,V_d_up
-6.00000000,2.99266446,0.03157927,0.02579954,0.01533742,2.00979034,0.84485983,0.16380981,1.11894853,0.65017001
-5.99399700,2.98785121,0.03018014,0.02574337,0.01581027,2.01014683,0.84486735,0.16418498,1.12666754,0.64191258
-5.98799400,2.97889040,0.02878538,0.02565906,0.01631941,2.00791002,0.84334419,0.16440110,1.13378596,0.63203936
-5.98199100,2.96715533,0.02741543,0.02555807,0.01687281,2.00400714,0.84058714,0.16454780,1.14084602,0.62085675
-5.97598799,2.95413485,0.02609004,0.02545217,0.01747874,1.99944376,0.83692713,0.16472164,1.14841712,0.60870233
-5.96998499,2.94138238,0.02482767,0.02535291,0.01814554,1.99526912,0.83271765,0.16502281,1.15707462,0.59593486
-5.96398199,2.93046128,0.02364504,0.02527123,0.01888128,1.99253884,0.82832191,0.16555149,1.16737750,0.58292347
-5.95797899,2.92288849,0.02255675,0.02521690,0.01969347,1.99227630,0.82409950,0.16640416,1.17984575,0.57003657
-5.95197599,2.92007833,0.02157498,0.02519819,0.02058870,1.99543392,0.82039271,0.16766978,1.19493815,0.55763067
-5.94597299,2.92328860,0.02070928,0.02522147,0.02157231,2.00285596,0.81751335,0.16942621,1.21303148,0.54603961
-5.93996998,2.93357082,0.01996646,0.02529099,0.02264803,2.01524394,0.81573037,0.17173676,1.23440175,0.53556447
-5.93396698,2.95172649,0.01935057,0.02540863,0.02381765,2.03312623,0.81525886,0.17464719,1.25920832,0.52646449
-5.92796398,2.97827099,0.01886293,0.02557387,0.02508079,2.05683268,0.81625087,0.17818317,1.28748161,0.51894936
-5.92196098,3.01340644,0.01850226,0.02578375,0.02643457,2.08647558,0.81878830,0.18234839,1.31911464,0.51317305
-5.91595798,3.05700459,0.01826477,0.02603297,0.02787351,2.12193741,0.82287828,0.18712326,1.35385918,0.50922938
-5.90995498,3.10860055,0.01814438,0.02631409,0.02938934,2.16286613,0.82845120,0.19246449,1.39132642,0.50714951
-5.90395198,3.16739754,0.01813293,0.02661778,0.03097097,2.20867826,0.83536134,0.19830530,1.43099240,0.50690143
-5.89794897,3.23228282,0.01822036,0.02693315,0.03260455,2.25856972,0.84339028,0.20455659,1.47220816,0.50839145
-5.89194597,3.30185434,0.01839499,0.02724814,0.03427357,2.31153425,0.85225283,0.21110870,1.51421417,0.51146759
-5.88594297,3.37445735,0.01864375,0.02754990,0.03595909,2.36638890,0.86160547,0.21783408,1.55615892,0.51592493
-5.87993997,3.44823003,0.01895239,0.02782528,0.03764005,2.42180591,0.87105676,0.22459052,1.59712089,0.52151262
-5.87393697,3.52115655,0.01930580,0.02806125,0.03929369,2.47634993,0.88017961,0.23122494,1.63613342,0.52794236
-5.86793397,3.59112609,0.01968825,0.02824532,0.04089600,2.52851952,0.88852485,0.23757769,1.67221158,0.53489811
-5.86193097,3.65599584,0.02008364,0.02836594,0.04242232,2.57679154,0.89563574,0.24348708,1.70438030,0.54204670
-5.85592796,3.71365593,0.02047584,0.02841287,0.04384794,2.61966702,0.90106280,0.24879416,1.73170282,0.54904901
-5.84992496,3.76209410,0.02084898,0.02837749,0.04514876,2.65571692,0.90437858,0.25334736,1.75330841,0.55557124
-5.84392196,3.79945802,0.02118775,0.02825306,0.04630197,2.68362626,0.90519177,0.25700715,1.76841866,0.56129599
-5.83791896,3.82411285,0.02147771,0.02803486,0.04728673,2.70223506,0.90316021,0.25965016,1.77637120,0.56593264
-5.83191596,3.83469227,0.02170565,0.02772039,0.04808479,2.71057459,0.89800229,0.26117300,1.77664017,0.56922673
-5.82591296,3.83014082,0.02185986,0.02730931,0.04868110,2.70789763,0.88950641,0.26149536,1.76885274,0.57096787
-5.81990995,3.80974633,0.02193041,0.02680351,0.04906427,2.69370163,0.87753814,0.26056240,1.75280088,0.57099597
-5.81390695,3.77316085,0.02190941,0.02620696,0.04922702,2.66774390,0.86204478,0.25834636,1.72844830,0.56920544
-5.80790395,3.72040965,0.02179124,0.02552559,0.04916637,2.63004823,0.84305729,0.25484724,1.69593199,0.56554733
-5.80190095,3.65188779,0.02157265,0.02476706,0.04888382,2.58090279,0.82068948,0.25009263,1.65555857,0.56002915
-5.79589795,3.56834443,0.02125291,0.02394051,0.04838529,2.52084932,0.79513447,0.24413669,1.60779543,0.55271256
-5.78989495,3.47085575,0.02083375,0.02305626,0.04768093,2.45066421,0.76665874,0.23705819,1.55325715,0.54370891
-5.78389195,3.36078748,0.02031937,0.02212551,0.04678480,2.37133227,0.73559393,0.22895796,1.49268774,0.53317301
