energy_ev,total_up,Cu_p_up,Cu_d_up,Si_p_up,Si_d_up,Te_p_up,Te_d_up
-6.00000000,1.84138305,1.22534816,0.80476212,0.11903096,0.00000000,0.75260662,0.00000000
-5.99399700,1.83547778,1.22167141,0.80688334,0.11689525,0.00000000,0.75068053,0.00000000
-5.98799400,1.83444486,1.21838782,0.81226431,0.11565877,0.00000000,0.74934235,0.00000000
-5.98199100,1.83870801,1.21577697,0.82106901,0.11537982,0.00000000,0.74874922,0.00000000
-5.97598799,1.84865589,1.21413926,0.83342874,0.11610287,0.00000000,0.74906624,0.00000000
-5.96998499,1.86462826,1.21378460,0.84943664,0.11785722,0.00000000,0.75046065,0.00000000
-5.96398199,1.88690001,1.21501881,0.86914168,0.12065580,0.00000000,0.75309479,0.00000000
-5.95797899,1.91566370,1.21812862,0.89254222,0.12449395,0.00000000,0.75711826,0.00000000
-5.95197599,1.95101147,1.22336582,0.91957958,0.12934829,0.00000000,0.76265963,0.00000000
-5.94597299,1.99291733,1.23093148,0.95013205,0.13517573,0.00000000,0.76981803,0.00000000
-5.93996998,2.04122089,1.24096108,0.98400957,0.14191283,0.00000000,0.77865517,0.00000000
-5.93396698,2.09561352,1.25351139,1.02094959,0.14947549,0.00000000,0.78918811,0.00000000
-5.92796398,2.15562801,1.26854979,1.06061453,0.15775908,0.00000000,0.80138325,0.00000000
-5.92196098,2.22063252,1.28594679,1.10259107,0.16663920,0.00000000,0.81515176,0.00000000
-5.91595798,2.28982973,1.30547216,1.14639160,0.17597307,0.00000000,0.83034685,0.00000000
-5.90995498,2.36226150,1.32679509,1.19145806,0.18560166,0.00000000,0.84676302,0.00000000
-5.90395198,2.43681963,1.34948848,1.23716823,0.19535246,0.00000000,0.86413742,0.00000000
-5.89794897,2.51226254,1.37303738,1.28284462,0.20504308,0.00000000,0.88215337,0.00000000
-5.89194597,2.58723799,1.39685135,1.32776574,0.21448548,0.00000000,0.90044599,0.00000000
-5.88594297,2.66031121,1.42028042,1.37117981,0.22349074,0.00000000,0.91860990,0.00000000
-5.87993997,2.72999803,1.44263402,1.41232041,0.23187433,0.00000000,0.93620865,0.00000000
-5.87393697,2.79480194,1.46320241,1.45042406,0.23946158,0.00000000,0.95278588,0.00000000
-5.86793397,2.85325434,1.48127966,1.48474899,0.24609332,0.00000000,0.96787762,0.00000000
-5.86193097,2.90395658,1.49618752,1.51459488,0.25163132,0.00000000,0.98102567,0.00000000
-5.85592796,2.94562254,1.50729932,1.53932293,0.25596334,0.00000000,0.99179146,0.00000000
-5.84992496,2.97712051,1.51406293,1.55837562,0.25900766,0.00000000,0.99977010,0.00000000
-5.84392196,2.99751284,1.51602211,1.57129563,0.26071676,0.00000000,1.00460415,0.00000000
-5.83791896,3.00609193,1.51283533,1.57774329,0.26108001,0.00000000,1.00599668,0.00000000
-5.83191596,3.00241144,1.50429143,1.57751187,0.26012522,0.00000000,1.00372321,0.00000000
-5.82591296,2.98631126,1.49032156,1.57054016,0.25791894,0.00000000,0.99764204,0.00000000
-5.81990995,2.95793545,1.47100681,1.55692185,0.25456544,0.00000000,0.98770278,0.00000000
-5.81390695,2.91774203,1.44658130,1.53691118,0.25020437,0.00000000,0.97395247,0.00000000
-5.80790395,2.86650425,1.41743048,1.51092454,0.24500715,0.00000000,0.95653928,0.00000000
-5.80190095,2.80530285,1.38408469,1.47953772,0.23917216,0.00000000,0.93571345,0.00000000
-5.79589795,2.73550931,1.34720797,1.44347880,0.23291894,0.00000000,0.91182528,0.00000000
-5.78989495,2.65876030,1.30758253,1.40361652,0.22648153,0.00000000,0.88532033,0.00000000
-5.78389195,2.57692379,1.26608931,1.36094441,0.22010119,0.00000000,0.85673168,0.00000000
-5.77788894,2.49205773,1.22368502,1.31656095,0.21401875,0.00000000,0.82666943,0.00000000
-5.77188594,2.40636205,1.18137661,1.27164599,0.20846694,0.00000000,0.79580768,0.00000000
-5.76588294,2.32212546,1.14019361,1.22743425,0.20366273,0.00000000,0.76486934,0.00000000
-5.75987994,2.24166824,1.10115941,1.18518617,0.19980029,0.00000000,0.73460890,0.00000000
-5.75387694,2.16728255,1.06526219,1.14615710,0.19704445,0.00000000,0.70579383,0.00000000
-5.74787394,2.10117181,1.03342645,1.11156535,0.19552516,0.00000000,0.67918490,0.00000000
-5.74187094,2.04539087,1.00648585,1.08256006,0.19533305,0.00000000,0.65551594,0.00000000
-5.73586793,2.00178830,0.98515838,1.06018965,0.19651617,0.00000000,0.63547364,0.00000000
-5.72986493,1.97195266,0.97002438,1.04537164,0.19907818,0.00000000,0.61967771,0.00000000
-5.72386193,1.95716404,0.96150817,1.03886479,0.20297791,0.00000000,0.60866224,0.00000000
-5.71785893,1.95835241,0.95986389,1.04124427,0.20813043,0.00000000,0.60285847,0.00000000
-5.71185593,1.97606392,0.96516589,1.05288069,0.21440949,0.00000000,0.60257968,0.00000000
-5.70585293,2.01043643,0.97730404,1.07392372,0.22165142,0.00000000,0.60800873,0.00000000
-5.69984992,2.06118519,0.99598422,1.10429092,0.22966015,0.00000000,0.61918848,0.00000000
-5.69384692,2.12759939,1.02073387,1.14366246,0.23821341,0.00000000,0.63601579,0.00000000
-5.68784392,2.20855012,1.05091268,1.19148200,0.24706968,0.00000000,0.65823925,0.00000000
-5.68184092,2.30251004,1.08572805,1.24696421,0.25597589,0.00000000,0.68546097,0.00000000
-5.67583792,2.40758465,1.12425508,1.30910899,0.26467537,0.00000000,0.71714262,0.00000000
-5.66983492,2.52155462,1.16546034,1.37672221,0.27291598,0.00000000,0.75261577,0.00000000
-5.66383192,2.64192865,1.20822905,1.44844289,0.28045796,0.00000000,0.79109631,0.00000000
-5.65782891,2.76600536,1.25139468,1.52277604,0.28708135,0.00000000,0.83170289,0.00000000
-5.65182591,2.89094281,1.29377016,1.59813059,0.29259262,0.00000000,0.87347879,0.00000000
