energy_ev,total_up,C_s_up,C_p_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-6.00000000,2.73230352,0.01410567,0.03394017,0.98442934,1.24303901,0.04567478,0.96297307
-5.99399700,2.80186906,0.01464508,0.04015549,1.01275091,1.24620631,0.04685963,1.01298660
-5.98799400,2.87320696,0.01515752,0.04748761,1.04298100,1.24927104,0.04816975,1.06357275
-5.98199100,2.94765961,0.01564071,0.05608457,1.07581953,1.25314167,0.04964348,1.11476366
-5.97598799,3.02666892,0.01609298,0.06610375,1.11201692,1.25875895,0.05131996,1.16663388
-5.96998499,3.11175036,0.01651329,0.07770979,1.15236146,1.26707570,0.05323848,1.21930208
-5.96398199,3.20446460,0.01690131,0.09107203,1.19766542,1.27903666,0.05543766,1.27293107
-5.95797899,3.30638688,0.01725738,0.10636138,1.24874987,1.29555880,0.05795473,1.32772579
-5.95197599,3.41907377,0.01758248,0.12374681,1.30642830,1.31751206,0.06082470,1.38392890
-5.94597299,3.54402735,0.01787822,0.14339127,1.37148898,1.34570071,0.06407961,1.44181392
-5.93996998,3.68265672,0.01814668,0.16544726,1.44467620,1.38084532,0.06774767,1.50167566
-5.93396698,3.83623714,0.01839037,0.19005198,1.52667045,1.42356534,0.07185250,1.56381813
-5.92796398,4.00586710,0.01861205,0.21732223,1.61806790,1.47436246,0.07641223,1.62854003
-5.92196098,4.19242398,0.01881460,0.24734907,1.71935921,1.53360468,0.08143874,1.69611823
-5.91595798,4.39651911,0.01900085,0.28019243,1.83090820,1.60151143,0.08693680,1.76678963
-5.90995498,4.61845340,0.01917342,0.31587578,1.95293081,1.67813978,0.09290330,1.84073212
-5.90395198,4.85817490,0.01933457,0.35438091,2.08547460,1.76337234,0.09932652,1.91804522
-5.89794897,5.11523969,0.01948604,0.39564319,2.22839973,1.85690693,0.10618541,1.99873137
-5.89194597,5.38877800,0.01962895,0.43954714,2.38136172,1.95824877,0.11344910,2.08267848
-5.88594297,5.67746715,0.01976369,0.48592287,2.54379682,2.06670563,0.12107637,2.16964477
-5.87993997,5.97951313,0.01988985,0.53454322,2.71491070,2.18138637,0.12901548,2.25924669
-5.87393697,6.29264257,0.02000621,0.58512201,2.89367107,2.30120366,0.13720404,2.35095059
-5.86793397,6.61410654,0.02011073,0.63731350,3.07880507,2.42488116,0.14556923,2.44406895
-5.86193097,6.94069755,0.02020062,0.69071313,3.26880202,2.55096565,0.15402823,2.53776153
-5.85592796,7.26878066,0.02027240,0.74485994,3.46192215,2.67784447,0.16248901,2.63104202
-5.84992496,7.59433917,0.02032205,0.79924048,3.65621183,2.80376831,0.17085138,2.72279018
-5.84392196,7.91303516,0.02034510,0.85329457,3.84952555,2.92687937,0.17900838,2.81176962
-5.83791896,8.22028406,0.02033683,0.90642271,4.03955500,3.04524455,0.18684802,2.89665094
-5.83191596,8.51134250,0.02029244,0.95799536,4.22386492,3.15689325,0.19425532,2.97603969
-5.82591296,8.78140747,0.02020722,1.00736376,4.39993554,3.25985902,0.20111460,3.04850869
-5.81990995,9.02572472,0.02007675,1.05387225,4.56521096,3.35222402,0.20731202,3.11263368
-5.81390695,9.23970335,0.01989704,1.09687186,4.71715235,3.43216518,0.21273824,3.16703129
-5.80790395,9.41903335,0.01966475,1.13573472,4.85329490,3.49800064,0.21729125,3.21039814
-5.80190095,9.55980217,0.01937726,1.16986893,4.97130674,3.54823495,0.22087907,3.24154967
-5.79589795,9.65860640,0.01903285,1.19873350,5.06904813,3.58160145,0.22342246,3.25945743
-5.78989495,9.71265429,0.01863076,1.22185272,5.14462885,3.59710009,0.22485734,3.26328318
-5.78389195,9.71985509,0.01817124,1.23882946,5.19646167,3.59402934,0.22513691,3.25240872
-5.77788894,9.67889133,0.01765562,1.24935691,5.22330974,3.57201063,0.22423341,3.22645988
-5.77188594,9.58927086,0.01708626,1.25322816,5.22432601,3.53100410,0.22213929,3.18532389
-5.76588294,9.45135585,0.01646653,1.25034329,5.19908269,3.47131495,0.21886791,3.12915897
-5.75987994,9.26636712,0.01580077,1.24071351,5.14758947,3.39358966,0.21445354,3.05839592
-5.75387694,9.03636300,0.01509417,1.22446222,5.07029942,3.29880214,0.20895081,2.97373119
-5.74787394,8.76419295,0.01435265,1.20182278,4.96810197,3.18823004,0.20243346,2.87611178
-5.74187094,8.45342747,0.01358275,1.17313309,4.84230318,3.06342198,0.19499252,2.76671228
-5.73586793,8.10826666,0.01279147,1.13882712,4.69459370,2.92615691,0.18673403,2.64690509
-5.72986493,7.73343084,0.01198610,1.09942372,4.52700572,2.77839709,0.17777619,2.51822476
-5.72386193,7.33403764,0.01117405,1.05551319,4.34186046,2.62223650,0.16824627,2.38232797
-5.71785893,6.91547005,0.01036269,1.00774197,4.14170823,2.45984676,0.15827730,2.24095069
-5.71185593,6.48324089,0.00955923,0.95679632,3.92926351,2.29342255,0.14800468,2.09586420
-5.70585293,6.04285859,0.00877049,0.90338529,3.70733730,2.12512869,0.13756278,1.94883167
-5.69984992,5.59969958,0.00800286,0.84822392,3.47876959,1.95705091,0.12708182,1.80156691
