energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,2.73818722,0.02788350,0.17357618,0.08395275,1.24726827,1.04312199,0.03980777,1.14362657
-5.99399700,2.51209905,0.02795428,0.14943182,0.08414481,1.08371752,0.95373710,0.03681120,1.06739117
-5.98799400,2.29874969,0.02800031,0.12799520,0.08441252,0.93809256,0.86875194,0.03394161,0.99325373
-5.98199100,2.09829232,0.02801119,0.10911920,0.08469875,0.80932048,0.78835586,0.03121142,0.92154218
-5.97598799,1.91080830,0.02797649,0.09263702,0.08494629,0.69620236,0.71271181,0.02863400,0.85258161
-5.96998499,1.73632287,0.02788598,0.07837020,0.08509939,0.59746385,0.64195879,0.02622352,0.78668975
-5.96398199,1.57481777,0.02772999,0.06613574,0.08510532,0.51179985,0.57621332,0.02399490,0.72417224
-5.95797899,1.42624115,0.02749967,0.05575225,0.08491588,0.43791225,0.51557029,0.02196369,0.66531837
-5.95197599,1.29051562,0.02718735,0.04704486,0.08448877,0.37454088,0.46010333,0.02014598,0.61039749
-5.94597299,1.16754464,0.02678680,0.03984924,0.08378891,0.32048763,0.40986517,0.01855827,0.55965635
-5.93996998,1.05721798,0.02629357,0.03401437,0.08278945,0.27463416,0.36488808,0.01721741,0.51331755
-5.93396698,0.95941627,0.02570516,0.02940453,0.08147264,0.23595380,0.32518453,0.01614042,0.47157890
-5.92796398,0.87401467,0.02502121,0.02590024,0.07983032,0.20351835,0.29074813,0.01534449,0.43461369
-5.92196098,0.80088577,0.02424360,0.02339854,0.07786418,0.17650046,0.26155470,0.01484673,0.40257141
-5.91595798,0.73990111,0.02337648,0.02181254,0.07558565,0.15417253,0.23756350,0.01466401,0.37557879
-5.90995498,0.69093127,0.02242616,0.02107042,0.07301544,0.13590273,0.21871824,0.01481273,0.35374054
-5.90395198,0.65384403,0.02140100,0.02111395,0.07018286,0.12114885,0.20494779,0.01530841,0.33713965
-5.89794897,0.62850026,0.02031118,0.02189671,0.06712477,0.10945069,0.19616640,0.01616527,0.32583669
-5.89194597,0.61474748,0.01916836,0.02338195,0.06388436,0.10042154,0.19227311,0.01739565,0.31986814
-5.88594297,0.61241086,0.01798539,0.02554035,0.06050978,0.09373899,0.19315046,0.01900935,0.31924340
-5.87993997,0.62128203,0.01677589,0.02834763,0.05705258,0.08913584,0.19866230,0.02101287,0.32394063
-5.87393697,0.64110597,0.01555386,0.03178219,0.05356630,0.08639112,0.20865092,0.02340853,0.33390149
-5.86793397,0.67156680,0.01433328,0.03582281,0.05010494,0.08532159,0.22293350,0.02619361,0.34902519
-5.86193097,0.71227321,0.01312775,0.04044647,0.04672167,0.08577403,0.24129836,0.02935947,0.36916216
-5.85592796,0.76274471,0.01195013,0.04562653,0.04346772,0.08761833,0.26350124,0.03289070,0.39410798
-5.84992496,0.82239985,0.01081227,0.05133110,0.04039145,0.09074167,0.28926206,0.03676439,0.42359817
-5.84392196,0.89054772,0.00972477,0.05752192,0.03753780,0.09504379,0.31826266,0.04094958,0.45730441
-5.83791896,0.96638399,0.00869683,0.06415370,0.03494794,0.10043342,0.35014597,0.04540694,0.49483294
-5.83191596,1.04899245,0.00773617,0.07117395,0.03265932,0.10682601,0.38451709,0.05008871,0.53572569
-5.82591296,1.13735317,0.00684900,0.07852349,0.03070600,0.11414263,0.42094651,0.05493900,0.57946458
-5.81990995,1.23035762,0.00604006,0.08613744,0.02911920,0.12231006,0.45897594,0.05989443,0.62547929
-5.81390695,1.32683120,0.00531275,0.09394688,0.02792812,0.13126202,0.49812673,0.06488517,0.67315870
-5.80790395,1.42556270,0.00466925,0.10188107,0.02716096,0.14094130,0.53791080,0.06983636,0.72186583
-5.80190095,1.52534019,0.00411069,0.10987005,0.02684598,0.15130276,0.57784403,0.07466982,0.77095603
-5.79589795,1.62499202,0.00363740,0.11784774,0.02701265,0.16231689,0.61746152,0.07930617,0.81979770
-5.78989495,1.72343140,0.00324906,0.12575517,0.02769269,0.17397369,0.65633427,0.08366707,0.86779495
-5.78389195,1.81970254,0.00294494,0.13354387,0.02892107,0.18628661,0.69408648,0.08767775,0.91441105
-5.77788894,1.91302603,0.00272411,0.14117909,0.03073676,0.19929633,0.73041264,0.09126942,0.95919162
-5.77188594,2.00284103,0.00258553,0.14864281,0.03318315,0.21307389,0.76509354,0.09438180,1.00178636
-5.76588294,2.08884180,0.00252829,0.15593618,0.03630825,0.22772308,0.79801009,0.09696533,1.04196806
-5.75987994,2.17100607,0.00255160,0.16308137,0.04016443,0.24338173,0.82915426,0.09898321,1.07964772
-5.75387694,2.24961335,0.00265495,0.17012257,0.04480775,0.26022168,0.85863612,0.10041294,1.11488476
-5.74787394,2.32525122,0.00283804,0.17712607,0.05029687,0.27844731,0.88668640,0.10124751,1.14789144
-5.74187094,2.39880857,0.00310079,0.18417928,0.05669156,0.29829257,0.91365406,0.10149593,1.17903096
-5.73586793,2.47145518,0.00344331,0.19138873,0.06405072,0.32001637,0.93999862,0.10118329,1.20880894
-5.72986493,2.54460778,0.00386572,0.19887699,0.07243013,0.34389657,0.96627724,0.10035011,1.23785830
-5.72386193,2.61988337,0.00436811,0.20677866,0.08187986,0.37022269,0.99312685,0.09905116,1.26691805
-5.71785893,2.69904136,0.00495034,0.21523549,0.09244151,0.39928750,1.02124183,0.09735379,1.29680657
-5.71185593,2.78391669,0.00561188,0.22439084,0.10414528,0.43137788,1.05134810,0.09533566,1.32839059
-5.70585293,2.87634650,0.00635167,0.23438371,0.11700715,0.46676528,1.08417449,0.09308219,1.36255100
-5.69984992,2.97809343,0.00716795,0.24534255,0.13102610,0.50569621,1.12042265,0.09068365,1.40014706
-5.69384692,3.09076887,0.00805807,0.25737915,0.14618167,0.54838299,1.16073668,0.08823220,1.44198045
-5.68784392,3.21575934,0.00901839,0.27058282,0.16243189,0.59499537,1.20567379,0.08581872,1.48876088
-5.68184092,3.35415933,0.01004419,0.28501523,0.17971164,0.64565312,1.25567722,0.08352991,1.54107458
-5.67583792,3.50671341,0.01112954,0.30070601,0.19793175,0.70041996,1.31105261,0.08144542,1.59935721
-5.66983492,3.67377011,0.01226732,0.31764940,0.21697868,0.75929898,1.37194881,0.07963542,1.66387214
-5.66383192,3.85524936,0.01344918,0.33580206,0.23671498,0.82222960,1.43834396,0.07815847,1.73469500
-5.65782891,4.05062498,0.01466562,0.35508218,0.25698046,0.88908603,1.51003741,0.07705986,1.81170517
-5.65182591,4.25892239,0.01590608,0.37536988,0.27759424,0.95967724,1.58664776,0.07637051,1.89458406
-5.64582291,4.47873171,0.01715905,0.39650893,0.29835738,1.03374807,1.66761713,0.07610628,1.98282045
-5.63981991,4.70823518,0.01841228,0.41830966,0.31905624,1.11098128,1.75222131,0.07626796,2.07572202
-5.63381691,4.94524750,0.01965296,0.44055298,0.33946638,1.19100037,1.83958556,0.07684161,2.17243269
-5.62781391,5.18726716,0.02086796,0.46299535,0.35935687,1.27337269,1.92870500,0.07779950,2.27195449
-5.62181091,5.43153634,0.02204410,0.48537442,0.37849492,1.35761271,2.01846918,0.07910137,2.37317311
-5.61580790,5.67510683,0.02316837,0.50741520,0.39665063,1.44318511,2.10768938,0.08069614,2.47488571
-5.60980490,5.91490926,0.02422824,0.52883648,0.41360176,1.52950780,2.19512794,0.08252377,2.57582999
-5.60380190,6.14782307,0.02521190,0.54935720,0.42913827,1.61595455,2.27952831,0.08451745,2.67471313
-5.59779890,6.37074478,0.02610848,0.56870276,0.44306665,1.70185766,2.35964488,0.08660583,2.77023985
-5.59179590,6.58065239,0.02690828,0.58661076,0.45521371,1.78651058,2.43427152,0.08871527,2.86113843
-5.58579290,6.77466442,0.02760295,0.60283634,0.46542992,1.86917112,2.50226808,0.09077208,2.94618436
-5.57978989,6.95009204,0.02818564,0.61715674,0.47359211,1.94906542,2.56258408,0.09270467,3.02422097
-5.57378689,7.10448393,0.02865108,0.62937512,0.47960550,2.02539328,2.61427908,0.09444544,3.09417706
-5.56778389,7.23566326,0.02899569,0.63932365,0.48340501,2.09733527,2.65653946,0.09593255,3.15508142
-5.56178089,7.34175728,0.02921754,0.64686570,0.48495602,2.16406211,2.68869129,0.09711133,3.20607464
-5.55577789,7.42121977,0.02931643,0.65189742,0.48425430,2.22474649,2.71020958,0.09793545,3.24641847
-5.54977489,7.47284737,0.02929376,0.65434848,0.48132546,2.27857769,2.72072378,0.09836781,3.27550329
-5.54377189,7.49579065,0.02915254,0.65418238,0.47622385,2.32477895,2.72002006,0.09838101,3.29285419
-5.53776888,7.48956088,0.02889726,0.65139614,0.46903092,2.36262726,2.70804057,0.09795767,3.29813614
-5.53176588,7.45403354,0.02853382,0.64601963,0.45985328,2.39147531,2.68488018,0.09709038,3.29115863
-5.52576288,7.38944909,0.02806943,0.63811463,0.44882043,2.41077477,2.65078115,0.09578138,3.27188008
