energy_ev,total_up,N_s_up,N_p_up,Os_p_up,Os_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,5.35060252,0.06741431,0.60053993,1.62410158,2.17853986,0.03272535,2.51951000,0.48972630,0.10116066
-5.99399700,5.52108113,0.07094411,0.60763365,1.67723792,2.24389923,0.03454631,2.62996413,0.52360184,0.10648848
-5.98799400,5.69881275,0.07447882,0.61572311,1.73303915,2.31153347,0.03645392,2.74488996,0.55971414,0.11210021
-5.98199100,5.88143147,0.07793982,0.62490655,1.79088318,2.38045944,0.03842012,2.86260772,0.59796571,0.11794570
-5.97598799,6.06655130,0.08124897,0.63527719,1.85012816,2.44969575,0.04041543,2.98140123,0.63821254,0.12397550
-5.96998499,6.25179001,0.08433079,0.64691577,1.91011576,2.51827421,0.04240942,3.09954347,0.68025786,0.13014102
-5.96398199,6.43479088,0.08711439,0.65988266,1.97017441,2.58525008,0.04437122,3.21532227,0.72384730,0.13639468
-5.95797899,6.61324336,0.08953546,0.67421009,2.02962283,2.64971163,0.04627008,3.32706597,0.76866589,0.14268981
-5.95197599,6.78490292,0.09153796,0.68989484,2.08777429,2.71078906,0.04807588,3.43316885,0.81433730,0.14898054
-5.94597299,6.94761099,0.09307563,0.70689180,2.14394196,2.76766313,0.04975975,3.53211596,0.86042534,0.15522152
-5.93996998,7.09931553,0.09411320,0.72510903,2.19744557,2.81957365,0.05129457,3.62250710,0.90643814,0.16136761
-5.93396698,7.23809236,0.09462712,0.74440441,2.24761962,2.86582803,0.05265552,3.70307962,0.95183488,0.16737364
-5.92796398,7.36216759,0.09460612,0.76458440,2.29382301,2.90580970,0.05382052,3.77272937,0.99603515,0.17319406
-5.92196098,7.46994065,0.09405117,0.78540495,2.33544994,2.93898653,0.05477071,3.83052945,1.03843054,0.17878277
-5.91595798,7.56000760,0.09297515,0.80657473,2.37194176,2.96491873,0.05549076,3.87574612,1.07839838,0.18409304
-5.90995498,7.63118373,0.09140213,0.82776060,2.40279922,2.98326613,0.05596917,3.90785120,1.11531697,0.18907753
-5.90395198,7.68252451,0.08936631,0.84859519,2.42759455,2.99379415,0.05619849,3.92653041,1.14858187,0.19368853
-5.89794897,7.71334350,0.08691065,0.86868622,2.44598261,2.99637826,0.05617536,3.93168712,1.17762255,0.19787838
-5.89194597,7.72322616,0.08408532,0.88762732,2.45771048,2.99100620,0.05590060,3.92344107,1.20191886,0.20160002
-5.88594297,7.71203819,0.08094600,0.90500980,2.46262474,2.97777773,0.05537908,3.90212166,1.22101643,0.20480778
-5.87993997,7.67992740,0.07755201,0.92043488,2.46067589,2.95690144,0.05461953,3.86825595,1.23454053,0.20745829
-5.87393697,7.62731841,0.07396455,0.93352581,2.45191947,2.92868864,0.05363430,3.82255130,1.24220769,0.20951143
-5.86793397,7.55489973,0.07024493,0.94393948,2.43651362,2.89354404,0.05243898,3.76587307,1.24383454,0.21093145
-5.86193097,7.46360322,0.06645295,0.95137679,2.41471306,2.85195364,0.05105202,3.69921810,1.23934370,0.21168801
-5.85592796,7.35457664,0.06264538,0.95559167,2.38685962,2.80447006,0.04949419,3.62368475,1.22876611,0.21175721
-5.84992496,7.22914990,0.05887474,0.95639810,2.35336983,2.75169595,0.04778813,3.54044055,1.21224017,0.21112254
-5.84392196,7.08879684,0.05518826,0.95367507,2.31472004,2.69426608,0.04595778,3.45068880,1.19000741,0.20977561
-5.83791896,6.93509386,0.05162709,0.94736941,2.27143000,2.63282898,0.04402784,3.35563532,1.16240510,0.20771680
-5.83191596,6.76967762,0.04822578,0.93749624,2.22404569,2.56802908,0.04202324,3.25645685,1.12985619,0.20495558
-5.82591296,6.59420379,0.04501200,0.92413746,2.17312232,2.50049008,0.03996865,3.15427222,1.09285702,0.20151073
-5.81990995,6.41030891,0.04200647,0.90743823,2.11920857,2.43080051,0.03788803,3.05011774,1.05196338,0.19741019
-5.81390695,6.21957718,0.03922316,0.88760183,2.06283274,2.35950209,0.03580422,2.94492754,1.00777557,0.19269079
-5.80790395,6.02351378,0.03666959,0.86488322,2.00449163,2.28708158,0.03373868,2.83951976,0.96092313,0.18739769
-5.80190095,5.82352588,0.03434737,0.83958172,1.94464274,2.21396630,0.03171116,2.73458901,0.91204979,0.18158371
-5.79589795,5.62091183,0.03225278,0.81203299,1.88369988,2.14052354,0.02973963,2.63070512,0.86179921,0.17530846
-5.78989495,5.41685880,0.03037755,0.78260088,1.82203252,2.06706371,0.02784015,2.52831802,0.81080209,0.16863730
-5.78389195,5.21244816,0.02870958,0.75166930,1.75996854,1.99384684,0.02602687,2.42776816,0.75966486,0.16164034
-5.77788894,5.00866781,0.02723378,0.71963445,1.69779991,1.92109193,0.02431207,2.32930165,0.70896032,0.15439127
-5.77188594,4.80642975,0.02593289,0.68689754,1.63579085,1.84898833,0.02270632,2.23308889,0.65922038,0.14696619
-5.76588294,4.60659121,0.02478825,0.65385806,1.57418762,1.77770823,0.02121857,2.13924562,0.61093075,0.13944249
-5.75987994,4.40997728,0.02378056,0.62090787,1.51322892,1.70741953,0.01985632,2.04785488,0.56452773,0.13189765
-5.75387694,4.21740277,0.02289059,0.58842577,1.45315624,1.63829786,0.01862584,1.95898847,0.52039663,0.12440813
-5.74787394,4.02969135,0.02209974,0.55677284,1.39422307,1.57053711,0.01753229,1.87272674,0.47887185,0.11704829
-5.74187094,3.84769009,0.02139057,0.52628818,1.33670221,1.50435750,0.01657984,1.78917535,0.44023803,0.10988932
-5.73586793,3.67227783,0.02074722,0.49728516,1.28089050,1.44001071,0.01577182,1.70847815,0.40473214,0.10299823
-5.72986493,3.50436638,0.02015567,0.47004800,1.22711052,1.37778156,0.01511076,1.63082543,0.37254603,0.09643694
-5.72386193,3.34489393,0.01960395,0.44482855,1.17570891,1.31798610,0.01459839,1.55645705,0.34382922,0.09026132
-5.71785893,3.19481075,0.01908220,0.42184340,1.12705130,1.26096614,0.01423562,1.48566049,0.31869156,0.08452042
-5.71185593,3.05505767,0.01858262,0.40127109,1.08151406,1.20708045,0.01402245,1.41876386,0.29720561,0.07925570
-5.70585293,2.92653849,0.01809941,0.38324971,1.03947317,1.15669313,0.01395787,1.35612445,0.27940849,0.07450041
-5.69984992,2.81008779,0.01762851,0.36787468,1.00129098,1.11015988,0.01403972,1.29811359,0.26530320,0.07027904
-5.69384692,2.70643617,0.01716737,0.35519707,0.96730144,1.06781282,0.01426452,1.24509870,0.25485930,0.06660695
-5.68784392,2.61617488,0.01671469,0.34522247,0.93779485,1.02994488,0.01462737,1.19742369,0.24801311,0.06349013
-5.68184092,2.53972231,0.01627006,0.33791060,0.91300287,0.99679460,0.01512175,1.15538898,0.24466735,0.06092518
-5.67583792,2.47729439,0.01583366,0.33317578,0.89308496,0.96853232,0.01573951,1.11923218,0.24469068,0.05889943
-5.66983492,2.42888121,0.01540600,0.33088847,0.87811696,0.94524854,0.01647076,1.08911079,0.24791706,0.05739133
-5.66383192,2.39423142,0.01498766,0.33087794,0.86808273,0.92694527,0.01730393,1.06508796,0.25414534,0.05637105
-5.65782891,2.37284619,0.01457906,0.33293616,0.86286948,0.91353093,0.01822585,1.04712206,0.26313930,0.05580128
-5.65182591,2.36398340,0.01418038,0.33682298,0.86226731,0.90481913,0.01922193,1.03506110,0.27462834,0.05563825
-5.64582291,2.36667281,0.01379145,0.34227246,0.86597318,0.90053175,0.02027638,1.02864210,0.28830913,0.05583304
-5.63981991,2.37974193,0.01341176,0.34900038,0.87359948,0.90030612,0.02137256,1.02749593,0.30384825,0.05633293
-5.63381691,2.40185208,0.01304053,0.35671272,0.88468695,0.90370623,0.02249340,1.03115737,0.32088612,0.05708302
-5.62781391,2.43154339,0.01267684,0.36511482,0.89872157,0.91023750,0.02362177,1.03908021,0.33904220,0.05802791
-5.62181091,2.46728718,0.01231977,0.37392106,0.91515487,0.91936462,0.02474108,1.05065669,0.35792136,0.05911343
-5.61580790,2.50754354,0.01196860,0.38286462,0.93342682,0.93053158,0.02583572,1.06524056,0.37712153,0.06028844
-5.60980490,2.55082174,0.01162306,0.39170707,0.95299036,0.94318318,0.02689159,1.08217270,0.39624219,0.06150651
-5.60380190,2.59574086,0.01128350,0.40024726,0.97333649,0.95678696,0.02789663,1.10080831,0.41489368,0.06272752
-5.59779890,2.64108790,0.01095112,0.40832933,0.99401887,0.97085466,0.02884125,1.12054417,0.43270685,0.06391913
-5.59179590,2.68587066,0.01062813,0.41584924,1.01467668,0.98496209,0.02971868,1.14084499,0.44934274,0.06505796
-5.58579290,2.72936279,0.01031786,0.42275973,1.03505474,0.99876666,0.03052531,1.16126734,0.46450181,0.06613056
-5.57978989,2.77113874,0.01002488,0.42907322,1.05501977,1.01202146,0.03126081,1.18148024,0.47793244,0.06713402
-5.57378689,2.81109672,0.00975498,0.43486254,1.07457198,1.02458547,0.03192823,1.20128107,0.48943812,0.06807624
-5.56778389,2.84946814,0.00951518,0.44025935,1.09385133,1.03642896,0.03253387,1.22060625,0.49888307,0.06897582
-5.56178089,2.88681276,0.00931357,0.44545018,1.11313780,1.04763413,0.03308709,1.23953580,0.50619594,0.06986155
-5.55577789,2.92399923,0.00915918,0.45067019,1.13284574,1.05839046,0.03359993,1.25829165,0.51137134,0.07077155
-5.54977489,2.96217143,0.00906179,0.45619469,1.15351207,1.06898506,0.03408664,1.27722945,0.51446918,0.07175201
-5.54377189,3.00270156,0.00903163,0.46232880,1.17577876,1.07978828,0.03456304,1.29682418,0.51561159,0.07285562
