energy_ev,total_up,P_s_up,P_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.20959789,0.00457380,0.49557379,0.01081860,0.20815739,0.42376902,0.33001562
-5.99399700,1.22823509,0.00451740,0.50303267,0.01140461,0.21096462,0.43333769,0.33362219
-5.98799400,1.24429360,0.00443839,0.50943780,0.01201508,0.21326377,0.44230378,0.33639601
-5.98199100,1.25808972,0.00433909,0.51492611,0.01265042,0.21510647,0.45074795,0.33844258
-5.97598799,1.26993359,0.00422214,0.51963268,0.01331003,0.21654410,0.45874093,0.33986956
-5.96998499,1.28010682,0.00409035,0.52368139,0.01399207,0.21762409,0.46633592,0.34078039
-5.96398199,1.28884239,0.00394663,0.52717644,0.01469333,0.21838664,0.47356219,0.34126827
-5.95797899,1.29630816,0.00379390,0.53019533,0.01540913,0.21886210,0.48042000,0.34141103
-5.95197599,1.30259514,0.00363498,0.53278375,0.01613332,0.21906911,0.48687747,0.34126722
-5.94597299,1.30771129,0.00347253,0.53495277,0.01685831,0.21901369,0.49286951,0.34087355
-5.93996998,1.31158143,0.00330899,0.53667845,0.01757522,0.21868942,0.49829903,0.34024399
-5.93396698,1.31405332,0.00314656,0.53790415,0.01827413,0.21807850,0.50304031,0.33937048
-5.92796398,1.31490982,0.00298714,0.53854521,0.01894429,0.21715399,0.50694459,0.33822534
-5.92196098,1.31388633,0.00283239,0.53849597,0.01957456,0.21588272,0.50984743,0.33676514
-5.91595798,1.31069282,0.00268368,0.53763868,0.02015377,0.21422910,0.51157754,0.33493593
-5.90995498,1.30503909,0.00254220,0.53585387,0.02067116,0.21215925,0.51196660,0.33267944
-5.90395198,1.29666198,0.00240895,0.53303164,0.02111687,0.20964552,0.51085955,0.32994005
-5.89794897,1.28535314,0.00228483,0.52908320,0.02148241,0.20667095,0.50812479,0.32667197
-5.89194597,1.27098574,0.00217069,0.52395216,0.02176104,0.20323354,0.50366372,0.32284644
-5.88594297,1.25353881,0.00206741,0.51762498,0.02194825,0.19934998,0.49741915,0.31845847
-5.87993997,1.23311791,0.00197595,0.51013996,0.02204204,0.19505878,0.48938216,0.31353274
-5.87393697,1.20997122,0.00189742,0.50159440,0.02204324,0.19042246,0.47959696,0.30812849
-5.86793397,1.18449994,0.00183309,0.49214961,0.02195564,0.18552886,0.46816374,0.30234299
-5.86193097,1.15726290,0.00178451,0.48203346,0.02178615,0.18049134,0.45523913,0.29631363
-5.85592796,1.12897474,0.00175341,0.47154036,0.02154470,0.17544789,0.44103452,0.29021825
-5.84992496,1.10049795,0.00174180,0.46102866,0.02124424,0.17055928,0.42581212,0.28427391
