energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,Mg_p_up,Mg_p_down,Mg_d_up,Mg_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,0.99227815,-0.99227815,0.02626325,-0.02626325,0.07641095,-0.07641095,0.53647284,-0.53647284,0.13681416,-0.13681416,0.46545641,-0.46545641,0.00000000,-0.00000000,0.61095650,-0.61095650,0.00000000,-0.00000000
-5.99399700,1.04585046,-1.04585046,0.02859474,-0.02859474,0.07876221,-0.07876221,0.55784191,-0.55784192,0.14048314,-0.14048314,0.49107108,-0.49107107,0.00000000,-0.00000000,0.64505864,-0.64505864,0.00000000,-0.00000000
-5.98799400,1.10092999,-1.10092999,0.03092217,-0.03092217,0.08207274,-0.08207274,0.57825663,-0.57825664,0.14610110,-0.14610110,0.51613580,-0.51613579,0.00000000,-0.00000000,0.67819760,-0.67819760,0.00000000,-0.00000000
-5.98199100,1.15671599,-1.15671598,0.03321361,-0.03321361,0.08631703,-0.08631702,0.59742565,-0.59742565,0.15357798,-0.15357798,0.54025665,-0.54025665,0.00000000,-0.00000000,0.70980919,-0.70980919,0.00000000,-0.00000000
-5.97598799,1.21245408,-1.21245407,0.03543588,-0.03543588,0.09148176,-0.09148176,0.61510626,-0.61510626,0.16284074,-0.16284073,0.56305182,-0.56305182,0.00000000,-0.00000000,0.73935004,-0.73935003,0.00000000,-0.00000000
-5.96998499,1.26745279,-1.26745278,0.03755540,-0.03755540,0.09756492,-0.09756492,0.63110933,-0.63110933,0.17383346,-0.17383346,0.58416116,-0.58416116,0.00000000,-0.00000000,0.76631206,-0.76631206,0.00000000,-0.00000000
-5.96398199,1.32109741,-1.32109740,0.03953914,-0.03953914,0.10457409,-0.10457409,0.64530202,-0.64530202,0.18651621,-0.18651620,0.60325528,-0.60325527,0.00000000,-0.00000000,0.79023626,-0.79023626,0.00000000,-0.00000000
-5.95797899,1.37286050,-1.37286049,0.04135552,-0.04135552,0.11252389,-0.11252389,0.65760848,-0.65760848,0.20086239,-0.20086238,0.62004354,-0.62004353,0.00000000,-0.00000000,0.81072531,-0.81072531,0.00000000,-0.00000000
-5.95197599,1.42230865,-1.42230863,0.04297538,-0.04297538,0.12143282,-0.12143281,0.66800805,-0.66800805,0.21685497,-0.21685497,0.63428093,-0.63428093,0.00000000,-0.00000000,0.82745441,-0.82745440,0.00000000,-0.00000000
-5.94597299,1.46910490,-1.46910488,0.04437283,-0.04437283,0.13131933,-0.13131932,0.67653143,-0.67653143,0.23448150,-0.23448149,0.64577332,-0.64577332,0.00000000,-0.00000000,0.84017985,-0.84017984,0.00000000,-0.00000000
-5.93996998,1.51300685,-1.51300683,0.04552598,-0.04552598,0.14219761,-0.14219761,0.68325470,-0.68325469,0.25372808,-0.25372807,0.65438095,-0.65438095,0.00000000,-0.00000000,0.84874495,-0.84874494,0.00000000,-0.00000000
-5.93396698,1.55386035,-1.55386033,0.04641762,-0.04641762,0.15407297,-0.15407296,0.68829160,-0.68829159,0.27457275,-0.27457274,0.66002015,-0.66002015,0.00000000,-0.00000000,0.85308301,-0.85308301,0.00000000,-0.00000000
-5.92796398,1.59158912,-1.59158910,0.04703566,-0.04703566,0.16693712,-0.16693711,0.69178443,-0.69178442,0.29697821,-0.29697820,0.66266310,-0.66266310,0.00000000,-0.00000000,0.85321716,-0.85321715,0.00000000,-0.00000000
-5.92196098,1.62618084,-1.62618082,0.04737341,-0.04737341,0.18076370,-0.18076369,0.69389399,-0.69389399,0.32088462,-0.32088460,0.66233581,-0.66233580,0.00000000,-0.00000000,0.84925707,-0.84925706,0.00000000,-0.00000000
-5.91595798,1.65767050,-1.65767047,0.04742966,-0.04742966,0.19550407,-0.19550406,0.69478913,-0.69478912,0.34620248,-0.34620247,0.65911440,-0.65911440,0.00000000,-0.00000000,0.84139271,-0.84139270,0.00000000,-0.00000000
-5.90995498,1.68612194,-1.68612192,0.04720860,-0.04720860,0.21108382,-0.21108381,0.69463635,-0.69463634,0.37280637,-0.37280635,0.65312004,-0.65312004,0.00000000,-0.00000000,0.82988543,-0.82988542,0.00000000,-0.00000000
-5.90395198,1.71160884,-1.71160881,0.04671952,-0.04671952,0.22740007,-0.22740006,0.69359018,-0.69359017,0.40052962,-0.40052960,0.64451266,-0.64451265,0.00000000,-0.00000000,0.81505679,-0.81505678,0.00000000,-0.00000000
-5.89794897,1.73419623,-1.73419620,0.04597636,-0.04597636,0.24431992,-0.24431991,0.69178468,-0.69178467,0.42916063,-0.42916061,0.63348397,-0.63348397,0.00000000,-0.00000000,0.79727576,-0.79727575,0.00000000,-0.00000000
-5.89194597,1.75392397,-1.75392394,0.04499711,-0.04499711,0.26168021,-0.26168020,0.68932658,-0.68932657,0.45844101,-0.45844099,0.62025008,-0.62025008,0.00000000,-0.00000000,0.77694482,-0.77694481,0.00000000,-0.00000000
-5.88594297,1.77079319,-1.77079316,0.04380311,-0.04380311,0.27928860,-0.27928859,0.68629053,-0.68629052,0.48806593,-0.48806591,0.60504410,-0.60504410,0.00000000,-0.00000000,0.75448577,-0.75448576,0.00000000,-0.00000000
