energy_ev,total_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-6.00000000,4.30660401,0.17866327,0.00000000,0.00654093,0.54438917,1.94328085,1.93047032,0.03501185,2.00334955
-5.99399700,4.22267283,0.17420933,0.00000000,0.00627042,0.52720269,1.89398379,1.91263048,0.03382325,1.97173116
-5.98799400,4.12639878,0.16916861,0.00000000,0.00599500,0.50820394,1.83815856,1.88968528,0.03251037,1.93432158
-5.98199100,4.01866973,0.16355550,0.00000000,0.00572041,0.48754846,1.77637325,1.86178966,0.03109004,1.89150845
-5.97598799,3.90053072,0.15739930,0.00000000,0.00545328,0.46542525,1.70929577,1.82914981,0.02958117,1.84374273
-5.96998499,3.77316905,0.15074409,0.00000000,0.00520112,0.44205345,1.63768151,1.79202285,0.02800435,1.79153222
-5.96398199,3.63789731,0.14364793,0.00000000,0.00497235,0.41767775,1.56235887,1.75071653,0.02638147,1.73543496
-5.95797899,3.49613571,0.13618148,0.00000000,0.00477632,0.39256283,1.48421339,1.70558947,0.02473530,1.67605336
-5.95197599,3.34939451,0.12842612,0.00000000,0.00462335,0.36698702,1.40417140,1.65705192,0.02308906,1.61402920
-5.94597299,3.19925792,0.12047157,0.00000000,0.00452479,0.34123561,1.32318385,1.60556743,0.02146598,1.55004002
-5.93996998,3.04736989,0.11241338,0.00000000,0.00449299,0.31559405,1.24221115,1.55165523,0.01988894,1.48479694
-5.93396698,2.89542276,0.10435023,0.00000000,0.00454137,0.29034132,1.16220972,1.49589330,0.01838010,1.41904418
-5.92796398,2.74514863,0.09638117,0.00000000,0.00468442,0.26574385,1.08412062,1.43892200,0.01696058,1.35355993
-5.92196098,2.59831368,0.08860316,0.00000000,0.00493761,0.24205017,1.00886073,1.38144777,0.01565019,1.28915857
-5.91595798,2.45671506,0.08110866,0.00000000,0.00531737,0.21948641,0.93731652,1.32424667,0.01446717,1.22669369
-5.90995498,2.32217956,0.07398371,0.00000000,0.00584092,0.19825290,0.87034041,1.26816716,0.01342806,1.16706153
-5.90395198,2.19656339,0.06730629,0.00000000,0.00652609,0.17852181,0.80874958,1.21413157,0.01254748,1.11120419
-5.89794897,2.08175186,0.06114513,0.00000000,0.00739102,0.16043588,0.75332659,1.16313589,0.01183803,1.06011205
-5.89194597,1.97965799,0.05555901,0.00000000,0.00845381,0.14410814,0.70482158,1.11624720,0.01131016,1.01482467
-5.88594297,1.89221867,0.05059629,0.00000000,0.00973207,0.12962252,0.66395513,1.07459832,0.01097207,0.97642959
-5.87993997,1.82138737,0.04629503,0.00000000,0.01124240,0.11703519,0.63142128,1.03937934,0.01082958,0.94605839
-5.87393697,1.76912226,0.04268325,0.00000000,0.01299975,0.10637651,0.60788997,1.01182558,0.01088601,0.92487944
-5.86793397,1.73736893,0.03977955,0.00000000,0.01501677,0.09765325,0.59400804,0.99320198,0.01114212,0.91408700
-5.86193097,1.72803721,0.03759387,0.00000000,0.01730309,0.09085112,0.59039845,0.98478366,0.01159587,0.91488637
-5.85592796,1.74297148,0.03612838,0.00000000,0.01986455,0.08593724,0.59765700,0.98783287,0.01224241,0.92847487
-5.84992496,1.78391497,0.03537852,0.00000000,0.02270248,0.08286253,0.61634629,1.00357251,0.01307385,0.95601883
-5.84392196,1.85246801,0.03533392,0.00000000,0.02581304,0.08156390,0.64698679,1.03315667,0.01407926,0.99862673
-5.83791896,1.95004144,0.03597944,0.00000000,0.02918655,0.08196601,0.69004489,1.07763879,0.01524454,1.05731911
-5.83191596,2.07780613,0.03729605,0.00000000,0.03280706,0.08398284,0.74591839,1.13793809,0.01655246,1.13299575
-5.82591296,2.23664034,0.03926172,0.00000000,0.03665201,0.08751878,0.81491967,1.21480546,0.01798270,1.22640126
-5.81990995,2.42707684,0.04185217,0.00000000,0.04069212,0.09246948,0.89725721,1.30878957,0.01951205,1.33809002
-5.81390695,2.64925198,0.04504154,0.00000000,0.04489143,0.09872230,0.99301645,1.42020473,0.02111460,1.46839179
-5.80790395,2.90285903,0.04880297,0.00000000,0.04920773,0.10615672,1.10214064,1.54910156,0.02276220,1.61737956
-5.80190095,3.18710843,0.05310908,0.00000000,0.05359308,0.11464451,1.22441298,1.69524198,0.02442486,1.78484092
-5.79589795,3.50069718,0.05793236,0.00000000,0.05799468,0.12404994,1.35944098,1.85807975,0.02607138,1.97025469
-5.78989495,3.84178978,0.06324545,0.00000000,0.06235593,0.13423007,1.50664412,2.03674778,0.02767005,2.17277405
-5.78389195,4.20801256,0.06902132,0.00000000,0.06661775,0.14503515,1.66524580,2.23005341,0.02918936,2.39121762
-5.77788894,4.59646295,0.07523332,0.00000000,0.07071998,0.15630932,1.83427037,2.43648226,0.03059887,2.62406948
-5.77188594,5.00373453,0.08185516,0.00000000,0.07460294,0.16789159,2.01254586,2.65421134,0.03187002,2.86948885
-5.76588294,5.42595813,0.08886068,0.00000000,0.07820905,0.17961707,2.19871278,2.88113152,0.03297700,3.12532973
-5.75987994,5.85885852,0.09622357,0.00000000,0.08148440,0.19131861,2.39123898,3.11487908,0.03389747,3.38917057
-5.75387694,6.29782544,0.10391688,0.00000000,0.08438024,0.20282872,2.58844048,3.35287572,0.03461329,3.65835316
-5.74787394,6.73799692,0.11191242,0.00000000,0.08685440,0.21398176,2.78850760,3.59237583,0.03511112,3.93003001
-5.74187094,7.17435253,0.12018010,0.00000000,0.08887233,0.22461639,2.98953563,3.83051979,0.03538279,4.20121849
-5.73586793,7.60181313,0.12868704,0.00000000,0.09040811,0.23457811,3.18955908,4.06439133,0.03542560,4.46886022
-5.72986493,8.01534402,0.13739681,0.00000000,0.09144496,0.24372188,3.38658816,4.29107723,0.03524240,4.72988346
-5.72386193,8.41005750,0.14626853,0.00000000,0.09197558,0.25191476,3.57864631,4.50772704,0.03484140,4.98126643
-5.71785893,8.78131166,0.15525606,0.00000000,0.09200211,0.25903837,3.76380743,4.71161115,0.03423595,5.22009927
-5.71185593,9.12480180,0.16430741,0.00000000,0.09153576,0.26499114,3.94023157,4.90017496,0.03344397,5.44364260
-5.70585293,9.43664178,0.17336427,0.00000000,0.09059623,0.26969027,4.10619793,5.07108778,0.03248736,5.64938078
-5.69984992,9.71343302,0.18236181,0.00000000,0.08921083,0.27307338,4.26013441,5.22228508,0.03139122,5.83506834
-5.69384692,9.95231972,0.19122896,0.00000000,0.08741339,0.27509962,4.40064290,5.35200306,0.03018300,5.99876858
-5.68784392,10.15102932,0.19988894,0.00000000,0.08524308,0.27575044,4.52652010,5.45880529,0.02889159,6.13888343
-5.68184092,10.30789850,0.20826032,0.00000000,0.08274313,0.27502981,4.63677376,5.54160112,0.02754644,6.25417469
-5.67583792,10.42188517,0.21625857,0.00000000,0.07995954,0.27296402,4.73063435,5.59965633,0.02617665,6.34377665
-5.66983492,10.49256787,0.22379791,0.00000000,0.07693983,0.26960102,4.80756281,5.63259660,0.02481018,6.40720083
-5.66383192,10.52013425,0.23079374,0.00000000,0.07373188,0.26500933,4.86725460,5.64040458,0.02347316,6.44433362
-5.65782891,10.50536045,0.23716525,0.00000000,0.07038288,0.25927664,4.90964083,5.62341165,0.02218925,6.45542799
-5.65182591,10.44958346,0.24283832,0.00000000,0.06693856,0.25250813,4.93488690,5.58228519,0.02097925,6.44109020
-5.64582291,10.35466820,0.24774848,0.00000000,0.06344240,0.24482453,4.94338921,5.51801231,0.01986075,6.40226265
-5.63981991,10.22297082,0.25184384,0.00000000,0.05993528,0.23636008,4.93577016,5.43188083,0.01884807,6.34020372
