energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Te_p_up,Te_d_up,Zr_p_up,Zr_d_up
-6.00000000,5.58378432,0.02990162,0.55974369,0.41585491,2.89588150,0.00000000,1.18024511,1.29050752
-5.99399700,5.59814567,0.03009777,0.55964278,0.41321143,2.90621563,0.00000000,1.18282443,1.29355469
-5.98799400,5.60018876,0.03018545,0.55868341,0.40875224,2.90965336,0.00000000,1.18257534,1.29473302
-5.98199100,5.58855122,0.03015706,0.55679168,0.40248363,2.90541527,0.00000000,1.17934476,1.29372560
-5.97598799,5.56218883,0.03000729,0.55394603,0.39444791,2.89285142,0.00000000,1.17305659,1.29031007
-5.96998499,5.52041961,0.02973328,0.55018108,0.38472136,2.87146566,0.00000000,1.16371875,1.28437059
-5.96398199,5.46295614,0.02933481,0.54558957,0.37341129,2.84093538,0.00000000,1.15142758,1.27590609
-5.95797899,5.38992464,0.02881429,0.54032210,0.36065240,2.80112582,0.00000000,1.13636935,1.26503420
-5.95197599,5.30186977,0.02817674,0.53458489,0.34660262,2.75209803,0.00000000,1.11881872,1.25199096
-5.94597299,5.19974458,0.02742963,0.52863530,0.33143852,2.69411002,0.00000000,1.09913393,1.23712608
-5.93996998,5.08488603,0.02658273,0.52277562,0.31535045,2.62761108,0.00000000,1.07774879,1.22089391
-5.93396698,4.95897651,0.02564776,0.51734481,0.29853758,2.55322916,0.00000000,1.05516168,1.20384043
-5.92796398,4.82399312,0.02463808,0.51270892,0.28120301,2.47175211,0.00000000,1.03192181,1.18658665
-5.92196098,4.68214624,0.02356830,0.50924997,0.26354901,2.38410332,0.00000000,1.00861314,1.16980889
-5.91595798,4.53580999,0.02245382,0.50735394,0.24577260,2.29131308,0.00000000,0.98583654,1.15421663
-5.90995498,4.38744700,0.02131043,0.50739807,0.22806152,2.19448670,0.00000000,0.96419066,1.14052862
-5.90395198,4.23953057,0.02015385,0.50973783,0.21059077,2.09477093,0.00000000,0.94425244,1.12944800
-5.89794897,4.09446703,0.01899929,0.51469393,0.19351964,1.99332006,0.00000000,0.92655768,1.12163732
-5.89194597,3.95452123,0.01786106,0.52253986,0.17698941,1.89126317,0.00000000,0.91158263,1.11769425
-5.88594297,3.82174812,0.01675222,0.53349034,0.16112169,1.78967386,0.00000000,0.89972718,1.11812879
-5.87993997,3.69793260,0.01568428,0.54769101,0.14601746,1.68954357,0.00000000,0.89130044,1.12334294
-5.87393697,3.58454009,0.01466698,0.56520992,0.13175668,1.59175949,0.00000000,0.88650916,1.13361346
-5.86793397,3.48267933,0.01370810,0.58603107,0.11839856,1.49708770,0.00000000,0.88544963,1.14907844
-5.86193097,3.39307870,0.01281342,0.61005035,0.10598236,1.40616206,0.00000000,0.88810335,1.16972836
-5.85592796,3.31607663,0.01198666,0.63707423,0.09452870,1.31947883,0.00000000,0.89433679,1.19540193
-5.84992496,3.25162631,0.01122953,0.66682125,0.08404127,1.23739696,0.00000000,0.90390518,1.22578715
-5.84392196,3.19931404,0.01054192,0.69892653,0.07450886,1.16014370,0.00000000,0.91646048,1.26042748
-5.83791896,3.15839051,0.00992198,0.73294913,0.06590763,1.08782483,0.00000000,0.93156300,1.29873332
-5.83191596,3.12781319,0.00936643,0.76838226,0.05820354,1.02043880,0.00000000,0.94869658,1.33999811
-5.82591296,3.10629824,0.00887079,0.80466592,0.05135483,0.95789394,0.00000000,0.96728644,1.38341888
-5.81990995,3.09237944,0.00842966,0.84120163,0.04531445,0.90002766,0.00000000,0.98671937,1.42812017
-5.81390695,3.08447186,0.00803704,0.87736871,0.04003247,0.84662681,0.00000000,1.00636510,1.47318071
-5.80790395,3.08093747,0.00768664,0.91254153,0.03545823,0.79744821,0.00000000,1.02559836,1.51766163
-5.80190095,3.08015019,0.00737218,0.94610699,0.03154239,0.75223844,0.00000000,1.04382046,1.56063509
-5.79589795,3.08055773,0.00708766,0.97748154,0.02823863,0.71075224,0.00000000,1.06047971,1.60121220
-5.78989495,3.08073784,0.00682762,1.00612711,0.02550513,0.67276877,0.00000000,1.07508974,1.63856909
-5.78389195,3.07944709,0.00658738,1.03156522,0.02330576,0.63810527,0.00000000,1.08724505,1.67196993
-5.77788894,3.07566036,0.00636320,1.05338869,0.02161091,0.60662778,0.00000000,1.09663321,1.70078621
-5.77188594,3.06859986,0.00615243,1.07127064,0.02039807,0.57825878,0.00000000,1.10304327,1.72451144
-5.76588294,3.05775318,0.00595359,1.08497034,0.01965208,0.55298145,0.00000000,1.10637004,1.74277080
-5.75987994,3.04287993,0.00576643,1.09433587,0.01936513,0.53084093,0.00000000,1.10661436,1.75532558
-5.75387694,3.02400754,0.00559196,1.09930362,0.01953642,0.51194247,0.00000000,1.10387931,1.76207254
-5.74787394,3.00141694,0.00543234,1.09989485,0.02017166,0.49644682,0.00000000,1.09836279,1.76303841
-5.74187094,2.97561929,0.00529086,1.09620962,0.02128231,0.48456324,0.00000000,1.09034686,1.75837020
-5.73586793,2.94732535,0.00517184,1.08841864,0.02288456,0.47654038,0.00000000,1.08018447,1.74832202
-5.72986493,2.91740922,0.00508042,1.07675348,0.02499823,0.47265555,0.00000000,1.06828432,1.73323928
-5.72386193,2.88686823,0.00502247,1.06149587,0.02764546,0.47320266,0.00000000,1.05509442,1.71354138
-5.71785893,2.85678095,0.00500436,1.04296662,0.03084933,0.47847939,0.00000000,1.04108524,1.68970355
