energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,3.50555747,0.00410089,0.47672090,0.01903334,1.74691241,1.76441135,1.14204835
-5.99399700,3.48403571,0.00394500,0.49143585,0.01846418,1.71610526,1.73685389,1.14781357
-5.98799400,3.45141118,0.00378424,0.50445612,0.01787984,1.67988456,1.70396981,1.14941145
-5.98199100,3.40706741,0.00361909,0.51540755,0.01727711,1.63829298,1.66578018,1.14647324
-5.97598799,3.35060338,0.00345012,0.52395277,0.01665341,1.59147263,1.62239535,1.13871487
-5.96998499,3.28185985,0.00327807,0.52980370,0.01600703,1.53966715,1.57401899,1.12594961
-5.96398199,3.20093643,0.00310372,0.53273254,0.01533727,1.48321979,1.52094867,1.10809720
-5.95797899,3.10819883,0.00292800,0.53258061,0.01464450,1.42256753,1.46357300,1.08518912
-5.95197599,3.00427622,0.00275189,0.52926474,0.01393024,1.35823157,1.40236554,1.05736989
-5.94597299,2.89004902,0.00257642,0.52278098,0.01319708,1.29080491,1.33787594,1.02489432
-5.93996998,2.76662814,0.00240264,0.51320547,0.01244860,1.22093754,1.27071866,0.98812102
-5.93396698,2.63532660,0.00223160,0.50069252,0.01168926,1.14932013,1.20156003,0.94750249
-5.92796398,2.49762532,0.00206431,0.48547000,0.01092419,1.07666695,1.13110415,0.90357231
-5.92196098,2.35513451,0.00190174,0.46783245,0.01015903,1.00369881,1.06007845,0.85693010
-5.91595798,2.20955263,0.00174476,0.44813212,0.00939973,0.93112672,0.98921928,0.80822492
-5.90995498,2.06262463,0.00159416,0.42676848,0.00865233,0.85963694,0.91925842,0.75813783
-5.90395198,1.91610120,0.00145063,0.40417675,0.00792277,0.78987789,0.85091063,0.70736433
-5.89794897,1.77170045,0.00131475,0.38081590,0.00721672,0.72244932,0.78486286,0.65659748
-5.89194597,1.63107352,0.00118700,0.35715667,0.00653944,0.65789384,0.72176531,0.60651216
-5.88594297,1.49577491,0.00106775,0.33367010,0.00589566,0.59669115,0.66222437,0.55775107
-5.87993997,1.36723837,0.00095730,0.31081698,0.00528946,0.53925462,0.60679762,0.51091290
-5.87393697,1.24675868,0.00085587,0.28903854,0.00472425,0.48593035,0.55599074,0.46654285
-5.86793397,1.13547942,0.00076362,0.26874867,0.00420273,0.43699824,0.51025608,0.42512571
-5.86193097,1.03438648,0.00068068,0.25032780,0.00372691,0.39267487,0.46999286,0.38708150
-5.85592796,0.94430698,0.00060717,0.23411849,0.00329813,0.35311778,0.43554851,0.35276350
-5.84992496,0.86591273,0.00054325,0.22042273,0.00291711,0.31843078,0.40722098,0.32245862
-5.84392196,0.79972767,0.00048907,0.20950079,0.00258403,0.28866989,0.38526158,0.29638959
-5.83791896,0.74613829,0.00044489,0.20157156,0.00229862,0.26384946,0.36987817,0.27471890
-5.83191596,0.70540609,0.00041102,0.19681401,0.00206023,0.24394830,0.36123827,0.25755389
-5.82591296,0.67768128,0.00038792,0.19536970,0.00186791,0.22891530,0.35947198,0.24495280
-5.81990995,0.66301673,0.00037616,0.19734595,0.00172051,0.21867447,0.36467434,0.23693121
-5.81390695,0.66138161,0.00037644,0.20281945,0.00161673,0.21312913,0.37690713,0.23346867
-5.80790395,0.67267385,0.00038964,0.21184017,0.00155520,0.21216519,0.39619995,0.23451518
-5.80190095,0.69673107,0.00041682,0.22443508,0.00153452,0.21565336,0.42255048,0.23999718
-5.79589795,0.73333953,0.00045918,0.24061180,0.00155328,0.22345046,0.45592403,0.24982283
-5.78989495,0.78224077,0.00051809,0.26036174,0.00161008,0.23539968,0.49625234,0.26388655
-5.78389195,0.84313600,0.00059507,0.28366265,0.00170352,0.25133015,0.54343174,0.28207238
-5.77788894,0.91568785,0.00069177,0.31048049,0.00183221,0.27105568,0.59732078,0.30425644
-5.77188594,0.99951997,0.00080992,0.34077045,0.00199469,0.29437309,0.65773740,0.33030813
-5.76588294,1.09421419,0.00095129,0.37447709,0.00218945,0.32106019,0.72445590,0.36009025
-5.75987994,1.19930580,0.00111765,0.41153348,0.00241482,0.35087359,0.79720362,0.39345792
-5.75387694,1.31427693,0.00131067,0.45185935,0.00266896,0.38354666,0.87565768,0.43025653
-5.74787394,1.43854862,0.00153191,0.49535837,0.00294981,0.41878773,0.95944179,0.47031864
-5.74187094,1.57147176,0.00178267,0.54191438,0.00325502,0.45627874,1.04812330,0.51346007
-5.73586793,1.71231754,0.00206393,0.59138699,0.00358192,0.49567450,1.14121058,0.55947538
-5.72986493,1.86026779,0.00237630,0.64360641,0.00392751,0.53660275,1.23815094,0.60813284
-5.72386193,2.01440589,0.00271986,0.69836799,0.00428839,0.57866499,1.33832917,0.65916928
-5.71785893,2.17370882,0.00309413,0.75542660,0.00466083,0.62143831,1.44106694,0.71228510
