energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Ir_p_up,Ir_d_up,Te_p_up,Te_d_up
-6.00000000,5.56933302,0.03316523,0.72102037,1.02040307,0.34313403,2.15191885,2.01390312,2.17266369,0.00000000
-5.99399700,5.43377060,0.03225568,0.68704690,1.00027684,0.34263484,2.06643220,1.96653303,2.13963346,0.00000000
-5.98799400,5.29638762,0.03140788,0.65258542,0.97976782,0.34240487,1.98317575,1.91687965,2.10701983,0.00000000
-5.98199100,5.15804265,0.03061901,0.61799623,0.95862231,0.34249903,1.90254883,1.86542443,2.07474465,0.00000000
-5.97598799,5.01981595,0.02988635,0.58364765,0.93663608,0.34299002,1.82493910,1.81276507,2.04282801,0.00000000
-5.96998499,4.88300821,0.02920766,0.54990983,0.91366694,0.34396713,1.75073177,1.75960607,2.01139879,0.00000000
-5.96398199,4.74912738,0.02858144,0.51714870,0.88964415,0.34553367,1.68031592,1.70674535,1.98069844,0.00000000
-5.95797899,4.61986268,0.02800705,0.48571986,0.86457421,0.34780309,1.61408713,1.65505678,1.95107737,0.00000000
-5.95197599,4.49704599,0.02748474,0.45596276,0.83854262,0.35089395,1.55244597,1.60546919,1.92298377,0.00000000
-5.94597299,4.38260161,0.02701557,0.42819518,0.81171164,0.35492375,1.49579237,1.55894216,1.89694529,0.00000000
-5.93996998,4.27848586,0.02660113,0.40270800,0.78431417,0.36000206,1.44451598,1.51643924,1.87354419,0.00000000
-5.93396698,4.18661906,0.02624331,0.37976047,0.75664424,0.36622316,1.39898307,1.47889952,1.85338750,0.00000000
-5.92796398,4.10881291,0.02594384,0.35957606,0.72904463,0.37365861,1.35952100,1.44720846,1.83707355,0.00000000
-5.92196098,4.04669670,0.02570395,0.34233880,0.70189239,0.38235025,1.32640100,1.42216906,1.82515700,0.00000000
-5.91595798,4.00164618,0.02552392,0.32819043,0.67558320,0.39230394,1.29982086,1.40447459,1.81811424,0.00000000
-5.90995498,3.97471887,0.02540270,0.31722825,0.65051527,0.40348453,1.27988841,1.39468396,1.81631146,0.00000000
-5.90395198,3.96659947,0.02533757,0.30950383,0.62707390,0.41581244,1.26660745,1.39320095,1.81997715,0.00000000
-5.89794897,3.97755875,0.02532390,0.30502259,0.60561718,0.42916218,1.25986699,1.40025831,1.82918095,0.00000000
-5.89194597,4.00742826,0.02535503,0.30374442,0.58646382,0.44336292,1.25943492,1.41590742,1.84382024,0.00000000
-5.88594297,4.05559313,0.02542225,0.30558523,0.56988337,0.45820133,1.26495687,1.44001442,1.86361524,0.00000000
-5.87993997,4.12100354,0.02551487,0.31041947,0.55608933,0.47342664,1.27596053,1.47226296,1.88811341,0.00000000
-5.87393697,4.20220507,0.02562053,0.31808375,0.54523519,0.48875774,1.29186572,1.51216363,1.91670268,0.00000000
-5.86793397,4.29738671,0.02572550,0.32838124,0.53741349,0.50389207,1.31199977,1.55906998,1.94863328,0.00000000
-5.86193097,4.40444458,0.02581513,0.34108696,0.53265755,0.51851602,1.33561774,1.61220038,1.98304678,0.00000000
-5.85592796,4.52105838,0.02587442,0.35595377,0.53094560,0.53231615,1.36192648,1.67066489,2.01901093,0.00000000
-5.84992496,4.64477692,0.02588851,0.37271872,0.53220685,0.54499095,1.39011151,1.73349606,2.05555846,0.00000000
-5.84392196,4.77310854,0.02584335,0.39110982,0.53632886,0.55626245,1.41936523,1.79968213,2.09172768,0.00000000
-5.83791896,4.90361201,0.02572622,0.41085272,0.54316580,0.56588702,1.44891514,1.86820132,2.12660270,0.00000000
-5.83191596,5.03398329,0.02552627,0.43167719,0.55254677,0.57366508,1.47805059,1.93805535,2.15935126,0.00000000
-5.82591296,5.16213384,0.02523496,0.45332309,0.56428394,0.57944894,1.50614661,2.00830086,2.18925796,0.00000000
-5.81990995,5.28625675,0.02484644,0.47554559,0.57817975,0.58314860,1.53268374,2.07807713,2.21575145,0.00000000
-5.81390695,5.40487754,0.02435775,0.49811940,0.59403307,0.58473518,1.55726269,2.14662872,2.23842406,0.00000000
-5.80790395,5.51688720,0.02376902,0.52084193,0.61164388,0.58424180,1.57961329,2.21332229,2.25704314,0.00000000
-5.80190095,5.62155658,0.02308337,0.54353518,0.63081647,0.58176189,1.59959728,2.27765662,2.27155360,0.00000000
-5.79589795,5.71853160,0.02230686,0.56604641,0.65136113,0.57744522,1.61720497,2.33926567,2.28207197,0.00000000
-5.78989495,5.80781065,0.02144825,0.58824755,0.67309449,0.57149160,1.63254607,2.39791494,2.28887236,0.00000000
-5.78389195,5.88970578,0.02051861,0.61003362,0.69583868,0.56414295,1.64583538,2.45349132,2.29236558,0.00000000
-5.77788894,5.96479087,0.01953098,0.63132020,0.71941975,0.55567388,1.65737437,2.50598762,2.29307268,0.00000000
-5.77188594,6.03384026,0.01849985,0.65204039,0.74366558,0.54638145,1.66752967,2.55548295,2.29159469,0.00000000
-5.76588294,6.09776187,0.01744071,0.67214132,0.76840383,0.53657461,1.67670986,2.60212027,2.28858021,0.00000000
