energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Na_s_up,S_s_up,S_p_up
-6.00000000,0.43925906,0.00003752,0.01538298,0.10900418,0.05373411,0.23599641,0.00315251,0.19494254
-5.99399700,0.44894088,0.00004046,0.01536713,0.10284383,0.05592631,0.24788905,0.00333090,0.19847665
-5.98799400,0.45874995,0.00004340,0.01539168,0.09731315,0.05805853,0.25946373,0.00350365,0.20210692
-5.98199100,0.46830940,0.00004634,0.01544231,0.09236394,0.06008073,0.27045447,0.00366746,0.20567421
-5.97598799,0.47723372,0.00004928,0.01550440,0.08793899,0.06194253,0.28059734,0.00381913,0.20901466
-5.96998499,0.48514344,0.00005228,0.01556350,0.08397500,0.06359507,0.28963873,0.00395566,0.21196610
-5.96398199,0.49168009,0.00005539,0.01560587,0.08040557,0.06499289,0.29734359,0.00407442,0.21437467
-5.95797899,0.49652105,0.00005872,0.01561894,0.07716420,0.06609589,0.30350342,0.00417324,0.21610138
-5.95197599,0.49939362,0.00006242,0.01559177,0.07418721,0.06687108,0.30794349,0.00425057,0.21702836
-5.94597299,0.50008787,0.00006670,0.01551544,0.07141652,0.06729424,0.31052921,0.00430559,0.21706461
-5.93996998,0.49846758,0.00007185,0.01538341,0.06880206,0.06735134,0.31117112,0.00433835,0.21615094
-5.93396698,0.49447913,0.00007826,0.01519179,0.06630397,0.06703960,0.30982849,0.00434983,0.21426398
-5.92796398,0.48815789,0.00008641,0.01493951,0.06389431,0.06636834,0.30651126,0.00434205,0.21141920
-5.92196098,0.47963201,0.00009691,0.01462841,0.06155845,0.06535941,0.30128026,0.00431813,0.20767270
-5.91595798,0.46912364,0.00011055,0.01426332,0.05929597,0.06404728,0.29424580,0.00428232,0.20312196
-5.90995498,0.45694753,0.00012825,0.01385194,0.05712121,0.06247885,0.28556463,0.00424004,0.19790546
-5.90395198,0.44350733,0.00015119,0.01340479,0.05506337,0.06071288,0.27543551,0.00419787,0.19220116
-5.89794897,0.42928977,0.00018073,0.01293494,0.05316630,0.05881916,0.26409358,0.00416357,0.18622420
-5.89194597,0.41485696,0.00021850,0.01245786,0.05148792,0.05687749,0.25180384,0.00414599,0.18022370
-5.88594297,0.40083734,0.00026644,0.01199108,0.05009943,0.05497636,0.23885391,0.00415506,0.17447884
-5.87993997,0.38791525,0.00032674,0.01155396,0.04908414,0.05321164,0.22554663,0.00420170,0.16929447
-5.87393697,0.37681976,0.00040197,0.01116731,0.04853620,0.05168492,0.21219247,0.00429771,0.16499621
-5.86793397,0.36831256,0.00049497,0.01085313,0.04855901,0.05050200,0.19910229,0.00445563,0.16192509
-5.86193097,0.36317544,0.00060896,0.01063426,0.04926351,0.04977110,0.18658045,0.00468862,0.16043199
-5.85592796,0.36219703,0.00074745,0.01053408,0.05076618,0.04960110,0.17491863,0.00501024,0.16087161
