energy_ev,total_up,P_s_up,P_p_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-6.00000000,3.62437432,0.00491707,0.12028767,0.47255112,3.26415507,0.32472039,0.00000000
-5.99399700,3.62408678,0.00485957,0.12257575,0.47850203,3.25983444,0.32911030,0.00000000
-5.98799400,3.61313262,0.00478586,0.12456049,0.48268104,3.24600464,0.33288438,0.00000000
-5.98199100,3.59202387,0.00469926,0.12620892,0.48506569,3.22320710,0.33594203,0.00000000
-5.97598799,3.56146224,0.00460346,0.12749206,0.48566633,3.19215351,0.33818761,0.00000000
-5.96998499,3.52232670,0.00450232,0.12838606,0.48452573,3.15371275,0.33953490,0.00000000
-5.96398199,3.47565508,0.00439978,0.12887313,0.48171784,3.10889223,0.33991144,0.00000000
-5.95797899,3.42261955,0.00429965,0.12894243,0.47734550,3.05881396,0.33926228,0.00000000
-5.95197599,3.36449685,0.00420553,0.12859058,0.47153742,3.00468589,0.33755315,0.00000000
-5.94597299,3.30263406,0.00412064,0.12782205,0.46444431,2.94776938,0.33477278,0.00000000
-5.93996998,3.23841096,0.00404771,0.12664919,0.45623444,2.88934386,0.33093427,0.00000000
-5.93396698,3.17320051,0.00398889,0.12509198,0.44708876,2.83067012,0.32607540,0.00000000
-5.92796398,3.10832892,0.00394565,0.12317747,0.43719574,2.77295347,0.32025803,0.00000000
-5.92196098,3.04503699,0.00391873,0.12093906,0.42674616,2.71730854,0.31356637,0.00000000
-5.91595798,2.98444430,0.00390814,0.11841546,0.41592808,2.66472690,0.30610451,0.00000000
-5.90995498,2.92751789,0.00391316,0.11564955,0.40492208,2.61604927,0.29799313,0.00000000
-5.90395198,2.87504673,0.00393235,0.11268711,0.39389708,2.57194312,0.28936569,0.00000000
-5.89794897,2.82762302,0.00396365,0.10957550,0.38300681,2.53288704,0.28036425,0.00000000
-5.89194597,2.78563126,0.00400443,0.10636242,0.37238701,2.49916216,0.27113513,0.00000000
-5.88594297,2.74924516,0.00405163,0.10309467,0.36215352,2.47085118,0.26182460,0.00000000
-5.87993997,2.71843274,0.00410187,0.09981712,0.35240117,2.44784467,0.25257485,0.00000000
-5.87393697,2.69296877,0.00415159,0.09657178,0.34320357,2.42985441,0.24352027,0.00000000
-5.86793397,2.67245411,0.00419718,0.09339710,0.33461362,2.41643277,0.23478429,0.00000000
