energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Si_p_up,Si_p_down,Si_d_up,Si_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,2.31109749,-0.77399476,1.36066272,-0.63537575,0.59926610,-0.10260186,0.50187488,-0.15941286,0.00000000,-0.00000000,0.79893556,-0.32183058,0.00000000,-0.00000000
-5.99399700,2.41642225,-0.77477373,1.40111353,-0.64750460,0.62540515,-0.10286537,0.51580016,-0.16313205,0.00000000,-0.00000000,0.84751645,-0.31874086,0.00000000,-0.00000000
-5.98799400,2.52126930,-0.77756545,1.44184675,-0.66006952,0.65057327,-0.10328377,0.52886145,-0.16682847,0.00000000,-0.00000000,0.89737633,-0.31713387,0.00000000,-0.00000000
-5.98199100,2.62460667,-0.78186558,1.48249520,-0.67276265,0.67451001,-0.10380118,0.54086523,-0.17043688,0.00000000,-0.00000000,0.94810318,-0.31674780,0.00000000,-0.00000000
-5.97598799,2.72538759,-0.78725653,1.52268240,-0.68533576,0.69697107,-0.10437403,0.55163191,-0.17390431,0.00000000,-0.00000000,0.99924565,-0.31736109,0.00000000,-0.00000000
-5.96998499,2.82256544,-0.79342062,1.56202845,-0.69760727,0.71773271,-0.10497269,0.56100110,-0.17719106,0.00000000,-0.00000000,1.05031637,-0.31879998,0.00000000,-0.00000000
-5.96398199,2.91510866,-0.80014918,1.60015585,-0.70946643,0.73659562,-0.10558252,0.56883642,-0.18027110,0.00000000,-0.00000000,1.10079636,-0.32094394,0.00000000,-0.00000000
-5.95797899,3.00201605,-0.80734741,1.63669534,-0.72087498,0.75338833,-0.10620454,0.57502964,-0.18313196,0.00000000,-0.00000000,1.15014067,-0.32372902,0.00000000,-0.00000000
-5.95197599,3.08233240,-0.81503551,1.67129199,-0.73186634,0.76797010,-0.10685549,0.57950432,-0.18577421,0.00000000,-0.00000000,1.19778542,-0.32714925,0.00000000,-0.00000000
-5.94597299,3.15516477,-0.82334621,1.70361182,-0.74254281,0.78023343,-0.10756761,0.58221868,-0.18821060,0.00000000,-0.00000000,1.24315631,-0.33125616,0.00000000,-0.00000000
-5.93996998,3.21969967,-0.83251926,1.73334919,-0.75307093,0.79010617,-0.10838795,0.58316782,-0.19046497,0.00000000,-0.00000000,1.28567882,-0.33615651,0.00000000,-0.00000000
-5.93396698,3.27522090,-0.84289335,1.76023489,-0.76367547,0.79755343,-0.10937742,0.58238513,-0.19257106,0.00000000,-0.00000000,1.32478979,-0.34200860,0.00000000,-0.00000000
-5.92796398,3.32112805,-0.85489567,1.78404498,-0.77463235,0.80257908,-0.11060956,0.57994302,-0.19457133,0.00000000,-0.00000000,1.35995046,-0.34901708,0.00000000,-0.00000000
-5.92196098,3.35695513,-0.86902979,1.80461015,-0.78626080,0.80522704,-0.11216908,0.57595268,-0.19651585,0.00000000,-0.00000000,1.39066047,-0.35742657,0.00000000,-0.00000000
-5.91595798,3.38238873,-0.88586195,1.82182509,-0.79891499,0.80558213,-0.11415020,0.57056314,-0.19846133,0.00000000,-0.00000000,1.41647251,-0.36751423,0.00000000,-0.00000000
-5.90995498,3.39728479,-0.90600611,1.83565735,-0.81297524,0.80377041,-0.11665482,0.56395932,-0.20047031,0.00000000,-0.00000000,1.43700692,-0.37958135,0.00000000,-0.00000000
-5.90395198,3.40168291,-0.93010795,1.84615510,-0.82883898,0.79995888,-0.11979055,0.55635907,-0.20261055,0.00000000,-0.00000000,1.45196581,-0.39394413,0.00000000,-0.00000000
-5.89794897,3.39581698,-0.95882792,1.85345266,-0.84691138,0.79435431,-0.12366858,0.54800925,-0.20495451,0.00000000,-0.00000000,1.46114567,-0.41092369,0.00000000,-0.00000000
-5.89194597,3.38012102,-0.99282340,1.85777346,-0.86759571,0.78720097,-0.12840130,0.53918067,-0.20757896,0.00000000,-0.00000000,1.46444804,-0.43083556,0.00000000,-0.00000000
-5.88594297,3.35522900,-1.03273006,1.85942919,-0.89128314,0.77877719,-0.13409991,0.53016202,-0.21056455,0.00000000,-0.00000000,1.46188723,-0.45397856,0.00000000,-0.00000000
-5.87993997,3.32196772,-1.07914252,1.85881498,-0.91834216,0.76939048,-0.14087168,0.52125267,-0.21399523,0.00000000,-0.00000000,1.45359479,-0.48062348,0.00000000,-0.00000000
-5.87393697,3.28134212,-1.13259434,1.85639977,-0.94910734,0.75937116,-0.14881715,0.51275467,-0.21795755,0.00000000,-0.00000000,1.43981988,-0.51100149,0.00000000,-0.00000000
-5.86793397,3.23451276,-1.19353768,1.85271212,-0.98386756,0.74906456,-0.15802713,0.50496384,-0.22253957,0.00000000,-0.00000000,1.42092548,-0.54529270,0.00000000,-0.00000000
-5.86193097,3.18276557,-1.26232290,1.84832136,-1.02285376,0.73882182,-0.16857960,0.49816039,-0.22782942,0.00000000,-0.00000000,1.39738024,-0.58361506,0.00000000,-0.00000000
