energy_ev,total_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,2.72801540,0.00350252,0.04524444,0.92048873,0.90149251,0.69750961,0.19437365,0.03528152,1.71072309
-5.99399700,2.73248027,0.00358920,0.04441582,0.92371054,0.89712803,0.69626352,0.19543467,0.03595718,1.71718420
-5.98799400,2.72629805,0.00365578,0.04353411,0.92343485,0.88896176,0.69228400,0.19576512,0.03648800,1.71681494
-5.98199100,2.70898354,0.00370113,0.04258536,0.91947885,0.87693886,0.68545288,0.19532095,0.03686171,1.70928889
-5.97598799,2.68028501,0.00372451,0.04155869,0.91173235,0.86108972,0.67571643,0.19407352,0.03706879,1.69442532
-5.96998499,2.64019323,0.00372555,0.04044674,0.90016180,0.84152998,0.66308760,0.19201042,0.03710276,1.67219528
-5.96398199,2.58894200,0.00370433,0.03924596,0.88481177,0.81845747,0.64764578,0.18913574,0.03696034,1.64272242
-5.95797899,2.52700089,0.00366128,0.03795673,0.86580384,0.79214635,0.62953427,0.18546983,0.03664156,1.60627902
-5.95197599,2.45506069,0.00359725,0.03658332,0.84333322,0.76293911,0.60895565,0.18104851,0.03614976,1.56327754
-5.94597299,2.37401294,0.00351342,0.03513376,0.81766333,0.73123659,0.58616538,0.17592202,0.03549151,1.51425842
-5.93996998,2.28492451,0.00341132,0.03361958,0.78911865,0.69748687,0.56146394,0.17015342,0.03467647,1.45987474
-5.93396698,2.18900889,0.00329274,0.03205540,0.75807630,0.66217349,0.53518806,0.16381695,0.03371714,1.40087475
-5.92796398,2.08759530,0.00315970,0.03045860,0.72495670,0.62580352,0.50770132,0.15699603,0.03262861,1.33808284
-5.92196098,1.98209708,0.00301439,0.02884880,0.69021366,0.58889607,0.47938460,0.14978128,0.03142822,1.27237998
-5.91595798,1.87398051,0.00285915,0.02724744,0.65432434,0.55197155,0.45062670,0.14226845,0.03013520,1.20468419
-5.90995498,1.76473490,0.00269635,0.02567732,0.61777935,0.51554213,0.42181550,0.13455639,0.02877026,1.13593166
-5.90395198,1.65584492,0.00252839,0.02416216,0.58107321,0.48010343,0.39332986,0.12674518,0.02735523,1.06705909
-5.89794897,1.54876551,0.00235763,0.02272622,0.54469545,0.44612768,0.36553245,0.11893425,0.02591260,0.99898746
-5.89194597,1.44489974,0.00218633,0.02139393,0.50912244,0.41405831,0.33876364,0.11122078,0.02446511,0.93260759
-5.88594297,1.34557966,0.00201664,0.02018954,0.47481002,0.38430580,0.31333646,0.10369820,0.02303538,0.86876741
-5.87993997,1.25205011,0.00185055,0.01913687,0.44218707,0.35724463,0.28953265,0.09645489,0.02164544,0.80826117
-5.87393697,1.16545518,0.00168986,0.01825895,0.41164988,0.33321123,0.26759971,0.08957302,0.02031642,0.75182017
-5.86793397,1.08682697,0.00153617,0.01757782,0.38355738,0.31250244,0.24774884,0.08312760,0.01906812,0.70010517
-5.86193097,1.01707634,0.00139086,0.01711421,0.35822716,0.29537444,0.23015371,0.07718568,0.01791873,0.65370009
-5.85592796,0.95698518,0.00125508,0.01688722,0.33593218,0.28204176,0.21494982,0.07180564,0.01688447,0.61310682
-5.84992496,0.90719986,0.00112979,0.01691403,0.31689822,0.27267625,0.20223447,0.06703670,0.01597932,0.57874100
-5.84392196,0.86822563,0.00101571,0.01720950,0.30130177,0.26740585,0.19206707,0.06291843,0.01521479,0.55092864
-5.83791896,0.84042166,0.00091337,0.01778581,0.28926868,0.26631300,0.18446983,0.05948053,0.01459967,0.52990332
-5.83191596,0.82399680,0.00082312,0.01865195,0.28087311,0.26943283,0.17942867,0.05674255,0.01413991,0.51580407
-5.82591296,0.81900594,0.00074514,0.01981333,0.27613717,0.27675112,0.17689435,0.05471382,0.01383846,0.50867384
-5.81990995,0.82534730,0.00067947,0.02127124,0.27503100,0.28820218,0.17678385,0.05339346,0.01369521,0.50845871
-5.81390695,0.84276081,0.00062601,0.02302241,0.27747336,0.30366686,0.17898187,0.05277046,0.01370697,0.51500780
-5.80790395,0.87082802,0.00058458,0.02505852,0.28333287,0.32297099,0.18334270,0.05282390,0.01386756,0.52807424
-5.80190095,0.90897393,0.00055491,0.02736588,0.29242983,0.34588449,0.18969231,0.05352329,0.01416783,0.54731728
-5.79589795,0.95647120,0.00053668,0.02992507,0.30453877,0.37212151,0.19783080,0.05482901,0.01459594,0.57230577
-5.78989495,1.01244719,0.00052952,0.03271080,0.31939161,0.40134176,0.20753528,0.05669295,0.01513753,0.60252316
-5.78389195,1.07589420,0.00053305,0.03569187,0.33668175,0.43315341,0.21856314,0.05905919,0.01577605,0.63737434
-5.77788894,1.14568315,0.00054688,0.03883132,0.35606877,0.46711768,0.23065587,0.06186490,0.01649314,0.67619423
-5.77188594,1.22058088,0.00057063,0.04208679,0.37718403,0.50275511,0.24354323,0.06504137,0.01726906,0.71825838
-5.76588294,1.29927101,0.00060392,0.04541106,0.39963690,0.53955367,0.25694795,0.06851513,0.01808315,0.76279530
-5.75987994,1.38037811,0.00064643,0.04875286,0.42302174,0.57697851,0.27059070,0.07220929,0.01891434,0.80900069
-5.75387694,1.46249475,0.00069785,0.05205780,0.44692538,0.61448307,0.28419542,0.07604486,0.01974165,0.85605294
-5.74787394,1.54421088,0.00075789,0.05526955,0.47093501,0.65152132,0.29749480,0.07994228,0.02054478,0.90313000
-5.74187094,1.62414450,0.00082630,0.05833117,0.49464635,0.68756059,0.31023568,0.08382291,0.02130455,0.94942669
-5.73586793,1.70097294,0.00090286,0.06118653,0.51767182,0.72209463,0.32218443,0.08761056,0.02200341,0.99417245
-5.72986493,1.77346344,0.00098735,0.06378180,0.53964855,0.75465616,0.33313193,0.09123302,0.02262585,1.03664849
-5.72386193,1.84050197,0.00107955,0.06606697,0.56024595,0.78482858,0.34289807,0.09462350,0.02315876,1.07620404
-5.71785893,1.90111925,0.00117922,0.06799728,0.57917267,0.81225608,0.35133560,0.09772197,0.02359166,1.11227102
-5.71185593,1.95451275,0.00128610,0.06953458,0.59618264,0.83665186,0.35833315,0.10047630,0.02391691,1.14437649
-5.70585293,2.00006387,0.00139987,0.07064846,0.61108008,0.85780389,0.36381737,0.10284330,0.02412976,1.17215250
-5.69984992,2.03734955,0.00152010,0.07131721,0.62372318,0.87557809,0.36775396,0.10478945,0.02422830,1.19534285
-5.69384692,2.06614773,0.00164632,0.07152846,0.63402643,0.88991863,0.37014765,0.10629143,0.02421334,1.21380649
-5.68784392,2.08643644,0.00177789,0.07127957,0.64196143,0.90084547,0.37104114,0.10733630,0.02408818,1.22751744
-5.68184092,2.09838660,0.00191405,0.07057762,0.64755608,0.90844921,0.37051281,0.10792156,0.02385831,1.23656113
-5.67583792,2.10234874,0.00205389,0.06943920,0.65089228,0.91288350,0.36867356,0.10805474,0.02353104,1.24112739
-5.66983492,2.09883421,0.00219634,0.06788971,0.65210203,0.91435549,0.36566262,0.10775282,0.02311508,1.24150025
-5.66383192,2.08849178,0.00234016,0.06596259,0.65136211,0.91311476,0.36164258,0.10704144,0.02262016,1.23804503
-5.65782891,2.07208033,0.00248397,0.06369807,0.64888743,0.90944127,0.35679383,0.10595379,0.02205657,1.23119310
-5.65182591,2.05043904,0.00262622,0.06114194,0.64492326,0.90363289,0.35130846,0.10452935,0.02143475,1.22142495
-5.64582291,2.02445598,0.00276526,0.05834401,0.63973658,0.89599317,0.34538392,0.10281250,0.02076497,1.20925215
-5.63981991,1.99503639,0.00289934,0.05535661,0.63360671,0.88681980,0.33921661,0.10085104,0.02005697,1.19519886
-5.63381691,1.96307185,0.00302665,0.05223300,0.62681561,0.87639422,0.33299556,0.09869459,0.01931977,1.17978345
-5.62781391,1.92941131,0.00314536,0.04902584,0.61963808,0.86497280,0.32689645,0.09639303,0.01856144,1.16350103
-5.62181091,1.89483498,0.00325369,0.04578585,0.61233219,0.85277984,0.32107610,0.09399504,0.01778906,1.14680722
-5.61580790,1.86003188,0.00334993,0.04256048,0.60513037,0.84000256,0.31566768,0.09154658,0.01700863,1.13010392
-5.60980490,1.82558172,0.00343249,0.03939288,0.59823122,0.82678808,0.31077669,0.08908970,0.01622512,1.11372732
-5.60380190,1.79194153,0.00349999,0.03632105,0.59179272,0.81324243,0.30647797,0.08666140,0.01544259,1.09793872
-5.59779890,1.75943734,0.00355124,0.03337724,0.58592674,0.79943136,0.30281369,0.08429273,0.01466424,1.08291822
-5.59179590,1.72826109,0.00358533,0.03058758,0.58069543,0.78538285,0.29979253,0.08200820,0.01389261,1.06876168
-5.58579290,1.69847267,0.00360163,0.02797196,0.57610944,0.77109096,0.29739003,0.07982538,0.01312974,1.05548090
-5.57978989,1.67000686,0.00359981,0.02554410,0.57212819,0.75652090,0.29555014,0.07775484,0.01237730,1.04300699
-5.57378689,1.64268486,0.00357985,0.02331189,0.56866236,0.74161483,0.29418787,0.07580033,0.01163676,1.03119698
-5.56778389,1.61623001,0.00354205,0.02127781,0.56557832,0.72629832,0.29319308,0.07395929,0.01090952,1.01984325
-5.56178089,1.59028693,0.00348702,0.01943953,0.56270464,0.71048704,0.29243519,0.07222360,0.01019703,1.00868557
-5.55577789,1.56444350,0.00341562,0.01779064,0.55984028,0.69409353,0.29176868,0.07058053,0.00950081,0.99742531
-5.54977489,1.53825485,0.00332900,0.01632142,0.55676433,0.67703379,0.29103928,0.06901394,0.00882256,0.98574134
-5.54377189,1.51126852,0.00322848,0.01501957,0.55324674,0.65923352,0.29009046,0.06750560,0.00816412,0.97330698
-5.53776888,1.48304976,0.00311557,0.01387109,0.54905982,0.64063383,0.28877014,0.06603660,0.00752749,0.95980741
-5.53176588,1.45320622,0.00299193,0.01286099,0.54398979,0.62119626,0.28693725,0.06458885,0.00691477,0.94495684
-5.52576288,1.42141097,0.00285927,0.01197400,0.53784814,0.60090703,0.28446792,0.06314647,0.00632813,0.92851475
-5.51975988,1.38742294,0.00271936,0.01119524,0.53048196,0.57978039,0.28126107,0.06169716,0.00576972,0.91030059
