energy_ev,total_up,Ge_p_up,Ge_d_up,Ir_p_up,Ir_d_up,S_s_up,S_p_up
-6.00000000,7.77346761,2.53582528,0.00000000,3.44286275,4.62823081,0.02348040,1.23362547
-5.99399700,7.67769060,2.48530896,0.00000000,3.32457426,4.57852701,0.02442933,1.24940615
-5.98799400,7.58283642,2.43334876,0.00000000,3.20825884,4.52720099,0.02548388,1.26659624
-5.98199100,7.49053018,2.38050123,0.00000000,3.09526334,4.47511787,0.02665328,1.28522353
-5.97598799,7.40211086,2.32719109,0.00000000,2.98666466,4.42301930,0.02794622,1.30529158
-5.96998499,7.31863052,2.27372056,0.00000000,2.88325673,4.37153269,0.02937042,1.32677712
-5.96398199,7.24087188,2.22028617,0.00000000,2.78555044,4.32118984,0.03093217,1.34962959
-5.95797899,7.16938199,2.16700159,0.00000000,2.69378594,4.27245309,0.03263587,1.37377298
-5.95197599,7.10451862,2.11392472,0.00000000,2.60795551,4.22574669,0.03448366,1.39910969
-5.94597299,7.04650572,2.06108708,0.00000000,2.52783524,4.18149075,0.03647502,1.42552617
-5.93996998,6.99549326,2.00852347,0.00000000,2.45302332,4.14013503,0.03860656,1.45290006
-5.93396698,6.95161728,1.95630006,0.00000000,2.38298230,4.10218978,0.04087174,1.48110811
-5.92796398,6.91505559,1.90453899,0.00000000,2.31708329,4.06825113,0.04326081,1.51003445
-5.92196098,6.88607520,1.85343818,0.00000000,2.25464952,4.03901888,0.04576074,1.53957841
-5.91595798,6.86506804,1.80328494,0.00000000,2.19499733,4.01530495,0.04835535,1.56966139
-5.90995498,6.85257244,1.75446288,0.00000000,2.13747282,3.99803136,0.05102548,1.60023208
-5.90395198,6.84927850,1.70745147,0.00000000,2.08148286,3.98821720,0.05374925,1.63126950
-5.89794897,6.85601672,1.66281852,0.00000000,2.02651942,3.98695470,0.05650250,1.66278349
-5.89194597,6.87373008,1.62120577,0.00000000,1.97217669,3.99537523,0.05925923,1.69481236
-5.88594297,6.90343082,1.58330853,0.00000000,1.91816100,4.01460643,0.06199213,1.72741768
-5.87993997,6.94614392,1.54985022,0.00000000,1.86429364,4.04572230,0.06467325,1.76067628
-5.87393697,7.00284035,1.52155328,0.00000000,1.81050726,4.08968857,0.06727459,1.79466978
-5.86793397,7.07436331,1.49910756,0.00000000,1.75683663,4.14730591,0.06976876,1.82947216
-5.86193097,7.16135165,1.48313804,0.00000000,1.70340490,4.21915350,0.07212969,1.86513610
-5.85592796,7.26416454,1.47417303,0.00000000,1.65040644,4.30553599,0.07433317,1.90167880
-5.84992496,7.38281152,1.47261463,0.00000000,1.59808752,4.40643654,0.07635750,1.93906815
-5.84392196,7.51689227,1.47871263,0.00000000,1.54672612,4.52147830,0.07818390,1.97721030
-5.83791896,7.66554957,1.49254308,0.00000000,1.49661198,4.64989687,0.07979694,2.01593938
-5.83191596,7.82743880,1.51399277,0.00000000,1.44802798,4.79052542,0.08118484,2.05501030
-5.82591296,8.00071649,1.54275008,0.00000000,1.40123376,4.94179389,0.08233958,2.09409516
-5.81990995,8.18304961,1.57830317,0.00000000,1.35645229,5.10174328,0.08325699,2.13278397
-5.81390695,8.37164642,1.61994541,0.00000000,1.31386003,5.26805510,0.08393664,2.17058981
-5.80790395,8.56330873,1.66678846,0.00000000,1.27358092,5.43809576,0.08438169,2.20695851
-5.80190095,8.75450453,1.71778233,0.00000000,1.23568432,5.60897491,0.08459863,2.24128268
-5.79589795,8.94145878,1.77174227,0.00000000,1.20018691,5.77761614,0.08459691,2.27291960
-5.78989495,9.12025952,1.82738136,0.00000000,1.16705828,5.94083791,0.08438864,2.30121227
-5.78389195,9.28697561,1.88334789,0.00000000,1.13622970,6.09544213,0.08398817,2.32551278
-5.77788894,9.43778162,1.93826629,0.00000000,1.10760561,6.23830729,0.08341177,2.34520699
-5.77188594,9.56908525,1.99078007,0.00000000,1.08107710,6.36648285,0.08267730,2.35973937
-5.76588294,9.67765204,2.03959520,0.00000000,1.05653659,6.47728143,0.08180397,2.36863687
-5.75987994,9.76072250,2.08352240,0.00000000,1.03389302,6.56836518,0.08081219,2.37153080
-5.75387694,9.81611648,2.12151654,0.00000000,1.01308650,6.63782301,0.07972344,2.36817548
-5.74787394,9.84232054,2.15271168,0.00000000,0.99410181,6.68423553,0.07856027,2.35846305
-5.74187094,9.83855412,2.17645020,0.00000000,0.97697978,6.70672476,0.07734637,2.34243352
-5.73586793,9.80481160,2.19230488,0.00000000,0.96182606,6.70498678,0.07610663,2.32027969
-5.72986493,9.74187787,2.20009278,0.00000000,0.94881633,6.67930525,0.07486725,2.29234655
-5.72386193,9.65131632,2.19988033,0.00000000,0.93819792,6.63054543,0.07365581,2.25912533
-5.71785893,9.53542911,2.19197927,0.00000000,0.93028702,6.56012832,0.07250131,2.22124223
-5.71185593,9.39719090,2.17693343,0.00000000,0.92546180,6.46998579,0.07143413,2.17944234
-5.70585293,9.24015812,2.15549689,0.00000000,0.92415101,6.36249823,0.07048580,2.13456942
-5.69984992,9.06835707,2.12860412,0.00000000,0.92681871,6.24041704,0.06968877,2.08754217
-5.69384692,8.88615492,2.09733360,0.00000000,0.93394521,6.10677480,0.06907588,2.03932814
-5.68784392,8.69811870,2.06286599,0.00000000,0.94600507,5.96478681,0.06867980,1.99091599
-5.68184092,8.50886745,2.02643891,0.00000000,0.96344283,5.81774763,0.06853228,1.94328743
-5.67583792,8.32292368,1.98930009,0.00000000,0.98664753,5.66892695,0.06866328,1.89738956
-5.66983492,8.14456974,1.95266083,0.00000000,1.01592706,5.52146881,0.06910004,1.85410894
-5.66383192,7.97771505,1.91765186,0.00000000,1.05148351,5.37829828,0.06986618,1.81424809
-5.65782891,7.82577936,1.88528347,0.00000000,1.09339087,5.24203914,0.07098067,1.77850521
-5.65182591,7.69159668,1.85641150,0.00000000,1.14157614,5.11494581,0.07245704,1.74745804
-5.64582291,7.57734374,1.83171076,0.00000000,1.19580510,4.99885203,0.07430265,1.72155211
-5.63981991,7.48449537,1.81165682,0.00000000,1.25567375,4.89513785,0.07651817,1.70109386
-5.63381691,7.41380847,1.79651690,0.00000000,1.32060609,4.80471594,0.07909725,1.68624869
-5.62781391,7.36533449,1.78635006,0.00000000,1.38985902,4.72803693,0.08202657,1.67704398
-5.62181091,7.33845916,1.78101647,0.00000000,1.46253433,4.66511278,0.08528601,1.67337660
-5.61580790,7.33196700,1.78019496,0.00000000,1.53759787,4.61555639,0.08884927,1.67502467
-5.60980490,7.34412683,1.78340796,0.00000000,1.61390539,4.57863459,0.09268464,1.68166277
-5.60380190,7.37279340,1.79005213,0.00000000,1.69023413,4.55333132,0.09675605,1.69287979
-5.59779890,7.41551984,1.79943321,0.00000000,1.76531909,4.53841730,0.10102427,1.70819858
-5.59179590,7.46967476,1.81080291,0.00000000,1.83789248,4.53252205,0.10544826,1.72709639
-5.58579290,7.53255797,1.82339610,0.00000000,1.90672472,4.53420453,0.10998650,1.74902490
-5.57978989,7.60150889,1.83646622,0.00000000,1.97066499,4.54201844,0.11459830,1.77342915
-5.57378689,7.67400232,1.84931717,0.00000000,2.02867966,4.55456920,0.11924497,1.79976426
-5.56778389,7.74772711,1.86133015,0.00000000,2.07988659,4.57055960,0.12389084,1.82750917
-5.56178089,7.82064429,1.87198422,0.00000000,2.12358374,4.58882274,0.12850390,1.85617700
-5.55577789,7.89102289,1.88086984,0.00000000,2.15927058,4.60834100,0.13305625,1.88532155
-5.54977489,7.95745269,1.88769501,0.00000000,2.18666137,4.62825132,0.13752416,1.91453993
-5.54377189,8.01883506,1.89228415,0.00000000,2.20568956,4.64783764,0.14188780,1.94347151
-5.53776888,8.07435419,1.89457025,0.00000000,2.21650310,4.66651241,0.14613068,1.97179357
-5.53176588,8.12343230,1.89458121,0.00000000,2.21945114,4.68378968,0.15023886,1.99921448
-5.52576288,8.16567356,1.89242178,0.00000000,2.21506262,4.69925285,0.15419989,2.02546505
-5.51975988,8.20080177,1.88825236,0.00000000,2.20401823,4.71252039,0.15800170,2.05028929
-5.51375688,8.22859753,1.88226660,0.00000000,2.18711696,4.72321301,0.16163152,2.07343542
-5.50775388,8.24884024,1.87466912,0.00000000,2.16523940,4.73092545,0.16507478,2.09464820
-5.50175088,8.26125983,1.86565515,0.00000000,2.13930939,4.73520561,0.16831430,2.11366356
-5.49574787,8.26550235,1.85539339,0.00000000,2.11025631,4.73554324,0.17132966,2.13020629
-5.48974487,8.26111245,1.84401306,0.00000000,2.07897982,4.73136946,0.17409701,2.14399115
-5.48374187,8.24753426,1.83159603,0.00000000,2.04631870,4.72206764,0.17658909,2.15472784
