energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,S_s_up,S_p_up
-5.35167584,5.57858425,0.07356846,0.67051247,2.54045714,1.62491190,0.09075101,1.84945499
-5.34567284,5.63931021,0.07572439,0.67596316,2.54127362,1.66192714,0.09193244,1.86733511
-5.33966983,5.69357469,0.07749470,0.68015147,2.54089089,1.69513355,0.09310595,1.88410533
-5.33366683,5.74058824,0.07885237,0.68285614,2.53996820,1.72389376,0.09421356,1.89985732
-5.32766383,5.77979317,0.07977866,0.68388406,2.53919899,1.74768218,0.09520122,1.91474621
-5.32166083,5.81088286,0.08026380,0.68307873,2.53929124,1.76610232,0.09602035,1.92898296
-5.31565783,5.83380573,0.08030727,0.68032692,2.54094368,1.77889816,0.09662906,1.94282216
-5.30965483,5.84875344,0.07991781,0.67556313,2.54481862,1.78595900,0.09699303,1.95654593
-5.30365183,5.85613420,0.07911298,0.66877180,2.55151260,1.78731782,0.09708608,1.97044437
-5.29764882,5.85653301,0.07791850,0.65998700,2.56152611,1.78314335,0.09689038,1.98479388
-5.29164582,5.85066143,0.07636719,0.64929008,2.57523413,1.77372645,0.09639631,1.99983455
-5.28564282,5.83930060,0.07449773,0.63680520,2.59285949,1.75946183,0.09560206,2.01574793
-5.27963982,5.82324121,0.07235319,0.62269324,2.61445067,1.74082617,0.09451297,2.03263689
-5.27363682,5.80322495,0.06997950,0.60714452,2.63986626,1.71835416,0.09314068,2.05050890
-5.26763382,5.77989153,0.06742380,0.59037084,2.66876728,1.69261380,0.09150215,2.06926416
-5.26163082,5.75373519,0.06473295,0.57259724,2.70061909,1.66418242,0.08961865,2.08868961
-5.25562781,5.72507401,0.06195209,0.55405414,2.73470329,1.63362482,0.08751467,2.10845963
-5.24962481,5.69403430,0.05912339,0.53497015,2.77014019,1.60147457,0.08521698,2.12814397
-5.24362181,5.66055173,0.05628504,0.51556602,2.80592129,1.56821946,0.08275373,2.14722266
-5.23761881,5.62438918,0.05347055,0.49604999,2.84095086,1.53429164,0.08015370,2.16510760
-5.23161581,5.58517050,0.05070829,0.47661470,2.87409494,1.50006275,0.07744576,2.18116982
-5.22561281,5.54242814,0.04802136,0.45743567,2.90423569,1.46584390,0.07465845,2.19477112
