energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,0.99888857,-1.08591522,0.01590447,-0.01323961,0.01975040,-0.03659263,0.55464078,-0.69307256,0.13724650,-0.15208996,0.18386723,-0.18774393,0.10703583,-0.07996006,0.02100589,-0.01928307,0.58388638,-0.64537054
-5.99399700,1.03503153,-1.09628259,0.01643942,-0.01283618,0.01989363,-0.03659559,0.57292443,-0.69979853,0.14365432,-0.15411191,0.19231935,-0.19413178,0.11204307,-0.08070714,0.02122313,-0.01886702,0.60567273,-0.65277957
-5.98799400,1.07609337,-1.10829493,0.01691980,-0.01235955,0.02022859,-0.03660823,0.59498649,-0.70768160,0.15011791,-0.15640432,0.20263352,-0.20153646,0.11794607,-0.08158669,0.02138669,-0.01838312,0.63030602,-0.66135201
-5.98199100,1.12211331,-1.12313381,0.01733333,-0.01181883,0.02076118,-0.03666557,0.62098828,-0.71752965,0.15659392,-0.15913169,0.21489424,-0.21018832,0.12476600,-0.08269046,0.02148716,-0.01784600,0.65782148,-0.67180657
-5.97598799,1.17309897,-1.14200369,0.01766960,-0.01122423,0.02149574,-0.03680309,0.65103607,-0.73016289,0.16305188,-0.16246424,0.22916512,-0.22031333,0.13251420,-0.08411143,0.02151753,-0.01727161,0.68823426,-0.68487413
-5.96998499,1.22901873,-1.16608548,0.01792019,-0.01058676,0.02243468,-0.03705527,0.68517451,-0.74638361,0.16947443,-0.16657132,0.24548524,-0.23212340,0.14119027,-0.08594041,0.02147330,-0.01667657,0.72153515,-0.70126990
-5.96398199,1.28979372,-1.19648891,0.01807885,-0.00991781,0.02357804,-0.03745412,0.72338085,-0.76694503,0.17585704,-0.17161444,0.26386588,-0.24580647,0.15078052,-0.08826257,0.02135261,-0.01607762,0.75768612,-0.72166454
-5.95797899,1.35528993,-1.23420536,0.01814161,-0.00922882,0.02492315,-0.03802789,0.76556025,-0.79252017,0.18220721,-0.17774037,0.28428768,-0.26151690,0.16125653,-0.09115394,0.02115612,-0.01549098,0.79661586,-0.74665570
-5.95197599,1.42531067,-1.28006301,0.01810673,-0.00853091,0.02646434,-0.03879977,0.81154247,-0.82367199,0.18854315,-0.18507435,0.30669829,-0.27936628,0.17257412,-0.09467815,0.02088697,-0.01493183,0.83821564,-0.77674066
-5.94597299,1.49958995,-1.33468583,0.01797475,-0.00783460,0.02819267,-0.03978691,0.86108017,-0.86082590,0.19489203,-0.19371384,0.33101068,-0.29941521,0.18467266,-0.09888337,0.02055049,-0.01441383,0.88233559,-0.81229143
