energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Sc_p_up,Sc_p_down,Sc_d_up,Sc_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,1.73956386,-1.73956386,0.00212525,-0.00212525,0.30596421,-0.30596421,0.30407420,-0.30407420,1.18920445,-1.18920445,0.32154124,-0.32154124,0.08887436,-0.08887436,0.55515438,-0.55515438,0.00000000,-0.00000000
-5.99399700,1.66144001,-1.66144000,0.00174825,-0.00174825,0.29374340,-0.29374340,0.29581263,-0.29581263,1.13665579,-1.13665578,0.30661727,-0.30661727,0.08451766,-0.08451766,0.52892635,-0.52892634,0.00000000,-0.00000000
-5.98799400,1.58278640,-1.58278639,0.00142975,-0.00142975,0.28139697,-0.28139697,0.29004442,-0.29004442,1.08200049,-1.08200048,0.29180399,-0.29180399,0.08015376,-0.08015376,0.50314624,-0.50314624,0.00000000,-0.00000000
-5.98199100,1.50458247,-1.50458246,0.00116266,-0.00116266,0.26915799,-0.26915799,0.28684174,-0.28684174,1.02608768,-1.02608767,0.27723347,-0.27723347,0.07580780,-0.07580780,0.47800160,-0.47800160,0.00000000,-0.00000000
-5.97598799,1.42783728,-1.42783727,0.00094030,-0.00094030,0.25726142,-0.25726142,0.28627183,-0.28627184,0.96978637,-0.96978637,0.26304316,-0.26304316,0.07150920,-0.07150920,0.45369297,-0.45369297,0.00000000,-0.00000000
-5.96998499,1.35355111,-1.35355110,0.00075648,-0.00075648,0.24593564,-0.24593564,0.28838825,-0.28838825,0.91395724,-0.91395724,0.24937013,-0.24937012,0.06729020,-0.06729020,0.43042402,-0.43042402,0.00000000,-0.00000000
-5.96398199,1.28267753,-1.28267752,0.00060555,-0.00060555,0.23539434,-0.23539434,0.29322157,-0.29322157,0.85942540,-0.85942539,0.23634514,-0.23634513,0.06318419,-0.06318419,0.40839126,-0.40839125,0.00000000,-0.00000000
-5.95797899,1.21608753,-1.21608752,0.00048248,-0.00048248,0.22582898,-0.22582898,0.30077016,-0.30077016,0.80695530,-0.80695529,0.22408694,-0.22408694,0.05922404,-0.05922404,0.38777399,-0.38777398,0.00000000,-0.00000000
-5.95197599,1.15453724,-1.15453723,0.00038279,-0.00038279,0.21740204,-0.21740204,0.31099133,-0.31099134,0.75722862,-0.75722862,0.21269704,-0.21269703,0.05544060,-0.05544060,0.36872501,-0.36872501,0.00000000,-0.00000000
-5.94597299,1.09864054,-1.09864053,0.00030257,-0.00030257,0.21024145,-0.21024145,0.32379363,-0.32379363,0.71082573,-0.71082573,0.20225519,-0.20225519,0.05186123,-0.05186123,0.35136255,-0.35136255,0.00000000,-0.00000000
-5.93996998,1.04884755,-1.04884754,0.00023846,-0.00023846,0.20443617,-0.20443617,0.33903053,-0.33903053,0.66821134,-0.66821134,0.19281595,-0.19281595,0.04850864,-0.04850864,0.33576390,-0.33576390,0.00000000,-0.00000000
-5.93396698,1.00542979,-1.00542978,0.00018761,-0.00018761,0.20003315,-0.20003316,0.35649617,-0.35649617,0.62972466,-0.62972466,0.18440628,-0.18440628,0.04539995,-0.04539995,0.32196095,-0.32196095,0.00000000,-0.00000000
-5.92796398,0.96847242,-0.96847242,0.00014763,-0.00014763,0.19703583,-0.19703583,0.37592328,-0.37592328,0.59557422,-0.59557422,0.17702439,-0.17702439,0.04254612,-0.04254612,0.30993795,-0.30993795,0.00000000,-0.00000000
-5.92196098,0.93787377,-0.93787376,0.00011654,-0.00011654,0.19540399,-0.19540399,0.39698372,-0.39698373,0.56583731,-0.56583731,0.17063994,-0.17063994,0.03995163,-0.03995163,0.29963146,-0.29963146,0.00000000,-0.00000000
-5.91595798,0.91335192,-0.91335192,0.00009275,-0.00009275,0.19505518,-0.19505518,0.41929177,-0.41929177,0.54046391,-0.54046391,0.16519537,-0.16519537,0.03761454,-0.03761454,0.29093254,-0.29093254,0.00000000,-0.00000000
-5.90995498,0.89445804,-0.89445804,0.00007502,-0.00007502,0.19586758,-0.19586758,0.44241003,-0.44241003,0.51928474,-0.51928474,0.16060842,-0.16060841,0.03552682,-0.03552682,0.28369100,-0.28369100,0.00000000,-0.00000000
-5.90395198,0.88059571,-0.88059571,0.00006239,-0.00006239,0.19768409,-0.19768409,0.46585811,-0.46585811,0.50202298,-0.50202298,0.15677570,-0.15677570,0.03367494,-0.03367494,0.27772148,-0.27772148,0.00000000,-0.00000000
-5.89794897,0.87104539,-0.87104539,0.00005419,-0.00005419,0.20031767,-0.20031767,0.48912365,-0.48912365,0.48830912,-0.48830912,0.15357706,-0.15357706,0.03204075,-0.03204075,0.27281107,-0.27281107,0.00000000,-0.00000000
-5.89194597,0.86499300,-0.86499300,0.00005001,-0.00005001,0.20355760,-0.20355760,0.51167541,-0.51167541,0.47769825,-0.47769825,0.15088056,-0.15088056,0.03060244,-0.03060244,0.26872804,-0.26872803,0.00000000,-0.00000000
-5.88594297,0.86156141,-0.86156141,0.00004969,-0.00004969,0.20717656,-0.20717656,0.53297794,-0.53297795,0.46968922,-0.46968922,0.14854784,-0.14854784,0.02933576,-0.02933576,0.26523138,-0.26523137,0.00000000,-0.00000000
-5.87993997,0.85984354,-0.85984355,0.00005329,-0.00005329,0.21093811,-0.21093812,0.55250734,-0.55250734,0.46374475,-0.46374475,0.14643961,-0.14643961,0.02821515,-0.02821515,0.26208060,-0.26208060,0.00000000,-0.00000000
-5.87393697,0.85893596,-0.85893596,0.00006110,-0.00006110,0.21460453,-0.21460453,0.56976727,-0.56976727,0.45931196,-0.45931196,0.14442108,-0.14442108,0.02721503,-0.02721503,0.25904543,-0.25904543,0.00000000,-0.00000000
-5.86793397,0.85797142,-0.85797142,0.00007367,-0.00007367,0.21794449,-0.21794449,0.58430479,-0.58430479,0.45584246,-0.45584246,0.14236701,-0.14236701,0.02631095,-0.02631095,0.25591500,-0.25591500,0.00000000,-0.00000000
-5.86193097,0.85614947,-0.85614947,0.00009180,-0.00009180,0.22074047,-0.22074047,0.59572519,-0.59572520,0.45281139,-0.45281139,0.14016622,-0.14016622,0.02548068,-0.02548068,0.25250617,-0.25250617,0.00000000,-0.00000000
-5.85592796,0.85276383,-0.85276383,0.00011655,-0.00011655,0.22279557,-0.22279557,0.60370518,-0.60370518,0.44973483,-0.44973483,0.13772545,-0.13772545,0.02470523,-0.02470523,0.24867061,-0.24867061,0.00000000,-0.00000000
